"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
540	0,9827484	0,6092276	0,6700287	0,8734511	0,0212108	0,6617068	0,3731962	0,0169688	0,4200956	0,9894082	0,0219161	0,6596725	0,5937609	0,8771543	0,9931085	0,1553054
560	0,9827484	0,6092276	0,6700287	0,8734516	0,0212108	0,6617090	0,3731962	0,0169699	0,4200956	0,9894084	0,0219161	0,6596725	0,5937609	0,8771544	0,9931085	0,1553054
580	0,9827484	0,6092276	0,6700287	0,8734520	0,0212108	0,6050023	0,3731962	0,0162807	0,4200956	0,9021475	0,0205839	0,6596725	0,5937609	0,8747075	0,9931085	0,1553054
600	0,9827484	0,6092276	0,6700287	0,8734523	0,0212108	0,4982316	0,3731962	0,0148131	0,4200956	0,7558239	0,0182917	0,6596725	0,5937609	0,8701691	0,9931085	0,1553054
620	0,9827484	0,6092276	0,6700287	0,8734525	0,0212108	0,3920004	0,3731962	0,0131401	0,4200956	0,6274789	0,0162263	0,6596725	0,5937609	0,8657243	0,9931085	0,1553054
640	0,9827484	0,6092276	0,6700287	0,8734527	0,0212108	0,3038248	0,3731962	0,0115459	0,4200956	0,5333827	0,0146733	0,6596725	0,5937609	0,8620900	0,9931085	0,1553054
660	0,9827484	0,6092276	0,6700287	0,8734528	0,0212108	0,2367623	0,3731962	0,0101532	0,4200956	0,4699748	0,0136021	0,6596725	0,5937609	0,8593645	0,9931085	0,1553054
680	0,9827484	0,6092276	0,6700287	0,8734529	0,0212108	0,1883256	0,3731962	0,0089974	0,4200956	0,4292615	0,0128995	0,6596725	0,5937609	0,8574215	0,9931085	0,1553054
700	0,9827484	0,6092276	0,6700287	0,8734530	0,0212108	0,1545164	0,3731962	0,0080702	0,4200956	0,4039119	0,0124534	0,6596725	0,5937609	0,8560816	0,9931085	0,1553054
720	0,9827484	0,6092276	0,6700287	0,8734530	0,0212108	0,1314833	0,3731962	0,0073441	0,4200956	0,3884549	0,0121765	0,6596725	0,5937609	0,8551788	0,9931085	0,1553054
740	0,9827484	0,6092276	0,6700287	0,8734531	0,0212108	0,1160737	0,3731962	0,0067857	0,4200956	0,3791688	0,0120076	0,6596725	0,5937609	0,8545809	0,9931085	0,1553054
760	0,9827484	0,6092276	0,6700287	0,8734531	0,0212108	0,1059085	0,3731962	0,0063621	0,4200956	0,3736503	0,0119057	0,6596725	0,5937609	0,8541901	0,9931085	0,1553054
780	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0992777	0,3731962	0,0060445	0,4200956	0,3703974	0,0118449	0,6596725	0,5937609	0,8539372	0,9931085	0,1553054
800	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0949920	0,3731962	0,0058084	0,4200956	0,3684918	0,0118089	0,6596725	0,5937609	0,8537749	0,9931085	0,1553054
820	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0922430	0,3731962	0,0056342	0,4200956	0,3673808	0,0117878	0,6596725	0,5937609	0,8536715	0,9931085	0,1553054
840	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0904912	0,3731962	0,0055066	0,4200956	0,3667354	0,0117753	0,6596725	0,5937609	0,8536059	0,9931085	0,1553054
860	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0893809	0,3731962	0,0054136	0,4200956	0,3663617	0,0117681	0,6596725	0,5937609	0,8535645	0,9931085	0,1553054
880	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0886806	0,3731962	0,0053461	0,4200956	0,3661457	0,0117639	0,6596725	0,5937609	0,8535385	0,9931085	0,1553054
900	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0882407	0,3731962	0,0052973	0,4200956	0,3660211	0,0117615	0,6596725	0,5937609	0,8535222	0,9931085	0,1553054
920	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0879654	0,3731962	0,0052622	0,4200956	0,3659494	0,0117600	0,6596725	0,5937609	0,8535120	0,9931085	0,1553054
940	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0877937	0,3731962	0,0052370	0,4200956	0,3659081	0,0117592	0,6596725	0,5937609	0,8535057	0,9931085	0,1553054
960	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0876869	0,3731962	0,0052189	0,4200956	0,3658844	0,0117588	0,6596725	0,5937609	0,8535017	0,9931085	0,1553054
980	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0876207	0,3731962	0,0052061	0,4200956	0,3658708	0,0117585	0,6596725	0,5937609	0,8534993	0,9931085	0,1553054
1000	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875797	0,3731962	0,0051969	0,4200956	0,3658630	0,0117583	0,6596725	0,5937609	0,8534978	0,9931085	0,1553054
1020	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875544	0,3731962	0,0051904	0,4200956	0,3658585	0,0117583	0,6596725	0,5937609	0,8534968	0,9931085	0,1553054
