"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
540	0,1533722	0,8003922	0,3458737	0,2168191	0,0001617	0,3582306	0,3002217	0,0262861	0,5531201	0,3986681	0,1334778	0,1819545	0,0456114	0,1365551	0,0072787	0,0002564
560	0,1194387	0,7213190	0,3543604	0,2112515	0,0002346	0,2948936	0,3703085	0,0297283	0,5049699	0,3279212	0,1040201	0,1371572	0,0463722	0,1999003	0,0219284	0,0020578
580	0,1328897	0,5839098	0,2276729	0,2030973	0,0004438	0,2809869	0,1450973	0,0136987	0,3655357	0,3183172	0,0870374	0,1636076	0,0066643	0,0824970	0,0053499	0,0331709
600	0,1582470	0,7207679	0,2872581	0,2512013	0,0002032	0,2931088	0,1054977	0,0434644	0,1979053	0,2269241	0,0609665	0,1517986	0,0017548	0,0372770	0,0097861	0,0460579
620	0,1721209	0,7680678	0,3273104	0,2463812	0,0000257	0,2882586	0,0208971	0,0327409	0,2360259	0,3261286	0,0555186	0,2000348	0,0031074	0,0166017	0,0081125	0,0507572
640	0,1218512	0,7634775	0,3353134	0,2220113	0,0000999	0,3224434	0,0324389	0,0146974	0,1437474	0,2583210	0,0719717	0,2333923	0,0059607	0,0130420	0,0162128	0,0339951
660	0,1943370	0,8154761	0,3450610	0,3099292	0,0000002	0,3314099	0,0211761	0,0469544	0,1275809	0,2779333	0,0480065	0,2197788	0,0095145	0,0182476	0,0149914	0,0784104
680	0,1251769	0,7917584	0,2511098	0,2181485	0,0000205	0,3226782	0,0145263	0,0490852	0,1127962	0,2865595	0,0699497	0,2190581	0,0172667	0,0024799	0,0109894	0,0465916
700	0,1210967	0,6202726	0,3539324	0,2239195	0,0008399	0,3776222	0,0114987	0,0626618	0,0771577	0,2620438	0,1227876	0,2985933	0,0714744	0,0010745	0,0180804	0,0618390
720	0,1801889	0,7928569	0,3896079	0,2551241	0,0012195	0,3273946	0,0055988	0,0704165	0,0715080	0,2736199	0,1163576	0,2215889	0,0093247	0,0029058	0,0035417	0,0618343
740	0,2235339	0,7255696	0,3244642	0,2484451	0,0000000	0,3786704	0,0094151	0,0413920	0,0566313	0,2809411	0,1070147	0,2764326	0,0178960	0,0000993	0,0034346	0,0283803
760	0,2498548	0,7381689	0,3877153	0,3313059	0,0000753	0,3621842	0,0085831	0,0155597	0,0917171	0,3619787	0,0736281	0,2435385	0,0098165	0,0000000	0,0037019	0,0395838
780	0,1493818	0,6686740	0,4419404	0,2989673	0,0000043	0,3441710	0,0056178	0,0091726	0,1266550	0,2745467	0,0838865	0,2139355	0,0108382	0,0010241	0,0004408	0,0617147
800	0,1449363	0,6653186	0,3585239	0,2682528	0,0000467	0,4577415	0,0215250	0,0178782	0,0801273	0,3049658	0,0498035	0,2072749	0,0119203	0,0005573	0,0015497	0,0627469
820	0,1143733	0,7071727	0,2790605	0,2790714	0,0006517	0,3981014	0,0295989	0,0307983	0,0835412	0,3625098	0,0955195	0,2215136	0,0047960	0,0001588	0,0061061	0,0646685
840	0,1197320	0,6997148	0,3257566	0,2933050	0,0004546	0,3699257	0,0219900	0,0109091	0,1043280	0,2361215	0,0612836	0,2396585	0,0069670	0,0000368	0,0142854	0,0797400
860	0,1364582	0,6820178	0,4457649	0,2369516	0,0036941	0,3481479	0,0045108	0,0310467	0,0573268	0,3192160	0,1125090	0,2136541	0,0050766	0,0003848	0,0101842	0,0661976
880	0,1208486	0,6313455	0,4158887	0,2397060	0,0056593	0,2920568	0,0029048	0,0111268	0,0544490	0,3148088	0,1037399	0,2392234	0,0150660	0,0011967	0,0093449	0,0548875
900	0,1193297	0,7465951	0,2964558	0,2670856	0,0003384	0,3421682	0,0070807	0,0275145	0,0612750	0,2652997	0,2001982	0,2366596	0,0126434	0,0002515	0,0101909	0,1075655
920	0,1133968	0,6755370	0,3103728	0,2648378	0,0005592	0,3696827	0,0106520	0,0372681	0,1218399	0,2971741	0,1014457	0,2875724	0,0161313	0,0002768	0,0058638	0,0665681
940	0,1332500	0,7869851	0,2836721	0,2314150	0,0002469	0,3522616	0,0102731	0,0366260	0,0566394	0,2872296	0,1087559	0,2695730	0,0225487	0,0000550	0,0050359	0,0425411
960	0,2112271	0,7749157	0,2925847	0,2620254	0,0002437	0,3038467	0,0285911	0,0206603	0,0995821	0,2743283	0,0785753	0,2502147	0,0090487	0,0001566	0,0095811	0,0646080
980	0,1260183	0,8596608	0,2597275	0,2756726	0,0009077	0,4402512	0,0074811	0,0166873	0,0513146	0,3373703	0,1132726	0,2064984	0,0055669	0,0000345	0,0225838	0,1213031
1000	0,1544588	0,7111246	0,3253690	0,1899009	0,0011163	0,3645661	0,0073569	0,0530008	0,0821192	0,2587436	0,0765308	0,2169261	0,0187140	0,0004004	0,0073426	0,0871310
1020	0,1314275	0,7505590	0,2514750	0,2299340	0,0009430	0,4786389	0,0005132	0,0175312	0,0608879	0,2033915	0,0858399	0,2144272	0,0119938	0,0030898	0,0260438	0,1070585
1040	0,1349788	0,5914600	0,2309928	0,2144962	0,0006644	0,3662672	0,0050469	0,0163673	0,0552346	0,2330286	0,0798404	0,1283990	0,0160355	0,0001367	0,0027846	0,0914310
1060	0,1781545	0,6423639	0,2680473	0,1670079	0,0000358	0,2208597	0,0029164	0,0242046	0,0517842	0,3108429	0,0874827	0,1798294	0,0042981	0,0001006	0,0037007	0,1053426
1080	0,2028544	0,7977293	0,3193546	0,2114428	0,0000000	0,3548323	0,0069425	0,0212611	0,0616181	0,2941246	0,0915967	0,2058970	0,0060148	0,0000320	0,0038744	0,0686458
1100	0,1132418	0,6558366	0,3485302	0,1879294	0,0000185	0,3179886	0,0082668	0,0211273	0,0819602	0,2633016	0,1312554	0,2864133	0,0130257	0,0001006	0,0188329	0,0601620

0	0,2312164	0,6786421	0,3175040	0,2719481	0,0000415	0,4240455	0,0048999	0,0239478	0,0957232	0,2869240	0,0895920	0,2854155	0,0430617	0,0021342	0,0081389	0,0542560
20	0,1838441	0,7886379	0,2746063	0,2433788	0,0001348	0,2544969	0,0218939	0,0534593	0,0179294	0,1849631	0,1271438	0,2123064	0,0469248	0,0010210	0,0680186	0,0744192
40	0,1641696	0,7976591	0,2857370	0,2749471	0,0000370	0,3823341	0,0462527	0,0348305	0,0420818	0,1189802	0,0616917	0,2415038	0,0816577	0,0013510	0,0396672	0,0820373
60	0,1825536	0,9271736	0,3278187	0,2447177	0,0000000	0,3002349	0,0131217	0,0432295	0,0497159	0,0547014	0,0759248	0,2215826	0,0616654	0,0003501	0,0764449	0,0529728
