"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
540	0,6086888	0,5828221	0,5838947	0,0498013	0,0363722	0,0210651	0,8063455	0,2202790	0,0686136	0,0641936	0,0989124	0,4797843	0,1573444	0,9933714	0,0105116	0,8393354
560	0,6093299	0,5886423	0,6112097	0,0481446	0,0546788	0,0187013	0,8242863	0,2569456	0,0808968	0,0596702	0,0776582	0,4929475	0,1508674	1,0246094	0,0051908	0,7855211
580	0,7014079	0,7376662	0,5707044	0,0484275	0,0465430	0,3607977	0,6235360	0,5331372	0,0775192	0,0435189	0,0800652	0,2892075	0,1630430	0,9767051	0,0041698	0,8713482
600	0,7262022	0,8146814	0,6297147	0,0395356	0,0349809	0,5028138	0,4608533	0,7032010	0,0792531	0,0706500	0,0591687	0,1692830	0,1381122	1,0213342	0,0021151	0,9459640
620	0,7027519	0,8312936	0,6559107	0,0434809	0,0298623	0,6687985	0,3180846	0,8573908	0,0834201	0,0638519	0,0689430	0,0757805	0,1545149	1,0014879	0,0012304	0,9203909
640	0,7579224	0,8355630	0,6412918	0,0357661	0,0338882	0,7700069	0,2534156	0,9521525	0,0803878	0,0546982	0,0633946	0,0532250	0,1363524	1,0180668	0,0077573	0,9761640
660	0,7507373	0,8096651	0,6426263	0,0449748	0,0349802	0,8793357	0,2023119	0,9716686	0,0919978	0,0670161	0,0714665	0,0377708	0,1468293	0,9868208	0,0048954	0,9831715
680	0,7728654	0,8217131	0,6031652	0,0474257	0,0520856	0,9442465	0,1712560	0,9815587	0,0845929	0,0494007	0,0767257	0,0299146	0,1432659	1,0222117	0,0075846	0,9732697
700	0,8006606	0,8705990	0,6285257	0,0340476	0,0528711	0,9927472	0,1351083	0,9819538	0,0889661	0,0667549	0,0817151	0,0176369	0,1267277	1,0413126	0,0065019	0,9580025
720	0,8177272	0,8991541	0,6092614	0,0247616	0,0422070	0,9674011	0,1155687	0,9077299	0,0767862	0,0391488	0,0731952	0,0184755	0,1653427	1,0552143	0,0019938	0,9753707
740	0,7475812	0,8730526	0,6585787	0,0301728	0,0439394	0,9669626	0,1153232	0,9921690	0,0826313	0,0377285	0,0909126	0,0311187	0,1805450	1,0396403	0,0059629	0,9256347
760	0,7997234	0,8471998	0,7532675	0,0349753	0,0527364	0,9032144	0,1072636	1,0419275	0,0919595	0,0266014	0,0931699	0,0134079	0,1492768	1,0576150	0,0042383	0,8842818
780	0,7831447	0,8124784	0,7188825	0,0399805	0,0623750	0,9271658	0,1030620	1,0134990	0,0798482	0,0450122	0,0723098	0,0188771	0,1356238	1,0175554	0,0059493	0,9378707
800	0,7537780	0,8456445	0,6295070	0,0448313	0,0408060	1,0323186	0,0842777	0,9488836	0,0799060	0,0426586	0,0889389	0,0318321	0,1649413	0,9779893	0,0040272	0,9970064
820	0,7179332	0,8824396	0,5937960	0,0485807	0,0271970	1,0858378	0,0819583	1,0004006	0,0646458	0,0381931	0,0782823	0,0337666	0,1665253	1,0333831	0,0022297	1,0572506
840	0,7674310	0,8588645	0,6306363	0,0572207	0,0388341	1,0171720	0,0675961	0,9973539	0,0667607	0,0512405	0,0673917	0,0342027	0,1600475	1,0233997	0,0045470	0,9929472
860	0,7502128	0,8995597	0,6178738	0,0422541	0,0311028	1,0945050	0,0637438	0,9934371	0,0937132	0,0384624	0,0671970	0,0264150	0,1616543	1,0182121	0,0065931	0,9861259
880	0,7185453	0,8937160	0,6241405	0,0508172	0,0277033	1,0909041	0,0760634	1,0339226	0,0705884	0,0515912	0,0742099	0,0182959	0,1797282	0,9978987	0,0026883	0,9943095
900	0,7942039	0,9343121	0,5891924	0,0459279	0,0395276	1,0065566	0,0728397	1,0488205	0,0531098	0,0412945	0,0700237	0,0254735	0,1505112	1,0158805	0,0047026	0,9346028
920	0,8408237	0,9213829	0,6536983	0,0433835	0,0444645	1,1060583	0,0829045	1,0379373	0,0657111	0,0307607	0,0780228	0,0195113	0,1688980	0,9092732	0,0021858	0,9392856
940	0,8178610	0,9646484	0,6535193	0,0281129	0,0580960	1,0738040	0,0949878	1,0119934	0,0613254	0,0498523	0,0867749	0,0228656	0,1686237	1,0543305	0,0018137	0,9932152
960	0,7658859	0,9050673	0,7064769	0,0235272	0,0571543	1,0897628	0,0789212	1,0461090	0,0719856	0,0508171	0,0820065	0,0293121	0,1384896	1,0001345	0,0014226	1,0346656
980	0,7334826	0,8832021	0,6653546	0,0233743	0,0533161	1,0732784	0,0780336	1,0583270	0,0762634	0,0532281	0,0719107	0,0156156	0,1430341	0,9216843	0,0010408	1,0130970
1000	0,7945310	0,8946748	0,6232359	0,0405537	0,0608736	0,9770183	0,0809131	1,0387648	0,0680095	0,0663492	0,0619118	0,0121953	0,1634863	0,9375655	0,0059813	1,0175022
1020	0,7837614	0,8843024	0,6363689	0,0426745	0,0612005	0,9721853	0,0815452	1,0215513	0,0830318	0,0571630	0,0761281	0,0276724	0,1819617	0,9731391	0,0056478	0,9657024
1040	0,7290184	0,9319523	0,6197324	0,0377910	0,0563644	0,9770289	0,0850501	0,9870536	0,0810566	0,0604693	0,0797888	0,0341516	0,1511478	0,9980992	0,0045849	0,9821230
1060	0,7055906	0,9269344	0,5326535	0,0434614	0,0540422	1,0177097	0,0870366	0,9703557	0,0709190	0,0623756	0,0752659	0,0246330	0,1389599	1,0184590	0,0065108	0,9393819
1080	0,7273019	0,8998667	0,5508379	0,0330991	0,0543078	1,0388217	0,0707987	1,0181536	0,0764703	0,0568425	0,0939679	0,0209575	0,1569000	1,0155759	0,0071243	1,0135667
1100	0,7757694	0,8553220	0,6244794	0,0281825	0,0409683	1,0686260	0,0760182	0,9712030	0,0644528	0,0603317	0,0792522	0,0313364	0,1885288	0,9466307	0,0082683	1,0202134

