"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
540	0,4148916	1,0000000	0,0744853	0,2770596	0,5163306	0,0246569	0,8999747	0,7726261	0,5182900	0,8728744	0,1888721	0,8086572	0,7229902	0,5738619	0,4821628	0,4143089
560	0,4148914	1,0000000	0,0744879	0,2770595	0,5163304	0,0246567	0,9001325	0,7726268	0,5182796	0,8729490	0,1888710	0,8086621	0,7230261	0,5739138	0,4821343	0,4143215
580	0,4522945	1,0000000	0,0824549	0,2770423	0,6204812	0,0457892	0,9003881	0,7439971	0,5199229	0,8725381	0,1986080	0,8079610	0,7222608	0,5966140	0,4825848	0,4393127
600	0,5221207	1,0000000	0,0927974	0,2769067	0,7543310	0,0835945	0,9012053	0,7122387	0,5343344	0,8676261	0,2048839	0,8011706	0,7144715	0,6351223	0,4870172	0,4847009
620	0,5890982	1,0000000	0,0974155	0,2766318	0,8311426	0,1200069	0,9018139	0,6933812	0,5673768	0,8530412	0,1975014	0,7834109	0,6936253	0,6621710	0,4983303	0,5240525
640	0,6410666	1,0000000	0,0967821	0,2762937	0,8514299	0,1494857	0,9009018	0,6812733	0,6126846	0,8272361	0,1819947	0,7555074	0,6602100	0,6687775	0,5158017	0,5484988
660	0,6768434	1,0000000	0,0932819	0,2759666	0,8350529	0,1706425	0,8977437	0,6719620	0,6608731	0,7925680	0,1650089	0,7218893	0,6190596	0,6572280	0,5367789	0,5585357
680	0,6994195	1,0000000	0,0888309	0,2756918	0,8023405	0,1839266	0,8923579	0,6640745	0,7051938	0,7532684	0,1502340	0,6874508	0,5757833	0,6341351	0,5584823	0,5581389
700	0,7126182	1,0000000	0,0845255	0,2754824	0,7675405	0,1908120	0,8852401	0,6572089	0,7423813	0,7135096	0,1388640	0,6558218	0,5347667	0,6060664	0,5788461	0,5516279
720	0,7197457	1,0000000	0,0808529	0,2753345	0,7379910	0,1931761	0,8770662	0,6512423	0,7716844	0,6764104	0,1307696	0,6289766	0,4986480	0,5778199	0,5966757	0,5424176
740	0,7232331	1,0000000	0,0779435	0,2752367	0,7159952	0,1927923	0,8684939	0,6461446	0,7937371	0,6438155	0,1253229	0,6075241	0,4685439	0,5522315	0,6114994	0,5327674
760	0,7246975	1,0000000	0,0757510	0,2751762	0,7011033	0,1910408	0,8600631	0,6419192	0,8097521	0,6164796	0,1218216	0,5911864	0,4445079	0,5305867	0,6233368	0,5239476
780	0,7251329	1,0000000	0,0741581	0,2751413	0,6917866	0,1888412	0,8521622	0,6385546	0,8210505	0,5943867	0,1196616	0,5792307	0,4259716	0,5131479	0,6324883	0,5165226
800	0,7251072	1,0000000	0,0730333	0,2751229	0,6863797	0,1867188	0,8450321	0,6359942	0,8288299	0,5770598	0,1183818	0,5707746	0,4120822	0,4995996	0,6393780	0,5106149
820	0,7249191	1,0000000	0,0722569	0,2751145	0,6834894	0,1849183	0,8387890	0,6341342	0,8340757	0,5638032	0,1176554	0,5649689	0,4019244	0,4893639	0,6444521	0,5061074
840	0,7247098	1,0000000	0,0717307	0,2751116	0,6821000	0,1835105	0,8334551	0,6328427	0,8375500	0,5538677	0,1172628	0,5610870	0,3946480	0,4817969	0,6481212	0,5027785
860	0,7245347	1,0000000	0,0713794	0,2751115	0,6815383	0,1824731	0,8289884	0,6319837	0,8398156	0,5465482	0,1170633	0,5585523	0,3895273	0,4762960	0,6507343	0,5003832
880	0,7244073	1,0000000	0,0711474	0,2751126	0,6813920	0,1817441	0,8253092	0,6314355	0,8412738	0,5412330	0,1169700	0,5569325	0,3859783	0,4723477	0,6525722	0,4986955
900	0,7243227	1,0000000	0,0709955	0,2751139	0,6814268	0,1812518	0,8223193	0,6310994	0,8422023	0,5374191	0,1169321	0,5559173	0,3835502	0,4695404	0,6538520	0,4975266
920	0,7242707	1,0000000	0,0708965	0,2751151	0,6815210	0,1809311	0,8199166	0,6309015	0,8427888	0,5347092	0,1169207	0,5552920	0,3819071	0,4675570	0,6547361	0,4967278
940	0,7242409	1,0000000	0,0708321	0,2751161	0,6816181	0,1807288	0,8180035	0,6307898	0,8431572	0,5327992	0,1169207	0,5549128	0,3808053	0,4661613	0,6553433	0,4961878
960	0,7242253	1,0000000	0,0707902	0,2751168	0,6816968	0,1806052	0,8164916	0,6307296	0,8433881	0,5314617	0,1169245	0,5546857	0,3800719	0,4651810	0,6557586	0,4958256
980	0,7242178	1,0000000	0,0707628	0,2751172	0,6817531	0,1805320	0,8153042	0,6306990	0,8435327	0,5305297	0,1169287	0,5545510	0,3795865	0,4644927	0,6560418	0,4955839
1000	0,7242149	1,0000000	0,0707449	0,2751175	0,6817900	0,1804900	0,8143766	0,6306844	0,8436235	0,5298829	0,1169322	0,5544718	0,3792666	0,4640088	0,6562348	0,4954232
1020	0,7242142	1,0000000	0,0707330	0,2751177	0,6818125	0,1804666	0,8136549	0,6306781	0,8436808	0,5294353	0,1169346	0,5544252	0,3790563	0,4636681	0,6563663	0,4953165
1040	0,7242144	1,0000000	0,0707252	0,2751177	0,6818252	0,1804540	0,8130955	0,6306759	0,8437173	0,5291262	0,1169362	0,5543977	0,3789184	0,4634277	0,6564559	0,4952456
1060	0,7242149	1,0000000	0,0707199	0,2751178	0,6818319	0,1804475	0,8126632	0,6306754	0,8437406	0,5289131	0,1169371	0,5543815	0,3788280	0,4632576	0,6565170	0,4951984
1080	0,7242155	1,0000000	0,0707164	0,2751178	0,6818349	0,1804442	0,8123301	0,6306755	0,8437557	0,5287664	0,1169376	0,5543717	0,3787687	0,4631370	0,6565588	0,4951670
1100	0,7242159	1,0000000	0,0707140	0,2751178	0,6818361	0,1804427	0,8120738	0,6306758	0,8437655	0,5286654	0,1169378	0,5543657	0,3787298	0,4630514	0,6565874	0,4951459

0	0,7242161	1,0000000	0,0708292	0,2751392	0,6818323	0,1805233	0,8099806	0,6307156	0,8437191	0,5288388	0,1169379	0,5543851	0,3788344	0,4633001	0,6564014	0,4952834
20	0,7240021	0,8975111	0,0707901	0,2751321	0,6818420	0,1804866	0,8102891	0,6312719	0,8571993	0,5287168	0,1169386	0,5543753	0,3787743	0,4631689	0,6564788	0,4952252
40	0,7217667	0,7080309	0,0707738	0,2751268	0,6821385	0,1804716	0,8105385	0,6320803	0,8808062	0,5286894	0,1169674	0,5544299	0,3787857	0,4631496	0,6565069	0,4952259
60	0,7150611	0,5232918	0,0708247	0,2751237	0,6839918	0,1805126	0,8108365	0,6328147	0,9026556	0,5290472	0,1171552	0,5548526	0,3791292	0,4636155	0,6563627	0,4954872
80	0,7024279	0,3730584	0,0710384	0,2751237	0,6895773	0,1807101	0,8114109	0,6337094	0,9195317	0,5304541	0,1177504	0,5562768	0,3803865	0,4653896	0,6557670	0,4964572
100	0,6837290	0,2611131	0,0715432	0,2751281	0,7010308	0,1812410	0,8125983	0,6351530	0,9312924	0,5338514	0,1190558	0,5595248	0,3833760	0,4696114	0,6543294	0,4987568
120	0,6600822	0,1818945	0,0724727	0,2751388	0,7194798	0,1823402	0,8147753	0,6375207	0,9386789	0,5402285	0,1213585	0,5653744	0,3889685	0,4774636	0,6516404	0,5030275
140	0,6335563	0,1277143	0,0739405	0,2751578	0,7444651	0,1842574	0,8182608	0,6410464	0,9425379	0,5503544	0,1248714	0,5743305	0,3978762	0,4898612	0,6473717	0,5097661
160	0,6066353	0,0915448	0,0760145	0,2751871	0,7739526	0,1871978	0,8232229	0,6457300	0,9436102	0,5645426	0,1296800	0,5864609	0,4104571	0,5071658	0,6413644	0,5191825
180	0,5815967	0,0678312	0,0786936	0,2752285	0,8049705	0,1912525	0,8296262	0,6513217	0,9425282	0,5825218	0,1356960	0,6013385	0,4265797	0,5290128	0,6336844	0,5311188
200	0,5600415	0,0525001	0,0818922	0,2752824	0,8345682	0,1963456	0,8372392	0,6573952	0,9398645	0,6034662	0,1426379	0,6181146	0,4456004	0,5543355	0,6246288	0,5450560
220	0,5427210	0,0426984	0,0854451	0,2753475	0,8605956	0,2022246	0,8456924	0,6634717	0,9361635	0,6261739	0,1500633	0,6357006	0,4664742	0,5815936	0,6146767	0,5602116
240	0,5296367	0,0364885	0,0891348	0,2754206	0,8819911	0,2085099	0,8545582	0,6691351	0,9319345	0,6493212	0,1574538	0,6529929	0,4879644	0,6091144	0,6043986	0,5756950
260	0,5202890	0,0325839	0,0927352	0,2754968	0,8986345	0,2147821	0,8634248	0,6741004	0,9276186	0,6716987	0,1643260	0,6690649	0,5088755	0,6354084	0,5943539	0,5906680
280	0,5139432	0,0301444	0,0960540	0,2755711	0,9110057	0,2206708	0,8719461	0,6782289	0,9235543	0,6923679	0,1703251	0,6832788	0,5282364	0,6593693	0,5850060	0,6044645
300	0,5098344	0,0286285	0,0989609	0,2756387	0,9198560	0,2259112	0,8798658	0,6815067	0,9199606	0,7107236	0,1752669	0,6953101	0,5453958	0,6803376	0,5766746	0,6166486
320	0,5072899	0,0276910	0,1013944	0,2756966	0,9259802	0,2303619	0,8870215	0,6840056	0,9169431	0,7264806	0,1791292	0,7051064	0,5600320	0,6980624	0,5695262	0,6270153
340	0,5057792	0,0271135	0,1033529	0,2757434	0,9300925	0,2339910	0,8933334	0,6858439	0,9145169	0,7396144	0,1820082	0,7128137	0,5721036	0,7126079	0,5635937	0,6355526
360	0,5049174	0,0267591	0,1048765	0,2757792	0,9327777	0,2368470	0,8987885	0,6871541	0,9126367	0,7502854	0,1840650	0,7186956	0,5817712	0,7242460	0,5588111	0,6423854
380	0,5044435	0,0265423	0,1060280	0,2758053	0,9344852	0,2390257	0,9034212	0,6880621	0,9112245	0,7587647	0,1854795	0,7230649	0,5893168	0,7333592	0,5550514	0,6477198
400	0,5041910	0,0264101	0,1068774	0,2758233	0,9355439	0,2406428	0,9072972	0,6886762	0,9101917	0,7653736	0,1864199	0,7262342	0,5950754	0,7403664	0,5521594	0,6517952
420	0,5040593	0,0263296	0,1074914	0,2758352	0,9361850	0,2418144	0,9104986	0,6890828	0,9094531	0,7704392	0,1870267	0,7284856	0,5993852	0,7456727	0,5499757	0,6548512
440	0,5039909	0,0262807	0,1079282	0,2758426	0,9365650	0,2426453	0,9131140	0,6893472	0,9089346	0,7742661	0,1874080	0,7300560	0,6025566	0,7496406	0,5483527	0,6571064
460	0,5039544	0,0262511	0,1082350	0,2758470	0,9367862	0,2432235	0,9152305	0,6895167	0,9085762	0,7771217	0,1876426	0,7311345	0,6048569	0,7525775	0,5471622	0,6587482
480	0,5039339	0,0262333	0,1084483	0,2758494	0,9369131	0,2436193	0,9169294	0,6896241	0,9083314	0,7792299	0,1877844	0,7318656	0,6065047	0,7547335	0,5462986	0,6599298
