"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
540	0,6404303	0,6572749	0,6259641	0,0520189	0,0524986	0,0163802	0,8735056	0,1886466	0,0714633	0,0342968	0,0514488	0,4837015	0,1398096	0,8773420	0,0142021	0,7752994
560	0,6226950	0,7041019	0,6339308	0,0439250	0,0486834	0,0202516	0,8742106	0,1844454	0,0662894	0,0652057	0,0674990	0,4725934	0,1577004	0,9477057	0,0131175	0,7270129
580	0,6120063	0,6792779	0,6144829	0,0510712	0,0445859	0,0580056	0,8077880	0,2628404	0,0738751	0,0496507	0,0666669	0,4156097	0,1577082	0,9521184	0,0153277	0,8090871
600	0,6842030	0,7070390	0,6033561	0,0512678	0,0462807	0,2128719	0,6329246	0,3954056	0,0911114	0,0432199	0,0738112	0,3969825	0,1464391	0,9310534	0,0039764	0,8984246
620	0,7760818	0,7288086	0,6895531	0,0602705	0,0517607	0,3619614	0,5283314	0,6468462	0,0887891	0,0616116	0,0525559	0,3428949	0,1323641	0,9926014	0,0058642	0,9398491
640	0,7227525	0,7272909	0,7206851	0,0639383	0,0382880	0,4817510	0,3754224	0,8165661	0,1021078	0,0640129	0,0606071	0,2554462	0,1412892	0,9298857	0,0038893	0,9312395
660	0,7080543	0,7309415	0,6512762	0,0545765	0,0312941	0,5453578	0,3075011	0,9606738	0,1178456	0,0617009	0,0544848	0,2055170	0,1141534	0,9701594	0,0091567	0,9122009
680	0,7233754	0,7814257	0,6205536	0,0430280	0,0442938	0,6651624	0,2339761	1,0294245	0,1004963	0,0702930	0,0636374	0,1361035	0,1182268	1,0132672	0,0057595	0,8760720
700	0,7423792	0,8528617	0,6364848	0,0414829	0,0411432	0,7643387	0,1781554	1,0583212	0,0893516	0,0676546	0,0586861	0,0961065	0,1276336	1,0434207	0,0084842	0,9666849
720	0,8218476	0,8262127	0,6633862	0,0300254	0,0485741	0,8351614	0,1314076	0,9968478	0,0910082	0,0583531	0,0628238	0,0725305	0,1266678	1,0907063	0,0104910	0,9937112
