"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
540	1,0000000	0,4814801	0,2421655	0,3789929	1,0000000	0,0015173	0,4460938	0,6443338	0,6514361	0,8767889	0,3235488	0,1731822	0,7125618	0,6459670	0,4757292	0,9077602
560	1,0000000	0,4805820	0,2421651	0,3790098	1,0000000	0,0015163	0,4458074	0,6441579	0,6516975	0,8768396	0,3234790	0,1730814	0,7125013	0,6450020	0,4724443	0,9077519
580	1,0000000	0,4881985	0,5407198	0,5735676	1,0000000	0,0015525	0,4463821	0,7922634	0,6321103	0,8626165	0,3461652	0,1636866	0,6908288	0,4868307	0,4698092	0,9125368
600	1,0000000	0,5154499	0,7216567	0,6268740	1,0000000	0,0020569	0,4491722	0,8780528	0,5488359	0,7934402	0,4399235	0,1383518	0,7081808	0,4738756	0,4699829	0,9274105
620	1,0000000	0,5463127	0,8313121	0,5815233	1,0000000	0,0049171	0,4527356	0,9280575	0,4392641	0,6871912	0,5637781	0,1161326	0,7435721	0,4806271	0,4767266	0,9432656
640	1,0000000	0,5727777	0,8977680	0,4983778	1,0000000	0,0135505	0,4561601	0,9572520	0,3407233	0,5834321	0,6741050	0,1035984	0,7806132	0,4932714	0,4909819	0,9558308
660	1,0000000	0,5939807	0,9380430	0,4154524	1,0000000	0,0292593	0,4592167	0,9743233	0,2630309	0,4999037	0,7581733	0,1015103	0,8128121	0,5078857	0,5108598	0,9647565
680	1,0000000	0,6107993	0,9624514	0,3468482	1,0000000	0,0491677	0,4618572	0,9843285	0,2048917	0,4382558	0,8179586	0,1105995	0,8386214	0,5223405	0,5335747	0,9708001
700	1,0000000	0,6242176	0,9772440	0,2946881	1,0000000	0,0692119	0,4640854	0,9902125	0,1624356	0,3946710	0,8590520	0,1326709	0,8584331	0,5355662	0,5567088	0,9748009
720	1,0000000	0,6350145	0,9862089	0,2567670	1,0000000	0,0868018	0,4659319	0,9936899	0,1318374	0,3645656	0,8867877	0,1695069	0,8732463	0,5471582	0,5786267	0,9774218
740	1,0000000	0,6437660	0,9916420	0,2299139	1,0000000	0,1010322	0,4674422	0,9957590	0,1099597	0,3440511	0,9053161	0,2206961	0,8841286	0,5570700	0,5984305	0,9791311
760	1,0000000	0,6508980	0,9949347	0,2112147	1,0000000	0,1119942	0,4686667	0,9970012	0,0943994	0,3301893	0,9176186	0,2822235	0,8920214	0,5654222	0,6157638	0,9802444
780	1,0000000	0,6567317	0,9969302	0,1983421	1,0000000	0,1201879	0,4696544	0,9977557	0,0833742	0,3208750	0,9257566	0,3474475	0,8976896	0,5723989	0,6306110	0,9809694
800	1,0000000	0,6615148	0,9981396	0,1895549	1,0000000	0,1262001	0,4704491	0,9982209	0,0755853	0,3146411	0,9311265	0,4097126	0,9017276	0,5781956	0,6431436	0,9814419
820	1,0000000	0,6654426	0,9988725	0,1835959	1,0000000	0,1305632	0,4710881	0,9985128	0,0700960	0,3104818	0,9346633	0,4644171	0,9045847	0,5829961	0,6536183	0,9817498
840	1,0000000	0,6686713	0,9993167	0,1795768	1,0000000	0,1337115	0,4716024	0,9987000	0,0662356	0,3077138	0,9369893	0,5095198	0,9065942	0,5869634	0,6623152	0,9819504
860	1,0000000	0,6713268	0,9995859	0,1768789	1,0000000	0,1359790	0,4720167	0,9988231	0,0635257	0,3058760	0,9385169	0,5449661	0,9080002	0,5902379	0,6695049	0,9820812
880	1,0000000	0,6735119	0,9997490	0,1750755	1,0000000	0,1376141	0,4723514	0,9989060	0,0616266	0,3046583	0,9395187	0,5718342	0,9089791	0,5929385	0,6754322	0,9821662
900	1,0000000	0,6753103	0,9998479	0,1738747	1,0000000	0,1387977	0,4726221	0,9989636	0,0602979	0,3038533	0,9401747	0,5916464	0,9096579	0,5951645	0,6803105	0,9822215
920	1,0000000	0,6767908	0,9999078	0,1730780	1,0000000	0,1396595	0,4728417	0,9990046	0,0593695	0,3033222	0,9406037	0,6059471	0,9101266	0,5969988	0,6843217	0,9822574
940	1,0000000	0,6780098	0,9999441	0,1725513	1,0000000	0,1402918	0,4730201	0,9990347	0,0587217	0,3029725	0,9408837	0,6160972	0,9104490	0,5985100	0,6876183	0,9822807
960	1,0000000	0,6790135	0,9999661	0,1722042	1,0000000	0,1407598	0,4731654	0,9990571	0,0582703	0,3027428	0,9410663	0,6232046	0,9106702	0,5997548	0,6903271	0,9822957
980	1,0000000	0,6798401	0,9999795	0,1719761	1,0000000	0,1411096	0,4732838	0,9990742	0,0579560	0,3025921	0,9411851	0,6281265	0,9108213	0,6007802	0,6925530	0,9823054
1000	1,0000000	0,6805208	0,9999876	0,1718267	1,0000000	0,1413739	0,4733806	0,9990875	0,0577376	0,3024935	0,9412622	0,6315037	0,9109244	0,6016247	0,6943823	0,9823117
1020	1,0000000	0,6810814	0,9999925	0,1717291	1,0000000	0,1415756	0,4734598	0,9990980	0,0575858	0,3024290	0,9413123	0,6338030	0,9109944	0,6023203	0,6958860	0,9823157
1040	1,0000000	0,6815432	0,9999954	0,1716655	1,0000000	0,1417312	0,4735246	0,9991063	0,0574805	0,3023870	0,9413447	0,6353579	0,9110419	0,6028932	0,6971223	0,9823183
1060	1,0000000	0,6819235	0,9999972	0,1716241	1,0000000	0,1418522	0,4735777	0,9991130	0,0574074	0,3023597	0,9413656	0,6364033	0,9110741	0,6033651	0,6981390	0,9823199
1080	1,0000000	0,6822368	0,9999983	0,1715973	1,0000000	0,1419474	0,4736213	0,9991184	0,0573568	0,3023419	0,9413791	0,6371026	0,9110958	0,6037537	0,6989752	0,9823210
1100	1,0000000	0,6824949	0,9999990	0,1715799	1,0000000	0,1420227	0,4736571	0,9991227	0,0573218	0,3023304	0,9413879	0,6375682	0,9111104	0,6040739	0,6996633	0,9823216

0	1,0000000	0,6830891	1,0000000	0,1715488	1,0000000	0,1421904	0,4737391	0,9991325	0,0572430	0,3023098	0,9414032	0,6384526	0,9111362	0,6048106	0,7012435	0,9823228
20	1,0000000	0,6831654	0,9483937	0,1721672	1,0000000	0,1418227	0,4737505	0,9991325	0,1654681	0,3026032	0,9411276	0,3616235	0,9323344	0,6049439	0,7015300	0,9822733
40	1,0000000	0,6831027	0,9171181	0,1750685	1,0000000	0,1399762	0,4737468	0,9991255	0,2401168	0,3039976	0,9398283	0,2118268	0,9459801	0,6050444	0,7017596	0,9820496
60	1,0000000	0,6829020	0,8981638	0,1801289	1,0000000	0,1366961	0,4737284	0,9991124	0,2917976	0,3064692	0,9375474	0,1305930	0,9546194	0,6050991	0,7019253	0,9816764
