"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
540	0,4838868	1,1034300	0,0523692	0,2634180	0,5587890	0,0235298	0,8037543	0,7615502	0,6036669	0,8077061	0,1421667	0,7870165	0,6106353	0,4903239	0,4871803	0,4230047
560	0,5099723	1,0601875	0,0762770	0,2452605	0,5673962	0,0266054	0,8885081	0,7557508	0,5969301	0,9150879	0,1686760	0,7723031	0,6395269	0,5614507	0,4879515	0,3975912
580	0,5116046	1,1788379	0,0591255	0,2393222	0,6729085	0,0414053	0,9072928	0,7517679	0,6255740	0,9104690	0,1674434	0,7685501	0,6030471	0,5786614	0,4906562	0,3964907
600	0,5582631	1,1588469	0,0832415	0,2645662	0,6705855	0,0741865	0,9255798	0,7581609	0,6686548	0,9331304	0,1652230	0,7598671	0,6174179	0,6168930	0,5212792	0,4384751
620	0,5691190	1,0803768	0,1033081	0,2879621	0,7954090	0,1159343	0,9342053	0,7208618	0,6541695	1,0070236	0,2284016	0,7120383	0,5738032	0,6874142	0,5381956	0,5076464
640	0,5631533	1,0933527	0,0983164	0,2900715	0,7894711	0,1326994	0,8991643	0,6888843	0,7081501	0,9423880	0,1791603	0,7360628	0,5100249	0,6879286	0,5578467	0,5466470
660	0,6419026	1,1039455	0,0737390	0,2841392	0,8378899	0,1754288	0,8576755	0,6412999	0,7060904	0,9136538	0,1445008	0,7165622	0,4970503	0,6483674	0,5467548	0,5861109
680	0,6188854	1,0032397	0,0676633	0,2843471	0,8428941	0,1823582	0,8677502	0,6229344	0,7242994	0,8969001	0,1397409	0,6843483	0,5008116	0,6638694	0,5835306	0,5840902
700	0,5998558	1,0420457	0,0925753	0,2835359	0,8309549	0,1693585	0,8796181	0,6501220	0,7532355	0,8389746	0,1193458	0,6604978	0,4934253	0,6733221	0,6297463	0,6008436
720	0,6096649	1,0876635	0,0810624	0,2750821	0,8380788	0,1751927	0,8977493	0,6569258	0,7468045	0,7545204	0,1398841	0,6767248	0,4755585	0,6730254	0,6266952	0,6119253
740	0,6645360	1,0242687	0,0721943	0,2970719	0,8102050	0,1786561	0,8522324	0,6807269	0,7855489	0,7238174	0,1699843	0,6426769	0,4631769	0,6239016	0,6260338	0,5994883
760	0,6504078	1,0102884	0,0595234	0,2699740	0,8293314	0,2205973	0,8156528	0,6542312	0,8092665	0,7334620	0,1439708	0,6123518	0,4346074	0,6858166	0,6483878	0,5414561
780	0,6462537	1,0260057	0,0623958	0,2527766	0,8322089	0,2067279	0,7935981	0,5996600	0,8640798	0,6674995	0,1467237	0,6677815	0,3951274	0,6478476	0,6481584	0,5440088
800	0,6773578	1,0051795	0,0695461	0,2458475	0,8099505	0,1618210	0,8971148	0,5827162	0,9038498	0,6701154	0,1525484	0,6689510	0,4577945	0,6396729	0,6765473	0,5417129
820	0,6584645	1,0360086	0,0739900	0,2621733	0,8085967	0,1445811	0,9782479	0,5998176	0,8995695	0,6842986	0,1317085	0,6722105	0,3814445	0,5649568	0,7021797	0,5385954
840	0,6856475	0,9615862	0,0870207	0,2219478	0,7646261	0,1671945	0,9618808	0,6515674	0,8671948	0,6811357	0,1125326	0,6404266	0,3269810	0,5219823	0,6863479	0,5494457
860	0,6964947	0,9656772	0,0991472	0,2611771	0,7409560	0,1887193	0,9829718	0,6781020	0,8187898	0,6508555	0,1122863	0,6403122	0,3333534	0,5261742	0,6321557	0,5006658
880	0,6973021	0,9767306	0,0928030	0,2836064	0,6989278	0,2376237	0,9701895	0,7295587	0,8923722	0,6225177	0,1339527	0,6724491	0,3760333	0,4931697	0,6596737	0,4911637
900	0,7303663	1,0805150	0,0946808	0,3044948	0,6885574	0,2268433	0,9796451	0,6991629	0,8111289	0,5866582	0,1113117	0,6379122	0,4525355	0,5376341	0,6261953	0,5420823
920	0,7155203	1,0577693	0,0899262	0,2925895	0,7108346	0,2457586	0,9373483	0,6649728	0,8674603	0,5762396	0,1097923	0,6017952	0,4489495	0,4870454	0,7054392	0,5275805
940	0,7571063	1,0894356	0,0419566	0,3162668	0,5885052	0,1820872	0,8869368	0,6254831	0,8552019	0,5593930	0,0970139	0,5722960	0,4041544	0,4948365	0,7145893	0,5079748
960	0,7692149	0,9864945	0,0419789	0,2617039	0,6003171	0,2146500	0,8581838	0,6235226	0,8052572	0,5636945	0,1065108	0,5366480	0,3891684	0,4967561	0,7377141	0,5063180
980	0,6541867	0,9768366	0,0712220	0,3005067	0,6251078	0,2318941	0,9007227	0,5955298	0,8438497	0,5587664	0,1079164	0,5992573	0,3682432	0,5003088	0,7264515	0,5034927
1000	0,6771574	1,0100990	0,0673345	0,2919966	0,6680156	0,2037742	0,8447946	0,6057301	0,8207666	0,5486352	0,1249534	0,5772480	0,3639620	0,5299667	0,6716484	0,4784598
1020	0,7187197	1,0073260	0,0717205	0,2907103	0,6908706	0,1594598	0,8043882	0,5623427	0,8309718	0,5497467	0,1416725	0,5781113	0,4031829	0,5441069	0,6765007	0,4679661
1040	0,7304618	1,0320252	0,0679624	0,2509547	0,6721875	0,1722035	0,7460180	0,5439009	0,7946077	0,5789364	0,1411214	0,6463946	0,3654108	0,4905747	0,6490874	0,4910063
1060	0,6963930	0,9993043	0,1015636	0,2762461	0,6874991	0,1830965	0,7678015	0,5737666	0,7770887	0,5673742	0,1543341	0,6137323	0,4001148	0,5131991	0,6799077	0,5140652
1080	0,6432274	1,1287287	0,0962086	0,2530572	0,6579595	0,2031660	0,8026990	0,6531312	0,7065333	0,5608898	0,1584031	0,6289533	0,4007477	0,5108848	0,6496312	0,5338483
1100	0,6729650	1,0835850	0,0738507	0,2416789	0,6955176	0,2330065	0,7900392	0,7082644	0,7679839	0,6103845	0,1305628	0,5733303	0,4387497	0,5275593	0,6763092	0,5678426

0	0,7177653	1,0845244	0,0791121	0,2857553	0,6016580	0,2022600	0,8902659	0,6962503	0,7943263	0,5138199	0,1550098	0,4977878	0,3238524	0,4928140	0,6520834	0,5052543
20	0,7090146	0,9465042	0,1096376	0,2778888	0,7426886	0,1951162	0,8675089	0,6512887	0,8342444	0,6319325	0,1092488	0,6617038	0,3675013	0,5100560	0,6257414	0,4924364
