"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
540	0,7991045	0,3551882	0,4818145	0,5940909	0,0071695	0,5177643	0,2478950	0,0215517	0,3154784	0,7072241	0,0387754	0,3526730	0,4730657	0,5095166	0,7110232	0,1233470
560	0,7079337	0,3993651	0,5493351	0,7644673	0,0205486	0,3764402	0,2184770	0,0072768	0,2919648	0,8525371	0,0040512	0,4655258	0,4361952	0,5943647	0,5775158	0,1303158
580	0,6103415	0,4513473	0,4266397	0,6803207	0,0142573	0,4679585	0,2112963	0,0197272	0,2944169	0,6529790	0,0231186	0,4065112	0,4612803	0,5217929	0,8847918	0,1062070
600	0,7845727	0,3854319	0,3453070	0,5632608	0,0569452	0,3983498	0,2360485	0,0102593	0,3176434	0,6405077	0,0059559	0,3732541	0,3614469	0,6257031	0,7186829	0,1052504
620	0,7106170	0,4286123	0,4465495	0,5431803	0,0162388	0,2762434	0,2981988	0,0078351	0,2889562	0,5188416	0,0456892	0,6664409	0,3873781	0,5624606	0,7256038	0,1193357
640	0,6322946	0,4487944	0,5785295	0,5342766	0,0211383	0,2817958	0,2479800	0,0039329	0,3068117	0,3953193	0,0322708	0,5060669	0,3781032	0,6047883	0,6387527	0,1423494
660	0,7054345	0,3808586	0,4496433	0,6160753	0,0434334	0,1392567	0,2581842	0,0016624	0,2802670	0,3177729	0,0126059	0,4542311	0,3424842	0,5789477	0,6885083	0,1726317
680	0,8915003	0,3772064	0,4758148	0,6113257	0,0142402	0,1576330	0,2821255	0,0064426	0,2909165	0,2845631	0,0130015	0,4778790	0,4351275	0,6207967	0,6370364	0,2068180
700	0,6527426	0,3641900	0,5415895	0,5164354	0,0208413	0,1303262	0,2830667	0,0194153	0,4095854	0,3112357	0,0235495	0,3919683	0,2990282	0,6723402	0,7585973	0,1034230
720	0,6863140	0,4071985	0,5025870	0,6243895	0,0467105	0,1341360	0,2593525	0,0140046	0,2918724	0,3042514	0,0072781	0,4027942	0,4821378	0,4998382	0,7171217	0,1350262
