yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP	Time	Experiment
1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	600	1
1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	620	1
1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	640	1
1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	660	1
1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	680	1
1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	700	1
1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	720	1
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	740	1
1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	760	1
1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	780	1
1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	800	1
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	820	1
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	840	1
1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	860	1
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	880	1
1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	900	1
1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	920	1
1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	940	1
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	960	1
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	980	1
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1000	1
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1020	1
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1040	1
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1060	1
1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1080	1
1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1100	1
1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	2
1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	20	2
1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	40	2
1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	60	2
1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	1	80	2
1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	100	2
1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	120	2
1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	140	2
1	1	0	1	1	0	1	1	0	0	1	1	0	1	0	1	160	2
1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	180	2
1	1	0	1	1	0	1	1	0	0	1	1	0	1	0	1	200	2
1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	220	2
1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	240	2
1	1	0	1	1	0	1	0	0	0	0	1	0	1	1	1	260	2
1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	280	2
1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	1	300	2
1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	320	2
1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	340	2
1	1	0	1	1	0	1	0	0	1	0	1	0	1	1	1	360	2
1	1	0	1	1	0	1	0	0	0	1	1	0	1	1	1	380	2
1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	400	2
1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	420	2
1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	440	2
1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	460	2
1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	480	2
1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	500	2
1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	520	2
1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	540	2
1	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	560	2
1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	580	2
1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	600	2
1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	620	2
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	640	2
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	660	2
1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	680	2
1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	700	2
1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	720	2
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	740	2
1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	760	2
1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	780	2
1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	800	2
1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	820	2
1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	840	2
1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	860	2
1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	880	2
1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	900	2
1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	920	2
1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	940	2
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	960	2
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	980	2
1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1000	2
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1020	2
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1040	2
1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1060	2
1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1080	2
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1100	2
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	3
1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	20	3
1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	40	3
1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	60	3
1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	80	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	100	3
1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	120	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	140	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	160	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	180	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	200	3
1	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	220	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	240	3
1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	260	3
1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	280	3
1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	300	3
1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	320	3
1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	340	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	360	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	380	3
1	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	400	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	420	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	440	3
1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	460	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	480	3
1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	500	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	520	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	540	3
1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	560	3
1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	580	3
1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	600	3
1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	620	3
1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	640	3
1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	660	3
1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	680	3
1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	700	3
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	720	3
1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	740	3
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	760	3
1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	780	3
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	800	3
1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	820	3
1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	840	3
1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	860	3
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	880	3
1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	900	3
1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	920	3
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	940	3
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	960	3
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	980	3
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1000	3
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1020	3
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1040	3
1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1060	3
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1080	3
1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1100	3
1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	4
1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	20	4
1	1	1	0	1	0	1	0	0	0	0	1	0	1	1	1	40	4
1	0	1	0	0	0	1	1	0	0	1	0	1	1	1	1	60	4
