"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
540	1,0000000	0,4861802	0,2421804	0,3789308	1,0000000	0,0015209	0,4466456	0,6450792	0,6494561	0,8760617	0,3238217	0,1743401	0,7127132	0,6489793	0,4880286	0,9078120
560	1,0000000	0,4845369	0,2421745	0,3789693	1,0000000	0,0015189	0,4462827	0,6448135	0,6502733	0,8763406	0,3236589	0,1738771	0,7126050	0,6475643	0,4830219	0,9077859
580	1,0000000	0,4839806	0,3100686	0,4438274	1,0000000	0,0015225	0,4461095	0,6716073	0,6485295	0,8749511	0,3274321	0,1723808	0,7034420	0,6013609	0,4787354	0,9085123
600	1,0000000	0,4895969	0,4412970	0,5345722	1,0000000	0,0016315	0,4469718	0,7253355	0,6266770	0,8584280	0,3617615	0,1640016	0,7004727	0,5516560	0,4754544	0,9139503
620	1,0000000	0,5030427	0,5757278	0,5730344	1,0000000	0,0024472	0,4490928	0,7826756	0,5741082	0,8138068	0,4381041	0,1493987	0,7161944	0,5218091	0,4745685	0,9242742
640	1,0000000	0,5213390	0,6906582	0,5531861	1,0000000	0,0056839	0,4519238	0,8339111	0,5013005	0,7460397	0,5362136	0,1338261	0,7442759	0,5080093	0,4778453	0,9363711
660	1,0000000	0,5413214	0,7807031	0,4986400	1,0000000	0,0134933	0,4549555	0,8759780	0,4228833	0,6687992	0,6331273	0,1215496	0,7760772	0,5052709	0,4861677	0,9477391
680	1,0000000	0,5609247	0,8477023	0,4330002	1,0000000	0,0264429	0,4578825	0,9088631	0,3489070	0,5936576	0,7161336	0,1154091	0,8060170	0,5094667	0,4992122	0,9572146
700	1,0000000	0,5790507	0,8958810	0,3707569	1,0000000	0,0429521	0,4605466	0,9337709	0,2843908	0,5272198	0,7814479	0,1176696	0,8315668	0,5175091	0,5158288	0,9645593
720	1,0000000	0,5952275	0,9296957	0,3182917	1,0000000	0,0605822	0,4628797	0,9522315	0,2309128	0,4720177	0,8301432	0,1304758	0,8521177	0,5272708	0,5345633	0,9699902
740	1,0000000	0,6093440	0,9530022	0,2770351	1,0000000	0,0772974	0,4648687	0,9657030	0,1881127	0,4280782	0,8651657	0,1554527	0,8680240	0,5373970	0,5540423	0,9738791
760	1,0000000	0,6214798	0,9688416	0,2460152	1,0000000	0,0919085	0,4665318	0,9754223	0,1547190	0,3941735	0,8897372	0,1927195	0,8800140	0,5470950	0,5731707	0,9766018
780	1,0000000	0,6318056	0,9794859	0,2233969	1,0000000	0,1039766	0,4679034	0,9823752	0,1291590	0,3686160	0,9066766	0,2402117	0,8888815	0,5559526	0,5911857	0,9784775
800	1,0000000	0,6405267	0,9865737	0,2072620	1,0000000	0,1135508	0,4690239	0,9873176	0,1098839	0,3496968	0,9182079	0,2940333	0,8953464	0,5637988	0,6076289	0,9797543
820	1,0000000	0,6478526	0,9912574	0,1959370	1,0000000	0,1209301	0,4699337	0,9908144	0,0955195	0,3358924	0,9259852	0,3496193	0,9000073	0,5706067	0,6222843	0,9806157
840	1,0000000	0,6539813	0,9943324	0,1880856	1,0000000	0,1265010	0,4706696	0,9932798	0,0849173	0,3259380	0,9311944	0,4029234	0,9033374	0,5764291	0,6351092	0,9811929
860	1,0000000	0,6590925	0,9963402	0,1826950	1,0000000	0,1306457	0,4712638	0,9950140	0,0771542	0,3188297	0,9346651	0,4510979	0,9056989	0,5813579	0,6461744	0,9815775
880	1,0000000	0,6633446	0,9976449	0,1790229	1,0000000	0,1336993	0,4717435	0,9962320	0,0715078	0,3137958	0,9369679	0,4926172	0,9073627	0,5854994	0,6556170	0,9818328
900	1,0000000	0,6668753	0,9984891	0,1765378	1,0000000	0,1359358	0,4721309	0,9970869	0,0674245	0,3102562	0,9384907	0,5270561	0,9085284	0,5889609	0,6636065	0,9820015
920	1,0000000	0,6698025	0,9990334	0,1748654	1,0000000	0,1375696	0,4724442	0,9976870	0,0644859	0,3077829	0,9394948	0,5547451	0,9093411	0,5918426	0,6703218	0,9821127
