"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
540	0,3936554	0,0394450	0,5295584	0,7286230	0,4412139	0,9552202	1,0386166	1,0004609	0,7060187	0,6096900	0,4306114	0,3602887	0,5561895	0,4086492	0,4515336	0,5355616
560	0,4222792	0,0357276	0,4940217	0,7463609	0,4449238	0,9386538	0,9928337	0,9738839	0,7402091	0,5706478	0,4389921	0,4626812	0,6123499	0,3533273	0,4509429	0,5143431
580	0,5438824	0,4361018	0,6817785	0,7650091	0,6386875	0,9992619	0,9264500	0,9729480	0,7461716	0,7510365	0,4059878	0,4381249	0,5095282	0,3229318	0,5198531	0,3892107
600	0,5543125	0,5945297	0,6372024	0,7728494	0,7662546	1,0441627	0,9643536	0,9446077	0,7646414	0,9130508	0,4015002	0,3534344	0,3061529	0,3677434	0,4981024	0,3313436
620	0,5678483	0,6737107	0,5995526	0,7219277	0,8762357	0,9684090	0,9025909	0,8016314	0,8011328	0,9854648	0,4198023	0,2260355	0,1340739	0,4033673	0,4319448	0,3032565
640	0,5968132	0,7460655	0,5884881	0,7131598	0,9730346	0,8663553	0,8297775	0,6684329	0,7748563	0,9941654	0,3832277	0,1643883	0,0716036	0,4156250	0,3793418	0,3097068
660	0,6690305	0,7041102	0,6067554	0,6816740	0,9330563	0,8050525	0,7548198	0,5297859	0,8164542	0,9887841	0,3904275	0,1155428	0,0412139	0,3680465	0,3448175	0,3179752
680	0,7902561	0,6885074	0,5249381	0,5139322	0,9963752	0,6700917	0,7652298	0,4711521	0,7662798	0,9708911	0,4091262	0,0732315	0,0188725	0,3444237	0,3722000	0,3652348
700	0,7912580	0,6066430	0,4416109	0,5264015	0,9370546	0,5163124	0,7244578	0,4052967	0,7355370	0,9359450	0,3441310	0,0585703	0,0099875	0,3559802	0,3045695	0,3491020
720	0,8943326	0,5403370	0,4244531	0,4658874	0,9640940	0,4394830	0,6565009	0,3491757	0,6915709	0,9607332	0,3078107	0,0380337	0,0105396	0,3269039	0,2936526	0,3163148
740	0,8713469	0,5948450	0,4565440	0,4176346	1,0207921	0,3598058	0,6923126	0,3649255	0,6045108	0,9161969	0,2830082	0,0320336	0,0050293	0,3292624	0,2522947	0,3059394
760	0,8253882	0,5665994	0,4747685	0,3513029	0,9565895	0,3020476	0,7596537	0,4006766	0,5148075	0,8464335	0,3123672	0,0300882	0,0008092	0,3136979	0,1647936	0,2945825
780	0,7854285	0,5815306	0,4849556	0,3735454	0,9706260	0,2777922	0,8162919	0,3551279	0,4893319	0,9383863	0,2838355	0,0312581	0,0003606	0,3089911	0,1608494	0,2911865
800	0,8485624	0,5530439	0,5066935	0,3486441	1,0451077	0,2441959	0,7595237	0,3552094	0,4987306	0,9540166	0,2870939	0,0348528	0,0012724	0,3067138	0,1823423	0,3042109
820	0,8959210	0,5431179	0,4215724	0,3136805	0,9952749	0,2388468	0,7317703	0,3913431	0,4719750	1,0229583	0,2787597	0,0262010	0,0015221	0,3304118	0,1950288	0,3244280
840	0,8271857	0,6459808	0,4296454	0,3216963	0,9439815	0,2585865	0,7826375	0,3773245	0,4114933	1,0426588	0,2673320	0,0391535	0,0019504	0,3331605	0,1645694	0,3099690
860	0,8460696	0,5846113	0,4169139	0,3272563	0,9922166	0,2323339	0,6701490	0,3447228	0,4177770	1,0447784	0,2810839	0,0189924	0,0021865	0,2871425	0,1819566	0,3181197
880	0,8899903	0,5894640	0,4737593	0,3278989	1,0654299	0,2289145	0,6859951	0,3630886	0,4283702	1,0120110	0,2470628	0,0227038	0,0008899	0,2839324	0,2312755	0,3467816
900	0,7881257	0,5415139	0,4485105	0,3377090	1,0044247	0,2227218	0,6891390	0,3030033	0,4496784	0,9521719	0,2359516	0,0247144	0,0036228	0,2743361	0,1909170	0,3694555
920	0,7793366	0,6194747	0,4088261	0,3717037	0,9751807	0,3165572	0,6971226	0,3146352	0,4559422	1,0252762	0,2705252	0,0284902	0,0044952	0,3070623	0,2303364	0,3498628
940	0,7722468	0,6147463	0,4557985	0,3872118	1,0164820	0,3470467	0,7201585	0,3129889	0,4663265	1,0468499	0,2697303	0,0369718	0,0050826	0,3089526	0,1920507	0,3448467
960	0,8269364	0,6467781	0,4580450	0,3630105	0,9940508	0,3750434	0,6724536	0,3606835	0,5012812	0,9806756	0,2434260	0,0420938	0,0052906	0,2767629	0,1494120	0,3285817
980	0,7916500	0,5950694	0,4782593	0,3688036	1,0171687	0,4737870	0,7084337	0,3232087	0,4705655	1,0173633	0,2370328	0,0339556	0,0046936	0,3365422	0,1386402	0,3431162
1000	0,8112910	0,6051906	0,4191788	0,3861167	1,0084026	0,4282897	0,7220743	0,2832301	0,4643753	0,9838174	0,2679746	0,0329995	0,0011502	0,3442679	0,1709806	0,3696737
1020	0,8138301	0,5369223	0,4566253	0,3579266	0,9898091	0,3159764	0,7245819	0,2521212	0,4353254	1,0215350	0,2678622	0,0316522	0,0034196	0,3234890	0,1738339	0,3319869
1040	0,7988469	0,5787800	0,4217311	0,2990884	0,9832191	0,2930516	0,6609614	0,2560015	0,4536502	0,9109157	0,2540101	0,0194804	0,0080296	0,2891185	0,1794894	0,3510158
1060	0,8886520	0,5651885	0,5059966	0,3315991	0,9594257	0,3432981	0,6721992	0,2746680	0,4614069	0,9464563	0,2195145	0,0276504	0,0033780	0,2719934	0,1769605	0,3550661
1080	0,9500590	0,5873562	0,4849537	0,3261193	0,9241012	0,2934401	0,7033191	0,3415053	0,4187846	0,9933715	0,2252369	0,0248331	0,0003429	0,2865433	0,1880135	0,3504722
1100	0,8662228	0,5595545	0,4805062	0,3538183	0,9703242	0,2903375	0,6434110	0,3449159	0,4059959	0,9936527	0,1977749	0,0206752	0,0014125	0,2948512	0,1730858	0,3217106

0	0,8016550	0,5854463	0,4675161	0,3449086	1,0009285	0,2883042	0,7216852	0,3609168	0,3545963	0,9675988	0,2186726	0,0232954	0,0054050	0,2912893	0,1213646	0,3258233
20	0,8400348	0,5942783	0,2747745	0,2670691	0,9393302	0,2121846	0,4118213	0,3352565	0,3868909	0,7325428	0,1164429	0,0190953	0,0077492	0,3105224	0,2001894	0,2551728
40	0,8414740	0,5794630	0,1394786	0,2509573	0,9424703	0,2481135	0,2964601	0,3061306	0,3534197	0,6760129	0,0713478	0,0260509	0,0041114	0,2687273	0,1488971	0,2786334
60	0,8270646	0,5833100	0,0983824	0,2636070	0,9752368	0,2768069	0,2349472	0,3271035	0,2562302	0,5486353	0,0407442	0,0195388	0,0048856	0,2246671	0,1177469	0,2583768
80	0,8411916	0,5980883	0,0784991	0,2933892	0,9255853	0,3706988	0,2196247	0,3940076	0,2143408	0,4320900	0,0336848	0,0372276	0,0040245	0,1884921	0,0853473	0,2856096
100	0,8334302	0,5887986	0,0808371	0,3180887	0,9755587	0,3904096	0,2052319	0,3687017	0,1666416	0,3894670	0,0270410	0,0303799	0,0025708	0,1195522	0,0716792	0,3099796
120	0,8952238	0,5991560	0,1024691	0,3361618	1,0118958	0,4203519	0,1861653	0,3977781	0,1653310	0,4381705	0,0195416	0,0478618	0,0004943	0,1167575	0,0360448	0,2870883
140	0,8584887	0,5104702	0,0830811	0,3138230	1,0044016	0,3370113	0,1890447	0,3927599	0,1294142	0,4622615	0,0171740	0,0302296	0,0007724	0,1064997	0,0269289	0,2807071
160	0,9085011	0,5532993	0,0972317	0,3048621	1,0398851	0,2980853	0,1894827	0,4147183	0,1434638	0,4614807	0,0045106	0,0295307	0,0006193	0,0936686	0,0283741	0,2723735
180	0,9645038	0,5840930	0,0876057	0,2595677	0,9669896	0,2878334	0,1969463	0,4054016	0,1474927	0,4290835	0,0028075	0,0163896	0,0000409	0,0842524	0,0290971	0,2828985
200	0,8747793	0,5561765	0,0832833	0,2371968	1,1006952	0,2040143	0,1823728	0,3806549	0,1217319	0,3502964	0,0024831	0,0181533	0,0003573	0,0679186	0,0224142	0,2596634
220	0,8286059	0,5491928	0,0766738	0,2371937	0,9908216	0,1800831	0,1766638	0,3308668	0,1100567	0,3958597	0,0028582	0,0171502	0,0047739	0,0540216	0,0307240	0,2801269
240	0,7780157	0,5360458	0,0955784	0,2763500	0,9388716	0,2096679	0,1775211	0,3570308	0,1152306	0,3740554	0,0073647	0,0295221	0,0034524	0,0612928	0,0339337	0,2609915
260	0,8053600	0,5901087	0,0896982	0,2855601	0,9918052	0,2660040	0,1623154	0,3503337	0,1402450	0,3394408	0,0070622	0,0322928	0,0021426	0,0622914	0,0478671	0,2538379
280	0,8710342	0,6235214	0,0802985	0,2940858	1,0220142	0,2406116	0,1429343	0,3637224	0,1356704	0,3302535	0,0093398	0,0275163	0,0024022	0,0809700	0,0518465	0,2938041
300	0,8050868	0,5594532	0,0668915	0,2898066	0,9542062	0,2440276	0,1599851	0,3456445	0,1466174	0,3258936	0,0065418	0,0186785	0,0012889	0,0803660	0,0411331	0,2715418
320	0,8758148	0,5251577	0,0974723	0,2839178	1,0075557	0,2448522	0,1806467	0,3344345	0,1384027	0,2907371	0,0075858	0,0225551	0,0007861	0,0768742	0,0395866	0,2892548
340	0,8418982	0,5135466	0,0887827	0,2786318	1,0304962	0,2403298	0,1690287	0,2979351	0,1311855	0,3096188	0,0034036	0,0172640	0,0000000	0,0677467	0,0395584	0,2929244
360	0,9141765	0,6025214	0,0741973	0,2663193	1,0360024	0,2447697	0,1381675	0,3792290	0,1366974	0,3124986	0,0000000	0,0121384	0,0009091	0,0492189	0,0451255	0,2926004
380	0,9052785	0,5664188	0,0579726	0,2463601	1,0457596	0,2193115	0,1562060	0,3490644	0,1527224	0,3087742	0,0026505	0,0171941	0,0018057	0,0491652	0,0443264	0,2688534
400	0,9002102	0,5473706	0,0691418	0,2449530	1,0172012	0,1794211	0,1948506	0,3378045	0,1403493	0,2768096	0,0020550	0,0225811	0,0069366	0,0758403	0,0467536	0,2594389
420	0,8499200	0,5352215	0,0872770	0,2630200	1,0154496	0,1995623	0,1882315	0,3816039	0,1035176	0,2628572	0,0048328	0,0242665	0,0073677	0,0764974	0,0382066	0,2639899
440	0,8711603	0,5406361	0,0804017	0,2675841	1,0381616	0,1735134	0,1860383	0,3115901	0,1031621	0,2164986	0,0032578	0,0243241	0,0050363	0,0667803	0,0257982	0,2643259
460	0,9301578	0,5175640	0,0691112	0,2447601	1,0000009	0,1849119	0,1795819	0,3125185	0,1149584	0,1699002	0,0054487	0,0160279	0,0003028	0,0705378	0,0369771	0,3066022
