"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
540	0,2805120	0,5436580	0,6247446	0,1194885	0,1520893	0,9211378	0,9931174	0,1701296	0,9905384	0,4064024	0,8464851	0,3924742	0,0304750	0,8757602	0,1189092	0,0330835
560	0,2804916	0,5438481	0,6247446	0,1194885	0,1520886	0,9213665	0,9932406	0,1701746	0,9906327	0,4064026	0,8464851	0,3924742	0,0304696	0,8757660	0,1187865	0,0330835
580	0,3351225	0,5425472	0,6247446	0,1194885	0,1520880	0,9213665	0,9932877	0,2484903	0,9906280	0,4064024	0,8464851	0,3924742	0,0680124	0,8180477	0,1309835	0,0330835
600	0,4448772	0,5320757	0,6247446	0,1194885	0,1520876	0,9197344	0,9927820	0,3841138	0,9897152	0,4064007	0,8464851	0,3924742	0,1412724	0,7091411	0,1586524	0,0330835
620	0,5623313	0,5125999	0,6247446	0,1194885	0,1520872	0,9148602	0,9907883	0,5041364	0,9859029	0,4063972	0,8464851	0,3924742	0,2171664	0,6002307	0,1923641	0,0330835
640	0,6673802	0,4906082	0,6247446	0,1194885	0,1520869	0,9063641	0,9866584	0,5902948	0,9767372	0,4063932	0,8464851	0,3924742	0,2828358	0,5090915	0,2267059	0,0330835
660	0,7535692	0,4707242	0,6247446	0,1194885	0,1520866	0,8949057	0,9805144	0,6451908	0,9607833	0,4063893	0,8464851	0,3924742	0,3349457	0,4389960	0,2587847	0,0330835
680	0,8207900	0,4547468	0,6247446	0,1194885	0,1520864	0,8816029	0,9730188	0,6769926	0,9384766	0,4063858	0,8464851	0,3924742	0,3742431	0,3876467	0,2872508	0,0330835
700	0,8715026	0,4427835	0,6247446	0,1194885	0,1520862	0,8675931	0,9649516	0,6935956	0,9117176	0,4063829	0,8464851	0,3924742	0,4029032	0,3511866	0,3116676	0,0330835
720	0,9088765	0,4342260	0,6247446	0,1194885	0,1520860	0,8538089	0,9569612	0,7009840	0,8829320	0,4063805	0,8464851	0,3924742	0,4233182	0,3258467	0,3321115	0,0330835
740	0,9359481	0,4282930	0,6247446	0,1194885	0,1520859	0,8409071	0,9494910	0,7031964	0,8543220	0,4063786	0,8464851	0,3924742	0,4376082	0,3085035	0,3489227	0,0330835
760	0,9552995	0,4242691	0,6247446	0,1194885	0,1520858	0,8292822	0,9427933	0,7027586	0,8275118	0,4063772	0,8464851	0,3924742	0,4474776	0,2967673	0,3625545	0,0330835
780	0,9689891	0,4215827	0,6247446	0,1194885	0,1520857	0,8191168	0,9369744	0,7011541	0,8034899	0,4063761	0,8464851	0,3924742	0,4542222	0,2888935	0,3734853	0,0330835
800	0,9785927	0,4198094	0,6247446	0,1194885	0,1520857	0,8104397	0,9320408	0,6991989	0,7827062	0,4063753	0,8464851	0,3924742	0,4587923	0,2836457	0,3821706	0,0330835
820	0,9852839	0,4186482	0,6247446	0,1194885	0,1520856	0,8031785	0,9279384	0,6973047	0,7652185	0,4063747	0,8464851	0,3924742	0,4618672	0,2801663	0,3890195	0,0330835
840	0,9899198	0,4178919	0,6247446	0,1194885	0,1520856	0,7972023	0,9245809	0,6956511	0,7508336	0,4063742	0,8464851	0,3924742	0,4639242	0,2778687	0,3943857	0,0330835
860	0,9931163	0,4174010	0,6247446	0,1194885	0,1520855	0,7923526	0,9218688	0,6942916	0,7392201	0,4063739	0,8464851	0,3924742	0,4652935	0,2763564	0,3985672	0,0330835
880	0,9953116	0,4170830	0,6247446	0,1194885	0,1520855	0,7884642	0,9197022	0,6932168	0,7299901	0,4063736	0,8464851	0,3924742	0,4662012	0,2753637	0,4018101	0,0330835
900	0,9968141	0,4168772	0,6247446	0,1194885	0,1520855	0,7853793	0,9179880	0,6923903	0,7227515	0,4063734	0,8464851	0,3924742	0,4668007	0,2747133	0,4043146	0,0330835
920	0,9978394	0,4167438	0,6247446	0,1194885	0,1520855	0,7829542	0,9166427	0,6917677	0,7171393	0,4063733	0,8464851	0,3924742	0,4671956	0,2742880	0,4062418	0,0330835
940	0,9985373	0,4166573	0,6247446	0,1194885	0,1520854	0,7810631	0,9155946	0,6913062	0,7128312	0,4063732	0,8464851	0,3924742	0,4674549	0,2740102	0,4077199	0,0330835
960	0,9990113	0,4166012	0,6247446	0,1194885	0,1520854	0,7795991	0,9147832	0,6909684	0,7095528	0,4063731	0,8464851	0,3924742	0,4676248	0,2738290	0,4088504	0,0330835
980	0,9993326	0,4165646	0,6247446	0,1194885	0,1520854	0,7784729	0,9141586	0,6907237	0,7070771	0,4063730	0,8464851	0,3924742	0,4677359	0,2737109	0,4097127	0,0330835
1000	0,9995500	0,4165407	0,6247446	0,1194885	0,1520854	0,7776115	0,9136804	0,6905481	0,7052204	0,4063730	0,8464851	0,3924742	0,4678084	0,2736340	0,4103689	0,0330835
1020	0,9996969	0,4165251	0,6247446	0,1194885	0,1520854	0,7769562	0,9133158	0,6904229	0,7038362	0,4063730	0,8464851	0,3924742	0,4678556	0,2735839	0,4108672	0,0330835
1040	0,9997960	0,4165149	0,6247446	0,1194885	0,1520854	0,7764599	0,9130391	0,6903342	0,7028101	0,4063729	0,8464851	0,3924742	0,4678864	0,2735514	0,4112448	0,0330835
1060	0,9998629	0,4165081	0,6247446	0,1194885	0,1520854	0,7760856	0,9128299	0,6902718	0,7020531	0,4063729	0,8464851	0,3924742	0,4679063	0,2735302	0,4115305	0,0330835
1080	0,9999079	0,4165037	0,6247446	0,1194885	0,1520854	0,7758045	0,9126722	0,6902280	0,7014971	0,4063729	0,8464851	0,3924742	0,4679193	0,2735164	0,4117463	0,0330835
1100	0,9999381	0,4165008	0,6247446	0,1194885	0,1520854	0,7755940	0,9125538	0,6901975	0,7010905	0,4063729	0,8464851	0,3924742	0,4679277	0,2735075	0,4119091	0,0330835

0	1,0000000	0,4164950	0,6247446	0,1194885	0,1528325	0,7749976	0,9122823	0,6901266	0,7000079	0,4064347	0,8464851	0,3924606	0,4679445	0,2734966	0,4131750	0,0331008
20	0,9615967	0,4165034	0,6247446	0,1194885	0,1971711	0,7750661	0,9122823	0,6161398	0,6675104	0,4064180	0,8464851	0,3924651	0,4679440	0,3189510	0,4129811	0,0330958
40	0,8844565	0,4165941	0,6247446	0,1194885	0,2880122	0,7758138	0,9124953	0,4844997	0,6032777	0,4064057	0,8464851	0,3924681	0,4679437	0,4047160	0,4128352	0,0330923
60	0,8019074	0,4168811	0,6247446	0,1194885	0,3882350	0,7780512	0,9132363	0,3615416	0,5381455	0,4063969	0,8464851	0,3924701	0,4679435	0,4904838	0,4127255	0,0330897
80	0,7280778	0,4174643	0,6247446	0,1194885	0,4820165	0,7821711	0,9147759	0,2659727	0,4855692	0,4063904	0,8464851	0,3924714	0,4679434	0,5622566	0,4126433	0,0330879
100	0,6675036	0,4184128	0,6247446	0,1194885	0,5637681	0,7880910	0,9172494	0,1982089	0,4490361	0,4063857	0,8464851	0,3924723	0,4679433	0,6174573	0,4125816	0,0330867
120	0,6202607	0,4197508	0,6247446	0,1194885	0,6324342	0,7954068	0,9206232	0,1529176	0,4270464	0,4063824	0,8464851	0,3924729	0,4679432	0,6578952	0,4125354	0,0330857
140	0,5846198	0,4214460	0,6247446	0,1194885	0,6888243	0,8035727	0,9247179	0,1239980	0,4162378	0,4063800	0,8464851	0,3924733	0,4679432	0,6866077	0,4125008	0,0330851
160	0,5583534	0,4234119	0,6247446	0,1194885	0,7344275	0,8120419	0,9292691	0,1062801	0,4130870	0,4063783	0,8464851	0,3924736	0,4679432	0,7065630	0,4124749	0,0330846
180	0,5393276	0,4255250	0,6247446	0,1194885	0,7708905	0,8203504	0,9339958	0,0958849	0,4146492	0,4063772	0,8464851	0,3924738	0,4679432	0,7202209	0,4124556	0,0330843
200	0,5257275	0,4276524	0,6247446	0,1194885	0,7997889	0,8281542	0,9386499	0,0900954	0,4187516	0,4063765	0,8464851	0,3924739	0,4679432	0,7294632	0,4124412	0,0330841
220	0,5161065	0,4296767	0,6247446	0,1194885	0,8225306	0,8352323	0,9430418	0,0870970	0,4239286	0,4063760	0,8464851	0,3924740	0,4679432	0,7356639	0,4124304	0,0330839
240	0,5093571	0,4315116	0,6247446	0,1194885	0,8403251	0,8414714	0,9470465	0,0857223	0,4292707	0,4063757	0,8464851	0,3924741	0,4679431	0,7397965	0,4124224	0,0330838
260	0,5046545	0,4331077	0,6247446	0,1194885	0,8541836	0,8468417	0,9505970	0,0852460	0,4342660	0,4063755	0,8464851	0,3924741	0,4679431	0,7425366	0,4124164	0,0330837
280	0,5013965	0,4344479	0,6247446	0,1194885	0,8649357	0,8513724	0,9536724	0,0852322	0,4386669	0,4063755	0,8464851	0,3924741	0,4679431	0,7443460	0,4124120	0,0330837
300	0,4991500	0,4355400	0,6247446	0,1194885	0,8732518	0,8551302	0,9562845	0,0854295	0,4423915	0,4063754	0,8464851	0,3924741	0,4679431	0,7455369	0,4124087	0,0330836
320	0,4976072	0,4364075	0,6247446	0,1194885	0,8796676	0,8582015	0,9584667	0,0856998	0,4454530	0,4063755	0,8464851	0,3924742	0,4679431	0,7463187	0,4124062	0,0330836
340	0,4965512	0,4370817	0,6247446	0,1194885	0,8846072	0,8606800	0,9602638	0,0859721	0,4479142	0,4063755	0,8464851	0,3924742	0,4679431	0,7468308	0,4124044	0,0330836
360	0,4958307	0,4375959	0,6247446	0,1194885	0,8884040	0,8626579	0,9617256	0,0862144	0,4498582	0,4063755	0,8464851	0,3924742	0,4679431	0,7471658	0,4124030	0,0330835
380	0,4953402	0,4379818	0,6247446	0,1194885	0,8913185	0,8642211	0,9629020	0,0864158	0,4513720	0,4063755	0,8464851	0,3924742	0,4679431	0,7473845	0,4124020	0,0330835
400	0,4950071	0,4382674	0,6247446	0,1194885	0,8935534	0,8654458	0,9638396	0,0865759	0,4525369	0,4063756	0,8464851	0,3924742	0,4679431	0,7475272	0,4124013	0,0330835
420	0,4947813	0,4384763	0,6247446	0,1194885	0,8952657	0,8663980	0,9645808	0,0866995	0,4534244	0,4063756	0,8464851	0,3924742	0,4679431	0,7476202	0,4124007	0,0330835
440	0,4946284	0,4386275	0,6247446	0,1194885	0,8965767	0,8671333	0,9651622	0,0867928	0,4540948	0,4063756	0,8464851	0,3924742	0,4679431	0,7476808	0,4124003	0,0330835
460	0,4945252	0,4387359	0,6247446	0,1194885	0,8975799	0,8676975	0,9656152	0,0868619	0,4545974	0,4063756	0,8464851	0,3924742	0,4679431	0,7477202	0,4124000	0,0330835
480	0,4944555	0,4388131	0,6247446	0,1194885	0,8983473	0,8681282	0,9659661	0,0869125	0,4549718	0,4063757	0,8464851	0,3924742	0,4679431	0,7477459	0,4123998	0,0330835
500	0,4944085	0,4388676	0,6247446	0,1194885	0,8989340	0,8684552	0,9662364	0,0869491	0,4552490	0,4063757	0,8464851	0,3924742	0,4679431	0,7477626	0,4123996	0,0330835
520	0,4943769	0,4389059	0,6247446	0,1194885	0,8993826	0,8687024	0,9664435	0,0869754	0,4554533	0,4063757	0,8464851	0,3924742	0,4679431	0,7477734	0,4123995	0,0330835
540	0,4943556	0,4389326	0,6247446	0,1194885	0,8997254	0,8688886	0,9666016	0,0869940	0,4556032	0,4063757	0,8464851	0,3924742	0,4679431	0,7477804	0,4123994	0,0330835
560	0,4943413	0,4389512	0,6247446	0,1194885	0,8999874	0,8690282	0,9667216	0,0870072	0,4557126	0,4063757	0,8464851	0,3924742	0,4679431	0,7477850	0,4123993	0,0330835
580	0,5327351	0,4388214	0,6247446	0,1194885	0,8816064	0,8690300	0,9667502	0,1668664	0,4903311	0,4063757	0,8464851	0,3924742	0,4679431	0,7023316	0,4123993	0,0330835
600	0,6098688	0,4376490	0,6247446	0,1194885	0,8427388	0,8680477	0,9661550	0,3074142	0,5593218	0,4063756	0,8464851	0,3924742	0,4679431	0,6165672	0,4123992	0,0330835
620	0,6924136	0,4351247	0,6247446	0,1194885	0,7975546	0,8650875	0,9642789	0,4358809	0,6304249	0,4063754	0,8464851	0,3924742	0,4679431	0,5307998	0,4123992	0,0330835
640	0,7662402	0,4318588	0,6247446	0,1194885	0,7520528	0,8598744	0,9609553	0,5326724	0,6888780	0,4063751	0,8464851	0,3924742	0,4679431	0,4590273	0,4123992	0,0330835
660	0,8268125	0,4285404	0,6247446	0,1194885	0,7085021	0,8527676	0,9564759	0,5986388	0,7300990	0,4063747	0,8464851	0,3924742	0,4679431	0,4038268	0,4123992	0,0330835
680	0,8740541	0,4255916	0,6247446	0,1194885	0,6675424	0,8444305	0,9513237	0,6406614	0,7549781	0,4063744	0,8464851	0,3924742	0,4679431	0,3633890	0,4123992	0,0330835
700	0,9096942	0,4231782	0,6247446	0,1194885	0,6291566	0,8355648	0,9459679	0,6659841	0,7667800	0,4063741	0,8464851	0,3924742	0,4679431	0,3346766	0,4123992	0,0330835
720	0,9359599	0,4213064	0,6247446	0,1194885	0,5931042	0,8267647	0,9407708	0,6804218	0,7692909	0,4063738	0,8464851	0,3924742	0,4679431	0,3147213	0,4123991	0,0330835
740	0,9549854	0,4199072	0,6247446	0,1194885	0,5591052	0,8184627	0,9359701	0,6881210	0,7658904	0,4063736	0,8464851	0,3924742	0,4679431	0,3010634	0,4123991	0,0330835
760	0,9685852	0,4188881	0,6247446	0,1194885	0,5269104	0,8109295	0,9316952	0,6918388	0,7592121	0,4063735	0,8464851	0,3924742	0,4679431	0,2918212	0,4123991	0,0330835
780	0,9782060	0,4181595	0,6247446	0,1194885	0,4963241	0,8043010	0,9279945	0,6933190	0,7511199	0,4063733	0,8464851	0,3924742	0,4679431	0,2856205	0,4123991	0,0330835
800	0,9849553	0,4176457	0,6247446	0,1194885	0,4672069	0,7986116	0,9248616	0,6936193	0,7428253	0,4063732	0,8464851	0,3924742	0,4679431	0,2814879	0,4123991	0,0330835
820	0,9896578	0,4172869	0,6247446	0,1194885	0,4394703	0,7938273	0,9222570	0,6933555	0,7350426	0,4063731	0,8464851	0,3924742	0,4679431	0,2787478	0,4123991	0,0330835
840	0,9929158	0,4170382	0,6247446	0,1194885	0,4130695	0,7898725	0,9201240	0,6928698	0,7281367	0,4063731	0,8464851	0,3924742	0,4679431	0,2769384	0,4123991	0,0330835
860	0,9951622	0,4168666	0,6247446	0,1194885	0,3879945	0,7866508	0,9183989	0,6923410	0,7222425	0,4063730	0,8464851	0,3924742	0,4679431	0,2757475	0,4123991	0,0330835
880	0,9967051	0,4167488	0,6247446	0,1194885	0,3642615	0,7840590	0,9170187	0,6918537	0,7173551	0,4063730	0,8464851	0,3924742	0,4679431	0,2749657	0,4123991	0,0330835
900	0,9977610	0,4166680	0,6247446	0,1194885	0,3419038	0,7819964	0,9159248	0,6914407	0,7133925	0,4063730	0,8464851	0,3924742	0,4679431	0,2744536	0,4123991	0,0330835
920	0,9984815	0,4166128	0,6247446	0,1194885	0,3209622	0,7803706	0,9150647	0,6911081	0,7102370	0,4063729	0,8464851	0,3924742	0,4679431	0,2741186	0,4123991	0,0330835
940	0,9989720	0,4165752	0,6247446	0,1194885	0,3014773	0,7790998	0,9143933	0,6908491	0,7077611	0,4063729	0,8464851	0,3924742	0,4679431	0,2738999	0,4123991	0,0330835
960	0,9993051	0,4165495	0,6247446	0,1194885	0,2834810	0,7781137	0,9138726	0,6906524	0,7058425	0,4063729	0,8464851	0,3924742	0,4679431	0,2737572	0,4123991	0,0330835
980	0,9995309	0,4165320	0,6247446	0,1194885	0,2669904	0,7773538	0,9134710	0,6905058	0,7043712	0,4063729	0,8464851	0,3924742	0,4679431	0,2736642	0,4123991	0,0330835
