"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
540	0,3482421	0,9804683	0,0486479	0,2353358	0,4156722	0,0112768	0,6385756	0,5288106	0,4793705	0,5742550	0,0853443	0,6816447	0,4470510	0,3256419	0,3071907	0,3115058
560	0,3102589	0,7375481	0,0649126	0,2168249	0,4502775	0,0176478	0,6683271	0,6722810	0,4221530	0,7361243	0,1398386	0,5970171	0,5427433	0,4253419	0,3188781	0,3440415
580	0,4074150	0,8570664	0,0363090	0,1689461	0,4977506	0,0436088	0,6984812	0,5278945	0,4589127	0,6351472	0,1126769	0,6365500	0,3752360	0,4549558	0,3628052	0,2594297
600	0,3965359	0,6640040	0,0547800	0,1986739	0,5733789	0,0388907	0,5875926	0,5115726	0,4892300	0,6967041	0,1540162	0,5349365	0,5158611	0,3800676	0,4184859	0,3451091
620	0,3794979	0,8436507	0,0888779	0,2750712	0,6593499	0,0764789	0,7500305	0,4993350	0,4874104	0,7617442	0,1757781	0,5458895	0,3701454	0,5584639	0,4102912	0,3845266
640	0,4291029	0,7398103	0,0688029	0,1614926	0,5817743	0,0882004	0,7181528	0,4447039	0,5985331	0,6534852	0,1361293	0,5897219	0,4246825	0,4842966	0,4030922	0,4283707
660	0,4265343	0,8821480	0,0447350	0,1438810	0,5633726	0,1252175	0,5993072	0,5301763	0,4678145	0,5936464	0,1472729	0,6068127	0,3723559	0,4248148	0,4848185	0,3465236
680	0,4854881	0,7766366	0,0304010	0,1688601	0,6669124	0,1161655	0,5984075	0,4047351	0,5574530	0,7796285	0,1247545	0,4670575	0,3245224	0,4669850	0,4244027	0,5089992
700	0,4307172	0,8846325	0,0671644	0,1931651	0,6575473	0,1293099	0,7212585	0,4204512	0,5231628	0,6278709	0,0812931	0,3966866	0,3286817	0,4888925	0,5144164	0,4214620
720	0,5194274	0,8771761	0,0680325	0,2085070	0,6376298	0,1103384	0,5703226	0,5128042	0,4611024	0,5504784	0,1174508	0,4981393	0,3114105	0,4848853	0,5752230	0,3982549
740	0,4014991	0,7574210	0,0608943	0,2001175	0,6219654	0,1422031	0,6430111	0,4082018	0,6337045	0,5530704	0,0644156	0,5191601	0,3165291	0,5100214	0,4239741	0,4764359
760	0,4864019	0,7956685	0,0568732	0,2552874	0,6107650	0,1853372	0,4861703	0,5988205	0,6208481	0,5960967	0,1759207	0,5451253	0,3657092	0,4018905	0,5224399	0,3559550
780	0,4980657	0,8555167	0,0507727	0,2307042	0,5759586	0,1267143	0,6844846	0,4003810	0,7886064	0,3927827	0,1259691	0,4919839	0,2439426	0,5151105	0,4398044	0,3949455
800	0,5781556	0,8285308	0,0641387	0,1801796	0,6810023	0,1163299	0,5993004	0,3885838	0,5811749	0,4934522	0,1041817	0,5186333	0,3749595	0,4276103	0,4779048	0,3775839
820	0,4888826	0,7948397	0,0343492	0,2131979	0,5427181	0,1190147	0,6042422	0,4726922	0,6987099	0,4319263	0,1307359	0,6541678	0,2210953	0,3698946	0,4756422	0,3701427
840	0,4946311	0,7668110	0,1033163	0,1584923	0,5198373	0,2275916	0,7503147	0,3484249	0,6245256	0,4625754	0,0865877	0,6147325	0,3134431	0,3401856	0,4706875	0,3846560
860	0,4986724	0,7967229	0,1252112	0,2334756	0,5664710	0,1735954	0,7210825	0,5295203	0,5317462	0,4433660	0,1117182	0,4664117	0,2312233	0,4097249	0,4470731	0,3792309
880	0,5966596	0,7439177	0,0597909	0,1521814	0,5421007	0,1868503	0,6575218	0,6220767	0,6126474	0,4402715	0,0829889	0,5472560	0,3007817	0,5238539	0,4548875	0,3886432
900	0,5226697	0,8683506	0,0785952	0,2950071	0,4337437	0,1783599	0,6763346	0,4621005	0,5593306	0,4044757	0,1217842	0,4837955	0,3953648	0,3844414	0,4566959	0,4235206
