"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
540	0,5164441	0,9724434	0,0623860	0,2220998	0,4983483	0,0231408	0,8942275	0,8361105	0,6185980	0,8311511	0,1637316	0,7837020	0,6562608	0,5240684	0,4936052	0,4161886
560	0,4937475	1,0858632	0,0708880	0,2618524	0,5218107	0,0129248	0,9231017	0,7555484	0,6068116	0,8471213	0,1426099	0,6911562	0,6398917	0,5368148	0,5014351	0,4299687
580	0,6156802	1,0819689	0,0809368	0,2536682	0,8614268	0,0837864	0,9841857	0,7607259	0,6112404	0,8443225	0,1707562	0,7469815	0,6302338	0,6942955	0,5262249	0,5387073
600	0,6800919	1,0644774	0,1157884	0,2716790	0,7875444	0,1627696	0,9197535	0,6666667	0,6380323	0,8700143	0,1961342	0,7744368	0,6289121	0,8058536	0,5334412	0,5570454
620	0,6982689	0,9295673	0,1111772	0,2664495	0,9242890	0,1830074	0,8513937	0,6325835	0,6992390	0,8798728	0,1700985	0,7341231	0,5863298	0,7562590	0,5675061	0,6098639
640	0,6844431	0,9953605	0,0924819	0,2662026	0,9045994	0,2126107	0,8417977	0,7062515	0,7023286	0,8384960	0,1531727	0,7294208	0,5772536	0,6670964	0,5370604	0,6215986
660	0,6811373	1,0203327	0,0789912	0,2713102	0,8244150	0,2058364	0,8199146	0,7298417	0,8034596	0,8084397	0,1634842	0,6825281	0,5215115	0,7010430	0,5234671	0,5828993
680	0,7108400	0,9571861	0,0768641	0,2814976	0,7718030	0,1904483	0,8421238	0,6166394	0,8388867	0,7390482	0,1569464	0,6517679	0,5145792	0,6900290	0,5798431	0,6184789
700	0,7069886	0,9563039	0,0737596	0,2814335	0,8082439	0,2009716	0,9007743	0,5914166	0,7665242	0,7185146	0,1468788	0,7078140	0,5442701	0,6940825	0,5851751	0,5976389
720	0,6951568	0,9852244	0,0837386	0,2670623	0,8502025	0,2162253	0,8864130	0,6302984	0,8557693	0,7359935	0,1609444	0,6816336	0,4602965	0,6659460	0,5934781	0,5621666
740	0,6674453	1,0081084	0,0687967	0,2664509	0,7915065	0,2076045	0,8861061	0,6629391	0,8446816	0,6962299	0,1600106	0,6111106	0,4733340	0,6263436	0,5993449	0,5164129
760	0,6666520	1,0071501	0,0542794	0,2556704	0,8168430	0,2185545	0,8491389	0,6083954	0,8073663	0,6658984	0,1320899	0,6380400	0,4576343	0,6509673	0,6352813	0,4963158
780	0,7134352	0,9901685	0,0794182	0,2553272	0,8580563	0,2090880	0,8789922	0,6598583	0,8210951	0,6083278	0,1304832	0,6848541	0,4353730	0,6359641	0,6808128	0,4798156
800	0,7474540	0,9935984	0,0754216	0,2364395	0,8108855	0,1616947	0,9100077	0,6601804	0,8581144	0,6173768	0,1090367	0,6310485	0,4235042	0,5437252	0,6982219	0,4890530
820	0,7084225	0,9837394	0,0646188	0,2792893	0,7857096	0,2269235	0,9380423	0,6975322	0,8188291	0,5698611	0,1153348	0,6366308	0,3871255	0,4983107	0,6336206	0,5119265
840	0,7276862	0,9806109	0,0699965	0,2877927	0,6747570	0,2318657	0,9390271	0,7369759	0,7499224	0,6295626	0,1051487	0,5928682	0,3979374	0,4558549	0,6483033	0,4744422
860	0,7442078	1,0168387	0,0653661	0,3288507	0,7035892	0,2442201	0,9442097	0,7485480	0,7966937	0,6415234	0,1316259	0,5914473	0,3970365	0,4781773	0,6302559	0,5018435
880	0,7122979	1,0093013	0,0728646	0,2642780	0,7521879	0,2512001	0,9052955	0,7115751	0,8528645	0,6311523	0,1356038	0,5767965	0,3744266	0,5243571	0,6282586	0,5408716
900	0,7206104	0,9896691	0,0583177	0,2675846	0,7256134	0,2436834	0,8266698	0,6508344	0,8447102	0,6157300	0,1289359	0,6181592	0,3951497	0,5001086	0,6636148	0,5243413
920	0,7078815	1,0417920	0,0464001	0,2532909	0,7337144	0,1922073	0,8502972	0,6295050	0,8330776	0,6072702	0,1164814	0,5621133	0,3955041	0,4734326	0,7047941	0,5124425
940	0,7346638	0,9867856	0,0510906	0,2569059	0,5931207	0,1891407	0,8230100	0,5999259	0,8264680	0,5840989	0,1167550	0,5525337	0,3518172	0,4921305	0,6963523	0,5119026
960	0,7286399	1,0145807	0,0495179	0,2851611	0,5489237	0,1687217	0,8050503	0,5195437	0,8842768	0,5139626	0,0830240	0,5529586	0,3275367	0,4879211	0,7187953	0,4994456
980	0,7229921	1,0181759	0,0789546	0,2796256	0,6708130	0,1739627	0,8622629	0,5449253	0,8657531	0,5439100	0,1131347	0,5530190	0,3415028	0,5001233	0,5872526	0,5329399
1000	0,6602449	0,9930812	0,0798634	0,2704206	0,7122290	0,1604143	0,8504356	0,5549100	0,8670322	0,5621685	0,1347094	0,6260017	0,3618592	0,5200515	0,6201994	0,4914657
1020	0,6969674	0,9990305	0,0900408	0,2546705	0,7041262	0,1554390	0,8001168	0,6454238	0,8107183	0,5641000	0,1219527	0,6203608	0,3800580	0,4862583	0,7097113	0,5210148
1040	0,6779524	1,0636155	0,1035965	0,2284863	0,6479662	0,1535631	0,8035003	0,6119534	0,7686586	0,5336981	0,1265088	0,6024731	0,3278595	0,4866514	0,6872478	0,5414758
1060	0,6936094	1,1052860	0,0973924	0,2369166	0,7255475	0,1613196	0,8891134	0,6851327	0,8082937	0,5601170	0,1343371	0,6088170	0,3811447	0,4768733	0,6554090	0,5503846
1080	0,7388326	1,0513175	0,0774159	0,2529237	0,6902484	0,2025871	0,8736290	0,6611387	0,8211774	0,5553025	0,1331940	0,5903502	0,4471112	0,5005359	0,6267952	0,4835063
1100	0,7534767	1,0107173	0,0653696	0,2550577	0,6794930	0,2502548	0,8907357	0,6479145	0,7897859	0,5338329	0,1030735	0,5418507	0,4634307	0,5110722	0,6639806	0,5764840

0	0,7499971	1,0703927	0,0832195	0,2748605	0,6641118	0,1756837	0,8432911	0,6525918	0,8548055	0,5404004	0,1141584	0,5636655	0,3943092	0,4479596	0,6463446	0,4656693
20	0,7537136	0,6030352	0,0956042	0,2483527	0,8083322	0,1972006	0,7756803	0,5929146	0,9025158	0,5629955	0,1237065	0,6356691	0,4120745	0,4541764	0,6805174	0,4859411
40	0,7900955	0,3433760	0,0940219	0,2534185	0,7569013	0,1498173	0,7476723	0,6390793	0,9966891	0,5429615	0,1056511	0,5721459	0,3512843	0,4322865	0,6829976	0,5166389
60	0,8185402	0,1841374	0,0911851	0,2574647	0,7156707	0,1712281	0,7410674	0,6498798	1,0170583	0,5097678	0,1061697	0,5069429	0,3521953	0,4670412	0,6855079	0,5104091
80	0,7579499	0,1264089	0,1046405	0,2481044	0,6266983	0,1725577	0,8083077	0,6002100	1,0683717	0,5295688	0,0998745	0,5223411	0,3781766	0,4103715	0,6644555	0,4631574
100	0,6674733	0,0836946	0,0804159	0,2662148	0,6015449	0,1574707	0,8271241	0,6160085	1,0549233	0,4947137	0,1130290	0,5415753	0,3511786	0,4079986	0,7274683	0,4343752
120	0,5771747	0,0831264	0,0769227	0,2822674	0,6103391	0,1842829	0,8046388	0,6042751	1,0189538	0,5350862	0,1191476	0,5662945	0,3376733	0,4248017	0,6472711	0,4567128
140	0,5161919	0,0562888	0,0792787	0,3081871	0,6011119	0,1487129	0,8402627	0,6135028	0,9764946	0,4972052	0,1195291	0,4876034	0,3874707	0,4420893	0,5967552	0,4361493
