"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
540	0,2499524	0,3986589	0,4720091	0,1136774	0,2074500	0,5951603	0,7480670	0,0986853	0,7092176	0,2891559	0,5408108	0,2726963	0,0205553	0,6301081	0,0955579	0,0455414
560	0,2460899	0,4717328	0,4963931	0,1066399	0,1373179	0,5832101	0,6719649	0,1444866	0,7982602	0,2213404	0,5004735	0,2614992	0,0256652	0,6659554	0,1044760	0,0198233
580	0,3795409	0,3567492	0,4842921	0,0437186	0,1358974	0,5754531	0,8728704	0,2297761	0,7762769	0,2635593	0,5015771	0,1628475	0,0275465	0,6536677	0,1819702	0,0248954
600	0,3312651	0,3648742	0,5265098	0,0796594	0,1306743	0,5838401	0,7494030	0,3520029	0,7006551	0,2788263	0,5145284	0,2674228	0,1357855	0,5561157	0,1605357	0,0180846
620	0,4078210	0,2976094	0,5123046	0,1019809	0,1006678	0,6096887	0,7101656	0,3442818	0,5958274	0,2464405	0,5808589	0,3333588	0,1127363	0,3684317	0,1521108	0,0306534
640	0,4467419	0,2970031	0,4145556	0,1302144	0,0948663	0,5370253	0,6701853	0,4238836	0,6820353	0,2924552	0,5739294	0,2464459	0,2544499	0,3379193	0,2077939	0,0207160
660	0,5847256	0,2920242	0,4531959	0,1015298	0,1817051	0,5393404	0,7565570	0,4200760	0,5778728	0,2105467	0,5682039	0,2582488	0,2388854	0,2631918	0,2207934	0,0397852
680	0,7267184	0,2607686	0,4024214	0,0964239	0,1698836	0,4394118	0,8348361	0,4527779	0,6510224	0,2806017	0,6838201	0,3225760	0,3251433	0,2633008	0,1971425	0,0269765
700	0,6236356	0,2778141	0,5547704	0,0618493	0,1699119	0,6124555	0,6590328	0,4717993	0,6365126	0,3246628	0,6079599	0,2736432	0,3976368	0,3221502	0,1893916	0,0394329
720	0,6153564	0,3404664	0,4464934	0,1453375	0,1635824	0,5206656	0,6889771	0,5636318	0,5596104	0,2767460	0,5233635	0,2866997	0,1855124	0,2486778	0,2395033	0,0607014
740	0,7274185	0,3238379	0,5324989	0,1238303	0,1166422	0,5699409	0,6867415	0,4733721	0,5447800	0,2773473	0,5610293	0,3867373	0,3134486	0,3354601	0,2221471	0,0477489
760	0,7004110	0,2322369	0,4378084	0,0922435	0,1784274	0,5165568	0,8013747	0,4537795	0,5401033	0,3254858	0,6560405	0,3242531	0,2620160	0,2700781	0,2546329	0,0225455
780	0,8306144	0,3024729	0,4479393	0,0608167	0,1905237	0,5038870	0,6621934	0,5916552	0,6386812	0,2413666	0,4948780	0,3783531	0,2747973	0,2884963	0,2192801	0,0443905
800	0,7514664	0,2814751	0,6293138	0,0779909	0,1183847	0,4680010	0,6379395	0,6443675	0,5971132	0,2376787	0,5338888	0,3647878	0,2847733	0,2379679	0,1717232	0,0258886
820	0,7410463	0,2793168	0,6051849	0,0750394	0,1007583	0,4456076	0,6593812	0,5336336	0,6162085	0,2744188	0,5353976	0,2893580	0,2813719	0,2255722	0,2982881	0,0281448
840	0,6690781	0,3642284	0,4427450	0,0743710	0,1397443	0,5725631	0,6929729	0,4834118	0,5476274	0,2229105	0,5313933	0,2218782	0,2880024	0,2125427	0,2649114	0,0205042
860	0,8591563	0,3465383	0,4602754	0,0815702	0,1172107	0,6599629	0,6748009	0,5016713	0,6522555	0,2241983	0,5877618	0,2809212	0,3603545	0,2061176	0,2652294	0,0267460
880	0,8097326	0,3456187	0,6205281	0,1471512	0,1220152	0,5385557	0,6759196	0,5265874	0,5014819	0,3200993	0,5503980	0,2834513	0,3070349	0,2088959	0,2600346	0,0368343
900	0,6469295	0,4482212	0,5512315	0,0487849	0,0834359	0,5910644	0,5504757	0,4777021	0,5591512	0,2933172	0,5341952	0,2553073	0,3539390	0,1931429	0,2198744	0,0478493
920	0,7396083	0,3515004	0,4947651	0,0817879	0,1233116	0,5261330	0,6345803	0,4701860	0,5080358	0,2276667	0,5509034	0,2966113	0,3369127	0,1669716	0,2336203	0,0205486
940	0,7977212	0,3849655	0,4975659	0,0895713	0,0763011	0,5498512	0,6183011	0,5438879	0,5040122	0,2962969	0,7075656	0,2458928	0,3990925	0,1911668	0,2904126	0,0262810
960	0,7588559	0,2552686	0,4819346	0,0595752	0,0919059	0,5661761	0,6945987	0,4587130	0,4649117	0,2493522	0,7283612	0,3449039	0,3424892	0,1953457	0,2897136	0,0104438
