"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB

0	0,2509678	0,9971115	0,4377799	0,4340029	0,0000586	0,5269902	0,0164615	0,0390091	0,0806892	0,4477050	0,1198072	0,3359531	0,0366665	0,0008264	0,0177445	0,0875374
20	0,2150023	1,0245021	0,4395756	0,3928573	0,0004247	0,4845552	0,1769070	0,0205445	0,2928425	0,4889074	0,1541239	0,3816298	0,0174919	0,0791199	0,0156820	0,1000226
40	0,2108191	1,0091427	0,3834104	0,3972763	0,0007445	0,5029602	0,2784524	0,0403296	0,3923311	0,4428959	0,1235976	0,3543382	0,0133012	0,1327476	0,0187893	0,0756994
60	0,1616717	0,9354161	0,3938345	0,4036955	0,0000000	0,5243626	0,3043437	0,0308226	0,5142013	0,4391194	0,1200032	0,3305741	0,0145290	0,1933561	0,0224170	0,0372706
80	0,1689692	0,9801437	0,4491485	0,4181224	0,0001729	0,5848484	0,2965185	0,0372446	0,5908309	0,4537934	0,1476864	0,4037821	0,0145900	0,2221891	0,0170505	0,0311732
100	0,2248035	0,9490889	0,4120087	0,4072557	0,0000926	0,5722580	0,3130956	0,0342259	0,6348251	0,4590413	0,1642619	0,3394116	0,0107247	0,2608807	0,0155457	0,0303117
120	0,2425214	0,9917898	0,3791442	0,4073373	0,0002061	0,5596042	0,3512406	0,0331264	0,6263408	0,4178108	0,1627839	0,3744532	0,0106655	0,2473630	0,0129647	0,0190936
140	0,1997666	0,9583012	0,4154198	0,4110940	0,0004685	0,5338996	0,3920421	0,0372132	0,6088225	0,4543371	0,1551064	0,3252439	0,0159495	0,2672911	0,0080473	0,0085554
160	0,2183038	0,9797159	0,4116522	0,4422257	0,0007596	0,5803559	0,4566246	0,0415505	0,6722250	0,4427042	0,1656493	0,3457126	0,0206390	0,2554821	0,0117568	0,0089594
180	0,2271824	1,0374804	0,3871147	0,4612542	0,0002868	0,4931772	0,4343666	0,0478084	0,6353073	0,4460428	0,1901445	0,3813877	0,0258321	0,2562084	0,0143514	0,0056961
200	0,2145152	1,0000828	0,3527671	0,4009991	0,0004072	0,5249244	0,3979868	0,0495141	0,6338810	0,4347430	0,2003900	0,3770470	0,0306301	0,2538420	0,0174161	0,0009479
220	0,2047356	1,0198407	0,3950982	0,3974614	0,0000336	0,5846806	0,3926499	0,0291414	0,6384496	0,4575604	0,1815719	0,4195155	0,0290255	0,2768919	0,0200811	0,0020498
240	0,1984045	0,9744807	0,3679916	0,4129911	0,0000839	0,5914924	0,3620848	0,0448466	0,6717036	0,4575617	0,1862430	0,4305712	0,0228633	0,3035700	0,0228731	0,0026038
260	0,2061245	0,9471029	0,4149755	0,3857573	0,0011783	0,6093142	0,3797114	0,0374924	0,6898528	0,4602331	0,1613329	0,4481826	0,0342217	0,2723330	0,0111354	0,0025044
280	0,2322092	0,9490095	0,4623858	0,4035084	0,0005781	0,5471035	0,3303553	0,0436524	0,7119320	0,4338240	0,1466627	0,4427812	0,0332493	0,2863060	0,0263720	0,0016600
300	0,2426125	0,9251926	0,4787480	0,4261457	0,0006922	0,4892645	0,3677829	0,0588457	0,7860626	0,4899065	0,1543803	0,4389846	0,0252269	0,2892106	0,0180539	0,0032747
320	0,2590986	1,0030461	0,4696408	0,4134666	0,0004870	0,5065002	0,3519446	0,0370820	0,7122070	0,5060066	0,2118661	0,4457736	0,0301807	0,2746173	0,0197824	0,0030471
340	0,1901506	1,0143497	0,3768851	0,4016054	0,0002666	0,5032456	0,4011258	0,0402606	0,7063477	0,4846120	0,1631927	0,4149247	0,0308331	0,2551440	0,0141538	0,0022473
360	0,2228000	1,0052036	0,3602671	0,4629740	0,0000399	0,5389877	0,3566531	0,0359592	0,7193360	0,5053005	0,1589583	0,4026446	0,0276641	0,2844903	0,0086108	0,0022247
380	0,2462036	0,9777177	0,3441834	0,4375818	0,0001665	0,5329750	0,3754978	0,0400246	0,7219617	0,4702440	0,1609971	0,3823157	0,0208666	0,2559511	0,0090320	0,0029709
400	0,2535727	1,0000066	0,3856727	0,4453541	0,0007859	0,5821280	0,3520842	0,0467934	0,6945288	0,4961133	0,1502182	0,3752205	0,0190015	0,2772895	0,0091078	0,0040610
420	0,2311329	1,0221598	0,4201208	0,4117989	0,0007864	0,6369926	0,3489562	0,0418963	0,7420037	0,4469235	0,1384390	0,3608276	0,0155999	0,2357433	0,0102603	0,0005818
