"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
540	0,6485695	0,3620322	0,3358922	0,6467549	0,6770560	0,2357963	0,2532889	0,1653817	0,5800791	0,9264528	0,6958071	0,2982316	0,7291687	0,1853763	0,8366073	0,2623975
560	0,6593799	0,3498478	0,3163996	0,6342500	0,7164570	0,2471645	0,2998030	0,1780699	0,6714816	0,9047490	0,7301386	0,2866794	0,7006670	0,1896367	0,7827547	0,2665486
580	0,6557270	0,3775203	0,3655677	0,6330277	0,6384796	0,2296183	0,2744266	0,1649469	0,6389975	0,9278107	0,7613911	0,3293552	0,7319830	0,1635679	0,8497549	0,2710881
600	0,6308965	0,4103053	0,3871045	0,6251122	0,6885269	0,2209867	0,2437658	0,1894253	0,6096070	0,9079682	0,7866762	0,3519788	0,7995196	0,2074357	0,7812462	0,2922716
620	0,6041600	0,3849332	0,3392135	0,6601822	0,6670409	0,1983774	0,2605497	0,1889254	0,6396150	0,9093998	0,8162964	0,3437156	0,8332103	0,2370507	0,8287624	0,3013377
640	0,6299815	0,3196736	0,3061105	0,6141403	0,6563915	0,1851749	0,1879591	0,1972099	0,6272906	0,9406590	0,7675921	0,3030396	0,8051657	0,2143475	0,7977363	0,2666666
660	0,7041407	0,3331565	0,3387387	0,6370106	0,7233013	0,2131245	0,1998119	0,1951308	0,5840864	0,9713843	0,6833407	0,3202992	0,7832553	0,1789928	0,8222244	0,2556680
680	0,6763212	0,3409496	0,3384291	0,6247490	0,6664786	0,2378710	0,1867419	0,1683513	0,5762889	0,9945057	0,7320804	0,2694288	0,7725473	0,1655407	0,8098690	0,2714322
700	0,7034444	0,3390963	0,3899039	0,6619463	0,6895395	0,2406300	0,1928675	0,1581697	0,5846890	1,0014655	0,7502682	0,3252379	0,7514278	0,1729011	0,8707841	0,2397487
720	0,6634082	0,3507516	0,3614885	0,6711304	0,7221761	0,2350684	0,1921312	0,1610519	0,6070789	0,9871372	0,7896793	0,3495444	0,7241136	0,1791397	0,8400040	0,2600454
