"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
540	0,1414073	0,7243974	0,3298048	0,2960316	0,0003459	0,2797787	0,2142643	0,0257470	0,5888818	0,3036373	0,1037284	0,1947164	0,0217703	0,1330841	0,0086773	0,0007137
560	0,2005139	0,7936263	0,2449908	0,3037148	0,0015591	0,2856614	0,2118330	0,0230125	0,5300690	0,3006053	0,0935502	0,2131554	0,0347299	0,1500220	0,0078798	0,0018850
580	0,1569207	0,6921516	0,3080934	0,3293204	0,0003257	0,2194065	0,2009319	0,0523654	0,4852642	0,3513448	0,0768971	0,2073983	0,0218199	0,1210665	0,0138752	0,0123848
600	0,1517642	0,8173408	0,2479828	0,2873917	0,0005165	0,2902387	0,1979661	0,0551363	0,4617671	0,3357275	0,0692671	0,2122309	0,0091669	0,0932781	0,0140636	0,0319465
620	0,1688643	0,6995427	0,3003017	0,2838614	0,0004131	0,3008681	0,1695957	0,0233825	0,2988593	0,3314528	0,0479135	0,1724849	0,0107744	0,0706607	0,0145003	0,0218553
640	0,1946292	0,7508186	0,2961620	0,2332684	0,0002321	0,2416445	0,0853969	0,0218475	0,1984799	0,3533227	0,1391061	0,2630816	0,0076477	0,0549274	0,0167582	0,0414325
660	0,1509069	0,9122900	0,2853873	0,2521103	0,0002618	0,2935031	0,1246868	0,0149003	0,1542497	0,2970078	0,0742674	0,1560497	0,0144654	0,0278230	0,0086250	0,0294263
680	0,1417825	0,8839473	0,3261782	0,2524062	0,0010022	0,2415332	0,0479764	0,0210464	0,1591765	0,3478582	0,0566413	0,1517053	0,0062807	0,0205439	0,0180165	0,0399843
700	0,1675474	0,7385213	0,3163846	0,2808465	0,0005453	0,2860634	0,0345843	0,0275452	0,1825877	0,4494832	0,0653532	0,1578239	0,0072863	0,0234810	0,0279629	0,0747923
720	0,1811690	0,7133679	0,2664569	0,2731221	0,0002497	0,3871869	0,0169203	0,0219278	0,1413713	0,3094371	0,0903611	0,1775995	0,0152185	0,0114093	0,0114879	0,0687870
740	0,1633028	0,8021965	0,3042052	0,2483163	0,0008639	0,2908689	0,0296717	0,0645263	0,0866439	0,2747305	0,0794172	0,2493721	0,0101885	0,0027556	0,0070314	0,0661166
760	0,2014123	0,8110863	0,2621649	0,3730745	0,0000856	0,3807405	0,0162347	0,0466859	0,0576308	0,2418627	0,0475603	0,2099113	0,0127563	0,0128810	0,0035163	0,0845845
780	0,2729653	0,6873186	0,3823601	0,2732728	0,0023747	0,4482317	0,0251149	0,0224280	0,0677057	0,3566618	0,0615362	0,1914835	0,0099064	0,0020502	0,0032796	0,0793053
800	0,2473974	0,9052922	0,3873344	0,2823812	0,0011151	0,4182709	0,0225327	0,0213842	0,0498742	0,2938516	0,1189065	0,2635211	0,0069593	0,0006703	0,0055193	0,0662514
820	0,1338477	0,7810441	0,3387656	0,3581957	0,0005958	0,4303532	0,0396282	0,0197639	0,0673699	0,3068137	0,0677561	0,2223545	0,0124434	0,0005489	0,0132829	0,0470701
840	0,1765590	0,5666859	0,3393548	0,2583174	0,0037855	0,3542745	0,0134890	0,0102413	0,0925825	0,3173990	0,0993806	0,2637781	0,0033436	0,0002498	0,0015629	0,1374158
860	0,1236151	0,6096542	0,2690529	0,2071948	0,0000396	0,4231955	0,0100588	0,0141406	0,1073656	0,3517975	0,1006796	0,2355466	0,0199415	0,0034641	0,0042095	0,0780925
880	0,2051699	0,6976435	0,3103768	0,2025670	0,0003304	0,3935676	0,0197921	0,0205880	0,0673145	0,3500096	0,1469759	0,2715989	0,0138221	0,0017179	0,0082436	0,0574278
900	0,1600832	0,6590817	0,4729531	0,2373898	0,0000000	0,3508783	0,0076036	0,0308827	0,0911478	0,2950345	0,0865596	0,2472540	0,0051926	0,0020580	0,0121922	0,0454989
920	0,1532915	0,6690005	0,4047803	0,2780452	0,0000000	0,3389677	0,0048757	0,0157394	0,0777927	0,2660645	0,1130288	0,2884005	0,0046968	0,0004299	0,0085413	0,0225784
940	0,1683222	0,7527937	0,3671075	0,2693451	0,0007983	0,4303424	0,0075998	0,0150607	0,0584848	0,2264751	0,0735174	0,2234588	0,0124318	0,0000271	0,0158005	0,0364687
960	0,1302824	0,8616769	0,3368421	0,3212523	0,0049805	0,4271143	0,0165065	0,0281505	0,0480769	0,3426139	0,1216004	0,1999965	0,0091598	0,0000568	0,0158857	0,0673860
980	0,1052997	0,8530039	0,3136518	0,2928862	0,0013280	0,3413657	0,0040906	0,0081448	0,1130071	0,2894820	0,1303813	0,2366552	0,0084171	0,0000788	0,0030763	0,0373508
1000	0,1127388	0,7931477	0,2761948	0,3107942	0,0007483	0,4993395	0,0210710	0,0194394	0,0400643	0,2917628	0,0606006	0,2017289	0,0118122	0,0000000	0,0058457	0,0448187
1020	0,1527995	0,8403226	0,2434981	0,2408594	0,0002805	0,3764783	0,0136554	0,0224759	0,0589522	0,3557205	0,0786972	0,2600131	0,0102472	0,0021668	0,0096101	0,0707799
1040	0,2125719	0,7871633	0,2777470	0,1538524	0,0006306	0,3948630	0,0126056	0,0530467	0,0430691	0,3302630	0,0653840	0,1464425	0,0090397	0,0023862	0,0108670	0,0739289
1060	0,1827824	0,7784199	0,3002411	0,2021320	0,0004163	0,2981051	0,0069699	0,0294558	0,0206792	0,3202843	0,0757774	0,1617817	0,0071178	0,0067887	0,0118203	0,1221432
1080	0,2089429	0,6839819	0,3154092	0,2161424	0,0018291	0,3036598	0,0063142	0,0351973	0,0411721	0,2520267	0,0987368	0,1697374	0,0126906	0,0007103	0,0033405	0,0785179
1100	0,1975689	0,6686743	0,3259710	0,2010290	0,0000948	0,3192905	0,0135713	0,0316976	0,0520300	0,2838497	0,0808084	0,1619045	0,0044846	0,0000856	0,0004581	0,0574619

0	0,1283822	0,8460724	0,3295305	0,2893548	0,0010670	0,3617362	0,0316160	0,0566909	0,0725710	0,3725200	0,1778057	0,2770864	0,0299436	0,0001460	0,0170143	0,0758408
20	0,1749317	0,8656924	0,3452931	0,2547126	0,0010294	0,4161238	0,0228617	0,0594537	0,0160044	0,3130844	0,0788542	0,3262062	0,0251482	0,0010623	0,0045201	0,1099829
40	0,1536802	0,8157366	0,3416701	0,3029862	0,0019098	0,3574789	0,0086197	0,0619021	0,0251130	0,2215876	0,0682732	0,2658665	0,0294083	0,0012427	0,0346548	0,0481702
60	0,1333628	0,7927690	0,3694062	0,1863536	0,0068714	0,2735506	0,0188821	0,0240004	0,0432344	0,1627633	0,0865146	0,3335058	0,0700802	0,0004195	0,0705486	0,0845594
80	0,1516388	0,7035374	0,3058558	0,2357691	0,0041737	0,3576573	0,0383250	0,0350003	0,0132965	0,1328446	0,0769232	0,1975419	0,0596409	0,0000732	0,0812768	0,1106665
100	0,1455682	0,7176913	0,3477700	0,2481909	0,0002674	0,2920463	0,0404518	0,0383674	0,0229827	0,1153257	0,0401458	0,2041534	0,1225094	0,0000511	0,0561064	0,1014305
120	0,1598886	0,7777416	0,3378152	0,1828790	0,0010104	0,3993249	0,0211702	0,0633359	0,0237037	0,1166867	0,0617127	0,2445514	0,1024489	0,0011983	0,0634804	0,0619934
140	0,1467328	0,6965435	0,3121178	0,2765529	0,0000504	0,4115761	0,0145437	0,0410162	0,0115392	0,0799121	0,0775277	0,2403800	0,1364446	0,0000000	0,0512269	0,0807748
160	0,1739725	0,6835329	0,2690049	0,2032266	0,0000000	0,2508070	0,0064844	0,0406799	0,0282056	0,0496309	0,1208910	0,1909088	0,1157521	0,0000940	0,0777255	0,0563528
180	0,2163386	0,8323005	0,2543955	0,3086649	0,0012917	0,2719203	0,0098700	0,0371145	0,0229599	0,0566317	0,1075770	0,1865848	0,1494676	0,0012070	0,0856768	0,1081321
