"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
300	0,2207905	0,3881488	0,4471234	0,1186479	0,1045168	0,6267246	0,7266788	0,1212902	0,6638332	0,2155055	0,6081228	0,2225337	0,0049226	0,6105260	0,1000401	0,0247022
320	0,1646297	0,4043945	0,3702322	0,1021803	0,0526378	0,7635030	0,6023392	0,1513527	0,8284798	0,2726027	0,6539744	0,2429363	0,0066468	0,5270156	0,1232378	0,0580184
340	0,2328244	0,5021848	0,4953061	0,1069772	0,1076054	0,8931713	0,7753935	0,1009655	0,7687302	0,2547459	0,6507797	0,2108650	0,0236636	0,5363116	0,0978538	0,0161271
360	0,1976561	0,4389483	0,4901830	0,0755288	0,0658439	0,7144156	0,9379565	0,1667522	0,7863044	0,3407057	0,6096853	0,2319576	0,0338903	0,6307813	0,1418883	0,0151626
380	0,1919694	0,4486133	0,4946460	0,0751789	0,0689209	0,7770313	0,6122961	0,0946720	0,8901765	0,3548257	0,5900107	0,2412686	0,0480714	0,7895022	0,1075545	0,0991249
400	0,1765540	0,4451210	0,4939338	0,1079743	0,1070039	0,7218239	0,6833293	0,1177318	0,7493833	0,3833474	0,5281231	0,1969566	0,0172358	0,7013904	0,1396891	0,0102992
420	0,1984561	0,3697476	0,4291034	0,0746030	0,0861052	0,7498146	0,7493658	0,1286208	0,8477362	0,2421314	0,6135241	0,3086538	0,0321325	0,5716951	0,1328282	0,0097838
440	0,1438133	0,3787320	0,4922211	0,0701333	0,0789008	0,6786832	0,7864601	0,0921897	0,6903951	0,2858973	0,6252437	0,2739944	0,0199418	0,6063450	0,1245264	0,0189746
460	0,1968888	0,4180526	0,5004347	0,0779011	0,1143846	0,7401351	0,8064147	0,1037289	0,6353823	0,3239111	0,5707252	0,2915507	0,0379491	0,5449028	0,1000600	0,0259802
480	0,2520860	0,3345423	0,4783912	0,1484326	0,0706605	0,7207602	0,8882524	0,0651543	0,6923364	0,2941552	0,6477550	0,3023374	0,0162540	0,6731667	0,1218828	0,0221887
500	0,2443315	0,4417666	0,5218979	0,1454209	0,1100369	0,5785330	0,6378406	0,1250429	0,7582975	0,4084648	0,7532435	0,3440411	0,0240756	0,6539880	0,0795941	0,0358204
520	0,2173019	0,4037713	0,3385610	0,0691593	0,1155931	0,7051562	0,9464380	0,0971266	0,7648268	0,2985718	0,6497232	0,2018612	0,0072419	0,5555645	0,1268968	0,0231809
540	0,2513401	0,3786909	0,3882369	0,0846527	0,1587200	0,6261852	0,8403215	0,0928410	0,6434444	0,2503728	0,5300608	0,1731851	0,0152836	0,6094913	0,0773845	0,0282669
560	0,2151446	0,3021759	0,4233266	0,1183900	0,1817487	0,6445402	0,7021057	0,0788312	0,7120742	0,2896999	0,5948801	0,1967760	0,0251185	0,6473545	0,0929047	0,0122370
580	0,4758580	0,3088054	0,4016628	0,1252503	0,1051494	0,7078657	0,6981567	0,4668626	0,7917567	0,2859831	0,8729811	0,3393881	0,1268118	0,4463534	0,1293788	0,0100352
600	0,4706498	0,3121469	0,3823324	0,1056952	0,2030962	0,6472008	0,7128852	0,5700362	0,6480490	0,3321967	0,6667823	0,2712025	0,2336765	0,3143452	0,1935930	0,0300539
620	0,6231440	0,2527114	0,3946548	0,1098786	0,0984649	0,6901114	0,9172100	0,5241634	0,6730409	0,2799867	0,6708879	0,2353540	0,3037777	0,2099108	0,1796046	0,0827449
640	0,7571391	0,3700095	0,3619254	0,1131271	0,1345649	0,6460348	0,8095267	0,6112921	0,6913030	0,3481796	0,6985078	0,2738647	0,2407708	0,1882865	0,2723057	0,0211362
660	0,7786342	0,3145608	0,4383052	0,1051163	0,1221652	0,6336026	0,7088067	0,5938125	0,6372903	0,2874378	0,6266148	0,2651101	0,2568712	0,2075775	0,2175301	0,0424690
680	0,6287697	0,2898873	0,3662045	0,1317312	0,1208819	0,6054595	0,6967701	0,5839776	0,5716218	0,2709219	0,6133527	0,3090775	0,3025034	0,2815280	0,2228295	0,0346547
700	0,6563291	0,3524536	0,5086243	0,1218873	0,0922531	0,5205032	0,6638388	0,5888026	0,6407659	0,2515484	0,5886044	0,2905907	0,3447263	0,2220983	0,2514006	0,0215482
720	0,6874550	0,3088453	0,5060109	0,1475696	0,1653098	0,5408179	0,6897641	0,5368105	0,5588415	0,2166974	0,5786774	0,3269473	0,3094326	0,2439425	0,2726267	0,0318473
740	0,8828180	0,2712084	0,4481941	0,1464829	0,1174776	0,5898463	0,6188654	0,5466289	0,5277109	0,2933114	0,6189626	0,2929864	0,3287207	0,2093211	0,2247593	0,0205023
760	0,7344721	0,2369293	0,3935580	0,0510779	0,1313962	0,6150838	0,6500439	0,5258189	0,5990160	0,2772322	0,5476575	0,3381427	0,2735753	0,2649290	0,2740975	0,0945711
780	0,7170673	0,2760334	0,4705166	0,1066794	0,0868552	0,5271925	0,7829361	0,5879268	0,5287496	0,2176681	0,5341339	0,2772145	0,2795557	0,2241469	0,2478325	0,0466866
800	0,6868642	0,2437677	0,3670473	0,0674581	0,1287994	0,4966922	0,8164768	0,4968389	0,5297125	0,3572073	0,5626502	0,3431248	0,2979754	0,2792787	0,2415002	0,0180102
820	0,8200704	0,3385264	0,4734278	0,0994535	0,1498885	0,5817651	0,6698857	0,5250558	0,4784444	0,2771318	0,5494483	0,3571085	0,2830651	0,2140319	0,3110972	0,0233419
