"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
540	1,0000000	0,3700100	0,1428643	0,6070743	0,3426829	0,3521331	0,2867810	0,0750680	0,2084635	0,0633666	0,1810012	0,0145427	0,3931078	0,3774536	0,0704871	0,6188870
560	1,0000000	0,3699960	0,1428646	0,6070740	0,3426829	0,3521276	0,2867810	0,0750653	0,2084538	0,0633664	0,1809886	0,0145409	0,3931063	0,3774574	0,0704781	0,6189613
580	1,0000000	0,3707504	0,1594280	0,6408974	0,3427146	0,3574954	0,2438665	0,0751467	0,2117257	0,0635425	0,1817125	0,0145501	0,3931520	0,3506091	0,0706862	0,5864237
600	1,0000000	0,3777568	0,1887372	0,7035422	0,3429747	0,3689607	0,1739824	0,0759963	0,2188639	0,0651018	0,1886308	0,0146485	0,3936245	0,3043620	0,0729206	0,5165947
620	1,0000000	0,3945619	0,2135453	0,7643467	0,3434905	0,3824948	0,1148427	0,0783456	0,2273947	0,0687411	0,2055226	0,0148924	0,3949210	0,2637059	0,0792137	0,4363575
640	1,0000000	0,4183829	0,2293410	0,8131651	0,3440262	0,3957537	0,0731694	0,0821910	0,2360632	0,0737744	0,2297641	0,0152561	0,3970324	0,2338770	0,0895995	0,3593493
660	1,0000000	0,4442731	0,2373072	0,8487419	0,3443752	0,4074510	0,0462725	0,0869382	0,2441882	0,0790553	0,2565189	0,0156804	0,3996305	0,2134407	0,1024390	0,2916031
680	1,0000000	0,4683197	0,2401110	0,8731235	0,3444961	0,4170768	0,0297864	0,0918392	0,2513887	0,0836999	0,2819060	0,0161107	0,4023052	0,1997707	0,1156821	0,2349749
700	1,0000000	0,4884292	0,2401555	0,8891195	0,3444591	0,4246069	0,0200192	0,0963031	0,2574863	0,0872880	0,3037350	0,0165094	0,4047341	0,1906327	0,1277360	0,1891900
720	1,0000000	0,5039990	0,2390928	0,8992731	0,3443546	0,4302708	0,0143700	0,1000036	0,2624557	0,0897766	0,3212162	0,0168559	0,4067405	0,1844409	0,1377355	0,1530212
740	1,0000000	0,5153474	0,2378573	0,9055523	0,3442449	0,4343989	0,0111604	0,1028515	0,2663772	0,0913377	0,3344629	0,0171434	0,4082784	0,1801559	0,1454507	0,1249306
760	1,0000000	0,5232264	0,2368648	0,9093531	0,3441579	0,4373329	0,0093618	0,1049147	0,2693912	0,0922194	0,3440623	0,0173736	0,4093872	0,1771245	0,1510660	0,1033960
780	1,0000000	0,5284918	0,2362201	0,9116114	0,3440990	0,4393786	0,0083649	0,1063373	0,2716598	0,0926584	0,3507711	0,0175531	0,4101477	0,1749433	0,1549652	0,0870571
800	1,0000000	0,5319170	0,2358771	0,9129305	0,3440637	0,4407863	0,0078171	0,1072803	0,2733408	0,0928406	0,3553287	0,0176904	0,4106489	0,1733604	0,1575762	0,0747648
820	1,0000000	0,5341144	0,2357412	0,9136881	0,3440450	0,4417484	0,0075184	0,1078879	0,2745726	0,0928927	0,3583630	0,0177941	0,4109699	0,1722115	0,1592812	0,0655827
840	1,0000000	0,5355259	0,2357221	0,9141156	0,3440365	0,4424051	0,0073564	0,1082733	0,2754690	0,0928909	0,3603599	0,0178719	0,4111724	0,1713833	0,1603813	0,0587658
860	1,0000000	0,5364473	0,2357543	0,9143520	0,3440338	0,4428552	0,0072691	0,1085175	0,2761189	0,0928745	0,3616703	0,0179301	0,4113002	0,1707924	0,1610923	0,0537319
880	1,0000000	0,5370655	0,2357986	0,9144795	0,3440338	0,4431657	0,0072222	0,1086744	0,2765897	0,0928605	0,3625344	0,0179734	0,4113821	0,1703758	0,1615590	0,0500320
900	1,0000000	0,5374933	0,2358365	0,9145461	0,3440347	0,4433816	0,0071971	0,1087779	0,2769306	0,0928532	0,3631101	0,0180058	0,4114362	0,1700855	0,1618729	0,0473238
920	1,0000000	0,5377971	0,2358622	0,9145793	0,3440357	0,4435329	0,0071838	0,1088483	0,2771776	0,0928519	0,3634985	0,0180301	0,4114731	0,1698850	0,1620898	0,0453487
940	1,0000000	0,5380164	0,2358765	0,9145949	0,3440364	0,4436394	0,0071767	0,1088974	0,2773568	0,0928540	0,3637634	0,0180482	0,4114990	0,1697472	0,1622431	0,0439129
960	1,0000000	0,5381753	0,2358827	0,9146014	0,3440369	0,4437145	0,0071729	0,1089323	0,2774866	0,0928575	0,3639453	0,0180617	0,4115175	0,1696529	0,1623528	0,0428720
980	1,0000000	0,5382899	0,2358840	0,9146036	0,3440371	0,4437675	0,0071709	0,1089572	0,2775805	0,0928610	0,3640705	0,0180718	0,4115307	0,1695881	0,1624315	0,0421192
1000	1,0000000	0,5383718	0,2358831	0,9146038	0,3440371	0,4438047	0,0071699	0,1089748	0,2776484	0,0928637	0,3641563	0,0180794	0,4115401	0,1695435	0,1624876	0,0415759
1020	1,0000000	0,5384294	0,2358815	0,9146034	0,3440371	0,4438308	0,0071693	0,1089872	0,2776973	0,0928655	0,3642147	0,0180850	0,4115467	0,1695126	0,1625273	0,0411846
1040	1,0000000	0,5384695	0,2358801	0,9146028	0,3440370	0,4438490	0,0071690	0,1089957	0,2777324	0,0928666	0,3642540	0,0180891	0,4115513	0,1694910	0,1625549	0,0409032
1060	1,0000000	0,5384970	0,2358791	0,9146022	0,3440369	0,4438616	0,0071689	0,1090014	0,2777576	0,0928671	0,3642802	0,0180922	0,4115544	0,1694760	0,1625739	0,0407012
1080	1,0000000	0,5385158	0,2358785	0,9146018	0,3440369	0,4438704	0,0071688	0,1090053	0,2777756	0,0928673	0,3642975	0,0180944	0,4115565	0,1694654	0,1625868	0,0405563
1100	1,0000000	0,5385285	0,2358782	0,9146015	0,3440369	0,4438764	0,0071687	0,1090078	0,2777884	0,0928674	0,3643089	0,0180961	0,4115578	0,1694579	0,1625955	0,0404526

0	1,0000000	0,5386315	0,2358729	0,9146009	0,3440366	0,4438589	0,0071687	0,1090941	0,2784881	0,0928709	0,3643599	0,0180979	0,4116764	0,1694299	0,1627540	0,0403208
20	1,0000000	0,5386061	0,2358756	0,9146010	0,3440367	0,4763495	0,0866354	0,1707608	0,2782969	0,1764530	0,3643485	0,0521073	0,3814143	0,1694325	0,1627087	0,0402848
40	1,0000000	0,5385891	0,2358774	0,9146011	0,3440368	0,5384640	0,2160432	0,2945387	0,2781601	0,3151957	0,3643410	0,1257724	0,3210553	0,1694346	0,1626777	0,0402590
60	1,0000000	0,5385780	0,2358783	0,9146012	0,3440369	0,6017885	0,3255559	0,4268760	0,2780623	0,4360517	0,3643364	0,2115229	0,2568811	0,1694361	0,1626567	0,0402404
80	1,0000000	0,5385708	0,2358787	0,9146012	0,3440369	0,6560813	0,4027261	0,5451456	0,2779925	0,5244521	0,3643337	0,2950696	0,1998177	0,1694373	0,1626427	0,0402271
100	1,0000000	0,5385661	0,2358788	0,9146012	0,3440369	0,6990653	0,4525347	0,6421261	0,2779428	0,5841546	0,3643322	0,3697942	0,1532386	0,1694383	0,1626333	0,0402176
120	1,0000000	0,5385631	0,2358787	0,9146011	0,3440369	0,7316236	0,4830650	0,7177345	0,2779074	0,6227407	0,3643314	0,4333568	0,1170719	0,1694389	0,1626270	0,0402108
140	1,0000000	0,5385610	0,2358786	0,9146011	0,3440369	0,7556263	0,5011531	0,7747642	0,2778821	0,6470219	0,3643309	0,4856781	0,0898901	0,1694394	0,1626227	0,0402059
160	1,0000000	0,5385596	0,2358785	0,9146011	0,3440369	0,7730139	0,5116152	0,8167939	0,2778642	0,6620409	0,3643306	0,5277657	0,0699203	0,1694398	0,1626199	0,0402025
180	1,0000000	0,5385586	0,2358784	0,9146011	0,3440369	0,7854616	0,5175592	0,8472438	0,2778514	0,6712250	0,3643304	0,5610524	0,0554911	0,1694400	0,1626179	0,0402000
200	1,0000000	0,5385579	0,2358784	0,9146011	0,3440369	0,7943006	0,5208901	0,8690184	0,2778423	0,6767972	0,3643303	0,5870410	0,0451960	0,1694402	0,1626165	0,0401982
220	1,0000000	0,5385573	0,2358783	0,9146011	0,3440369	0,8005413	0,5227363	0,8844308	0,2778359	0,6801597	0,3643302	0,6071277	0,0379220	0,1694403	0,1626156	0,0401970
240	1,0000000	0,5385570	0,2358783	0,9146011	0,3440369	0,8049297	0,5237506	0,8952511	0,2778313	0,6821811	0,3643302	0,6225281	0,0328223	0,1694403	0,1626149	0,0401961
260	1,0000000	0,5385567	0,2358783	0,9146011	0,3440369	0,8080066	0,5243038	0,9027970	0,2778281	0,6833929	0,3643301	0,6342585	0,0292694	0,1694404	0,1626145	0,0401955
280	1,0000000	0,5385565	0,2358783	0,9146011	0,3440369	0,8101595	0,5246036	0,9080306	0,2778258	0,6841180	0,3643301	0,6431456	0,0268067	0,1694404	0,1626142	0,0401950
300	1,0000000	0,5385564	0,2358783	0,9146011	0,3440369	0,8116636	0,5247653	0,9116439	0,2778241	0,6845512	0,3643301	0,6498484	0,0251068	0,1694404	0,1626140	0,0401947
320	1,0000000	0,5385563	0,2358784	0,9146011	0,3440369	0,8127132	0,5248521	0,9141288	0,2778230	0,6848099	0,3643301	0,6548848	0,0239375	0,1694404	0,1626138	0,0401945
340	1,0000000	0,5385562	0,2358784	0,9146011	0,3440369	0,8134452	0,5248985	0,9158323	0,2778221	0,6849642	0,3643300	0,6586572	0,0231356	0,1694405	0,1626137	0,0401943
360	1,0000000	0,5385562	0,2358784	0,9146011	0,3440369	0,8139552	0,5249232	0,9169967	0,2778216	0,6850562	0,3643300	0,6614751	0,0225870	0,1694405	0,1626136	0,0401942
380	1,0000000	0,5385562	0,2358784	0,9146011	0,3440369	0,8143106	0,5249364	0,9177908	0,2778211	0,6851110	0,3643300	0,6635751	0,0222125	0,1694405	0,1626136	0,0401941
400	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8145580	0,5249434	0,9183312	0,2778209	0,6851437	0,3643300	0,6651371	0,0219572	0,1694405	0,1626136	0,0401940
420	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8147303	0,5249470	0,9186983	0,2778206	0,6851631	0,3643300	0,6662969	0,0217835	0,1694405	0,1626135	0,0401940
440	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8148503	0,5249490	0,9189473	0,2778205	0,6851747	0,3643300	0,6671568	0,0216655	0,1694405	0,1626135	0,0401940
460	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8149338	0,5249500	0,9191159	0,2778204	0,6851816	0,3643300	0,6677935	0,0215854	0,1694405	0,1626135	0,0401940
480	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8149919	0,5249505	0,9192300	0,2778203	0,6851857	0,3643300	0,6682644	0,0215310	0,1694405	0,1626135	0,0401939
500	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8150323	0,5249508	0,9193071	0,2778203	0,6851882	0,3643300	0,6686124	0,0214942	0,1694405	0,1626135	0,0401939
520	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8150604	0,5249510	0,9193591	0,2778202	0,6851897	0,3643300	0,6688692	0,0214693	0,1694405	0,1626135	0,0401939
540	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8150800	0,5249510	0,9193943	0,2778202	0,6851905	0,3643300	0,6690587	0,0214524	0,1694405	0,1626135	0,0401939
560	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8150936	0,5249511	0,9194179	0,2778202	0,6851910	0,3643300	0,6691984	0,0214410	0,1694405	0,1626135	0,0401939
580	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,7826218	0,4454844	0,8577405	0,2778202	0,6016070	0,3643300	0,6352928	0,0516577	0,1694405	0,1626135	0,0401939
600	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,7205204	0,3160767	0,7339554	0,2778202	0,4628635	0,3643300	0,5617040	0,1119861	0,1694405	0,1626135	0,0401939
620	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,6572051	0,2065640	0,6016132	0,2778202	0,3420071	0,3643300	0,4760097	0,1761395	0,1694405	0,1626135	0,0401939
640	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,6029187	0,1293937	0,4833403	0,2778202	0,2536067	0,3643300	0,3925043	0,2331890	0,1694405	0,1626135	0,0401939
660	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,5599393	0,0795851	0,3863577	0,2778202	0,1939043	0,3643300	0,3178101	0,2797586	0,1694405	0,1626135	0,0401939
680	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,5273841	0,0490548	0,3107479	0,2778202	0,1553182	0,3643300	0,2542699	0,3159190	0,1694405	0,1626135	0,0401939
700	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,5033836	0,0309667	0,2537171	0,2778202	0,1310372	0,3643300	0,2019651	0,3430965	0,1694405	0,1626135	0,0401939
720	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4859975	0,0205047	0,2116868	0,2778202	0,1160182	0,3643300	0,1598896	0,3630634	0,1694405	0,1626135	0,0401939
740	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4735509	0,0145606	0,1812365	0,2778201	0,1068341	0,3643300	0,1266117	0,3774906	0,1694405	0,1626135	0,0401939
760	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4647127	0,0112298	0,1594617	0,2778201	0,1012618	0,3643300	0,1006297	0,3877845	0,1694405	0,1626135	0,0401939
780	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4584725	0,0093835	0,1440490	0,2778201	0,0978993	0,3643300	0,0805478	0,3950576	0,1694405	0,1626135	0,0401939
800	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4540845	0,0083692	0,1332286	0,2778201	0,0958780	0,3643300	0,0651509	0,4001566	0,1694405	0,1626135	0,0401939
820	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4510078	0,0078161	0,1256826	0,2778201	0,0946662	0,3643300	0,0534230	0,4037091	0,1694405	0,1626135	0,0401939
840	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4488551	0,0075162	0,1204490	0,2778201	0,0939411	0,3643300	0,0445379	0,4061716	0,1694405	0,1626135	0,0401939
860	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4473511	0,0073545	0,1168356	0,2778201	0,0935078	0,3643300	0,0378365	0,4078713	0,1694405	0,1626135	0,0401939
880	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4463015	0,0072677	0,1143506	0,2778201	0,0932491	0,3643300	0,0328011	0,4090404	0,1694405	0,1626135	0,0401939
900	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4455697	0,0072213	0,1126472	0,2778201	0,0930948	0,3643300	0,0290295	0,4098423	0,1694405	0,1626135	0,0401939
920	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4450596	0,0071966	0,1114827	0,2778201	0,0930029	0,3643300	0,0262121	0,4103908	0,1694405	0,1626135	0,0401939
940	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4447043	0,0071835	0,1106887	0,2778201	0,0929480	0,3643300	0,0241125	0,4107653	0,1694405	0,1626135	0,0401939
960	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4444569	0,0071765	0,1101483	0,2778201	0,0929154	0,3643300	0,0225508	0,4110205	0,1694405	0,1626135	0,0401939
980	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4442846	0,0071728	0,1097812	0,2778201	0,0928959	0,3643300	0,0213912	0,4111942	0,1694405	0,1626135	0,0401939
1000	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4441647	0,0071709	0,1095322	0,2778201	0,0928843	0,3643300	0,0205315	0,4113122	0,1694405	0,1626135	0,0401939
1020	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4440812	0,0071698	0,1093635	0,2778201	0,0928774	0,3643300	0,0198949	0,4113924	0,1694405	0,1626135	0,0401939
1040	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4440231	0,0071693	0,1092494	0,2778201	0,0928733	0,3643300	0,0194241	0,4114467	0,1694405	0,1626135	0,0401939
1060	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4439827	0,0071690	0,1091723	0,2778201	0,0928708	0,3643300	0,0190762	0,4114835	0,1694405	0,1626135	0,0401939
1080	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4439545	0,0071689	0,1091203	0,2778201	0,0928694	0,3643300	0,0188193	0,4115084	0,1694405	0,1626135	0,0401939
1100	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4439349	0,0071688	0,1090852	0,2778201	0,0928685	0,3643300	0,0186299	0,4115253	0,1694405	0,1626135	0,0401939

0	1,0000000	0,5386315	0,2358729	0,9146009	0,3440366	0,4438589	0,0071687	0,1090941	0,2784881	0,0928709	0,3643599	0,0180979	0,4116764	0,1694299	0,1627540	0,0403208
