"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
540	1,1309396	0,4662877	0,2526640	0,3595959	1,0294648	0,0122351	0,4324463	0,6454957	0,6519797	0,8814987	0,3097944	0,1601943	0,7349265	0,5520903	0,4813445	0,9038851
560	1,1261844	0,4445120	0,2356654	0,4061364	1,0297244	0,0083307	0,4274092	0,6189191	0,6901558	0,8936649	0,3256281	0,1289679	0,7711001	0,5602851	0,4699554	0,9719435
580	1,1166931	0,4623477	0,2874943	0,4513681	1,0042276	0,0051779	0,4060498	0,6067239	0,7044189	0,9143993	0,3542995	0,1287951	0,7443641	0,5467001	0,4388416	0,9643922
600	0,9854070	0,4907931	0,4132940	0,5744043	1,0207742	0,0089540	0,4443122	0,6375633	0,6540146	0,8607950	0,3855798	0,1083620	0,6900221	0,5332123	0,4231626	0,9629590
620	1,0672780	0,5391161	0,4717822	0,6389731	0,9577836	0,0058363	0,4945807	0,7091087	0,5759791	0,8131416	0,4465119	0,1062724	0,6623051	0,4903950	0,4539911	1,0536037
640	1,0877455	0,5432738	0,5844088	0,6186226	0,9754258	0,0067286	0,4500657	0,7394194	0,5511273	0,7272367	0,5200062	0,0888106	0,6484431	0,4549349	0,4419050	0,9691373
660	1,0173139	0,6372224	0,6859020	0,5657364	0,9547010	0,0123702	0,5047115	0,8741090	0,4972713	0,6805410	0,5933200	0,0632759	0,7502561	0,4334720	0,4598399	1,0139260
680	0,9708380	0,6818205	0,7780950	0,4680368	0,9585572	0,0131164	0,4934414	0,9112443	0,4190177	0,6132489	0,7416997	0,0656652	0,7614150	0,5252697	0,5737392	0,9738390
700	0,9395081	0,7151444	0,8640319	0,4438892	0,9868048	0,0323507	0,4853830	0,9962495	0,3429956	0,4798524	0,7403072	0,0842349	0,8871444	0,5290426	0,6383280	1,0035273
720	0,9328878	0,6900045	0,8925478	0,3932140	0,9724430	0,0363412	0,4956925	0,9798823	0,2933142	0,4768062	0,7699444	0,0885946	0,8752637	0,5307937	0,6058657	0,9740085
740	0,9780920	0,6834130	0,9490695	0,3532556	0,9491829	0,0635865	0,4560912	1,0088644	0,2027591	0,4133395	0,8716771	0,1107095	0,7919082	0,5294136	0,6187243	0,9827909
760	0,9517870	0,7308129	0,9702723	0,3011984	0,9045742	0,0948516	0,4650560	1,0153183	0,1568699	0,3140681	0,9649842	0,1732401	0,8015303	0,6012980	0,6180415	1,0218645
780	1,0283974	0,7323468	0,9988641	0,2287153	0,9025576	0,0911169	0,4793628	1,0173508	0,1168204	0,3188211	0,9562395	0,2297108	0,8177131	0,5979542	0,6725560	1,0715647
800	1,0144697	0,6795660	1,0313198	0,1941786	0,8900814	0,1277940	0,4542713	1,0592910	0,0914223	0,3191102	0,9269610	0,2894628	0,8090242	0,6095611	0,7104462	1,1210742
820	0,9994748	0,6741954	1,0430855	0,2070482	0,9065567	0,1656384	0,4785707	1,0066673	0,0852106	0,3312927	0,9318879	0,3002329	0,8111837	0,6594401	0,7216645	0,9977982
840	1,0161290	0,6348032	1,0323046	0,2094988	0,9594071	0,1682175	0,4117062	1,0121708	0,0821828	0,3252255	0,9897346	0,3848295	0,8250846	0,6560144	0,7150924	0,9735812
860	1,0516078	0,6000136	1,0523858	0,1849299	0,9673979	0,1737314	0,4541430	0,9762578	0,0739750	0,3052355	0,9271319	0,4488170	0,7453536	0,6925457	0,7020430	0,8738127
880	1,0138863	0,6696689	1,1327456	0,1638213	0,9916334	0,1980607	0,4189874	1,0340195	0,0652959	0,3238444	0,9487766	0,5170744	0,8289006	0,6842475	0,7122976	0,8280833
900	1,0323537	0,6405648	1,1290520	0,1708577	1,0873246	0,1411449	0,4019714	0,9845166	0,0477895	0,3231466	0,8956653	0,5168972	0,8769621	0,5915676	0,6675377	0,8823155
920	1,0145301	0,6726205	1,0586280	0,1617040	1,0294136	0,1378709	0,3931675	1,0311322	0,0529571	0,3370270	0,9867304	0,6371738	0,8966273	0,5530312	0,6337784	0,8239824
940	1,0630898	0,7222500	1,0132230	0,1405557	1,0103364	0,1402737	0,4434236	0,9777938	0,0731063	0,3210756	0,9491492	0,6650146	0,8774774	0,6111863	0,6212132	0,9348066
