"mqsA"
"mqsR"
"alaS"
"yccA"
"cpxR"
"psd"
"dsbA"
"motA"
"ydeH"
"bacA"
"ftnB"
"yidQ"
"ppiD"
"rseA"
"rdoA"
"cheA"
