"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
540	0,3726121	0,7221625	0,2758933	0,1005608	0,1073830	0,1058030	0,3296292	0,4225426	0,0078681	0,9592526	0,0038976	0,9852527	0,8701525	0,5654559	0,0115053	0,2854748
560	0,3276992	0,7055886	0,2644577	0,1204930	0,1083664	0,0807580	0,3191274	0,4265903	0,0040267	0,9136628	0,0055686	0,9405612	0,9397568	0,6233202	0,0102050	0,2594633
580	0,3328484	0,7372363	0,3190615	0,1895780	0,1513893	0,1815696	0,3241410	0,3764509	0,0150937	0,9001146	0,0171153	1,0044194	0,9332796	0,6797982	0,0096536	0,2651098
600	0,3054768	0,8237390	0,3971755	0,3277412	0,2843960	0,2850348	0,3341685	0,4456555	0,0201507	0,8888097	0,0284532	0,8952976	0,9582583	0,7008590	0,0111948	0,2788169
620	0,3101761	0,8413497	0,4841958	0,4466355	0,4359666	0,3716066	0,3034027	0,4277620	0,0216896	0,8349864	0,0479339	0,9676891	0,9142462	0,6995886	0,0170136	0,2561825
640	0,3135038	0,7734111	0,6007426	0,5646975	0,5287980	0,3854118	0,3398265	0,4107022	0,0173518	0,8563199	0,0577499	0,9670123	0,8819258	0,6932804	0,0114682	0,2635153
660	0,3099147	0,7398008	0,6060114	0,6210840	0,5573668	0,3589246	0,3206288	0,4133070	0,0217635	0,8168161	0,0914086	0,9004220	0,9015627	0,6835104	0,0091772	0,2256686
680	0,3467860	0,7231803	0,6723285	0,6135019	0,5312598	0,2913655	0,3341930	0,3606242	0,0150404	0,9199346	0,0948135	0,9243491	0,9062885	0,7067384	0,0099704	0,2288013
700	0,3009541	0,7106690	0,6451469	0,6984790	0,5112385	0,2453195	0,3160568	0,3722872	0,0169580	0,9233342	0,0972259	0,9623969	0,9000710	0,6757215	0,0069982	0,2435885
720	0,2935299	0,6506291	0,5809473	0,8006634	0,4925593	0,2412749	0,2965587	0,4283274	0,0163012	0,9381532	0,1040980	1,0234012	0,8619696	0,6659742	0,0088267	0,2704721
740	0,3489746	0,6435874	0,6426615	0,8344496	0,4635028	0,2451849	0,3084539	0,4341361	0,0095994	0,9927581	0,1047849	0,9014208	0,8164141	0,6303983	0,0067859	0,2554225
760	0,3229749	0,6278828	0,5848014	0,8978995	0,4570305	0,2481464	0,2689194	0,4291703	0,0115816	0,9262779	0,1212204	1,0188991	0,8584028	0,5957242	0,0032439	0,3110583
780	0,2879923	0,6075808	0,6016067	0,9478548	0,4799680	0,2641813	0,2507732	0,4317780	0,0146137	0,8899758	0,1207800	1,0174010	0,9098282	0,6466217	0,0053621	0,2738038
800	0,3555537	0,6188172	0,6135616	0,9066780	0,4731389	0,2392289	0,2572821	0,4023495	0,0180206	0,9360457	0,1133901	0,8991154	0,8415527	0,5525058	0,0121548	0,2630726
820	0,4209792	0,6511694	0,5825481	0,9525689	0,5418157	0,2305769	0,2992381	0,4255402	0,0125936	0,9196617	0,1211932	0,8925269	0,8509317	0,5503765	0,0210188	0,2759794
840	0,4102495	0,6685886	0,6211665	0,9341390	0,5683259	0,2328601	0,2792662	0,4163581	0,0063875	0,9158459	0,1501508	0,8913595	0,8280411	0,5547113	0,0092526	0,3242142
860	0,4001807	0,6676427	0,6712333	0,8796152	0,4840687	0,2162416	0,3375273	0,4045957	0,0074137	0,9082008	0,1601242	0,8455641	0,8430004	0,6001540	0,0098643	0,3604682
880	0,4161395	0,6272285	0,5875615	0,9230247	0,4938364	0,1781066	0,3527293	0,4122574	0,0045122	0,8610139	0,1567881	0,9493788	0,8557593	0,6327928	0,0123194	0,4156644
900	0,4081093	0,5980731	0,5722755	0,9161226	0,4880666	0,1910486	0,3917782	0,4321474	0,0150537	0,9068252	0,1641565	0,9929782	0,8330191	0,6206175	0,0105171	0,3835976
920	0,4466219	0,6042039	0,5684465	0,9349811	0,4642542	0,1852478	0,4057117	0,4073741	0,0041851	0,9313653	0,1609542	0,9513306	0,8787439	0,6297432	0,0105480	0,3784301
940	0,4512670	0,6174094	0,6343067	0,9406483	0,5064994	0,1979648	0,3169836	0,4554650	0,0038359	0,8833716	0,1560771	1,0297046	0,9556886	0,6751421	0,0156817	0,3033934
960	0,4398702	0,6130524	0,6622655	0,9583751	0,4960330	0,2023563	0,3415970	0,4606533	0,0060069	0,8040110	0,1694563	0,9170399	1,0087518	0,6498873	0,0091223	0,2663554
980	0,4594726	0,6246807	0,6236033	0,9445601	0,4719929	0,1966182	0,2923538	0,3988173	0,0028144	0,7815228	0,1395801	0,8413467	0,9134005	0,6272164	0,0047718	0,2567746
1000	0,4379302	0,6542274	0,6614621	0,9059550	0,4371225	0,1994219	0,3270633	0,3970049	0,0078045	0,8006030	0,1294615	0,8677051	0,9697376	0,7080979	0,0057146	0,2733895
1020	0,3798108	0,6786887	0,6372059	0,9597304	0,4324456	0,2114331	0,3927531	0,4258542	0,0063087	0,7678880	0,1040667	0,8939234	0,8716286	0,6937498	0,0129560	0,2846696
1040	0,4338820	0,6768765	0,6262860	0,9854579	0,4509501	0,2198030	0,3649312	0,4329233	0,0241437	0,7395007	0,1297878	0,9370558	0,8845709	0,7036038	0,0152746	0,3192451
1060	0,4219755	0,7017146	0,5949526	1,0475547	0,5021898	0,2233128	0,3525208	0,4667817	0,0175855	0,7770695	0,1200821	0,9875871	0,9023076	0,6750714	0,0122572	0,3187973
1080	0,4404222	0,6987150	0,6009515	1,0477280	0,5045530	0,2130262	0,3743939	0,4016568	0,0220759	0,7799628	0,1475220	0,9104217	0,8596181	0,7036298	0,0097425	0,2968799
1100	0,4177010	0,6537662	0,6198399	1,0072179	0,4773433	0,1870781	0,3941149	0,4204414	0,0199323	0,7586911	0,1582262	0,9588718	0,8148861	0,7148533	0,0075524	0,2476837

0	0,4563836	0,6569254	0,6275925	0,9955480	0,4832859	0,1843241	0,3957313	0,4476964	0,0085664	0,9521242	0,1361506	0,9823080	0,9188061	0,6338424	0,0171187	0,2811143
20	0,3373320	0,6160559	0,6083728	1,0181629	0,4612808	0,1939607	0,3672189	0,3870577	0,0066101	0,8622632	0,1481177	0,9462552	1,0508220	0,6567068	0,0201810	0,2199534
40	0,3561610	0,6276540	0,5968151	1,0449607	0,4030016	0,1991657	0,3465760	0,3811935	0,0098036	0,8672923	0,1225861	1,0256324	0,9785852	0,7243994	0,0209579	0,2269537
60	0,3460972	0,6497278	0,5878139	1,0601751	0,3209429	0,1968944	0,3366940	0,3907187	0,0089487	0,8491449	0,1343822	1,0029053	0,9750668	0,6597806	0,0117598	0,2733699
80	0,2836472	0,6571112	0,5928146	1,0478960	0,2527619	0,2489825	0,3987273	0,3817486	0,0053170	0,9658485	0,1144434	1,0165205	1,0229685	0,6263451	0,0096487	0,2878631
