"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
540	0,3002063	0,0154936	0,3788527	0,5656985	0,2667657	0,8098369	0,8686675	0,7016878	0,6280293	0,4247743	0,3016255	0,2730532	0,2886916	0,3042433	0,2991507	0,4592852
560	0,3050028	0,0194634	0,3974722	0,5454756	0,4045768	0,8906103	0,6896977	0,6968493	0,4330376	0,4249866	0,2984713	0,3235600	0,2563044	0,2378708	0,2695035	0,4676655
580	0,2931181	0,0730420	0,4048739	0,5733234	0,2516503	0,6670028	0,6880187	0,6562092	0,5408721	0,5751315	0,4337630	0,3480660	0,2903829	0,2665979	0,3465759	0,4842386
600	0,3633393	0,1660648	0,3841050	0,6798139	0,4078006	0,6713346	0,7258922	0,6436883	0,4570220	0,5555048	0,3428168	0,3162236	0,3505910	0,3079883	0,3505541	0,3596468
620	0,4181340	0,2778637	0,4638210	0,5471460	0,4143564	0,6311038	0,8254533	0,5729773	0,5492006	0,6484851	0,2626376	0,3629763	0,1684947	0,3050979	0,3199980	0,2853283
640	0,5689141	0,4559523	0,4900685	0,4204984	0,4906572	0,8219124	0,6868220	0,6692756	0,6082863	0,6636417	0,4413124	0,1972988	0,1945896	0,2997523	0,2994871	0,2786343
660	0,4165284	0,4555342	0,4967326	0,5431538	0,6013144	0,6852455	0,6916489	0,5123052	0,5100037	0,6721500	0,2373050	0,1399808	0,1971176	0,3116981	0,3283409	0,3992007
680	0,4814917	0,5200373	0,4781091	0,4611989	0,6779505	0,6380903	0,5187751	0,5145526	0,4460554	0,7737823	0,2697105	0,1560976	0,0634508	0,2751597	0,3921614	0,2802644
700	0,5576226	0,4933151	0,5179523	0,5041841	0,7034957	0,4735431	0,6534695	0,3804029	0,4980439	0,6521246	0,2483571	0,0519623	0,0588508	0,2989950	0,3277361	0,2770354
720	0,5923745	0,5518199	0,3155213	0,3399645	0,6560400	0,5093285	0,6167943	0,3360053	0,5032819	0,6748821	0,3229826	0,0828897	0,0530270	0,2174967	0,2746386	0,2382437
