"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
540	0,4415365	0,6002551	0,0392571	0,1670010	0,3268470	0,0187015	0,6513588	0,5969442	0,4751637	0,5985796	0,1322872	0,5361014	0,4591183	0,3626377	0,3715157	0,3179301
560	0,3912700	0,7469410	0,0501314	0,1587670	0,3745912	0,0090166	0,7165106	0,4398674	0,4876464	0,5839908	0,0856407	0,5654865	0,4649516	0,3876795	0,3923002	0,2875442
580	0,4475725	0,8879078	0,0742119	0,2023919	0,6082633	0,0579958	0,7388782	0,5510978	0,4459807	0,7364719	0,1907537	0,5931099	0,4609434	0,5268581	0,3832309	0,3124280
600	0,5161870	0,7654809	0,0822781	0,1704681	0,5606294	0,1016524	0,7642761	0,5319568	0,4169322	0,5729403	0,1457866	0,5932500	0,4995560	0,5737517	0,3231883	0,4251063
620	0,5413548	0,6906015	0,0700529	0,2305315	0,7113154	0,1600172	0,5675317	0,4526986	0,5363015	0,6927213	0,1174950	0,4932594	0,4314007	0,6313778	0,3802109	0,4421817
640	0,4852960	0,7722771	0,0398520	0,2455016	0,6649309	0,2154275	0,5705203	0,5112143	0,5040659	0,5845046	0,1103712	0,5642680	0,3885454	0,4803233	0,3434037	0,4311949
660	0,5592121	0,6842647	0,0517457	0,1882918	0,5621939	0,1479940	0,5494006	0,4676359	0,7122872	0,5534867	0,1705937	0,4864743	0,4409696	0,5440284	0,4509674	0,4416743
680	0,4400943	0,7609697	0,0342887	0,1559569	0,5850769	0,1442362	0,6017196	0,4630037	0,5305057	0,5213797	0,1014471	0,4191269	0,3767207	0,5583010	0,4063697	0,4813768
700	0,6909577	0,6715727	0,0378693	0,1994780	0,4940921	0,1690062	0,5845572	0,4212332	0,6177405	0,5588269	0,1144967	0,6064715	0,3799981	0,4731420	0,3366075	0,4834572
720	0,5101020	0,8242977	0,0648688	0,2808557	0,5474565	0,1375158	0,6168567	0,4895631	0,6326627	0,5388547	0,1439397	0,4579719	0,3292894	0,5214670	0,4377352	0,3657182
740	0,5443514	0,6532252	0,0262573	0,1516808	0,6971374	0,1901987	0,5972965	0,4135795	0,5758161	0,4706762	0,1049080	0,4091283	0,3026175	0,3906095	0,4290002	0,3559530
760	0,5710221	0,6801584	0,0274657	0,2175097	0,6393865	0,1516519	0,6840431	0,4054760	0,6873140	0,4953891	0,0984427	0,5018084	0,2732702	0,5842049	0,3706160	0,3490433
780	0,5284476	0,7743598	0,0845576	0,2300477	0,5633271	0,1283183	0,7510281	0,5043793	0,6096776	0,4374626	0,1136764	0,5393683	0,2901656	0,5261900	0,4178669	0,3746376
800	0,5136208	0,6837659	0,0542639	0,1638170	0,6018874	0,0731177	0,5532927	0,4551621	0,6919885	0,4337155	0,0918003	0,4906930	0,3218647	0,3805732	0,4630378	0,3843447
820	0,4566735	0,6987741	0,0563970	0,2036690	0,5641905	0,2174016	0,5790582	0,6007205	0,7468759	0,4020497	0,0854080	0,4608932	0,2555907	0,4031934	0,5451567	0,3454800
840	0,6479465	0,6673487	0,0382963	0,2400365	0,4683115	0,1381292	0,7352552	0,5064638	0,4910054	0,4340406	0,0841404	0,3530986	0,3227067	0,3533130	0,4518604	0,3601456
860	0,6043398	0,7169186	0,0453727	0,1971666	0,4484850	0,2346500	0,6778673	0,4932020	0,6031053	0,5649522	0,0827878	0,4178837	0,2816440	0,3293282	0,4849367	0,3247880
880	0,5472050	0,7395889	0,0329503	0,1736094	0,6431150	0,1670683	0,6864139	0,6275678	0,7011521	0,4239224	0,1109055	0,3714455	0,2843982	0,2973671	0,4125680	0,3932975
900	0,4729230	0,6340679	0,0555924	0,2441286	0,5918398	0,1391973	0,6211502	0,4616023	0,7157066	0,4684156	0,0922170	0,4589541	0,2600013	0,2974997	0,4176430	0,3463544
920	0,5036921	0,9071398	0,0394607	0,1756597	0,5326876	0,1108289	0,5226724	0,5764831	0,5338853	0,4499328	0,0760247	0,3449293	0,2564913	0,3218730	0,5026595	0,4385385
940	0,4691610	0,8053338	0,0479257	0,1868877	0,4555178	0,1641575	0,6168445	0,5274073	0,5465002	0,4423635	0,1025172	0,5885815	0,2604253	0,2626158	0,4837744	0,3187102
960	0,5584307	0,7720571	0,0339849	0,1887676	0,4133081	0,1368876	0,5153801	0,3088259	0,6864546	0,5539503	0,0732123	0,4235303	0,2842813	0,3491436	0,5021719	0,3563279
980	0,5525874	0,6621652	0,0458910	0,2070845	0,4643492	0,0911357	0,6194874	0,3873688	0,5170167	0,3794645	0,0862793	0,3874044	0,2379565	0,5217764	0,4860665	0,4464817
1000	0,4565645	0,7413589	0,0409517	0,1565233	0,5147119	0,0986909	0,6422654	0,4255805	0,6881431	0,4008374	0,0927256	0,5100758	0,2780528	0,4156030	0,3814034	0,3626436
1020	0,4943912	0,6463585	0,1096836	0,1336877	0,4939054	0,0768258	0,5736219	0,4857457	0,5757191	0,3981551	0,0947029	0,4134642	0,2593385	0,3644702	0,5174445	0,4627799
1040	0,5123914	0,8533935	0,0877680	0,1488041	0,4588199	0,0685429	0,6134006	0,5035576	0,5730995	0,3444368	0,0838118	0,4391007	0,2684907	0,3916525	0,5495189	0,3687791
1060	0,5334706	0,8393545	0,0851749	0,1692722	0,5909857	0,1434605	0,5882559	0,4731355	0,5617155	0,3529332	0,0807300	0,4453674	0,3328799	0,3154031	0,5232840	0,3269476
1080	0,5683986	0,8268170	0,0639720	0,1475357	0,5166286	0,1108207	0,5951918	0,4278719	0,6276089	0,5321696	0,0726326	0,3924474	0,2426389	0,4531976	0,4014471	0,3473782
1100	0,6041929	0,7948284	0,0565016	0,1587099	0,4566995	0,2215759	0,6299218	0,4864021	0,4797027	0,4108655	0,0841945	0,3016626	0,3133484	0,3933515	0,5734227	0,5010819

0	0,5080551	0,7274879	0,1222697	0,1599424	0,4529787	0,1263648	0,5329445	0,5077274	0,5921341	0,3686418	0,1011522	0,3851296	0,2332135	0,2942248	0,4780131	0,3829380
20	0,5187055	0,5589098	0,0719474	0,1847087	0,5396587	0,1813851	0,5238204	0,3587488	0,5688555	0,3531223	0,0898179	0,4509782	0,2702641	0,2906065	0,4794319	0,3078387
