"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
540	0,3786407	0,6644143	0,2677128	0,1171786	0,1132357	0,0786027	0,3354327	0,4046523	0,0141792	0,8993379	0,0118176	0,9725512	0,8873576	0,6356699	0,0000696	0,2881517
560	0,3786406	0,6644144	0,2677128	0,1171785	0,1132350	0,0786078	0,3354327	0,4046523	0,0141792	0,8993379	0,0118148	0,9725512	0,8873576	0,6356699	0,0000696	0,2881517
580	0,3786406	0,6644145	0,5396264	0,5254133	0,4185588	0,4199928	0,3354327	0,4046523	0,0141792	0,8993379	0,0504544	0,9725512	0,8873576	0,6356699	0,0045685	0,2881517
600	0,3786405	0,6644145	0,6847641	0,7445920	0,6082125	0,4930263	0,3354327	0,4046523	0,0141792	0,8993379	0,0775813	0,9725512	0,8873576	0,6356699	0,0072342	0,2881517
620	0,3786405	0,6644146	0,7322065	0,8596826	0,6712734	0,4202640	0,3354327	0,4046523	0,0141792	0,8993379	0,0966258	0,9725512	0,8873576	0,6356699	0,0088136	0,2881517
640	0,3786405	0,6644146	0,7185712	0,9132563	0,6215292	0,3299838	0,3354327	0,4046523	0,0141792	0,8993379	0,1099960	0,9725512	0,8873576	0,6356699	0,0097495	0,2881517
660	0,3786404	0,6644147	0,6830188	0,9340235	0,5443144	0,2643381	0,3354327	0,4046523	0,0141792	0,8993379	0,1193825	0,9725512	0,8873576	0,6356699	0,0103040	0,2881517
680	0,3786404	0,6644147	0,6498581	0,9439368	0,4883570	0,2260444	0,3354327	0,4046523	0,0141792	0,8993379	0,1259724	0,9725512	0,8873576	0,6356699	0,0106325	0,2881517
700	0,3786404	0,6644147	0,6279759	0,9522696	0,4635948	0,2084682	0,3354327	0,4046523	0,0141792	0,8993379	0,1305988	0,9725512	0,8873576	0,6356699	0,0108272	0,2881517
720	0,3786404	0,6644147	0,6173762	0,9599085	0,4626470	0,2036524	0,3354327	0,4046523	0,0141792	0,8993379	0,1338467	0,9725512	0,8873576	0,6356699	0,0109426	0,2881517
740	0,3786404	0,6644147	0,6145867	0,9658427	0,4726008	0,2045351	0,3354327	0,4046523	0,0141792	0,8993379	0,1361270	0,9725512	0,8873576	0,6356699	0,0110109	0,2881517
760	0,3786404	0,6644147	0,6157994	0,9696381	0,4830271	0,2063661	0,3354327	0,4046523	0,0141792	0,8993379	0,1377278	0,9725512	0,8873576	0,6356699	0,0110514	0,2881517
780	0,3786404	0,6644148	0,6182411	0,9715643	0,4891708	0,2071339	0,3354327	0,4046523	0,0141792	0,8993379	0,1388517	0,9725512	0,8873576	0,6356699	0,0110754	0,2881517
800	0,3786404	0,6644148	0,6204153	0,9722299	0,4908600	0,2067434	0,3354327	0,4046523	0,0141792	0,8993379	0,1396407	0,9725512	0,8873576	0,6356699	0,0110896	0,2881517
820	0,3786404	0,6644148	0,6218052	0,9722625	0,4899462	0,2058271	0,3354327	0,4046523	0,0141792	0,8993379	0,1401946	0,9725512	0,8873576	0,6356699	0,0110980	0,2881517
840	0,3786404	0,6644148	0,6224481	0,9721139	0,4883256	0,2049664	0,3354327	0,4046523	0,0141792	0,8993379	0,1405835	0,9725512	0,8873576	0,6356699	0,0111030	0,2881517
860	0,3786404	0,6644148	0,6225919	0,9720082	0,4870988	0,2044312	0,3354327	0,4046523	0,0141792	0,8993379	0,1408565	0,9725512	0,8873576	0,6356699	0,0111060	0,2881517
880	0,3786404	0,6644148	0,6224912	0,9719966	0,4865625	0,2042253	0,3354327	0,4046523	0,0141792	0,8993379	0,1410482	0,9725512	0,8873576	0,6356699	0,0111077	0,2881517
900	0,3786404	0,6644148	0,6223241	0,9720460	0,4865480	0,2042262	0,3354327	0,4046523	0,0141792	0,8993379	0,1411828	0,9725512	0,8873576	0,6356699	0,0111088	0,2881517
920	0,3786404	0,6644148	0,6221824	0,9721089	0,4867607	0,2043028	0,3354327	0,4046523	0,0141792	0,8993379	0,1412772	0,9725512	0,8873576	0,6356699	0,0111094	0,2881517
940	0,3786404	0,6644148	0,6220950	0,9721554	0,4869787	0,2043722	0,3354327	0,4046523	0,0141792	0,8993379	0,1413436	0,9725512	0,8873576	0,6356699	0,0111098	0,2881517
960	0,3786404	0,6644148	0,6220566	0,9721776	0,4871058	0,2044053	0,3354327	0,4046523	0,0141792	0,8993379	0,1413901	0,9725512	0,8873576	0,6356699	0,0111100	0,2881517
980	0,3786404	0,6644148	0,6220498	0,9721814	0,4871400	0,2044068	0,3354327	0,4046523	0,0141792	0,8993379	0,1414228	0,9725512	0,8873576	0,6356699	0,0111101	0,2881517
1000	0,3786404	0,6644148	0,6220577	0,9721766	0,4871203	0,2043932	0,3354327	0,4046523	0,0141792	0,8993379	0,1414458	0,9725512	0,8873576	0,6356699	0,0111102	0,2881517
1020	0,3786404	0,6644148	0,6220690	0,9721705	0,4870862	0,2043784	0,3354327	0,4046523	0,0141792	0,8993379	0,1414619	0,9725512	0,8873576	0,6356699	0,0111102	0,2881517
1040	0,3786404	0,6644148	0,6220782	0,9721668	0,4870605	0,2043690	0,3354327	0,4046523	0,0141792	0,8993379	0,1414732	0,9725512	0,8873576	0,6356699	0,0111103	0,2881517
1060	0,3786404	0,6644148	0,6220837	0,9721657	0,4870494	0,2043657	0,3354327	0,4046523	0,0141792	0,8993379	0,1414811	0,9725512	0,8873576	0,6356699	0,0111103	0,2881517
1080	0,3786404	0,6644148	0,6220859	0,9721663	0,4870493	0,2043664	0,3354327	0,4046523	0,0141792	0,8993379	0,1414867	0,9725512	0,8873576	0,6356699	0,0111103	0,2881517
1100	0,3786404	0,6644148	0,6220862	0,9721674	0,4870538	0,2043683	0,3354327	0,4046523	0,0141792	0,8993379	0,1414906	0,9725512	0,8873576	0,6356699	0,0111103	0,2881517

0	0,3787516	0,6642103	0,6220841	0,9721681	0,4870590	0,2043697	0,3354457	0,4046523	0,0141792	0,8993376	0,1415097	0,9725412	0,8873498	0,6356676	0,0111103	0,2881517
20	0,3027805	0,6670553	0,6220841	0,9561343	0,3247542	0,2088726	0,3364705	0,3617124	0,0082720	0,9007924	0,1077490	0,9729012	0,8882201	0,6386955	0,0066455	0,2895144
40	0,2490526	0,6802888	0,6220841	0,9528714	0,2201078	0,2338143	0,3413807	0,3381160	0,0052740	0,9068911	0,0851107	0,9744344	0,8920937	0,6522820	0,0040126	0,2959327
60	0,2112174	0,7026549	0,6220840	0,9546734	0,1534530	0,2896985	0,3498751	0,3283684	0,0038807	0,9158037	0,0705904	0,9767446	0,8982270	0,6738968	0,0024699	0,3068960
80	0,1843467	0,7286162	0,6220840	0,9569808	0,1109287	0,3798970	0,3599283	0,3265537	0,0033246	0,9247155	0,0615758	0,9791686	0,9049284	0,6973724	0,0015718	0,3194639
100	0,1649017	0,7533166	0,6220839	0,9586035	0,0835207	0,4959698	0,3695535	0,3281305	0,0031519	0,9320092	0,0559972	0,9812977	0,9109643	0,7181209	0,0010501	0,3307112
120	0,1504972	0,7741445	0,6220839	0,9595705	0,0657065	0,6185098	0,3775672	0,3304091	0,0031171	0,9372330	0,0524219	0,9829784	0,9157775	0,7341443	0,0007460	0,3390673
140	0,1395859	0,7903882	0,6220839	0,9601123	0,0540770	0,7280821	0,3836221	0,3322160	0,0031115	0,9406010	0,0499908	0,9842128	0,9193043	0,7453564	0,0005669	0,3443823
160	0,1311739	0,8024060	0,6220839	0,9604085	0,0464703	0,8145107	0,3879054	0,3332908	0,0031015	0,9425808	0,0482450	0,9850752	0,9217390	0,7526320	0,0004601	0,3473083
180	0,1246121	0,8109747	0,6220839	0,9605690	0,0414910	0,8769928	0,3908180	0,3337748	0,0030845	0,9436497	0,0469521	0,9856593	0,9233573	0,7570992	0,0003959	0,3486870
200	0,1194603	0,8169235	0,6220839	0,9606556	0,0382304	0,9196290	0,3927691	0,3339033	0,0030660	0,9441850	0,0459890	0,9860502	0,9244157	0,7597538	0,0003571	0,3492160
220	0,1154063	0,8209742	0,6220839	0,9607022	0,0360951	0,9476613	0,3940853	0,3338691	0,0030504	0,9444393	0,0452790	0,9863130	0,9251111	0,7613245	0,0003335	0,3493549
240	0,1122183	0,8236950	0,6220839	0,9607273	0,0346966	0,9656678	0,3949940	0,3337896	0,0030394	0,9445607	0,0447646	0,9864929	0,9255780	0,7622793	0,0003194	0,3493562
260	0,1097179	0,8255063	0,6220839	0,9607408	0,0337806	0,9770752	0,3956399	0,3337196	0,0030327	0,9446249	0,0443988	0,9866190	0,9259008	0,7628902	0,0003109	0,3493335
280	0,1077642	0,8267074	0,6220839	0,9607481	0,0331807	0,9842495	0,3961108	0,3336748	0,0030293	0,9446657	0,0441426	0,9867092	0,9261302	0,7633035	0,0003059	0,3493234
300	0,1062445	0,8275044	0,6220839	0,9607520	0,0327878	0,9887493	0,3964596	0,3336528	0,0030279	0,9446957	0,0439650	0,9867745	0,9262960	0,7635944	0,0003030	0,3493292
320	0,1050680	0,8280364	0,6220839	0,9607541	0,0325304	0,9915735	0,3967192	0,3336456	0,0030275	0,9447188	0,0438425	0,9868221	0,9264166	0,7638024	0,0003013	0,3493434
340	0,1041615	0,8283955	0,6220839	0,9607552	0,0323619	0,9933513	0,3969119	0,3336457	0,0030275	0,9447360	0,0437578	0,9868567	0,9265041	0,7639504	0,0003003	0,3493589
360	0,1034662	0,8286416	0,6220839	0,9607558	0,0322515	0,9944757	0,3970540	0,3336483	0,0030276	0,9447481	0,0436991	0,9868817	0,9265671	0,7640540	0,0002997	0,3493716
380	0,1029351	0,8288136	0,6220839	0,9607562	0,0321792	0,9951909	0,3971580	0,3336510	0,0030277	0,9447560	0,0436581	0,9868996	0,9266121	0,7641249	0,0002994	0,3493804
400	0,1025311	0,8289363	0,6220839	0,9607563	0,0321318	0,9956486	0,3972335	0,3336528	0,0030278	0,9447609	0,0436294	0,9869124	0,9266439	0,7641726	0,0002992	0,3493857
420	0,1022248	0,8290257	0,6220839	0,9607564	0,0321008	0,9959434	0,3972882	0,3336538	0,0030278	0,9447638	0,0436091	0,9869215	0,9266664	0,7642040	0,0002991	0,3493884
440	0,1019934	0,8290919	0,6220839	0,9607565	0,0320804	0,9961345	0,3973277	0,3336542	0,0030278	0,9447654	0,0435948	0,9869280	0,9266821	0,7642246	0,0002990	0,3493896
460	0,1018189	0,8291419	0,6220839	0,9607565	0,0320671	0,9962590	0,3973562	0,3336542	0,0030278	0,9447662	0,0435847	0,9869325	0,9266931	0,7642381	0,0002989	0,3493900
480	0,1016876	0,8291799	0,6220839	0,9607565	0,0320584	0,9963407	0,3973768	0,3336541	0,0030278	0,9447666	0,0435776	0,9869358	0,9267009	0,7642469	0,0002989	0,3493901
500	0,1015891	0,8292091	0,6220839	0,9607565	0,0320527	0,9963944	0,3973917	0,3336540	0,0030278	0,9447669	0,0435726	0,9869381	0,9267063	0,7642528	0,0002989	0,3493901
520	0,1015153	0,8292317	0,6220839	0,9607565	0,0320490	0,9964300	0,3974025	0,3336540	0,0030278	0,9447670	0,0435691	0,9869397	0,9267102	0,7642567	0,0002989	0,3493900
540	0,1014600	0,8292490	0,6220839	0,9607565	0,0320465	0,9964535	0,3974104	0,3336539	0,0030278	0,9447671	0,0435666	0,9869409	0,9267129	0,7642593	0,0002989	0,3493900
560	0,1014186	0,8292625	0,6220839	0,9607565	0,0320449	0,9964692	0,3974161	0,3336539	0,0030278	0,9447672	0,0435649	0,9869417	0,9267149	0,7642611	0,0002989	0,3493900
580	0,1852959	0,8287001	0,6220839	0,9789038	0,3659860	0,9881818	0,3958446	0,3837600	0,0091073	0,9434975	0,0772475	0,9866775	0,9258472	0,7608340	0,0047902	0,3466037
600	0,2447277	0,8249861	0,6220839	0,9886052	0,5822192	0,8889847	0,3890777	0,4077194	0,0119677	0,9377351	0,0990871	0,9853847	0,9218469	0,7455694	0,0074142	0,3359450
620	0,2860366	0,8156369	0,6220839	0,9925044	0,6868489	0,6803248	0,3788850	0,4146097	0,0132030	0,9285750	0,1128953	0,9831351	0,9153449	0,7218525	0,0089404	0,3220870
640	0,3140585	0,8001573	0,6220839	0,9877489	0,6581498	0,4862167	0,3682616	0,4135683	0,0137117	0,9189528	0,1217374	0,9805355	0,9082166	0,6970495	0,0098299	0,3097002
660	0,3326466	0,7804687	0,6220839	0,9751550	0,5734334	0,3532662	0,3590632	0,4102494	0,0139204	0,9110430	0,1275722	0,9781652	0,9019258	0,6761545	0,0103507	0,3005652
680	0,3448246	0,7594996	0,6220839	0,9647108	0,5028263	0,2742839	0,3519518	0,4072619	0,0140144	0,9055935	0,1315627	0,9763174	0,8971028	0,6608957	0,0106576	0,2946682
700	0,3528424	0,7397328	0,6220839	0,9617037	0,4659357	0,2331488	0,3468502	0,4053724	0,0140674	0,9023500	0,1343800	0,9750237	0,8937475	0,6508650	0,0108397	0,2912780
720	0,3582687	0,7226319	0,6220839	0,9639001	0,4585892	0,2156017	0,3433575	0,4044831	0,0141045	0,9006673	0,1364104	0,9741801	0,8915597	0,6447735	0,0109484	0,2895431
740	0,3621272	0,7087200	0,6220839	0,9675796	0,4674344	0,2103623	0,3410155	0,4042322	0,0141323	0,8999115	0,1378839	0,9736499	0,8901810	0,6412646	0,0110137	0,2887602
760	0,3650427	0,6978913	0,6220839	0,9705686	0,4795969	0,2096156	0,3394388	0,4042845	0,0141522	0,8996226	0,1389492	0,9733169	0,8893129	0,6392776	0,0110529	0,2884516
780	0,3673723	0,6897160	0,6220839	0,9722251	0,4879546	0,2093155	0,3383527	0,4044240	0,0141653	0,8995276	0,1397118	0,9731009	0,8887497	0,6381183	0,0110763	0,2883419
800	0,3693072	0,6836585	0,6220839	0,9727493	0,4911007	0,2083238	0,3375808	0,4045475	0,0141729	0,8994926	0,1402513	0,9729529	0,8883657	0,6373906	0,0110903	0,2882977
820	0,3709451	0,6792049	0,6220839	0,9726373	0,4906973	0,2069139	0,3370169	0,4046247	0,0141768	0,8994664	0,1406293	0,9728463	0,8880914	0,6368934	0,0110985	0,2882674
