"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
540	0,4671434	0,5286565	0,4358360	0,0333130	0,0416238	0,0304868	0,6586271	0,1276349	0,0412898	0,0390439	0,0344981	0,4282039	0,0699492	0,7222228	0,0090709	0,5943045
560	0,3829421	0,4529262	0,4836826	0,0244059	0,0365185	0,0167641	0,6587902	0,1678732	0,0471583	0,0657440	0,0673904	0,3301649	0,1489614	0,7212066	0,0082833	0,4717807
580	0,4524642	0,4431704	0,3393006	0,0246911	0,0541355	0,0819603	0,5881516	0,1110807	0,0624774	0,0554975	0,0500181	0,2682126	0,0844476	0,6637952	0,0150386	0,5719441
600	0,5097558	0,4823551	0,4433897	0,0264630	0,0237556	0,1731299	0,4306047	0,3203706	0,0641108	0,0595629	0,0338274	0,3777643	0,0676985	0,7375077	0,0131077	0,6775852
620	0,6918746	0,5429858	0,5079193	0,0299320	0,0468207	0,2541820	0,4007839	0,4524591	0,0652327	0,0680166	0,0365619	0,2348772	0,0864574	0,7759288	0,0042488	0,6507700
640	0,5832373	0,5959573	0,5752227	0,0357157	0,0149046	0,3587466	0,3553247	0,7064932	0,0523565	0,0342061	0,0384428	0,2488456	0,0933971	0,5965126	0,0030808	0,7068080
660	0,5526113	0,4154464	0,4720626	0,0619887	0,0335075	0,4298268	0,1772724	0,7253304	0,0726083	0,0485223	0,0313934	0,1675677	0,0555292	0,7431239	0,0063071	0,7039796
680	0,5417060	0,6359506	0,5226637	0,0295946	0,0465900	0,5640336	0,2009416	0,7798318	0,0530919	0,0921061	0,0632801	0,1182010	0,0900244	0,7912898	0,0062283	0,6821857
700	0,5378614	0,5679226	0,5379300	0,0288013	0,0236663	0,4780139	0,1364081	0,7585244	0,0706250	0,0424357	0,0289740	0,0649052	0,0990997	0,6873937	0,0059758	0,6264424
720	0,6006600	0,6213281	0,4881055	0,0177554	0,0369897	0,6025097	0,1254199	0,6823242	0,0449037	0,0482354	0,0566330	0,0681469	0,1046785	0,7387164	0,0102275	0,6527080
740	0,5162159	0,5702425	0,3824026	0,0064834	0,0416514	0,7278549	0,0662644	0,7354907	0,0596902	0,0246236	0,0380460	0,0303209	0,1989639	0,8065081	0,0090076	0,7158049
760	0,5170961	0,7063851	0,4981551	0,0194251	0,0300554	0,6890793	0,0687725	0,6918830	0,0730360	0,0245283	0,0552631	0,0542500	0,0891372	0,6857690	0,0031572	0,6621236
780	0,6041261	0,7303178	0,5458717	0,0031397	0,0230639	0,7465151	0,0659063	0,8220808	0,0345556	0,0484203	0,0921533	0,0170033	0,0735302	0,7040631	0,0098637	0,6487051
800	0,4974260	0,6663747	0,5123945	0,0257564	0,0387454	0,7615751	0,0503968	0,7086157	0,0637355	0,0353289	0,0938034	0,0184127	0,0755238	0,7934570	0,0175914	0,6512929
820	0,5428881	0,5943214	0,5158855	0,0246553	0,0329376	0,6891527	0,0451211	0,8155885	0,0659666	0,0414173	0,1257369	0,0260916	0,0988255	0,7413618	0,0043833	0,7708840
840	0,5031965	0,6966540	0,4328598	0,0298111	0,0293779	0,6677719	0,0685409	0,8673908	0,0654474	0,0283255	0,0776110	0,0099751	0,0952800	0,7202251	0,0022619	0,8194051
860	0,6657084	0,6853156	0,4090861	0,0277519	0,0299724	0,8718106	0,0374617	0,8157886	0,0424561	0,0238112	0,0611086	0,0108664	0,1167695	0,6596929	0,0086076	0,7869820
880	0,4930002	0,6541922	0,4642469	0,0299385	0,0286285	0,9233308	0,0342478	0,7566232	0,0507182	0,0390509	0,0885136	0,0209437	0,1018210	0,8154634	0,0036480	0,8715921
900	0,5395596	0,6419991	0,4178307	0,0567366	0,0472600	0,7121530	0,0699729	0,7518281	0,0589930	0,0245164	0,0618452	0,0137731	0,1723078	0,8872872	0,0089169	0,7895911
920	0,6023909	0,6360170	0,4004694	0,0174347	0,0333693	0,8364712	0,0714204	0,8118222	0,0732656	0,0347937	0,0686643	0,0280992	0,1562834	0,8253320	0,0022834	0,7225136
940	0,5669949	0,5982135	0,4596837	0,0256946	0,0083878	0,8420274	0,0924802	0,7275061	0,0574411	0,0313563	0,0430280	0,0182177	0,1292596	0,6798956	0,0007883	0,8248655
960	0,7000882	0,7174542	0,4068727	0,0295165	0,0167318	0,6835284	0,0646041	0,7958140	0,0557651	0,0432472	0,0709022	0,0144187	0,1257361	0,6825699	0,0003086	0,8567850
980	0,5707805	0,5738008	0,4282752	0,0210567	0,0493311	0,7535939	0,0645183	0,7643716	0,0583962	0,0313302	0,0425631	0,0283963	0,1221413	0,6503417	0,0002937	0,8358141
1000	0,6249887	0,6382975	0,4850287	0,0209056	0,0354441	0,7215096	0,0419978	0,8721527	0,0753513	0,0608024	0,0325153	0,0168717	0,1443497	0,6908931	0,0038554	0,8105745
1020	0,6459524	0,6949344	0,4939317	0,0338847	0,0403520	0,8205909	0,0311948	0,7484501	0,0525998	0,0492338	0,0458029	0,0286751	0,1365295	0,6807325	0,0019318	0,6743577
1040	0,6760657	0,7762690	0,4920018	0,0308861	0,0697588	0,6878566	0,0680646	0,9055839	0,0455347	0,0777833	0,0527814	0,0209578	0,1419475	0,6889126	0,0176776	0,7329083
1060	0,5450107	0,7004392	0,4341453	0,0340057	0,0234002	0,6975281	0,0435964	0,6821137	0,0418083	0,0479791	0,0363960	0,0244713	0,1091177	0,6536218	0,0161806	0,7286075
1080	0,5760626	0,7559700	0,4697857	0,0223072	0,0375369	0,7733463	0,0413159	0,7316112	0,0541909	0,0495297	0,0495072	0,0308978	0,0714355	0,5691201	0,0119541	0,6714850
1100	0,5834596	0,7028890	0,5499547	0,0129330	0,0231171	0,6543966	0,0329800	0,7333208	0,0384680	0,0240840	0,0564610	0,0557809	0,0717760	0,7033151	0,0055341	0,6709740

0	0,5642705	0,6081646	0,5781707	0,0240713	0,0220107	0,7441537	0,1148835	0,7484665	0,0907459	0,0498454	0,0656713	0,0224207	0,1257881	0,7915039	0,0027783	0,7446669
20	0,7015088	0,6718051	0,4430283	0,0250775	0,0251003	0,7082648	0,0996021	0,6064543	0,1090293	0,0677155	0,0490176	0,0850277	0,0566752	0,6378779	0,0097054	0,7635847
