hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD	Time	Experiment
1	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	660	6
1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	680	6
1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	700	6
0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	720	6
0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	740	6
1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	760	6
1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	780	6
1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	800	6
1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	820	6
0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	840	6
1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	860	6
0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	880	6
0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	900	6
1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	920	6
0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	940	6
0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	960	6
0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	980	6
0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1000	6
0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1020	6
0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1040	6
1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1060	6
1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1080	6
0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1100	6
0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	7
0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	1	20	7
1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	40	7
0	1	0	1	0	1	0	0	1	1	0	1	0	0	1	1	60	7
0	1	1	0	1	1	1	0	1	0	0	1	0	0	1	1	80	7
0	1	0	1	0	1	1	0	0	0	1	1	0	0	1	1	100	7
1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	120	7
0	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	140	7
0	0	0	1	0	1	1	0	0	1	1	1	0	0	1	1	160	7
0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	180	7
1	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	200	7
0	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	220	7
1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	1	240	7
0	1	0	1	1	1	1	0	0	1	1	1	0	0	1	1	260	7
0	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	280	7
1	0	1	1	0	1	1	0	1	1	0	1	0	0	1	1	300	7
0	1	0	1	0	1	1	0	1	1	0	1	0	0	1	1	320	7
1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	340	7
0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	1	360	7
0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	1	380	7
1	0	1	1	1	1	1	0	0	1	0	1	0	0	1	1	400	7
1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	420	7
1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	440	7
0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	460	7
0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	480	7
0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	500	7
0	1	1	0	0	1	1	0	0	1	0	1	0	0	1	1	520	7
0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	540	7
1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	560	7
0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	580	7
0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	600	7
0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	620	7
0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	640	7
1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	660	7
1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	680	7
1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	700	7
0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	720	7
1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	740	7
1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	760	7
0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	780	7
1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	800	7
1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	820	7
0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	840	7
0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	860	7
0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	880	7
1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	900	7
1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	920	7
0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	940	7
0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	960	7
0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	980	7
1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1000	7
0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1020	7
0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1040	7
0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1060	7
1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1080	7
1	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1100	7
0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	8
0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	20	8
0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	40	8
0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	60	8
0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	80	8
0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	100	8
0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	120	8
0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	1	140	8
0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	1	160	8
0	0	1	0	1	1	0	0	0	1	1	1	0	1	1	1	180	8
0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	200	8
0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	220	8
0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	240	8
0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	260	8
0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	280	8
0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	300	8
0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	320	8
0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	340	8
0	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	360	8
0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	380	8
0	0	1	0	1	1	0	0	1	0	0	1	1	1	1	1	400	8
0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	420	8
0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	440	8
0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	460	8
0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	480	8
0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	500	8
0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	520	8
0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	540	8
0	0	1	0	1	1	0	0	1	1	0	1	0	1	1	1	560	8
0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	580	8
0	0	0	1	0	1	0	0	1	1	0	1	1	0	1	0	600	8
1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	620	8
0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	640	8
0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	660	8
1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	1	680	8
0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	700	8
0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	720	8
1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	740	8
1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	760	8
0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	780	8
0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	800	8
1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	820	8
0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	840	8
0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	860	8
0	1	0	1	1	0	0	0	0	1	0	1	1	0	1	0	880	8
0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	900	8
0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	920	8
0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	940	8
0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	960	8
1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	980	8
1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1000	8
1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1020	8
0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1040	8
1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1060	8
1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1080	8
1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1100	8
0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	9
0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	20	9
1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	40	9
1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	60	9
1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	80	9
1	1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	100	9
0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	1	120	9
0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	1	140	9
1	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	160	9
0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	1	180	9
1	1	1	1	0	0	1	0	1	0	1	1	1	0	1	1	200	9
0	1	1	1	0	0	1	0	1	0	1	1	1	0	1	1	220	9
0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	240	9
0	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	260	9
0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	280	9
0	1	1	0	1	0	1	0	1	0	1	1	0	0	1	1	300	9
1	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	320	9
0	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	340	9
0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	360	9
0	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	380	9
0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	1	400	9
0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	1	420	9
0	1	1	1	0	0	1	0	1	0	1	1	0	0	1	1	440	9
0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	1	460	9
1	1	1	1	0	0	1	0	1	0	1	1	1	0	1	1	480	9
0	1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	500	9
1	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	520	9
0	1	1	0	0	0	1	0	1	1	1	1	0	0	1	1	540	9
1	0	0	1	1	0	1	0	1	1	1	1	1	0	1	1	560	9
0	1	1	1	0	0	1	0	1	0	1	1	1	0	1	1	580	9
0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	600	9
1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	620	9
0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	640	9
0	1	1	0	1	0	0	0	0	0	1	1	1	0	1	0	660	9
0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	680	9
0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	700	9
0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	720	9
0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	740	9
0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	760	9
0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	780	9
0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	800	9
0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	820	9
0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	840	9
0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	860	9
0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	880	9
0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	900	9
0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	920	9
0	1	1	0	1	0	0	0	0	0	1	1	1	0	1	0	940	9
0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	960	9
0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	980	9
0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1000	9
0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1020	9
0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1040	9
0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1060	9
0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1080	9
0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1100	9
