"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
540	0,2225206	1,0000000	0,3851577	0,3666935	0,0000320	0,4904172	0,3895851	0,0355394	0,7047279	0,4436188	0,1619179	0,3335520	0,0187721	0,2717174	0,0149033	0,0007595
560	0,2225206	1,0000000	0,3851577	0,3666935	0,0000320	0,4904172	0,3895851	0,0355394	0,7047291	0,4436188	0,1619179	0,3335520	0,0187721	0,2717174	0,0149033	0,0007590
580	0,2225206	1,0000000	0,4268820	0,3666935	0,0000320	0,4904172	0,1968970	0,0355394	0,4826087	0,4436188	0,1498011	0,3335520	0,0187721	0,1583068	0,0149033	0,0314000
600	0,2225206	1,0000000	0,4434095	0,3666935	0,0000320	0,4904172	0,1030699	0,0355394	0,3406935	0,4436188	0,1426292	0,3335520	0,0187721	0,0922467	0,0149033	0,0516586
620	0,2225206	1,0000000	0,4460257	0,3666935	0,0000320	0,4904172	0,0573820	0,0355394	0,2500223	0,4436188	0,1383841	0,3335520	0,0187721	0,0537676	0,0149033	0,0650528
640	0,2225206	1,0000000	0,4437293	0,3666935	0,0000320	0,4904172	0,0351348	0,0355394	0,1920915	0,4436188	0,1358715	0,3335520	0,0187721	0,0313540	0,0149033	0,0739085
660	0,2225206	1,0000000	0,4409988	0,3666935	0,0000320	0,4904172	0,0243019	0,0355394	0,1550788	0,4436188	0,1343843	0,3335520	0,0187721	0,0182985	0,0149033	0,0797635
680	0,2225206	1,0000000	0,4392541	0,3666935	0,0000320	0,4904172	0,0190269	0,0355394	0,1314310	0,4436188	0,1335040	0,3335520	0,0187721	0,0106938	0,0149033	0,0836347
700	0,2225206	1,0000000	0,4384978	0,3666935	0,0000320	0,4904172	0,0164583	0,0355394	0,1163222	0,4436188	0,1329829	0,3335520	0,0187721	0,0062642	0,0149033	0,0861941
720	0,2225206	1,0000000	0,4383308	0,3666935	0,0000320	0,4904172	0,0152075	0,0355394	0,1066690	0,4436188	0,1326745	0,3335520	0,0187721	0,0036840	0,0149033	0,0878863
740	0,2225206	1,0000000	0,4384001	0,3666935	0,0000320	0,4904172	0,0145985	0,0355394	0,1005015	0,4436188	0,1324920	0,3335520	0,0187721	0,0021811	0,0149033	0,0890051
760	0,2225206	1,0000000	0,4385089	0,3666935	0,0000320	0,4904172	0,0143019	0,0355394	0,0965610	0,4436188	0,1323839	0,3335520	0,0187721	0,0013056	0,0149033	0,0897448
780	0,2225206	1,0000000	0,4385847	0,3666935	0,0000320	0,4904172	0,0141575	0,0355394	0,0940433	0,4436188	0,1323200	0,3335520	0,0187721	0,0007957	0,0149033	0,0902339
800	0,2225206	1,0000000	0,4386204	0,3666935	0,0000320	0,4904172	0,0140872	0,0355394	0,0924348	0,4436188	0,1322821	0,3335520	0,0187721	0,0004987	0,0149033	0,0905572
820	0,2225206	1,0000000	0,4386301	0,3666935	0,0000320	0,4904172	0,0140530	0,0355394	0,0914071	0,4436188	0,1322597	0,3335520	0,0187721	0,0003257	0,0149033	0,0907710
840	0,2225206	1,0000000	0,4386284	0,3666935	0,0000320	0,4904172	0,0140363	0,0355394	0,0907504	0,4436188	0,1322464	0,3335520	0,0187721	0,0002249	0,0149033	0,0909124
860	0,2225206	1,0000000	0,4386242	0,3666935	0,0000320	0,4904172	0,0140282	0,0355394	0,0903309	0,4436188	0,1322386	0,3335520	0,0187721	0,0001662	0,0149033	0,0910058
880	0,2225206	1,0000000	0,4386210	0,3666935	0,0000320	0,4904172	0,0140242	0,0355394	0,0900629	0,4436188	0,1322339	0,3335520	0,0187721	0,0001320	0,0149033	0,0910676
900	0,2225206	1,0000000	0,4386193	0,3666935	0,0000320	0,4904172	0,0140223	0,0355394	0,0898916	0,4436188	0,1322312	0,3335520	0,0187721	0,0001121	0,0149033	0,0911085
920	0,2225206	1,0000000	0,4386188	0,3666935	0,0000320	0,4904172	0,0140214	0,0355394	0,0897822	0,4436188	0,1322296	0,3335520	0,0187721	0,0001005	0,0149033	0,0911355
940	0,2225206	1,0000000	0,4386188	0,3666935	0,0000320	0,4904172	0,0140209	0,0355394	0,0897123	0,4436188	0,1322286	0,3335520	0,0187721	0,0000937	0,0149033	0,0911533
960	0,2225206	1,0000000	0,4386190	0,3666935	0,0000320	0,4904172	0,0140207	0,0355394	0,0896676	0,4436188	0,1322280	0,3335520	0,0187721	0,0000898	0,0149033	0,0911651
980	0,2225206	1,0000000	0,4386191	0,3666935	0,0000320	0,4904172	0,0140206	0,0355394	0,0896391	0,4436188	0,1322277	0,3335520	0,0187721	0,0000875	0,0149033	0,0911729
1000	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0896209	0,4436188	0,1322275	0,3335520	0,0187721	0,0000861	0,0149033	0,0911781
1020	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0896092	0,4436188	0,1322274	0,3335520	0,0187721	0,0000854	0,0149033	0,0911815
1040	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0896018	0,4436188	0,1322273	0,3335520	0,0187721	0,0000849	0,0149033	0,0911838
1060	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895970	0,4436188	0,1322273	0,3335520	0,0187721	0,0000847	0,0149033	0,0911853
1080	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895940	0,4436188	0,1322272	0,3335520	0,0187721	0,0000845	0,0149033	0,0911863
1100	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895920	0,4436188	0,1322272	0,3335520	0,0187721	0,0000844	0,0149033	0,0911869

0	0,2225206	1,0000000	0,4386192	0,3666935	0,0000393	0,4904181	0,0140205	0,0355394	0,0895915	0,4436188	0,1322273	0,3335521	0,0187737	0,0000843	0,0149094	0,0912021
20	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904178	0,0140205	0,0355394	0,0790802	0,2709234	0,1322272	0,3335520	0,0665672	0,0000843	0,0567893	0,0911974
40	0,2225206	1,0000000	0,4386192	0,3666935	0,0000265	0,4904176	0,0140205	0,0355394	0,0723644	0,1767799	0,1322272	0,3335520	0,1021797	0,0000843	0,0834499	0,0911943
60	0,2225206	1,0000000	0,4386192	0,3666935	0,0000225	0,4904175	0,0140205	0,0355394	0,0680735	0,1254584	0,1322272	0,3335520	0,1287159	0,0000843	0,1004218	0,0911922
80	0,2225206	1,0000000	0,4386192	0,3666935	0,0000195	0,4904174	0,0140205	0,0355394	0,0653320	0,0974809	0,1322272	0,3335520	0,1484888	0,0000843	0,1112260	0,0911908
100	0,2225206	1,0000000	0,4386192	0,3666935	0,0000172	0,4904173	0,0140205	0,0355394	0,0635804	0,0822292	0,1322272	0,3335520	0,1632223	0,0000843	0,1181039	0,0911899
120	0,2225206	1,0000000	0,4386192	0,3666935	0,0000155	0,4904173	0,0140205	0,0355394	0,0624613	0,0739148	0,1322272	0,3335520	0,1742008	0,0000843	0,1224823	0,0911893
140	0,2225206	1,0000000	0,4386192	0,3666935	0,0000143	0,4904172	0,0140205	0,0355394	0,0617462	0,0693824	0,1322272	0,3335520	0,1823812	0,0000843	0,1252695	0,0911889
