"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
540	0,5133246	0,0315629	0,5007157	0,6566734	0,4434211	0,9999969	0,9995702	0,9948494	0,6320604	0,5691758	0,3035536	0,4019376	0,4017880	0,3475564	0,2912873	0,5371172
560	0,5131824	0,0315757	0,5008705	0,6577084	0,4434211	0,9999976	0,9995687	0,9948339	0,6336969	0,5691761	0,3042187	0,4019608	0,4018600	0,3478781	0,2920866	0,5371120
580	0,5223930	0,4218728	0,5617562	0,6580868	0,6925133	0,9999631	0,9980415	0,9850471	0,6375674	0,7566986	0,3069095	0,3752417	0,3278305	0,3494443	0,2944474	0,4313845
600	0,5616185	0,6198469	0,5828183	0,6519442	0,8301264	0,9976956	0,9804114	0,9080321	0,6467221	0,8625905	0,3140880	0,2699885	0,1945471	0,3539271	0,2989590	0,3669957
620	0,6194112	0,7006865	0,5801383	0,6287942	0,9061519	0,9739170	0,9313141	0,7696349	0,6524269	0,9223875	0,3197241	0,1766717	0,1105088	0,3579512	0,2989436	0,3362716
640	0,6786819	0,6998771	0,5630414	0,5869003	0,9481528	0,8873722	0,8634450	0,6316232	0,6475688	0,9561543	0,3203131	0,1158162	0,0625114	0,3590625	0,2926201	0,3255244
660	0,7301951	0,6602776	0,5399120	0,5345896	0,9713566	0,7434732	0,8008788	0,5230955	0,6314046	0,9752208	0,3158531	0,0786326	0,0358145	0,3568570	0,2812975	0,3226845
680	0,7712779	0,6181822	0,5167638	0,4818614	0,9841757	0,5965257	0,7572300	0,4476937	0,6069618	0,9859850	0,3073443	0,0564875	0,0211266	0,3519130	0,2662253	0,3210426
700	0,8025040	0,5884140	0,4966812	0,4349901	0,9912577	0,4790304	0,7336384	0,3999513	0,5779137	0,9920601	0,2959764	0,0435591	0,0130858	0,3451127	0,2487276	0,3182492
720	0,8255793	0,5717524	0,4806109	0,3963326	0,9951703	0,3955071	0,7249380	0,3723987	0,5472311	0,9954863	0,2830191	0,0361767	0,0086923	0,3373597	0,2303796	0,3141251
