"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
540	0,7832897	0,3239437	0,2654856	0,2981457	0,8594764	0,0035086	0,2828502	0,3578599	0,6112566	0,6210483	0,2672159	0,1428868	0,5803076	0,4717110	0,3188218	0,6304525
560	0,8248377	0,3244266	0,1563632	0,2590514	0,7989815	0,0125979	0,2585771	0,3564515	0,5306216	0,6420361	0,2007365	0,1353773	0,5017231	0,4255565	0,3391245	0,6236393
580	0,7207459	0,2735773	0,3773564	0,3737756	0,7707402	0,0044901	0,3465204	0,4791667	0,4762548	0,7435360	0,2877028	0,0853050	0,5932914	0,3074956	0,3321187	0,6729374
600	0,7363656	0,3608146	0,4821259	0,5983828	0,6917209	0,0026696	0,3395808	0,6194887	0,4004217	0,6469511	0,3160114	0,1159942	0,4734021	0,3461139	0,2768859	0,8122057
620	0,8373289	0,4742225	0,5392033	0,4279252	0,7183940	0,0016266	0,3290422	0,6789833	0,3080985	0,5240288	0,3922388	0,0919309	0,4227888	0,3486956	0,3855435	0,6913515
640	0,8072421	0,5305600	0,5370081	0,3824249	0,8223556	0,0073750	0,3115797	0,7032627	0,2380887	0,3874352	0,4843240	0,0714337	0,4612069	0,3997447	0,4061945	0,6939029
660	0,6327570	0,5061291	0,5500367	0,3481876	0,7710984	0,0207123	0,3421808	0,8073664	0,2542080	0,3377262	0,4034760	0,0477861	0,5379351	0,4264231	0,5013791	0,8315241
680	0,6011895	0,6034878	0,5919021	0,2686068	0,5943650	0,0139605	0,3893572	0,7293914	0,1607109	0,3979338	0,6000420	0,0727798	0,5898826	0,4275953	0,5965670	0,7733379
700	0,6641744	0,5241309	0,6158209	0,2776206	0,7316004	0,0648535	0,3092757	0,6541541	0,1363670	0,3261122	0,7522036	0,0982966	0,6310194	0,3266511	0,5292174	0,7023050
720	0,7469270	0,6185652	0,6347842	0,1917302	0,7087605	0,0430884	0,3098913	0,7370017	0,0639033	0,2440444	0,5245734	0,0799958	0,7468891	0,4332016	0,5032936	0,7257036
