"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
540	0,9313108	0,3134857	0,1846303	0,2389615	0,7046836	0,0076870	0,2534804	0,5119956	0,5005390	0,5755511	0,2408090	0,1316420	0,6478849	0,4091570	0,3687910	0,7178731
560	0,8593441	0,3105845	0,1331138	0,3006845	0,6768234	0,0058219	0,2823463	0,5150423	0,5286552	0,6556604	0,2368554	0,1154560	0,5242141	0,4215134	0,3711747	0,6498001
580	0,8520266	0,4147014	0,1975840	0,2868930	0,6615065	0,0012512	0,2332778	0,3921534	0,5233045	0,7038713	0,2199865	0,0948807	0,4726811	0,4283496	0,3251920	0,6930252
600	0,7722039	0,3496054	0,3079952	0,4414672	0,7681234	0,0063592	0,3281750	0,4407870	0,3772784	0,5963822	0,2369241	0,1137531	0,5105167	0,3689193	0,3443160	0,6602972
620	0,7443262	0,3724836	0,3408992	0,4985106	0,7743367	0,0102496	0,3754759	0,4787766	0,3809552	0,5253142	0,3947171	0,0614972	0,4828898	0,3225744	0,3840264	0,6372757
640	0,8741520	0,3961965	0,3520418	0,4937345	0,7052173	0,0043848	0,3620980	0,5428074	0,3913625	0,5938725	0,3538628	0,0529344	0,4277406	0,3461796	0,3389566	0,5286064
660	0,6755467	0,4671221	0,5175329	0,3697916	0,6403200	0,0275429	0,3748925	0,5597672	0,3613362	0,5362229	0,4794266	0,0224742	0,5454472	0,3081176	0,3506386	0,7327178
680	0,6481683	0,4859752	0,5730675	0,3786884	0,6137269	0,0077240	0,3136862	0,6602354	0,2541697	0,4882292	0,4920682	0,0554926	0,5628156	0,3683564	0,3964191	0,5565594
700	0,6811513	0,5134056	0,5218208	0,4003463	0,6754792	0,0279554	0,3063873	0,7313287	0,2231202	0,3578926	0,5186847	0,0700867	0,6435776	0,4212804	0,5039598	0,6497324
720	0,7359583	0,5478191	0,6568245	0,2221242	0,6744574	0,0394603	0,3702509	0,5818140	0,1855367	0,3477854	0,6068738	0,0711692	0,6213336	0,3678030	0,3878970	0,6628148
740	0,7260286	0,4087233	0,6230883	0,2704377	0,6474217	0,0384610	0,2817304	0,8492708	0,1199161	0,2880951	0,5893610	0,0580102	0,5586723	0,3628016	0,4243723	0,7424920
