"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
540	0,3457560	0,5285209	0,6207896	0,1388733	0,1878040	0,8059439	1,0051048	0,1487271	0,9834485	0,4060007	0,8003848	0,3676285	0,0247708	0,8678638	0,1398605	0,0369627
560	0,3319770	0,5601197	0,6225598	0,0957845	0,1889900	0,8488863	0,9997256	0,1548364	1,0452782	0,3965310	0,7573903	0,3609556	0,0358659	0,8812609	0,1161092	0,0237418
580	0,4385230	0,5187364	0,6846533	0,0987780	0,1751699	0,8804066	1,0356676	0,2624791	1,0474093	0,4196613	0,7764699	0,3173864	0,0557921	0,8736569	0,1321521	0,0336736
600	0,4702322	0,4886649	0,6435723	0,1263428	0,1815209	0,8519899	1,0007076	0,3804741	1,0119421	0,4065362	0,8071644	0,3464215	0,1495715	0,7772964	0,1718759	0,0346464
620	0,5930593	0,4360481	0,6479506	0,1197333	0,1518761	0,8027333	0,9805232	0,4960265	0,9185666	0,3712647	0,8043783	0,3697965	0,2114716	0,5514796	0,1963991	0,0359810
640	0,6633243	0,4105783	0,5937192	0,1571164	0,1563510	0,8229673	0,9898262	0,5763097	0,8796387	0,3614708	0,7979467	0,4055210	0,2897455	0,4333666	0,2458848	0,0367147
660	0,7677019	0,4586604	0,6291513	0,1082368	0,1772312	0,7487867	0,9985641	0,6141837	0,8474764	0,3829974	0,8514420	0,3801826	0,3422679	0,4039525	0,2787208	0,0316504
680	0,8718533	0,4194195	0,5507293	0,1177659	0,1873173	0,7029289	1,0051605	0,6480207	0,8172719	0,3763893	0,9070159	0,3911637	0,4418346	0,3494646	0,2918156	0,0341566
700	0,8621764	0,4133727	0,6040856	0,1031598	0,1774454	0,7240518	0,9414716	0,6963437	0,7549849	0,3769812	0,8597936	0,3558918	0,4081277	0,3448113	0,2587400	0,0403249
720	0,9233057	0,4652140	0,6053999	0,1061899	0,1640021	0,7700062	0,8890161	0,6540303	0,7835876	0,3640061	0,8728799	0,4178434	0,3516750	0,3349545	0,2945076	0,0449449
740	0,9349282	0,4669708	0,6254999	0,1566075	0,1550584	0,7458033	0,8797878	0,6879445	0,7383021	0,3695783	0,8462002	0,4539317	0,4046766	0,3533787	0,2902927	0,0452999
760	0,9978770	0,3620590	0,5737051	0,1312620	0,1766775	0,7415051	0,9473138	0,7153276	0,7283761	0,3728572	0,8140011	0,4291552	0,3703085	0,3567986	0,3124803	0,0414177
780	1,0129400	0,3638026	0,5933628	0,1201429	0,1737958	0,7358574	0,9367341	0,7690476	0,7890481	0,3380985	0,7663492	0,4286125	0,3421247	0,3650862	0,3177493	0,0495501
800	1,0424755	0,3672108	0,7442585	0,1276771	0,1710857	0,6603152	0,8827480	0,6901068	0,8156392	0,3774248	0,7977864	0,4316956	0,3535759	0,3812612	0,2890810	0,0460198
820	0,9747361	0,4124899	0,6964833	0,1228972	0,1711242	0,7245033	0,9610574	0,6745254	0,7812190	0,3792387	0,7499294	0,4068975	0,4222052	0,3548885	0,3071761	0,0392073
840	1,0252214	0,4064981	0,6031285	0,1005490	0,1859587	0,7383193	0,9373436	0,7317344	0,7625754	0,3641993	0,7625685	0,3896053	0,4344155	0,3249985	0,3149004	0,0428457
860	1,0105722	0,4176050	0,6918643	0,1207860	0,1823294	0,7697811	0,9251481	0,7790807	0,7483884	0,3908977	0,7993674	0,4187599	0,4474654	0,2606123	0,3358992	0,0350277
880	0,9452958	0,4489772	0,6950222	0,1704821	0,1663457	0,7747164	0,9315243	0,7522157	0,7455332	0,4171482	0,7661840	0,4102362	0,4267421	0,2585980	0,3650290	0,0333153
900	0,9747902	0,4570075	0,6312797	0,1192653	0,1484003	0,7809252	0,8446177	0,7191234	0,7064404	0,4127547	0,7833572	0,3771270	0,4860789	0,2398200	0,3373448	0,0339212
920	0,9640101	0,4932259	0,5703269	0,1268566	0,1474044	0,7442806	0,8687426	0,6795090	0,7280741	0,3998130	0,8209210	0,3846658	0,4784869	0,2356763	0,3545210	0,0292066
940	0,9705107	0,4272488	0,5999477	0,1099812	0,1141729	0,7829016	0,8552688	0,6812858	0,7551289	0,3828256	0,8159249	0,3935025	0,5047610	0,2905905	0,3522654	0,0218586
960	1,0523729	0,4291323	0,6021180	0,0913943	0,1505976	0,7798351	0,9558965	0,6631831	0,7340718	0,3575205	0,8863384	0,4843012	0,4660806	0,2831401	0,3617717	0,0210422
980	1,0778659	0,4439269	0,6373784	0,1356651	0,1583330	0,7266123	0,9583730	0,6456222	0,6803048	0,3775100	0,9115102	0,4714725	0,4410793	0,3097979	0,3788239	0,0177450
1000	1,1184277	0,4520514	0,6217885	0,1403986	0,1637730	0,7720419	0,9486166	0,6914691	0,7023523	0,3959213	0,9775597	0,5000722	0,4579222	0,2939757	0,4033606	0,0203077
1020	1,0564702	0,4678036	0,5907684	0,1322402	0,1593407	0,8506553	0,9432483	0,6889834	0,6679761	0,3944275	0,9129595	0,4515709	0,4131192	0,2713051	0,4187334	0,0189696
1040	1,0759335	0,4282385	0,6268276	0,1417069	0,1835537	0,8898218	0,9249053	0,7140642	0,6633249	0,3541994	0,8947137	0,4109772	0,4281755	0,2822543	0,4386339	0,0164874
1060	1,0942038	0,3525728	0,6128835	0,1360190	0,1759358	0,8736868	0,8820867	0,6436768	0,6911281	0,4079568	0,8517818	0,4069211	0,4301431	0,3330559	0,4377375	0,0211169
1080	1,0540552	0,3919650	0,6380513	0,1045710	0,1858536	0,8658241	0,8870412	0,6577921	0,6800232	0,4028077	0,7678262	0,3865063	0,4397164	0,3257970	0,4051478	0,0317630
1100	1,0815643	0,4628236	0,6172672	0,1242981	0,1842810	0,8276697	0,9154052	0,7398915	0,6753779	0,4072351	0,7098352	0,3845713	0,5292200	0,3007944	0,3824814	0,0388615

0	0,9335875	0,4348751	0,5630813	0,1394687	0,1604337	0,8516916	0,9760119	0,6322314	0,7200508	0,3867464	0,9317268	0,3902552	0,4365331	0,3155895	0,4126695	0,0305835
20	1,0057343	0,4097319	0,6750352	0,1074049	0,1924466	0,7839255	0,9922452	0,6314498	0,7071929	0,3972871	0,8656606	0,4367067	0,4234319	0,3732607	0,4946296	0,0475512
40	0,9316482	0,4529268	0,6470606	0,1429504	0,3130428	0,8130419	0,9590056	0,5048186	0,6385621	0,4048328	0,8104366	0,4074066	0,4030383	0,4450517	0,4769627	0,0552239
60	0,9362204	0,4058188	0,6229133	0,1515052	0,3772469	0,8434720	0,9494836	0,3603644	0,5899725	0,3951065	0,7990506	0,3908998	0,4069084	0,4921634	0,4883083	0,0474030
80	0,8465895	0,3724789	0,6764275	0,1202196	0,4336690	0,8519830	0,9328645	0,2777921	0,5232904	0,3896347	0,8399252	0,3597428	0,4226617	0,5555438	0,4750689	0,0615085
