"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
540	0,2225206	1,0000000	0,3851577	0,3666935	0,0000320	0,4904172	0,3895842	0,0355394	0,7046698	0,4436188	0,1619171	0,3335520	0,0187721	0,2717167	0,0149033	0,0007649
560	0,2225206	1,0000000	0,3851577	0,3666935	0,0000320	0,4904172	0,3895846	0,0355394	0,7046901	0,4436188	0,1619174	0,3335520	0,0187721	0,2717170	0,0149033	0,0007627
580	0,2225206	1,0000000	0,3987736	0,3666935	0,0000320	0,4904172	0,3419339	0,0355394	0,6607424	0,4436188	0,1592927	0,3335520	0,0187721	0,2401167	0,0149033	0,0077057
600	0,2225206	1,0000000	0,4193122	0,3666935	0,0000320	0,4904172	0,2592132	0,0355394	0,5710457	0,4436188	0,1542052	0,3335520	0,0187721	0,1834882	0,0149033	0,0216258
620	0,2225206	1,0000000	0,4331383	0,3666935	0,0000320	0,4904172	0,1838395	0,0355394	0,4734308	0,4436188	0,1489757	0,3335520	0,0187721	0,1301384	0,0149033	0,0364856
640	0,2225206	1,0000000	0,4393260	0,3666935	0,0000320	0,4904172	0,1264445	0,0355394	0,3846973	0,4436188	0,1444880	0,3335520	0,0187721	0,0882127	0,0149033	0,0497399
660	0,2225206	1,0000000	0,4408071	0,3666935	0,0000320	0,4904172	0,0862955	0,0355394	0,3107572	0,4436188	0,1409577	0,3335520	0,0187721	0,0580105	0,0149033	0,0605823
680	0,2225206	1,0000000	0,4403431	0,3666935	0,0000320	0,4904172	0,0595512	0,0355394	0,2522340	0,4436188	0,1383196	0,3335520	0,0187721	0,0373381	0,0149033	0,0690115
700	0,2225206	1,0000000	0,4395114	0,3666935	0,0000320	0,4904172	0,0422863	0,0355394	0,2074628	0,4436188	0,1364138	0,3335520	0,0187721	0,0236556	0,0149033	0,0753488
720	0,2225206	1,0000000	0,4389118	0,3666935	0,0000320	0,4904172	0,0313782	0,0355394	0,1740304	0,4436188	0,1350696	0,3335520	0,0187721	0,0148114	0,0149033	0,0800022
740	0,2225206	1,0000000	0,4386218	0,3666935	0,0000320	0,4904172	0,0245918	0,0355394	0,1495121	0,4436188	0,1341383	0,3335520	0,0187721	0,0091939	0,0149033	0,0833598
760	0,2225206	1,0000000	0,4385379	0,3666935	0,0000320	0,4904172	0,0204176	0,0355394	0,1317814	0,4436188	0,1335020	0,3335520	0,0187721	0,0056736	0,0149033	0,0857501
780	0,2225206	1,0000000	0,4385469	0,3666935	0,0000320	0,4904172	0,0178722	0,0355394	0,1191018	0,4436188	0,1330718	0,3335520	0,0187721	0,0034908	0,0149033	0,0874337
