"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
620	0,6189779	0,4255293	0,3953732	0,6759835	0,6656358	0,1940014	0,2773210	0,2257040	0,6822803	0,9114437	0,7298155	0,3293015	0,8109242	0,2417622	0,8176489	0,2622314
640	0,5644076	0,3774773	0,3308610	0,6475506	0,6739032	0,1759869	0,2583535	0,2094670	0,5861637	0,9063398	0,7747646	0,3375547	0,8034045	0,2018881	0,8247690	0,2678031
660	0,6439692	0,3769946	0,3503964	0,6726105	0,6954798	0,1571552	0,2431728	0,1857093	0,6277297	0,9296736	0,7446085	0,3172719	0,8281442	0,2023302	0,8496603	0,2741802
680	0,5979876	0,3516108	0,3423124	0,6066904	0,7045279	0,1848334	0,2041044	0,1740219	0,7095307	0,9627227	0,7437767	0,3046048	0,7913329	0,2037377	0,8486549	0,2543646
700	0,6217911	0,3380102	0,2981970	0,6894999	0,7190691	0,2388162	0,2100851	0,1506085	0,6567966	0,9700390	0,7542630	0,3003550	0,7737510	0,1775651	0,7821363	0,2755673
720	0,6314931	0,3298839	0,3754837	0,7030428	0,7223625	0,2549365	0,1996895	0,1537654	0,6048372	0,9930949	0,7293523	0,3029810	0,7823735	0,1422529	0,7847523	0,2415393
740	0,7432568	0,3376065	0,4287667	0,6562695	0,7180378	0,2496455	0,2198769	0,1501359	0,5611446	0,9983446	0,7799673	0,3036711	0,8276893	0,1544752	0,8674992	0,2404846
760	0,6080001	0,3821838	0,3394922	0,6846983	0,6845637	0,2481447	0,2201090	0,1803152	0,6408102	0,9997756	0,8102318	0,3090978	0,7886304	0,1791069	0,8535182	0,2677288
780	0,6342475	0,3721976	0,2925439	0,6278009	0,6836248	0,2101373	0,2403291	0,2021191	0,5972977	1,0158755	0,8212305	0,3148885	0,7752418	0,1646369	0,8498937	0,3099168
800	0,6168262	0,3128437	0,3312154	0,6387759	0,7088648	0,1752522	0,2560775	0,1852846	0,6115903	1,0625643	0,7657484	0,3500620	0,7720942	0,1525001	0,8686966	0,2722620
820	0,6119971	0,3327390	0,3219078	0,6679902	0,6639485	0,1932655	0,2268316	0,1790878	0,5565676	0,9478046	0,7611553	0,4009428	0,7632401	0,1604697	0,8743211	0,3162553
840	0,6542229	0,3574168	0,4177536	0,6800672	0,6840697	0,1811469	0,2234224	0,1621562	0,5150877	0,9657496	0,7331433	0,4262791	0,7338215	0,1421624	0,9081539	0,2982209
860	0,7160709	0,3310712	0,3590829	0,7100767	0,7065982	0,1741541	0,2445258	0,2083257	0,5607137	0,9748867	0,7413337	0,4105676	0,7484689	0,1095562	0,9092968	0,2934335
880	0,7475582	0,3468449	0,3448636	0,7020133	0,7014882	0,1705426	0,2285451	0,1932810	0,5886237	0,9567994	0,6966666	0,3734569	0,7212620	0,1425339	0,8820517	0,2933202
900	0,6837118	0,3181845	0,3377292	0,6685371	0,6878507	0,2172646	0,2364653	0,2024990	0,5637781	0,9802781	0,7078099	0,4398243	0,7341583	0,1525526	0,9057800	0,2511503
920	0,7379439	0,3225371	0,3411986	0,5689456	0,6702304	0,1983697	0,2203073	0,1906197	0,5706263	0,9951131	0,7604522	0,4071951	0,7541700	0,1767711	0,7935906	0,2154009
940	0,7169528	0,3294294	0,2968802	0,5912470	0,7045016	0,2087363	0,2162078	0,1842555	0,5009616	0,9910521	0,7875195	0,3987966	0,7349860	0,1550052	0,7949058	0,2333870
960	0,7734220	0,3398555	0,3341588	0,5897492	0,6475558	0,1808415	0,2107056	0,1731488	0,5063805	1,0057449	0,7786851	0,4225679	0,7877756	0,1518474	0,8634028	0,2338837
980	0,7750405	0,3507526	0,3519679	0,6281993	0,6572519	0,1828271	0,2172041	0,1493247	0,5578691	0,9567243	0,7215125	0,3683332	0,8116058	0,1735104	0,8246417	0,2755154
1000	0,7865957	0,3655606	0,3380598	0,5529350	0,6566460	0,1948664	0,2472710	0,1276819	0,5936392	1,0327150	0,6939552	0,3536137	0,8254776	0,1470271	0,7910409	0,2757719
1020	0,7176740	0,3386259	0,3373385	0,5855242	0,6882082	0,1712904	0,2130325	0,1346765	0,6130730	0,9981741	0,7443304	0,3791069	0,7975699	0,1712282	0,8352637	0,2608800
1040	0,6519264	0,3161541	0,3306864	0,5489191	0,7074239	0,2375964	0,1914567	0,1675929	0,6037979	0,9730721	0,7727184	0,3576594	0,7678599	0,1822626	0,8338806	0,2801354
1060	0,6844510	0,3311676	0,3545157	0,5541655	0,7098808	0,2338154	0,2141251	0,1389902	0,5724373	1,0090007	0,7756092	0,3894912	0,7159630	0,1401011	0,7734878	0,3171922
1080	0,7123584	0,3179194	0,3093932	0,5775818	0,7245976	0,2002991	0,2339561	0,1449389	0,5634286	1,0473432	0,7405054	0,3841315	0,7318169	0,1646930	0,7594714	0,3058069
1100	0,8085067	0,3264130	0,3658971	0,6082364	0,7037214	0,2393701	0,2024869	0,1617782	0,6245944	1,0460020	0,7911570	0,3688779	0,7206790	0,1677711	0,8635635	0,2836408

0	0,7081478	0,3190892	0,3726016	0,5738924	0,6608471	0,1615315	0,1952059	0,2017575	0,5682986	0,8925857	0,7770426	0,3591222	0,7936145	0,2199795	0,9712504	0,2517356
20	0,7184484	0,3186212	0,3785996	0,5244730	0,7161512	0,2181045	0,2726737	0,2352557	0,5445784	1,0047308	0,7139963	0,3118355	0,7026704	0,1933007	0,8500789	0,2924774
40	0,6818243	0,3182716	0,3467497	0,5845985	0,7314750	0,2289857	0,3537879	0,3029385	0,6048251	0,9478822	0,7456543	0,3175667	0,7467698	0,2113785	0,7903920	0,2791295
60	0,7598557	0,3061818	0,3222301	0,5863048	0,6929453	0,2689828	0,4252539	0,3837921	0,6387669	0,9430313	0,7534268	0,2684635	0,7343711	0,2427893	0,8656549	0,2449963
80	0,6736057	0,3298557	0,3167205	0,5522797	0,6550991	0,2632816	0,5429106	0,4320930	0,6083087	0,9164260	0,7324399	0,2461956	0,7267691	0,2354917	0,8073059	0,2796578
100	0,6549006	0,3723357	0,3483426	0,5399764	0,6725907	0,2396267	0,6174600	0,4649612	0,6141922	0,9336660	0,7165638	0,2250842	0,7527446	0,2942561	0,7350867	0,2848030
120	0,6440292	0,3820574	0,3073642	0,5011872	0,6615376	0,1976440	0,7383820	0,4812060	0,5813258	0,9556749	0,7103064	0,2072942	0,7304974	0,2734436	0,7670795	0,2523810
140	0,7184692	0,3677411	0,3295081	0,5080888	0,6789724	0,2202198	0,6991933	0,4937868	0,5413885	0,9972386	0,6829097	0,1899197	0,7698499	0,2281761	0,7620410	0,2289898
160	0,6289505	0,3454467	0,3449789	0,4992305	0,6449449	0,2134362	0,7631932	0,4612925	0,5492801	0,9873497	0,7354621	0,1759952	0,7928654	0,2369518	0,8412468	0,2846523
