"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
540	1,0000000	0,3699643	0,1428652	0,6070732	0,3426830	0,3521149	0,2867810	0,0750598	0,2084306	0,0633663	0,1809692	0,0145377	0,3931033	0,3774660	0,0704669	0,6191365
560	1,0000000	0,3699649	0,1428651	0,6070733	0,3426830	0,3521151	0,2867810	0,0750598	0,2084303	0,0633663	0,1809676	0,0145372	0,3931033	0,3774663	0,0704643	0,6191397
580	1,0000000	0,3781332	0,2259234	0,7742522	0,3430066	0,3831817	0,1423541	0,0759019	0,2283070	0,0642770	0,1871465	0,0146361	0,3935804	0,2304597	0,0721372	0,4233711
600	1,0000000	0,4102402	0,2585454	0,8575090	0,3440731	0,4047834	0,0725263	0,0798278	0,2421935	0,0682060	0,2132497	0,0150440	0,3957765	0,1784135	0,0804788	0,2935673
620	1,0000000	0,4520125	0,2632908	0,8966401	0,3450055	0,4202442	0,0387666	0,0862507	0,2525398	0,0740974	0,2496836	0,0156208	0,3993311	0,1658150	0,0950372	0,2077838
640	1,0000000	0,4881828	0,2573328	0,9132997	0,3452543	0,4305449	0,0224452	0,0932485	0,2604415	0,0800989	0,2841292	0,0161977	0,4031762	0,1653225	0,1118279	0,1512326
660	1,0000000	0,5135728	0,2493433	0,9191101	0,3449827	0,4369463	0,0145546	0,0992966	0,2663446	0,0850613	0,3114976	0,0166940	0,4064770	0,1672944	0,1272739	0,1139549
680	1,0000000	0,5289562	0,2427520	0,9201370	0,3445650	0,4406646	0,0107399	0,1037404	0,2705469	0,0886143	0,3312254	0,0170871	0,4088796	0,1690034	0,1395722	0,0893231
700	1,0000000	0,5369861	0,2384006	0,9193801	0,3442358	0,4426576	0,0088956	0,1065915	0,2733754	0,0908670	0,3444798	0,0173821	0,4103990	0,1699537	0,1483871	0,0729849
720	1,0000000	0,5403424	0,2360320	0,9181959	0,3440516	0,4436103	0,0080038	0,1081879	0,2751776	0,0921286	0,3528543	0,0175950	0,4112296	0,1702806	0,1541896	0,0621043
740	1,0000000	0,5411196	0,2350484	0,9171127	0,3439781	0,4439837	0,0075726	0,1089416	0,2762702	0,0927340	0,3578462	0,0177444	0,4116038	0,1702371	0,1577384	0,0548348
760	1,0000000	0,5407294	0,2348658	0,9162779	0,3439652	0,4440696	0,0073641	0,1092054	0,2769056	0,0929588	0,3606641	0,0178476	0,4117183	0,1700358	0,1597743	0,0499686
780	1,0000000	0,5399981	0,2350496	0,9156873	0,3439772	0,4440382	0,0072632	0,1092294	0,2772648	0,0929954	0,3621852	0,0179186	0,4117102	0,1698120	0,1608859	0,0467098
800	1,0000000	0,5393288	0,2353331	0,9152897	0,3439951	0,4439778	0,0072144	0,1091648	0,2774667	0,0929598	0,3629891	0,0179680	0,4116610	0,1696315	0,1614801	0,0445293
820	1,0000000	0,5388603	0,2355844	0,9150305	0,3440113	0,4439262	0,0071908	0,1090891	0,2775831	0,0929117	0,3634242	0,0180028	0,4116113	0,1695124	0,1618083	0,0430732
840	1,0000000	0,5385939	0,2357590	0,9148651	0,3440234	0,4438939	0,0071794	0,1090328	0,2776546	0,0928750	0,3636810	0,0180281	0,4115760	0,1694472	0,1620095	0,0421033
860	1,0000000	0,5384771	0,2358588	0,9147612	0,3440311	0,4438787	0,0071739	0,1090013	0,2777022	0,0928548	0,3638529	0,0180466	0,4115564	0,1694198	0,1621513	0,0414590
880	1,0000000	0,5384501	0,2359034	0,9146966	0,3440355	0,4438749	0,0071712	0,1089893	0,2777362	0,0928477	0,3639806	0,0180605	0,4115487	0,1694143	0,1622625	0,0410319
900	1,0000000	0,5384661	0,2359147	0,9146570	0,3440375	0,4438769	0,0071699	0,1089890	0,2777612	0,0928485	0,3640800	0,0180709	0,4115481	0,1694188	0,1623531	0,0407492
920	1,0000000	0,5384952	0,2359100	0,9146330	0,3440381	0,4438809	0,0071693	0,1089940	0,2777798	0,0928529	0,3641570	0,0180787	0,4115507	0,1694262	0,1624260	0,0405622
940	1,0000000	0,5385222	0,2359000	0,9146187	0,3440380	0,4438847	0,0071690	0,1090003	0,2777932	0,0928578	0,3642145	0,0180845	0,4115540	0,1694327	0,1624826	0,0404385
960	1,0000000	0,5385415	0,2358906	0,9146104	0,3440376	0,4438876	0,0071688	0,1090056	0,2778027	0,0928618	0,3642557	0,0180889	0,4115569	0,1694373	0,1625247	0,0403566
980	1,0000000	0,5385529	0,2358837	0,9146058	0,3440373	0,4438894	0,0071688	0,1090094	0,2778091	0,0928647	0,3642838	0,0180921	0,4115589	0,1694399	0,1625546	0,0403022
1000	1,0000000	0,5385582	0,2358796	0,9146032	0,3440371	0,4438903	0,0071687	0,1090116	0,2778133	0,0928663	0,3643020	0,0180944	0,4115600	0,1694411	0,1625751	0,0402660
1020	1,0000000	0,5385598	0,2358777	0,9146020	0,3440369	0,4438906	0,0071687	0,1090127	0,2778159	0,0928672	0,3643134	0,0180961	0,4115606	0,1694414	0,1625886	0,0402420
1040	1,0000000	0,5385595	0,2358771	0,9146014	0,3440369	0,4438906	0,0071687	0,1090131	0,2778176	0,0928675	0,3643201	0,0180974	0,4115608	0,1694413	0,1625973	0,0402259
1060	1,0000000	0,5385585	0,2358772	0,9146011	0,3440368	0,4438905	0,0071687	0,1090131	0,2778185	0,0928675	0,3643241	0,0180983	0,4115608	0,1694411	0,1626028	0,0402152
1080	1,0000000	0,5385575	0,2358775	0,9146010	0,3440368	0,4438904	0,0071687	0,1090130	0,2778191	0,0928675	0,3643263	0,0180990	0,4115607	0,1694408	0,1626063	0,0402081
1100	1,0000000	0,5385567	0,2358778	0,9146010	0,3440369	0,4438903	0,0071687	0,1090129	0,2778195	0,0928674	0,3643276	0,0180995	0,4115606	0,1694406	0,1626086	0,0402033

0	1,0000000	0,5385482	0,2358806	0,9146014	0,3440369	0,4438891	0,0071687	0,1090132	0,2778417	0,0928674	0,3643314	0,0181000	0,4115610	0,1694385	0,1626532	0,0402006
20	1,0000000	0,5385497	0,2358811	0,9146014	0,3440370	0,6262115	0,2746105	0,4342085	0,2778340	0,3324955	0,3643294	0,1916781	0,2507660	0,1694389	0,1626393	0,0401983
40	1,0000000	0,5385519	0,2358806	0,9146013	0,3440370	0,7189911	0,4039149	0,6289189	0,2778291	0,4751808	0,3643289	0,3190092	0,1562415	0,1694395	0,1626305	0,0401968
60	1,0000000	0,5385539	0,2358799	0,9146012	0,3440370	0,7662046	0,4664318	0,7455015	0,2778260	0,5601420	0,3643292	0,4124150	0,1006746	0,1694400	0,1626250	0,0401958
