"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
540	0,3237286	0,0152276	0,3232065	0,5136463	0,2870571	0,7198530	0,8853917	0,6210631	0,5534186	0,5048496	0,3011176	0,3027295	0,3853694	0,3173782	0,2802203	0,4041726
560	0,2979680	0,0240707	0,3442962	0,5246110	0,3814374	0,6793683	0,8346079	0,6861867	0,6664584	0,4634831	0,2740564	0,2759288	0,4642686	0,2423275	0,3530240	0,4640627
580	0,3953544	0,3223392	0,4918925	0,5281019	0,4915748	0,6496343	0,6903640	0,8169465	0,5323708	0,5363585	0,2667991	0,2687799	0,3318511	0,2247353	0,4012651	0,2636437
600	0,4850697	0,5005156	0,4601939	0,4782374	0,5744672	0,7697724	0,6965446	0,6381942	0,5781346	0,8309593	0,2563466	0,2675019	0,2070819	0,2889355	0,3580082	0,2023517
620	0,3684747	0,5507196	0,5298558	0,5573085	0,8558353	0,7103440	0,6360246	0,6553143	0,5549734	0,6649995	0,3273792	0,1680595	0,0717026	0,3121577	0,3134585	0,2675687
640	0,3923809	0,5472699	0,3805026	0,5368820	0,6944895	0,5967459	0,6281371	0,5059585	0,6434698	0,7246950	0,2490009	0,0994688	0,0296780	0,3335112	0,2995382	0,2272555
660	0,4227271	0,4756430	0,5205657	0,5345030	0,5856656	0,5600085	0,5110310	0,3256309	0,5541217	0,6571334	0,3359875	0,0824504	0,0335777	0,1801522	0,2557687	0,2297930
680	0,6492297	0,3960089	0,3763954	0,3597589	0,7657244	0,5541839	0,5131345	0,4107689	0,5824548	0,7837367	0,2949799	0,0725192	0,0116432	0,2523418	0,3067280	0,2448629
700	0,6510810	0,4059499	0,3747729	0,4132826	0,6490041	0,3446429	0,5364695	0,2553094	0,5281495	0,7831965	0,3273238	0,0758100	0,0016660	0,2381135	0,2013440	0,3304696
720	0,6441557	0,3907021	0,2818932	0,3868722	0,7032442	0,3810883	0,5628267	0,2432977	0,4773067	0,7075985	0,2050189	0,0319835	0,0062196	0,2410305	0,2291719	0,1835228
740	0,6892497	0,4424333	0,3537889	0,2883086	0,8122973	0,2478852	0,5611785	0,2720677	0,4704253	0,6847964	0,1636085	0,0367402	0,0024540	0,2272415	0,2040117	0,3113502
760	0,6661914	0,4273261	0,3399098	0,2120637	0,7078653	0,2027694	0,6847516	0,2860189	0,3129232	0,5827412	0,2343302	0,0300262	0,0007965	0,2212363	0,1702134	0,1855742
780	0,5508729	0,4209721	0,3970957	0,2532590	0,7505706	0,1807520	0,6570309	0,2428487	0,4650729	0,6823192	0,1985488	0,0616883	0,0004084	0,2453923	0,1092086	0,2930430
800	0,6091179	0,4470496	0,4496230	0,2123161	0,8050042	0,2238491	0,6485634	0,2517424	0,4842196	0,7662825	0,2116226	0,0220089	0,0020558	0,2052772	0,1451856	0,2016378
820	0,6423932	0,4294734	0,2873213	0,2542960	0,7637047	0,1654855	0,5850288	0,3550951	0,4293329	0,9256537	0,1975345	0,0153144	0,0002020	0,2730809	0,1519256	0,2727024
840	0,5617722	0,3885085	0,2532314	0,2335344	0,6160933	0,2138509	0,6112948	0,2248976	0,3703185	0,8018599	0,1719447	0,0396159	0,0080662	0,2462116	0,1105883	0,2261308
860	0,6081788	0,4824279	0,3087262	0,2102225	0,8337884	0,1681100	0,4795039	0,2445466	0,3873610	0,7906506	0,2267591	0,0211297	0,0096644	0,2396648	0,1356119	0,2636634
880	0,7275469	0,4183365	0,3866959	0,2981090	0,8205587	0,1884125	0,5180203	0,3664340	0,2888088	0,7652167	0,2194294	0,0262495	0,0004736	0,1958359	0,1391994	0,2890142
900	0,6080152	0,3913093	0,4023504	0,3067531	0,7730236	0,1912512	0,5346936	0,1960240	0,2894108	0,8439324	0,2024334	0,0193523	0,0023026	0,1694098	0,1500749	0,2991959
920	0,5583713	0,4814812	0,3874334	0,2530342	0,7433248	0,2631490	0,4564643	0,2209142	0,3665554	0,7659869	0,2256252	0,0441613	0,0020370	0,2132133	0,1183721	0,2645714
940	0,5177740	0,3610651	0,3721868	0,2479612	0,7337594	0,2096016	0,5662107	0,2451151	0,4269661	0,8488073	0,1927481	0,0718424	0,0094037	0,2080377	0,1420763	0,2128149
960	0,6990992	0,5150130	0,3107036	0,2554657	0,6539870	0,2865688	0,5600828	0,2469645	0,4972349	0,7059220	0,1645913	0,0299340	0,0072099	0,1895501	0,0948538	0,2306110
980	0,5953400	0,4670363	0,3835078	0,4353486	0,7606533	0,3859028	0,5145619	0,2506532	0,3925699	0,7877299	0,1871664	0,0201580	0,0047839	0,2160045	0,1132104	0,2550572
1000	0,7494556	0,4265661	0,3227924	0,2625773	0,6257537	0,3604929	0,5661284	0,1805773	0,3223704	0,8257990	0,2381382	0,0366606	0,0007458	0,3102581	0,1101813	0,2407832
1020	0,5474823	0,4045542	0,3387613	0,2212078	0,6755379	0,2298245	0,4809001	0,2290129	0,2459941	0,7011559	0,2143290	0,0382189	0,0034077	0,2960504	0,1371700	0,2076227
1040	0,6300375	0,3935174	0,2517048	0,2278866	0,7061928	0,1926752	0,4560663	0,1511185	0,3768700	0,6812818	0,2119529	0,0066621	0,0214490	0,1758122	0,1094773	0,2413842
1060	0,6829705	0,4479710	0,3173798	0,2522393	0,6929537	0,2469561	0,4720297	0,1496783	0,3144163	0,6812515	0,1457228	0,0131627	0,0023039	0,2005511	0,1516947	0,3046871
1080	0,7561151	0,4393836	0,3220304	0,2295105	0,6071818	0,1927652	0,5105865	0,2814777	0,3745304	0,7803561	0,2077799	0,0424259	0,0000899	0,2391008	0,1292198	0,3144684
1100	0,7314352	0,4672202	0,3303717	0,2751783	0,6929644	0,2633250	0,4475421	0,1794022	0,2378862	0,7884710	0,1509449	0,0132165	0,0004871	0,3120168	0,1470613	0,2180853

0	0,5761126	0,4750776	0,3598235	0,2257657	0,6901689	0,2606262	0,5488259	0,3381099	0,2567114	0,7313149	0,1369764	0,0140094	0,0011079	0,1818453	0,0836376	0,2330854
20	0,6429053	0,4519529	0,1948619	0,1429103	0,7624232	0,1678814	0,2439152	0,2180590	0,2937321	0,5876938	0,0940740	0,0112072	0,0109380	0,1883326	0,1598696	0,1270421
40	0,5786420	0,4056756	0,0757685	0,2052037	0,5878958	0,2206368	0,2019568	0,2667343	0,2449981	0,5009982	0,0616491	0,0136818	0,0026003	0,2012565	0,0912911	0,2053516
60	0,6680139	0,5446219	0,0726824	0,1932562	0,6888465	0,2094387	0,1842037	0,2233821	0,1681122	0,4135010	0,0250071	0,0143865	0,0068641	0,1218888	0,0499399	0,1949306
80	0,7241707	0,3925545	0,0642200	0,2203751	0,6936380	0,3268844	0,2217160	0,2806772	0,1332449	0,3296009	0,0285999	0,0351432	0,0093632	0,1576260	0,0679279	0,1942287
100	0,6248608	0,4383508	0,0618638	0,2266955	0,6490007	0,2215547	0,1294089	0,2183460	0,1069312	0,3219210	0,0208250	0,0464562	0,0091529	0,0787784	0,0473815	0,2456531
120	0,6261815	0,3931463	0,0611936	0,2002126	0,8435039	0,3254505	0,1532147	0,2481742	0,1163362	0,3723717	0,0131909	0,0372237	0,0002946	0,0881487	0,0128008	0,1964630
140	0,7173406	0,3506428	0,0485454	0,2067323	0,6508690	0,2546149	0,1212092	0,2863697	0,1000378	0,3213267	0,0109663	0,0308773	0,0006609	0,0432164	0,0176157	0,2134743
160	0,6128483	0,4243901	0,0904648	0,2063359	0,6992250	0,2026440	0,1449198	0,2727872	0,1317118	0,3580373	0,0022235	0,0150430	0,0007738	0,0648029	0,0185661	0,2019518
180	0,6109218	0,3730582	0,0353273	0,2236847	0,6585496	0,1875388	0,1609988	0,2717191	0,1026036	0,3653322	0,0084933	0,0198087	0,0000490	0,0783045	0,0166004	0,2398363
200	0,6512165	0,3811087	0,0467967	0,1992336	0,7627865	0,1174058	0,1582967	0,2675395	0,0859420	0,3169218	0,0019753	0,0177179	0,0002903	0,0737931	0,0147366	0,1986344
220	0,5697788	0,3584454	0,0754643	0,1526453	0,7218830	0,1652510	0,1395700	0,2568867	0,0865119	0,2491224	0,0020351	0,0111779	0,0035468	0,0555138	0,0459995	0,1224506
240	0,4848948	0,4251106	0,0473956	0,2040065	0,6776439	0,1580373	0,1219325	0,2843509	0,0657687	0,2374622	0,0068519	0,0516323	0,0013226	0,0378963	0,0297257	0,1827404
260	0,7569961	0,4692275	0,0946636	0,2062098	0,7098836	0,2011722	0,1235132	0,3327131	0,1081236	0,2799129	0,0063480	0,0254238	0,0005083	0,0567950	0,0398455	0,1721865
280	0,5927873	0,5361556	0,0767398	0,1845262	0,6940597	0,1645587	0,0909956	0,2245292	0,0936067	0,2167064	0,0115409	0,0103042	0,0015942	0,0819257	0,0546927	0,2415077
300	0,4874715	0,4158881	0,0455221	0,2201850	0,6583864	0,2414048	0,0974092	0,1928776	0,1108649	0,2741293	0,0102465	0,0179338	0,0008992	0,0570809	0,0672681	0,2220439
320	0,6033912	0,3026052	0,0752078	0,2356882	0,7702127	0,2559365	0,1594798	0,2340490	0,0941979	0,2393914	0,0073738	0,0318786	0,0004382	0,0765998	0,0157884	0,2771380
340	0,5749554	0,3548393	0,0512033	0,2574332	0,7678660	0,1788453	0,1008870	0,2155300	0,0950485	0,2455347	0,0041527	0,0120418	0,0000000	0,0519311	0,0144170	0,1426455
360	0,6371005	0,4751137	0,0662344	0,2193967	0,6938182	0,1794839	0,1486845	0,2731668	0,0931386	0,1800198	0,0000000	0,0115534	0,0014519	0,0521405	0,0236783	0,2237893
380	0,5712875	0,5029098	0,0426823	0,1835614	0,8440184	0,1460537	0,1210546	0,3267779	0,0848629	0,2296199	0,0032812	0,0172593	0,0013684	0,0293345	0,0427295	0,1887809
400	0,7701174	0,3526619	0,0558178	0,1996763	0,7453519	0,1177262	0,1495126	0,2249754	0,1172973	0,2427096	0,0003028	0,0246352	0,0071818	0,0730356	0,0336758	0,1845257
420	0,6855384	0,4097970	0,0487046	0,2051502	0,7036660	0,1236301	0,1504449	0,2866411	0,0652131	0,2220578	0,0051367	0,0249712	0,0155470	0,0353422	0,0242982	0,2209294
440	0,6398461	0,4062851	0,0599758	0,2075339	0,7544418	0,1375414	0,1697266	0,1689516	0,0646746	0,1478951	0,0078011	0,0277817	0,0082140	0,0489710	0,0118734	0,2831263
460	0,6467420	0,4428286	0,0452430	0,2149775	0,6951104	0,1085388	0,1638983	0,2333914	0,0635815	0,1398198	0,0107412	0,0076959	0,0001647	0,0463589	0,0341573	0,2215070
480	0,7407800	0,3420365	0,1104728	0,1995925	0,7304328	0,1311277	0,0991988	0,2792224	0,0902067	0,1320031	0,0019943	0,0209604	0,0024669	0,0464349	0,0207774	0,3051722
500	0,7491211	0,3268600	0,0421670	0,1985793	0,6194340	0,1550644	0,1340524	0,3190687	0,0919994	0,1243281	0,0071099	0,0171836	0,0000000	0,0268699	0,0182005	0,2866487
520	0,6757963	0,3862838	0,0483189	0,1523327	0,7327550	0,1708762	0,1270624	0,3446158	0,0589581	0,1427673	0,0019434	0,0384851	0,0002757	0,0314645	0,0043647	0,2236839
540	0,8089051	0,5092301	0,0778127	0,1551220	0,8016710	0,1857188	0,1561030	0,3021155	0,0713568	0,1677664	0,0048624	0,0277923	0,0013149	0,0724111	0,0226549	0,2763492
560	0,6897100	0,4068460	0,0614483	0,2251960	0,7899212	0,1063148	0,1180776	0,2946654	0,0383788	0,1584725	0,0086902	0,0189858	0,0003966	0,0192236	0,0282470	0,2490064
580	0,5536104	0,3655198	0,1890531	0,1926432	0,7499873	0,1135895	0,4994531	0,3189030	0,0650094	0,4083984	0,0052854	0,0115359	0,0009870	0,0291284	0,0211364	0,1978501
600	0,6659346	0,4193837	0,3113012	0,1694638	0,7441226	0,0499941	0,5329418	0,3650896	0,0834958	0,5599643	0,0507311	0,0461117	0,0080202	0,0736455	0,0084159	0,1463113
620	0,6308995	0,3980326	0,2580195	0,1071800	0,6825495	0,0600731	0,6292922	0,3008679	0,0792826	0,6073530	0,0224072	0,0160880	0,0023583	0,1044189	0,0259863	0,1901734
640	0,5864745	0,3994860	0,2396550	0,2464698	0,7026698	0,2295215	0,5755136	0,3121841	0,0834677	0,6701015	0,0692225	0,0518506	0,0003783	0,0949550	0,0183176	0,1205723
660	0,6058417	0,3479763	0,2918290	0,2624769	0,6312476	0,1698086	0,5575746	0,2326677	0,0847909	0,6983110	0,1006039	0,0182731	0,0009025	0,2442889	0,0343453	0,1494540
680	0,7084239	0,3614868	0,3303466	0,1767254	0,7198849	0,1585114	0,5592541	0,2164145	0,1037313	0,8225426	0,0779821	0,0394323	0,0016294	0,1407093	0,1139563	0,2154124
700	0,5988447	0,3384210	0,2892695	0,2137462	0,6390276	0,1594485	0,5782161	0,3092752	0,1435670	0,7036734	0,0958662	0,0359191	0,0014487	0,1398898	0,0646542	0,1268811
720	0,6032207	0,4825630	0,2751019	0,1557507	0,8077436	0,1576621	0,5833697	0,2797577	0,1788914	0,7169238	0,1142919	0,0279730	0,0039110	0,1640021	0,0654668	0,1676904
740	0,6848955	0,3737782	0,2983549	0,1569835	0,9441648	0,1874202	0,6041822	0,3220590	0,2001877	0,7131312	0,1258523	0,0116164	0,0000000	0,1917389	0,1184401	0,2085528
760	0,7059039	0,3529036	0,4431161	0,1304409	0,8378523	0,2310856	0,6526578	0,2868326	0,2451530	0,7984841	0,1470823	0,0102572	0,0017735	0,1721298	0,1429957	0,1770829
780	0,6308466	0,4512166	0,4147088	0,1662408	0,7311686	0,2433463	0,6183612	0,2296165	0,2158979	0,7807142	0,1444511	0,0061968	0,0050453	0,1827668	0,1005260	0,2052253
800	0,7978908	0,4448905	0,2805032	0,1985433	0,7501521	0,2055097	0,6410478	0,2266596	0,2343160	0,8549017	0,1651192	0,0152655	0,0000000	0,2253066	0,1206348	0,2565518
820	0,7452097	0,3890293	0,2984367	0,1838779	0,7049588	0,1239370	0,5729529	0,3256998	0,2116979	0,7940114	0,1648417	0,0336638	0,0019514	0,1911552	0,0849442	0,1526289
840	0,6414980	0,3887588	0,3924526	0,2359503	0,7784707	0,1361009	0,5908562	0,3014185	0,2447942	0,7568519	0,1612912	0,0339035	0,0014045	0,2164973	0,0759182	0,1703736
860	0,6392573	0,4385426	0,4053348	0,2062646	0,7563298	0,2186089	0,6476448	0,2496535	0,1704145	0,7945324	0,1539768	0,0277773	0,0019375	0,1731412	0,1189277	0,1986714
880	0,6762975	0,3490048	0,3260010	0,2272239	0,8125483	0,1809267	0,5650305	0,2259597	0,2009611	0,6972983	0,1750156	0,0244115	0,0006357	0,2124008	0,1478129	0,1889924
900	0,5206042	0,4371275	0,3771710	0,2705091	0,7534497	0,1716935	0,4990513	0,2001520	0,2661119	0,8452146	0,1989130	0,0378885	0,0023852	0,2549900	0,1275199	0,2571788
920	0,6701323	0,4068244	0,4209047	0,2779989	0,8311096	0,1548091	0,5142426	0,2816061	0,2653153	0,6909506	0,1805715	0,0250241	0,0028531	0,1972673	0,1198253	0,2196756
940	0,5516162	0,4510641	0,3057686	0,2794405	0,6993233	0,1343078	0,5254668	0,2424227	0,2467329	0,7746318	0,1739662	0,0083085	0,0006185	0,1845549	0,0958724	0,2137163
960	0,5568605	0,3430256	0,2846025	0,2700038	0,8079884	0,1571525	0,4471047	0,2377061	0,2576706	0,7119418	0,1391404	0,0146612	0,0008304	0,2025256	0,1200276	0,1645848
980	0,5914636	0,3269301	0,3333357	0,2473461	0,6995480	0,1883560	0,5526822	0,2982466	0,2599336	0,7390944	0,1361978	0,0129121	0,0026418	0,2653158	0,0918507	0,2110847
1000	0,6773916	0,3531859	0,3048881	0,2607306	0,8224364	0,2109271	0,4621490	0,2367504	0,2075021	0,7121167	0,2252096	0,0106927	0,0031131	0,2447070	0,1743217	0,2779721
1020	0,5769514	0,4094877	0,2773588	0,2350593	0,9452785	0,1617539	0,5888384	0,2085311	0,1957373	0,5965781	0,0985833	0,0178098	0,0009876	0,1932550	0,0941009	0,1916576
1040	0,5787493	0,3954229	0,2498794	0,2511529	0,7197377	0,2007211	0,4834297	0,2626693	0,2554543	0,6784371	0,1365694	0,0053197	0,0000000	0,2205054	0,1257158	0,1861739
1060	0,6449850	0,4571517	0,3076118	0,2172057	0,8031312	0,2214396	0,5751552	0,3090360	0,3573741	0,6298971	0,1614653	0,0267628	0,0017275	0,2101324	0,1730582	0,1623772
1080	0,7890565	0,3668157	0,3775354	0,2875799	0,8409346	0,2378018	0,5734300	0,2699673	0,3081939	0,8172815	0,1535324	0,0114308	0,0032223	0,2264816	0,0938707	0,3004534
1100	0,6774022	0,4785191	0,2798158	0,2509289	0,7210581	0,1859887	0,5329363	0,2041371	0,2207448	0,7492186	0,1341953	0,0184535	0,0187897	0,2075024	0,1215520	0,1789858

0	0,6397878	0,3539069	0,3513293	0,2255293	0,7155180	0,2700871	0,6232114	0,2658558	0,3602032	0,7047692	0,1248375	0,0223335	0,0047199	0,2229093	0,0862053	0,2788263
20	0,7039189	0,2331439	0,3278235	0,2823557	0,7143190	0,1741230	0,6473881	0,2445331	0,2487122	0,4700800	0,1065728	0,0423520	0,0056056	0,1902288	0,0915151	0,1506872
40	0,7616186	0,1488099	0,3430412	0,1542469	0,6986747	0,3346695	0,5573587	0,3130223	0,2043348	0,2590443	0,0625959	0,0602979	0,0000386	0,1861048	0,1053045	0,1757997
60	0,5802961	0,0650162	0,3233191	0,1671315	0,7940169	0,3563796	0,6518089	0,4455999	0,2092858	0,2093326	0,0675200	0,0692238	0,0005750	0,2080657	0,0722927	0,1767318
80	0,6196762	0,0412946	0,3881764	0,1647395	0,8162586	0,5396731	0,6710814	0,4212284	0,2294980	0,1232888	0,0686651	0,0640629	0,0020063	0,1799692	0,1086238	0,1865243
100	0,8234980	0,0297569	0,2982633	0,1907366	0,6443653	0,5773248	0,9509694	0,5714592	0,2637163	0,1403857	0,0770672	0,0858263	0,0000721	0,2025209	0,1320157	0,1964096
120	0,6965066	0,0504752	0,3297482	0,2690427	0,7004701	0,7359256	0,7644705	0,5114724	0,2740364	0,0544024	0,0697068	0,0902895	0,0001858	0,2397989	0,0847318	0,2440864
140	0,7633181	0,0670557	0,3495074	0,2322956	0,8640580	0,6271693	0,7175245	0,5814587	0,2625226	0,0683390	0,0371374	0,1310427	0,0007482	0,2060558	0,0914301	0,1702486
160	0,7265136	0,0230380	0,3474234	0,1480787	0,6643679	0,7284560	0,7529295	0,5236307	0,2345529	0,0859818	0,0414337	0,1350798	0,0000000	0,2454696	0,0904869	0,1933200
180	0,5955144	0,0212335	0,3271933	0,1965625	0,7564004	0,6406408	0,6329407	0,6918877	0,2621622	0,0473091	0,0879604	0,1628694	0,0044990	0,3500696	0,1082469	0,2174882
200	0,6391328	0,0312605	0,3797420	0,2004743	0,8184320	0,7530594	0,7596367	0,7051169	0,3062701	0,0537038	0,0708792	0,2302235	0,0081115	0,2561605	0,1299328	0,1785877
220	0,6411053	0,0243777	0,4064409	0,1872990	0,7797909	0,8577380	0,7077763	0,7242021	0,2971491	0,0974385	0,0603042	0,2352966	0,0050116	0,2617447	0,1600368	0,1876887
240	0,7492853	0,0313409	0,3678484	0,2197928	0,7430377	0,7512817	0,6995122	0,6797873	0,3307709	0,0360017	0,0628265	0,1903070	0,0067822	0,1868518	0,1227386	0,2552201
260	0,7543824	0,0378238	0,2370845	0,2545450	0,7338736	0,7047372	0,8168279	0,7779285	0,2827567	0,0548265	0,0668496	0,2075482	0,0030324	0,1806996	0,1140278	0,3038735
