1 <- 40
1 <- 14
1 <- 33
1 <- 54
1 <- 36
1 <- 53
1 <- 12
1 <- 35
1 <- 17
2 <- 31
2 <- 2
2 <- 13
2 <- 32
2 <- 9
2 <- 14
2 <- 35
2 <- 52
3 <- 56
3 <- 52
4 <- 57
4 <- 31
4 <- 32
4 <- 29
4 <- 14
4 <- 56
5 <- 5
6 <- 2
6 <- 6
6 <- 5
6 <- 33
7 <- 8
8 <- 12
8 <- 38
8 <- 36
8 <- 8
9 <- 58
9 <- 56
10 <- 55
10 <- 13
11 <- 13
11 <- 11
12 <- 36
12 <- 8
13 <- 40
13 <- 57
13 <- 45
13 <- 6
13 <- 29
14 <- 58
14 <- 57
14 <- 37
14 <- 36
14 <- 56
15 <- 26
15 <- 38
15 <- 49
15 <- 9
16 <- 56
17 <- 64
17 <- 5
17 <- 50
17 <- 48
17 <- 14
17 <- 52
18 <- 13
18 <- 22
19 <- 43
19 <- 32
19 <- 33
20 <- 20
21 <- 5
21 <- 59
21 <- 57
21 <- 13
22 <- 13
22 <- 22
23 <- 39
23 <- 54
23 <- 19
23 <- 48
23 <- 56
24 <- 58
24 <- 24
24 <- 26
24 <- 50
24 <- 42
24 <- 38
25 <- 25
26 <- 28
26 <- 22
26 <- 52
27 <- 40
27 <- 55
27 <- 33
28 <- 48
29 <- 56
30 <- 19
30 <- 62
30 <- 30
30 <- 33
31 <- 31
32 <- 32
32 <- 33
32 <- 28
33 <- 50
34 <- 27
35 <- 64
36 <- 43
36 <- 36
36 <- 13
36 <- 53
37 <- 42
37 <- 15
37 <- 8
38 <- 38
39 <- 32
39 <- 39
39 <- 52
40 <- 33
40 <- 5
40 <- 2
40 <- 26
40 <- 9
40 <- 53
40 <- 14
41 <- 50
41 <- 10
42 <- 42
42 <- 34
42 <- 44
42 <- 20
43 <- 43
43 <- 56
43 <- 33
43 <- 19
44 <- 50
45 <- 62
45 <- 44
45 <- 50
45 <- 30
45 <- 42
46 <- 10
46 <- 55
46 <- 39
47 <- 46
47 <- 47
47 <- 30
47 <- 56
47 <- 61
48 <- 18
48 <- 20
48 <- 36
48 <- 48
48 <- 14
48 <- 42
49 <- 50
49 <- 49
50 <- 26
50 <- 13
50 <- 9
50 <- 53
50 <- 14
50 <- 22
51 <- 5
51 <- 55
51 <- 48
51 <- 14
51 <- 52
52 <- 51
52 <- 28
52 <- 48
53 <- 25
53 <- 53
54 <- 1
55 <- 56
55 <- 19
56 <- 15
56 <- 62
56 <- 32
56 <- 34
56 <- 46
56 <- 56
56 <- 52
57 <- 56
57 <- 57
57 <- 19
58 <- 13
58 <- 22
59 <- 17
60 <- 55
60 <- 31
61 <- 33
62 <- 56
62 <- 57
62 <- 37
63 <- 5
64 <- 63
64 <- 55
64 <- 48
64 <- 24
