"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
260	0,6094652	0,5770366	0,2242386	0,9278535	0,9983127	0,6556051	0,1084862	0,1669830	0,9977372	0,6013601	0,9706884	0,9818304	0,1511337	0,7704516	0,5098181	0,9983908	0,8130754	0,2530991	0,9542064	0,6966636	0,7783867	0,6743596	0,4404532	0,5159167	0,9987816	0,2343686	0,4518640	0,3232817	0,8716862	0,2417363	0,4630206	0,3329253
280	0,6094652	0,5770366	0,2242386	0,9278951	0,9983781	0,6532907	0,1084862	0,1661008	0,9984889	0,5892904	0,9703403	0,9814794	0,1492022	0,7680934	0,5062641	0,9983747	0,8130435	0,2530216	0,9542064	0,6966636	0,7783874	0,6743600	0,4404557	0,5159167	0,9987816	0,2285585	0,4505484	0,2974041	0,8674724	0,2004979	0,4553441	0,3322314
300	0,6094652	0,5770366	0,2242386	0,9279230	0,9984135	0,6516875	0,1084862	0,1655655	0,9989448	0,5784703	0,9700749	0,9811828	0,1476683	0,7662927	0,5036237	0,9983622	0,8130247	0,2529852	0,9542064	0,6966636	0,7783878	0,6743602	0,4404575	0,5159167	0,9987816	0,2244939	0,4496682	0,2762673	0,8634698	0,1687459	0,4498486	0,3317957
320	0,6094652	0,5770366	0,2242386	0,9279417	0,9984318	0,6505811	0,1084862	0,1652420	0,9992204	0,5687454	0,9698762	0,9809375	0,1464686	0,7649377	0,5016863	0,9983527	0,8130137	0,2529681	0,9542064	0,6966636	0,7783881	0,6743604	0,4404589	0,5159167	0,9987816	0,2216639	0,4490849	0,2591968	0,8597142	0,1445886	0,4459623	0,3315232
340	0,6094652	0,5770366	0,2242386	0,9279543	0,9984407	0,6498198	0,1084862	0,1650474	0,9993868	0,5599754	0,9697296	0,9807381	0,1455424	0,7639310	0,5002796	0,9983456	0,8130073	0,2529601	0,9542064	0,6966636	0,7783884	0,6743605	0,4404600	0,5159167	0,9987816	0,2197015	0,4487017	0,2455401	0,8562173	0,1263591	0,4432421	0,3313534
360	0,6094652	0,5770366	0,2242386	0,9279628	0,9984446	0,6492973	0,1084862	0,1649307	0,9994871	0,5520369	0,9696229	0,9805786	0,1448356	0,7631912	0,4992673	0,9983404	0,8130036	0,2529564	0,9542064	0,6966636	0,7783885	0,6743606	0,4404607	0,5159167	0,9987816	0,2183456	0,4484517	0,2347011	0,8529757	0,1126691	0,4413548	0,3312477
380	0,6094652	0,5770366	0,2242386	0,9279685	0,9984459	0,6489396	0,1084862	0,1648609	0,9995476	0,5448229	0,9695460	0,9804527	0,1443017	0,7626526	0,4985445	0,9983366	0,8130014	0,2529546	0,9542064	0,6966636	0,7783886	0,6743607	0,4404613	0,5159167	0,9987816	0,2174119	0,4482897	0,2261569	0,8499778	0,1024051	0,4400551	0,3311822
400	0,6094652	0,5770366	0,2242386	0,9279723	0,9984459	0,6486951	0,1084862	0,1648193	0,9995839	0,5382419	0,9694912	0,9803545	0,1439021	0,7622639	0,4980317	0,9983339	0,8130001	0,2529538	0,9542064	0,6966636	0,7783887	0,6743607	0,4404617	0,5159167	0,9987816	0,2167706	0,4481854	0,2194605	0,8472072	0,0946981	0,4391661	0,3311417
420	0,6094652	0,5770366	0,2242386	0,9279749	0,9984455	0,6485283	0,1084862	0,1647945	0,9996058	0,5322154	0,9694523	0,9802788	0,1436054	0,7619852	0,4976700	0,9983320	0,8129994	0,2529535	0,9542064	0,6966636	0,7783888	0,6743608	0,4404621	0,5159167	0,9987816	0,2163313	0,4481185	0,2142386	0,8446462	0,0888844	0,4385614	0,3311166
440	0,6094652	0,5770366	0,2242386	0,9279766	0,9984449	0,6484146	0,1084862	0,1647798	0,9996190	0,5266770	0,9694250	0,9802208	0,1433867	0,7617869	0,4974162	0,9983307	0,8129990	0,2529533	0,9542064	0,6966636	0,7783888	0,6743608	0,4404623	0,5159167	0,9987816	0,2160311	0,4480758	0,2101843	0,8422765	0,0844644	0,4381521	0,3311011
460	0,6094652	0,5770366	0,2242386	0,9279778	0,9984443	0,6483372	0,1084862	0,1647711	0,9996269	0,5215696	0,9694059	0,9801769	0,1432265	0,7616464	0,4972389	0,9983298	0,8129987	0,2529532	0,9542064	0,6966636	0,7783888	0,6743608	0,4404625	0,5159167	0,9987816	0,2158264	0,4480487	0,2070482	0,8400805	0,0810671	0,4378764	0,3310915
480	0,6094652	0,5770366	0,2242386	0,9279785	0,9984438	0,6482846	0,1084862	0,1647660	0,9996317	0,5168446	0,9693925	0,9801439	0,1431098	0,7615475	0,4971155	0,9983291	0,8129986	0,2529532	0,9542064	0,6966636	0,7783889	0,6743608	0,4404626	0,5159167	0,9987816	0,2156870	0,4480316	0,2046304	0,8380419	0,0784195	0,4376914	0,3310857
500	0,6094652	0,5770366	0,2242386	0,9279791	0,9984434	0,6482489	0,1084862	0,1647629	0,9996345	0,5124601	0,9693833	0,9801191	0,1430253	0,7614781	0,4970299	0,9983286	0,8129985	0,2529532	0,9542064	0,6966636	0,7783889	0,6743608	0,4404627	0,5159167	0,9987816	0,2155923	0,4480208	0,2027718	0,8361457	0,0763223	0,4375677	0,3310821
520	0,6094652	0,5770366	0,2242386	0,9279794	0,9984430	0,6482247	0,1084862	0,1647612	0,9996362	0,5083803	0,9693769	0,9801008	0,1429645	0,7614296	0,4969707	0,9983283	0,8129985	0,2529532	0,9542064	0,6966636	0,7783889	0,6743608	0,4404628	0,5159167	0,9987816	0,2155280	0,4480140	0,2013466	0,8343782	0,0746305	0,4374853	0,3310798
540	0,6094652	0,5770366	0,2242386	0,9279796	0,9984428	0,6482083	0,1084862	0,1647601	0,9996373	0,5045739	0,9693725	0,9800872	0,1429208	0,7613959	0,4969299	0,9983281	0,8129984	0,2529531	0,9542064	0,6966636	0,7783889	0,6743608	0,4404628	0,5159167	0,9987816	0,2154845	0,4480097	0,2002562	0,8327274	0,0732392	0,4374305	0,3310785
560	0,6094652	0,5770366	0,2242386	0,9279798	0,9984426	0,6481971	0,1084862	0,1647595	0,9996379	0,5010138	0,9693695	0,9800772	0,1428896	0,7613725	0,4969018	0,9983280	0,8129984	0,2529531	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,2154550	0,4480071	0,1994236	0,8311821	0,0720727	0,4373942	0,3310776
580	0,6094652	0,5770366	0,2242386	0,9262806	0,9858319	0,6748797	0,1084862	0,2157012	0,9996132	0,4979475	0,9692731	0,9799683	0,1429400	0,7615144	0,4971454	0,9972495	0,8160402	0,3760111	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,2682618	0,4514270	0,1937972	0,7845983	0,0726249	0,4380286	0,3485627
600	0,6094652	0,5770366	0,2242386	0,9234552	0,9649452	0,7284398	0,1084862	0,3077750	0,9991653	0,4978057	0,9691474	0,9798419	0,1436507	0,7630149	0,4996806	0,9956693	0,8213235	0,5528944	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,3766604	0,4591060	0,1881151	0,7190834	0,0925947	0,4453149	0,3797949
620	0,6094652	0,5770366	0,2242386	0,9209358	0,9477940	0,7857260	0,1084862	0,3953203	0,9966491	0,5039275	0,9691665	0,9798726	0,1456322	0,7669413	0,5064614	0,9945156	0,8261335	0,6831047	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,4953667	0,4701542	0,1961057	0,6720062	0,1580688	0,4664782	0,4100731
640	0,6094652	0,5770366	0,2242386	0,9190075	0,9368968	0,8369568	0,1084862	0,4647376	0,9890092	0,5174759	0,9694331	0,9800943	0,1489599	0,7731693	0,5174756	0,9938652	0,8297872	0,7628144	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,6039831	0,4840354	0,2234747	0,6453127	0,2640428	0,5008516	0,4361601
660	0,6094652	0,5770366	0,2242386	0,9176178	0,9313147	0,8790051	0,1084862	0,5151760	0,9738705	0,5372973	0,9699682	0,9804669	0,1533014	0,7808508	0,5313314	0,9935883	0,8323327	0,8075074	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,6951122	0,4994171	0,2675080	0,6337316	0,3865639	0,5419256	0,4584206
