"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
300	0,4885508	0,2071188	0,4279869	0,6384008	0,9089049	0,9365105	0,8276909	0,6581415	0,5261841	0,7089698	1,0458607	0,9249091	0,8638460	1,0084585	0,9147111	0,6361343	0,4072384	0,6787164	0,0787847	0,3146473	0,7691335	0,5751204	0,0211563	0,1741602	0,7131258	0,1640566	0,7610409	0,2972160	0,2148183	0,9176481	0,7908658	0,0890119
320	0,5133490	0,1817023	0,3975006	0,7018681	0,8734191	0,9406654	0,8608367	0,6908136	0,5816581	0,6950044	1,1426571	0,8605379	0,8278354	0,9814228	0,8994960	0,6552774	0,4153498	0,6487476	0,0669402	0,3106923	0,7332518	0,5531049	0,0154570	0,1538895	0,7087113	0,1698013	0,7881071	0,2742621	0,2035485	0,8454538	0,7962555	0,1168534
340	0,4903766	0,1761713	0,4707083	0,6850293	0,8761209	0,9734271	0,8962263	0,6575426	0,5857332	0,7667411	1,1072524	0,8154261	0,8538632	1,0212923	0,8874487	0,5645471	0,3738328	0,6618175	0,0431115	0,2508324	0,7922022	0,5335059	0,0105393	0,1267312	0,7336634	0,1617015	0,7872502	0,2439522	0,1918851	0,8930750	0,8388804	0,1132214
360	0,4899539	0,1872997	0,4417451	0,6714694	0,7701533	0,9421015	0,8552877	0,5824363	0,5595995	0,7752094	1,0821841	0,8035625	0,9185094	1,0438939	0,8969030	0,5877882	0,3558402	0,6565520	0,0524412	0,2804747	0,6550882	0,5192797	0,0127400	0,1267258	0,6530555	0,1606103	0,7612191	0,2513887	0,1903653	0,9494020	0,8201360	0,1307830
380	0,4361839	0,1813372	0,4583639	0,6854659	0,7664642	0,8413184	0,8174618	0,6075005	0,5801956	0,7374074	1,0624870	0,7782428	0,9089555	1,0038308	0,8671104	0,6204215	0,3685411	0,6664087	0,0455776	0,2750984	0,6794351	0,5255652	0,0099229	0,1454316	0,6273425	0,1477432	0,7679052	0,2741790	0,2071518	0,9530610	0,7901233	0,1455365
400	0,4998794	0,2052184	0,4762368	0,6694952	0,7935299	0,8506219	0,8808525	0,6218727	0,6109190	0,7639587	1,0491823	0,8099575	0,9614360	0,9764300	0,9211802	0,6186077	0,3179142	0,5871099	0,0587568	0,2921006	0,6760900	0,4888742	0,0063055	0,1658815	0,6022086	0,1453539	0,7835152	0,2857201	0,1690755	0,9792816	0,8543699	0,1433259
420	0,5540939	0,1983121	0,4349384	0,6619222	0,8211522	0,8704232	0,9327713	0,6854897	0,6199892	0,6988413	1,0483741	0,8353942	0,9432669	0,9964499	0,8978538	0,6559086	0,3360923	0,6124366	0,0796806	0,3266650	0,6793755	0,4354570	0,0109312	0,1599951	0,6061894	0,1497598	0,7429589	0,2649900	0,2024163	0,9039300	0,8378981	0,1674975
440	0,5686931	0,1779143	0,4565994	0,6056721	0,8081123	0,8529637	0,9674836	0,6457713	0,6149394	0,7511258	0,9905068	0,7647422	0,9095018	1,0035431	0,8555257	0,6730591	0,3535992	0,5757062	0,0804536	0,3529034	0,7211195	0,5001742	0,0158694	0,1481218	0,6394316	0,1731272	0,6839629	0,2996932	0,1972696	0,9462245	0,8726133	0,1397965
460	0,5372080	0,1892819	0,4703278	0,6282856	0,7870175	0,9048108	0,9182480	0,5515654	0,5970846	0,8108347	0,9482266	0,8371802	0,9012146	0,9803909	0,8687078	0,6835858	0,3962360	0,6123630	0,0545384	0,3550553	0,5684142	0,4659701	0,0132167	0,1533343	0,5800657	0,1840420	0,6793099	0,2571955	0,1673110	0,9154058	0,8532722	0,1532812
480	0,5647645	0,2115960	0,4884213	0,6928178	0,8252259	0,9047516	0,8746548	0,5306328	0,6397740	0,7562960	0,9315145	0,9207172	0,8552765	1,0370825	0,8323421	0,6675687	0,3506166	0,6811792	0,0659750	0,3044482	0,5784569	0,4931856	0,0174845	0,1460698	0,5449936	0,1725527	0,6387261	0,2490344	0,1542204	0,9615470	0,8516935	0,1254202
500	0,5258058	0,2276349	0,4894956	0,6954982	0,8335160	0,9087070	0,8392517	0,5460403	0,5916239	0,7309123	0,8956540	0,9425450	0,8727281	1,0523861	0,8142553	0,6539433	0,3849583	0,6334904	0,0834980	0,2939550	0,5758196	0,5304952	0,0135651	0,1475565	0,5627759	0,1414170	0,6540192	0,2703413	0,1155387	0,9992709	0,7639647	0,1008274
520	0,4799810	0,2337403	0,4664088	0,7448430	0,8250450	0,8702075	0,8090640	0,5476962	0,6028535	0,6810216	0,9101099	0,9056034	0,8569454	1,0586755	0,8352626	0,5928011	0,4160341	0,6085353	0,0623269	0,2513473	0,6302904	0,5865804	0,0116830	0,1730277	0,5734278	0,1600979	0,6811875	0,2442090	0,1243302	1,0368958	0,8123527	0,1145135
540	0,4161699	0,2486289	0,4429880	0,7447649	0,8857821	0,8299707	0,7148651	0,5633325	0,5978237	0,6501507	0,9256010	0,8858431	0,8851217	1,0326208	0,8030716	0,5568299	0,4086738	0,6473305	0,0634162	0,2779544	0,6348258	0,5305256	0,0058335	0,1599663	0,5656542	0,1515373	0,6216000	0,1843660	0,1165586	1,0729225	0,8312693	0,1153777
