"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
260	0,4388904	0,7151921	0,5231344	0,6570950	0,6802025	0,2371498	0,6337021	0,4156126	0,7574651	0,8099713	0,0535088	0,7195037	0,1702452	0,4851224	0,7940529	0,7135474	0,3563150	0,6198530	0,7205324	0,2965882	0,2623505	0,2379899	0,4372650	0,6242157	0,4985168	0,7121071	0,3196419	0,6302055	0,6581867	0,6310698	0,6896838	0,4222387
280	0,4281625	0,6519054	0,5261634	0,6917612	0,7541039	0,2246734	0,5474378	0,4673999	0,5974087	0,7591316	0,0405572	0,7526775	0,1934079	0,4890605	0,6475816	0,7150340	0,2757271	0,6482857	0,5654267	0,2952784	0,2605703	0,2900032	0,3834774	0,6773986	0,5792841	0,6555267	0,4360399	0,7179637	0,6958363	0,5740474	0,7337515	0,3628292
300	0,3879601	0,6641475	0,5445120	0,7705823	0,6948601	0,1987885	0,5681954	0,4957388	0,5361326	0,6772404	0,0514490	0,6501950	0,1682564	0,4628881	0,6325180	0,7805819	0,3552986	0,5586224	0,5458820	0,1408366	0,3308838	0,2798150	0,3979406	0,6641563	0,5746631	0,6485894	0,3261634	0,7180015	0,7404503	0,5688046	0,6753146	0,3911284
320	0,3381951	0,6799285	0,5172539	0,6567418	0,6576110	0,1634039	0,5416907	0,5353141	0,6328820	0,7274456	0,0697942	0,5980293	0,1703440	0,4849997	0,7695083	0,6998164	0,2354381	0,5849112	0,6911822	0,1813524	0,2546017	0,2228160	0,3101266	0,7755217	0,5117381	0,7269996	0,3512760	0,6276880	0,5820418	0,5965532	0,6325958	0,3878058
340	0,4227008	0,5906583	0,5524246	0,7823286	0,6728097	0,2025990	0,5436082	0,5066577	0,7420660	0,6095184	0,0675943	0,6624259	0,1920310	0,4102064	0,7530330	0,7077112	0,2220315	0,6485027	0,6617541	0,1734176	0,3331628	0,3648023	0,3049562	0,7182543	0,5253387	0,6654629	0,4086542	0,6764397	0,6877802	0,6143919	0,7088568	0,3433696
360	0,4301999	0,6640742	0,5655065	0,6216412	0,5704585	0,2256202	0,6992392	0,4330124	0,5111381	0,7322924	0,1035145	0,5467550	0,2085284	0,6069450	0,7951519	0,7153790	0,2712171	0,5956497	0,7003619	0,2019204	0,2928181	0,2983055	0,2939907	0,7504472	0,5720976	0,6150863	0,3645840	0,6833086	0,6470127	0,5707004	0,6350719	0,3861738
380	0,5302783	0,7221414	0,6267246	0,7011539	0,6771512	0,1715560	0,6104677	0,5254488	0,5116257	0,7398580	0,0403939	0,7899866	0,1803392	0,6374765	0,7951354	0,6899342	0,2327443	0,6682531	0,6180526	0,1852315	0,2250643	0,3036561	0,4144004	0,6502212	0,5860535	0,6727618	0,3438241	0,6120683	0,5512538	0,7160983	0,7169397	0,4052448
400	0,4275870	0,6936776	0,5590268	0,6937202	0,6851939	0,1357638	0,6137072	0,4944619	0,6135899	0,6853067	0,0665224	0,7771321	0,1938123	0,5550125	0,6013988	0,7156132	0,3058997	0,6040870	0,5185557	0,2162564	0,2510505	0,3013835	0,3250082	0,8320831	0,5917905	0,6252894	0,3254041	0,6976350	0,4791526	0,5725027	0,7069397	0,4144247
420	0,3973174	0,6266702	0,5530006	0,7764841	0,6560972	0,1856800	0,5475079	0,5402476	0,7375476	0,7310278	0,0519903	0,6594328	0,3146052	0,5319366	0,7201779	0,5865920	0,2853650	0,6578322	0,5670005	0,1822061	0,2736607	0,3210970	0,2940367	0,5903941	0,6350972	0,6156189	0,4169343	0,8735825	0,4886588	0,4666171	0,6493671	0,4378436
440	0,5456513	0,6576166	0,5574492	0,6245121	0,5437545	0,1927818	0,6982708	0,4986194	0,7469722	0,7191619	0,0677584	0,7996486	0,2002114	0,6222158	0,5458874	0,7105692	0,2791871	0,4986628	0,6002945	0,1694816	0,2170800	0,2544702	0,3481252	0,6964347	0,6097934	0,6505515	0,4113373	0,6853429	0,5809546	0,5966192	0,6950942	0,4288547
460	0,4248391	0,6496523	0,5138523	0,6954384	0,6298603	0,2552126	0,7971761	0,5694240	0,7207164	0,6243309	0,0971655	0,6054505	0,1968649	0,5325117	0,6218421	0,7461995	0,2514842	0,5939994	0,5540607	0,2261731	0,2517883	0,3747642	0,4412645	0,7493385	0,5939450	0,7368052	0,3130391	0,6782522	0,6173066	0,5911170	0,6434505	0,3719910
480	0,3735925	0,7089843	0,5048302	0,7146453	0,6546516	0,1896727	0,6022285	0,5026846	0,6747275	0,6604035	0,0700969	0,5478081	0,2380236	0,4747821	0,6300570	0,8238332	0,2354150	0,5713574	0,5549994	0,1844534	0,1954353	0,3249664	0,3516145	0,6527001	0,5357345	0,6309021	0,3827895	0,6582202	0,7072914	0,5024500	0,6374117	0,3252730
500	0,3449782	0,6536597	0,5894111	0,7552341	0,5810366	0,1503373	0,7437103	0,4614072	0,6834500	0,7612974	0,0526377	0,5155436	0,2062085	0,5003225	0,6430197	0,6328124	0,3444806	0,7051010	0,5569445	0,2134169	0,1942371	0,2760044	0,4079028	0,6822593	0,5061749	0,7322208	0,3763888	0,8909081	0,6989311	0,5052855	0,6717829	0,3518912
520	0,3500447	0,6367640	0,5414912	0,8813532	0,6504970	0,1416002	0,6745911	0,5845675	0,6023162	0,7792612	0,0452070	0,5690599	0,2130693	0,5010232	0,7041196	0,6519285	0,3404422	0,5876235	0,5687202	0,2143053	0,2588429	0,2409851	0,4614050	0,7514724	0,5769418	0,8278595	0,3757225	0,7417989	0,7567600	0,5647027	0,7057747	0,3933356
540	0,4309712	0,6830652	0,5007245	0,8139777	0,7409523	0,1845058	0,7300901	0,5736509	0,6246962	0,6194954	0,0776622	0,6397695	0,1872733	0,5335981	0,7809670	0,7523665	0,2247175	0,5705867	0,6058292	0,1899149	0,2975146	0,4004160	0,4239821	0,7382076	0,6359951	0,6420909	0,2883017	0,7125460	0,6752987	0,5617966	0,7538968	0,3795815
560	0,4178486	0,6526955	0,5887664	0,9273083	0,7812747	0,1534048	0,7396697	0,5088992	0,7879207	0,7866331	0,0474015	0,6690572	0,2409973	0,6316551	0,7200524	0,6795579	0,2574421	0,6837723	0,7027577	0,2448937	0,2637752	0,2913858	0,3866506	0,7691977	0,4822590	0,6872031	0,3966280	0,7724541	0,6794120	0,5631859	0,8150449	0,5241642
580	0,4348883	0,6948985	0,5204876	0,9232904	0,7494666	0,1598411	0,8068536	0,5701404	0,5943931	0,8659280	0,0574285	0,6184718	0,2122992	0,4332942	0,6168208	0,6224628	0,2257120	0,5969579	0,6383344	0,2225467	0,4037968	0,3590282	0,4088014	0,6802095	0,5534982	0,6787021	0,4118955	0,6322126	0,5025926	0,5138766	0,6893092	0,4506945
600	0,4174732	0,7504595	0,5214923	0,6925887	0,6718425	0,2460421	0,6711621	0,4581589	0,5191579	0,6698846	0,0556197	0,5821513	0,1909487	0,3613756	0,8062927	0,7039009	0,2866396	0,5917022	0,6275514	0,1896930	0,5405602	0,2886948	0,4277066	0,6614401	0,5084545	0,6477272	0,4518636	0,6875197	0,5317496	0,5941826	0,6507401	0,3856565
620	0,5076870	0,6281816	0,6279727	0,6927048	0,6096204	0,2576694	0,4568005	0,4694537	0,5558253	0,8641668	0,0775919	0,5671012	0,2257668	0,3898811	0,6640917	0,6789910	0,1692256	0,5556438	0,7989642	0,1428457	0,5198541	0,2696291	0,4133660	0,6178628	0,5733239	0,7972995	0,4113700	0,6923999	0,4134573	0,6367034	0,5922056	0,4636009
640	0,4090064	0,7236013	0,6433631	0,6259664	0,5622806	0,2272696	0,5402951	0,5751759	0,7108661	0,7922007	0,0535582	0,6728781	0,1596715	0,3001953	0,6881035	0,6281906	0,1786446	0,5146996	0,6338030	0,1946155	0,6952008	0,3338366	0,3973685	0,6516225	0,5593074	0,7626887	0,4568065	0,5637338	0,6005081	0,5260630	0,6701082	0,4335081
660	0,4304872	0,6312714	0,7033951	0,7127207	0,8003597	0,1856838	0,4665828	0,4060133	0,6992966	0,6995640	0,0636226	0,6949203	0,1385502	0,2501461	0,7712910	0,6304686	0,2561880	0,6181132	0,6836997	0,1590758	0,6504501	0,3651810	0,3728775	0,5781249	0,5257193	0,7026830	0,3618810	0,6940956	0,3824576	0,5173858	0,7053022	0,4307790
680	0,3654357	0,7762143	0,6072507	0,7496979	0,6103231	0,2325742	0,5325089	0,5145411	0,6879850	0,7099728	0,0462386	0,6087412	0,1394916	0,2934269	0,7009750	0,6726596	0,2672297	0,5410261	0,7424349	0,2357940	0,4826848	0,2537965	0,4812671	0,5945236	0,4615778	0,6890263	0,3209225	0,5476155	0,3564977	0,5456617	0,6641717	0,4139456
700	0,3874311	0,7624910	0,5831470	0,6078857	0,5824077	0,1549423	0,4653697	0,4173511	0,5878291	0,6995754	0,0843382	0,6569978	0,0947208	0,2634953	0,8157088	0,7369213	0,2173101	0,5015273	0,6194525	0,2324338	0,5626477	0,3784482	0,3429822	0,6379444	0,5783968	0,6786448	0,3033835	0,6612255	0,3385595	0,5880036	0,7300229	0,4088261
720	0,4355562	0,6269142	0,4959460	0,6092822	0,6706490	0,1874025	0,5070831	0,4935491	0,6608868	0,6633819	0,0637114	0,5725716	0,1255442	0,2685600	0,6503130	0,5909563	0,2049646	0,5391315	0,7539065	0,2342702	0,4903018	0,2776819	0,3936968	0,7219875	0,5578657	0,6160479	0,4022300	0,6736296	0,3640937	0,6361899	0,6499802	0,4313157
740	0,4774487	0,6553299	0,5116898	0,7322134	0,6844294	0,3003818	0,5186447	0,4149370	0,6907727	0,6863968	0,0271197	0,6281588	0,1730899	0,2632388	0,8350067	0,6923117	0,2096271	0,5951030	0,6252022	0,2798020	0,4827016	0,2735420	0,3938178	0,7473238	0,4765351	0,5764574	0,3477999	0,6226150	0,3754901	0,6189564	0,6880708	0,4108422
