"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
260	0,7863039	0,7683953	0,6295168	0,7549010	0,0942823	0,3285326	0,0023822	0,0318275	0,5022728	0,6729817	0,0285230	0,0193055	0,3409174	0,0621271	0,1172404	0,1189551	0,5212264	0,3095088	0,5059936	0,0386444	0,6464469	0,3030153	0,0439803	0,5993420	0,0273434	0,1217307	0,0278730	0,7531608	0,0438683	0,6024739	0,0024082	0,1904103
280	0,8165008	0,6943967	0,6156453	0,7160959	0,0766558	0,3100847	0,0031768	0,0151884	0,4985893	0,5173559	0,0242717	0,0317639	0,2854027	0,0911647	0,0972076	0,1074421	0,5167982	0,2514367	0,5726880	0,0069106	0,7256606	0,3188487	0,0975229	0,6229308	0,0374825	0,0966831	0,0279913	0,7032448	0,0282737	0,5318076	0,0065353	0,2129461
300	0,7305862	0,6318697	0,6043146	0,6439522	0,0877779	0,3292070	0,0024116	0,0372701	0,4513432	0,5392835	0,0300399	0,0197711	0,2399224	0,0428662	0,1001139	0,1226593	0,7385949	0,2792386	0,5628810	0,0034766	0,7041640	0,3563465	0,0522977	0,6159259	0,0417294	0,1148847	0,0089030	0,7574726	0,0303778	0,5678099	0,0138786	0,2178715
320	0,7949230	0,6722968	0,6751440	0,7929417	0,1154864	0,4001562	0,0037335	0,0143727	0,4947442	0,5526822	0,0359861	0,0292016	0,2068375	0,0846115	0,0972636	0,1256083	0,5032596	0,3254387	0,6910105	0,0043647	0,7128145	0,3992245	0,1028774	0,5366210	0,0546769	0,1474696	0,0190790	0,5721891	0,0174851	0,6454269	0,0118970	0,1866149
340	0,6890498	0,7149016	0,6287335	0,7501453	0,0809818	0,3004447	0,0093931	0,0582097	0,4792813	0,4994703	0,0245962	0,0245122	0,2207721	0,0669421	0,0916880	0,1222845	0,5183104	0,2224218	0,5346859	0,0059842	0,7818326	0,3169388	0,0671167	0,5538810	0,0330848	0,1242470	0,0365829	0,6488509	0,0338292	0,6393938	0,0458983	0,2471458
360	0,6765764	0,7133670	0,6655678	0,7225058	0,0611530	0,3883261	0,0107542	0,0183906	0,4800628	0,4452335	0,0334292	0,0140204	0,2518633	0,0700188	0,1005108	0,1459105	0,5769876	0,3122065	0,5371832	0,0132416	0,6426331	0,3561176	0,0625488	0,4885022	0,0360058	0,1068556	0,0595794	0,6890996	0,0160635	0,6008613	0,0110001	0,1857163
380	0,8437043	0,5917179	0,5581656	0,6807123	0,0687553	0,2645249	0,0088946	0,0240178	0,4994865	0,3464225	0,0626777	0,0204318	0,3038715	0,0500024	0,1409921	0,1383484	0,4580504	0,3165001	0,4930728	0,0129147	0,7693193	0,2910534	0,0615918	0,4384989	0,0142251	0,0973973	0,0328241	0,6100990	0,0489582	0,7149804	0,0477515	0,2292171
400	0,8467047	0,7290775	0,6771423	0,7847699	0,0755715	0,3230142	0,0126467	0,0259442	0,3684024	0,4749556	0,0367325	0,0367493	0,2585702	0,0725631	0,1504095	0,1022506	0,4373637	0,2278982	0,5196054	0,0078139	0,6369298	0,2377127	0,0615081	0,5465238	0,0284816	0,1409068	0,0157926	0,6773102	0,0351017	0,6527835	0,0268954	0,1753901
420	0,6746387	0,6929989	0,6810156	0,7707764	0,0623045	0,3646739	0,0060620	0,0333618	0,4485657	0,4632904	0,0787419	0,0223473	0,2193954	0,0449068	0,0838008	0,1150218	0,3800488	0,2935889	0,4931805	0,0043521	0,7302159	0,2700764	0,0922340	0,5151192	0,0316131	0,0684482	0,0496773	0,7486142	0,0181398	0,6029967	0,0226324	0,2314448
440	0,7937435	0,6752002	0,7999697	0,6895937	0,0734661	0,4506984	0,0171994	0,0259310	0,4682907	0,4894389	0,0232966	0,0152360	0,2751301	0,0548977	0,1442494	0,1082722	0,4390742	0,2829591	0,4737215	0,0146422	0,6016557	0,3330253	0,0494632	0,5222913	0,0458765	0,0976438	0,0463929	0,6190981	0,0526860	0,5610341	0,0291614	0,2157904
