Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20	Gene21	Gene22	Gene23	Gene24	Gene25	Gene26	Gene27	Gene28	Gene29	Gene30	Gene31	Gene32
0	0.4146209	0.1824071	0.4281359	0.4130452	0.5054554	0.7586565	0.582769	0.5911131	0.30929	0.6238877	0.8096547	0.6800094	0.4424723	0.6317514	0.515585	0.4243132	0.2844034	0.0375916	0.7091754	0.1600446	0.2470657	0.2465478	0.0044592	0.0739371	0.3287493	0.3586837	0.6445582	0.3800556	0.2007834	0.7299379	0.510909	0.8417689
20	0.3072731	0.1582564	0.336007	0.4251914	0.6519478	0.6587405	0.5406214	0.4910302	0.2531636	0.6694289	0.8337817	0.6737956	0.5335774	0.7991258	0.5190165	0.3437779	0.2686646	0.1711181	0.5336564	0.1954608	0.406379	0.2994727	0.0202329	0.1244432	0.4037678	0.2569441	0.5494795	0.3186079	0.1622306	0.6168094	0.4652685	0.3913627
40	0.3982378	0.1534452	0.3337797	0.5779613	0.4981697	0.6131197	0.5864295	0.4635279	0.2743067	0.5683412	0.7297175	0.5571905	0.5444108	0.7117759	0.4990187	0.3894272	0.2728535	0.3338714	0.3529258	0.297332	0.4667069	0.3262926	0.0086235	0.0779858	0.4267012	0.2283719	0.5241901	0.2847611	0.2203206	0.7451885	0.4597974	0.2422992
60	0.2640988	0.2407578	0.44738	0.4067681	0.5225947	0.6004082	0.5450178	0.498667	0.3483305	0.5367574	0.7689325	0.7247926	0.5114863	0.8018083	0.544938	0.3801542	0.2836464	0.4590337	0.2387715	0.2272657	0.4349535	0.3466795	0.0071964	0.1213437	0.4875104	0.2223847	0.4925474	0.2202959	0.1604589	0.7257634	0.5636393	0.2045962
80	0.40039	0.094224	0.3777433	0.5466636	0.6248469	0.7914239	0.5903715	0.5268618	0.2680671	0.6301539	0.690045	0.5726539	0.4725701	0.6801282	0.5382152	0.4101404	0.2984833	0.4110813	0.1480367	0.261194	0.4903333	0.3041916	0.0056149	0.1026286	0.509848	0.172308	0.4849934	0.3254112	0.2005923	0.6781188	0.7438609	0.1168916
100	0.3504732	0.1279364	0.4325315	0.4585081	0.7183628	0.6086814	0.5868676	0.4887425	0.3058542	0.4987849	0.5827908	0.5680848	0.6764523	0.7529952	0.5804207	0.4141123	0.356583	0.4407457	0.0917546	0.2821059	0.5165383	0.40399	0.0061021	0.1883019	0.5221311	0.1106336	0.5160668	0.2610338	0.172768	0.6952366	0.5784504	0.1064338
120	0.3172641	0.1350943	0.3244293	0.4882195	0.5925848	0.653798	0.5975993	0.557583	0.313094	0.61133	0.6142246	0.6948776	0.6338483	0.7990853	0.6527935	0.4771622	0.2869683	0.4637789	0.1329304	0.2827826	0.4440967	0.3394204	0.0205546	0.0810732	0.5325308	0.1157862	0.6234702	0.3484433	0.268424	0.6697217	0.6647386	0.1028959
140	0.3106741	0.1133717	0.3352162	0.4891278	0.6625463	0.6464923	0.5695244	0.4380035	0.3098063	0.5102317	0.6530049	0.6373131	0.6933013	0.6944394	0.5579418	0.3634642	0.2594086	0.3598947	0.095768	0.2829993	0.4618835	0.3187958	0.0064471	0.1178375	0.5794933	0.1545966	0.5351896	0.223988	0.227005	0.5680705	0.6104778	0.1048379
160	0.308716	0.1197272	0.3365316	0.420046	0.5634444	0.6693611	0.5448919	0.4409686	0.332495	0.4762385	0.7025299	0.5627396	0.7217322	0.7613357	0.6118848	0.4101932	0.2630509	0.3930899	0.0348959	0.2111965	0.5170072	0.4154055	0.0091265	0.1342811	0.4358358	0.1819984	0.6164663	0.2778362	0.1901958	0.5971963	0.5011483	0.1306614
180	0.3823057	0.1135229	0.2933743	0.4727983	0.5751367	0.5709312	0.5810597	0.4297943	0.2996077	0.4687188	0.7285664	0.6101065	0.6217742	0.7035944	0.5791762	0.4591285	0.2473621	0.4591217	0.0484593	0.2260895	0.4103161	0.3537507	0.0112134	0.1060981	0.557286	0.1071181	0.488525	0.321717	0.1589277	0.6700075	0.52825	0.0584675
200	0.4035195	0.0886791	0.2775039	0.4791308	0.6249953	0.5468088	0.5609038	0.4464124	0.2784136	0.6884874	0.6042665	0.7552269	0.6607304	0.6452018	0.8076752	0.4336946	0.251545	0.4236336	0.060713	0.1991628	0.463574	0.3469342	0.0030357	0.0848373	0.5506797	0.1430988	0.5350415	0.2032401	0.2151467	0.7192879	0.6261938	0.1081907
220	0.4023595	0.0983734	0.3451601	0.3630348	0.7076082	0.5954576	0.6471617	0.4374047	0.3609526	0.5096722	0.7638864	0.5461123	0.6137964	0.7018876	0.5720537	0.4301817	0.2375414	0.4531147	0.0357648	0.2076445	0.4474584	0.3713014	0.010411	0.0845195	0.4834051	0.1035626	0.5777196	0.2348858	0.2235114	0.6830266	0.6310074	0.093338
240	0.4086247	0.1577801	0.3579674	0.4919811	0.5003753	0.8036387	0.5668526	0.3923613	0.3712153	0.5399426	0.8700762	0.7006405	0.6028517	0.7455386	0.7087177	0.4867083	0.2899213	0.5335633	0.0521005	0.253281	0.4488948	0.3282057	0.0120443	0.1908416	0.4947109	0.0853939	0.4548028	0.2131872	0.1502482	0.6827091	0.7120665	0.101765
260	0.3952438	0.1269653	0.3639484	0.4536648	0.6358795	0.660349	0.5326442	0.4214032	0.3310934	0.4241032	0.7586189	0.6469191	0.5861081	0.837733	0.5319673	0.390246	0.3063573	0.5161337	0.0426265	0.2523311	0.565934	0.3425265	0.0064539	0.1126457	0.4788435	0.0934817	0.5964229	0.3063907	0.1527911	0.7101148	0.6008667	0.0907896
280	0.3309543	0.1436689	0.2761149	0.5277742	0.7590854	0.6045305	0.5950341	0.328773	0.4193071	0.5418469	0.8550487	0.5872587	0.49892	0.663203	0.54572	0.3300935	0.3458508	0.4802872	0.0393677	0.2048963	0.5242131	0.3085305	0.0113495	0.1035832	0.6409179	0.126842	0.5186867	0.2128478	0.1856978	0.663301	0.6434103	0.1046321
300	0.3557252	0.1964496	0.2708058	0.5554691	0.6162667	0.7813429	0.6714378	0.3891013	0.3136458	0.4070385	0.7779744	0.6026638	0.5663408	0.6556675	0.631012	0.4298947	0.2993832	0.3992859	0.0451013	0.2253042	0.4888694	0.4201577	0.0047666	0.1261087	0.4694211	0.1287852	0.6002051	0.2543315	0.1134873	0.6189243	0.7243665	0.1012848
320	0.3587695	0.1083393	0.2984326	0.4603445	0.7472482	0.6784951	0.622476	0.3817172	0.3842772	0.4438143	0.810352	0.6111544	0.6565133	0.7419839	0.7125815	0.4498331	0.253899	0.4299061	0.0521333	0.179615	0.5669846	0.3454397	0.0058719	0.1169283	0.4985729	0.1134502	0.5920357	0.2181781	0.1046727	0.6720066	0.692266	0.0931857
340	0.4109374	0.1354525	0.3973905	0.4660073	0.5459043	0.588793	0.6098812	0.2709284	0.3923673	0.4813421	0.6851583	0.5146491	0.689271	0.6645005	0.5857325	0.4068511	0.2883249	0.4128729	0.038646	0.2327571	0.552243	0.3222103	0.0061538	0.0800477	0.5389166	0.1031342	0.534562	0.2386381	0.1369325	0.7255057	0.5867613	0.0704584
360	0.3155868	0.1357766	0.3923542	0.4468264	0.5222659	0.6432878	0.5291123	0.4127009	0.3840124	0.5188659	0.754268	0.7674523	0.7344435	0.5604047	0.5976645	0.4391223	0.2776743	0.4407727	0.0398962	0.176837	0.4900992	0.3139381	0.0021672	0.0663574	0.4498129	0.076031	0.5138708	0.1872409	0.1781284	0.7036601	0.5738706	0.1223837
380	0.3485145	0.1585795	0.3306493	0.4632999	0.582342	0.7746122	0.5963507	0.3496939	0.437681	0.5727786	0.6544749	0.482662	0.6323214	0.7399171	0.6322887	0.3506741	0.2703938	0.4462163	0.0453298	0.2242593	0.5116143	0.2525904	0.0114139	0.1057349	0.4310889	0.1538602	0.4715396	0.198379	0.1581373	0.6348388	0.6632825	0.0870552
400	0.3268618	0.1042464	0.2975598	0.3932898	0.5815573	0.6606465	0.5659907	0.4311679	0.3943477	0.4746193	0.674757	0.5420874	0.7218419	0.7627602	0.6891711	0.3912998	0.2602555	0.4926714	0.0564377	0.2145602	0.4125356	0.347855	0.0033858	0.0692508	0.5175443	0.120767	0.5195358	0.267847	0.1892732	0.7027256	0.6774235	0.097833
420	0.323497	0.1646108	0.362062	0.4569589	0.5143903	0.6922673	0.658797	0.5063376	0.3463566	0.4295682	0.7778207	0.5602789	0.6681866	0.6658326	0.8239158	0.421929	0.2384527	0.4361095	0.0450818	0.1856793	0.4344962	0.2610692	0.0043504	0.1470063	0.4014462	0.1366455	0.5073143	0.2696715	0.1840316	0.7125599	0.6917316	0.0913875
440	0.3679234	0.1372545	0.3037373	0.3544154	0.6091238	0.7520375	0.6202027	0.4281707	0.438556	0.5905546	0.6884867	0.5573059	0.7760049	0.6041265	0.6910243	0.4387779	0.3409864	0.3768727	0.0416731	0.2577869	0.5662468	0.3854974	0.0058451	0.1029172	0.3822728	0.0962691	0.5040244	0.1301157	0.1112428	0.6349667	0.6378569	0.0919197
460	0.3706338	0.164756	0.3374426	0.4437892	0.6111794	0.6251514	0.6830195	0.3473716	0.4586545	0.4386479	0.7241675	0.6530575	0.6898064	0.7547499	0.6080996	0.4594227	0.3158327	0.4462208	0.0296137	0.1955744	0.3682417	0.3881898	0.0138488	0.0836428	0.4654306	0.1074105	0.5006094	0.130227	0.1028874	0.7951189	0.6392878	0.0658883
480	0.3154769	0.1740306	0.3417716	0.4929117	0.5410526	0.6384001	0.5967836	0.3372698	0.520362	0.4895904	0.75224	0.665932	0.6358337	0.6933756	0.6378825	0.4134457	0.2716159	0.4809105	0.0671231	0.2033636	0.4659276	0.3088115	0.0103794	0.1478739	0.4254305	0.1204459	0.4706587	0.197249	0.1054886	0.675435	0.5679697	0.0651336
500	0.2736608	0.1990372	0.3339593	0.5385831	0.586174	0.6136567	0.5136514	0.4018333	0.5458297	0.5072007	0.7390929	0.6136335	0.7058183	0.8586174	0.5545473	0.4478518	0.3710843	0.3387259	0.0390927	0.1869262	0.4807868	0.3649561	0.0052112	0.0606771	0.4276189	0.0957798	0.5718105	0.2415394	0.0952367	0.7786328	0.5800648	0.0700071
520	0.3473499	0.1571775	0.2693521	0.4600635	0.5285643	0.6582553	0.641841	0.3624582	0.4528743	0.5105375	0.6550293	0.5465169	0.7350455	0.7641582	0.7647968	0.4562603	0.3339464	0.4610453	0.0894465	0.252986	0.4845612	0.3175183	0.0090765	0.113546	0.4297951	0.1001732	0.4028076	0.1513043	0.0808117	0.744607	0.5574835	0.0631239
