"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
260	0,4235481	0,3677188	0,2547593	0,3952466	0,4135131	0,8191986	0,1800159	0,6315407	0,9387145	0,9569123	0,5756050	0,9999995	0,1932841	0,6142263	0,6801344	0,8078168	0,8539771	0,6943197	0,5823128	0,4326247	0,3464480	0,6478392	0,9103083	0,1346296	0,9622607	0,1568040	0,7103759	0,8158880	0,0877624	0,0303819	0,0620326	0,4735381
280	0,4235481	0,3677188	0,2547593	0,3952431	0,4135189	0,8191895	0,1800202	0,6315407	0,9387145	0,9569123	0,5756075	0,9999997	0,1932841	0,6142264	0,6801330	0,8078091	0,8539892	0,6943192	0,5823129	0,4330473	0,3464493	0,6482065	0,9103046	0,1346394	0,9622607	0,1568015	0,7103823	0,8158884	0,0877625	0,0303819	0,0620137	0,4735384
300	0,4235481	0,3677189	0,2547593	0,3952400	0,4135240	0,8191814	0,1800241	0,6315408	0,9387145	0,9569123	0,5756096	0,9999998	0,1932841	0,6142265	0,6801318	0,8078050	0,8540001	0,6943189	0,5823130	0,4333271	0,3464505	0,6484320	0,9103013	0,1346482	0,9622607	0,1568004	0,7103880	0,8158887	0,0877625	0,0303819	0,0620040	0,4735386
320	0,4235481	0,3677189	0,2547593	0,3952371	0,4135285	0,8191742	0,1800275	0,6315408	0,9387145	0,9569123	0,5756114	0,9999999	0,1932841	0,6142265	0,6801306	0,8078027	0,8540098	0,6943186	0,5823130	0,4335125	0,3464514	0,6485704	0,9102984	0,1346561	0,9622607	0,1568000	0,7103932	0,8158889	0,0877625	0,0303819	0,0619989	0,4735388
340	0,4235481	0,3677189	0,2547593	0,3952345	0,4135325	0,8191677	0,1800305	0,6315408	0,9387146	0,9569123	0,5756129	0,9999999	0,1932841	0,6142266	0,6801295	0,8078015	0,8540185	0,6943183	0,5823131	0,4336353	0,3464522	0,6486555	0,9102959	0,1346632	0,9622607	0,1567998	0,7103978	0,8158890	0,0877625	0,0303819	0,0619963	0,4735389
360	0,4235481	0,3677189	0,2547593	0,3952322	0,4135359	0,8191620	0,1800332	0,6315408	0,9387146	0,9569123	0,5756143	0,9999999	0,1932841	0,6142266	0,6801285	0,8078009	0,8540263	0,6943180	0,5823131	0,4337167	0,3464528	0,6487079	0,9102937	0,1346694	0,9622607	0,1567998	0,7104019	0,8158892	0,0877625	0,0303819	0,0619950	0,4735390
380	0,4235481	0,3677189	0,2547593	0,3952300	0,4135389	0,8191569	0,1800356	0,6315408	0,9387146	0,9569123	0,5756154	1,0000000	0,1932842	0,6142266	0,6801276	0,8078005	0,8540331	0,6943178	0,5823131	0,4337705	0,3464533	0,6487401	0,9102917	0,1346750	0,9622607	0,1567997	0,7104055	0,8158892	0,0877625	0,0303819	0,0619943	0,4735390
400	0,4235481	0,3677189	0,2547593	0,3952281	0,4135416	0,8191524	0,1800377	0,6315408	0,9387146	0,9569123	0,5756164	1,0000000	0,1932842	0,6142266	0,6801267	0,8078003	0,8540392	0,6943175	0,5823131	0,4338062	0,3464537	0,6487601	0,9102899	0,1346800	0,9622607	0,1567997	0,7104087	0,8158893	0,0877625	0,0303819	0,0619939	0,4735391
420	0,4235481	0,3677189	0,2547593	0,3952264	0,4135439	0,8191484	0,1800395	0,6315408	0,9387146	0,9569123	0,5756172	1,0000000	0,1932842	0,6142267	0,6801259	0,8078002	0,8540446	0,6943172	0,5823132	0,4338299	0,3464539	0,6487724	0,9102884	0,1346843	0,9622607	0,1567997	0,7104115	0,8158893	0,0877625	0,0303819	0,0619938	0,4735391
440	0,4235481	0,3677189	0,2547593	0,3952249	0,4135460	0,8191449	0,1800411	0,6315408	0,9387146	0,9569123	0,5756179	1,0000000	0,1932842	0,6142267	0,6801251	0,8078002	0,8540494	0,6943170	0,5823132	0,4338455	0,3464541	0,6487801	0,9102870	0,1346882	0,9622607	0,1567997	0,7104140	0,8158893	0,0877625	0,0303819	0,0619937	0,4735391
