"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
260	0,3166897	0,3258946	0,1631459	0,2871487	0,4107425	0,5609237	0,1478221	0,4013169	0,6894967	0,5911371	0,4802267	0,8206014	0,1287015	0,5477472	0,5321857	0,5958974	0,6292397	0,5799699	0,4853567	0,3298823	0,2628324	0,4319651	0,7222638	0,1284202	0,5796598	0,1119883	0,6062291	0,6493689	0,0772805	0,0226955	0,0567132	0,4724724
280	0,2981393	0,2898787	0,1387078	0,3011464	0,3220793	0,4884321	0,1672344	0,3764288	0,7518738	0,6156603	0,4338161	0,7353533	0,1640124	0,4364923	0,6425124	0,6433824	0,5996252	0,5600175	0,5389004	0,4063856	0,2431212	0,5398182	0,5539265	0,1721968	0,6809755	0,0979386	0,4341123	0,6822076	0,0620937	0,0376880	0,0506080	0,3793749
300	0,3022839	0,2836895	0,1671317	0,2603976	0,2604903	0,6572716	0,1392175	0,3026815	0,6383649	0,7451400	0,4751980	0,6359907	0,1352749	0,5799796	0,5316759	0,6125189	0,5559933	0,5627372	0,4101013	0,2792103	0,2625109	0,5433919	0,6358232	0,2191161	0,6939754	0,0899665	0,3914577	0,6448420	0,0649398	0,0733585	0,0889452	0,4000655
320	0,3367715	0,2131655	0,2391184	0,2299092	0,3874062	0,5528759	0,1679478	0,3143576	0,6626616	0,5128972	0,3939687	0,8073161	0,1748347	0,4481203	0,6182170	0,6018384	0,7290762	0,5838407	0,5146043	0,2699790	0,1990378	0,5063756	0,6873323	0,1785152	0,6836452	0,0829176	0,5233008	0,5163885	0,0646207	0,0209281	0,0568269	0,4060030
340	0,2809138	0,2092011	0,2087110	0,2891499	0,2916476	0,5239646	0,1137346	0,4313676	0,5695074	0,7294679	0,3628171	0,7694077	0,2006715	0,4084105	0,5096494	0,4437206	0,7263150	0,6153704	0,3945731	0,2270612	0,2310468	0,5146442	0,6464894	0,1043491	0,6648531	0,1385120	0,4687601	0,5932026	0,0680143	0,0432342	0,0401860	0,3704656
360	0,2934263	0,2245205	0,1878794	0,2611564	0,2782078	0,4972652	0,1668951	0,3955097	0,6713755	0,7034666	0,3736783	0,7788407	0,1062679	0,4917704	0,4616486	0,5849237	0,5843341	0,5071366	0,3883457	0,3367412	0,2807842	0,4008017	0,6163401	0,1859156	0,7020490	0,1326575	0,6357024	0,6346118	0,0727542	0,0343078	0,0410926	0,4030146
380	0,2786985	0,1976395	0,1899539	0,2660091	0,2617043	0,5124617	0,1098019	0,4360659	0,6507501	0,5708879	0,4562852	0,7300177	0,1331050	0,5024455	0,5018253	0,6258075	0,6703674	0,6665293	0,3295120	0,3996493	0,2286503	0,4116464	0,7536413	0,1282504	0,6945569	0,0809389	0,4342588	0,5343001	0,0537264	0,0254951	0,0631247	0,3710754
400	0,3367819	0,1986956	0,1498905	0,3794924	0,3549460	0,5960576	0,1806736	0,4593040	0,6635351	0,6070546	0,3251402	0,7997276	0,1368556	0,4779014	0,4639526	0,6860058	0,6015930	0,4129108	0,4736410	0,2768244	0,2170637	0,4255015	0,5583039	0,0745095	0,6669198	0,1021024	0,4766279	0,5483429	0,0755190	0,0199806	0,0348796	0,3818371
420	0,2715096	0,2636337	0,1823226	0,2909488	0,3040469	0,4651523	0,1276648	0,4302666	0,7398732	0,5231091	0,3523734	0,7636390	0,1236030	0,5084738	0,5343386	0,6915431	0,6794274	0,4267377	0,4143165	0,2958641	0,2446711	0,4530894	0,6821691	0,0764672	0,6396862	0,2173021	0,4507470	0,5820997	0,0747090	0,0365039	0,0273653	0,4343853
440	0,3027764	0,2448370	0,1744089	0,2951645	0,2460200	0,4496882	0,1508370	0,3917974	0,7403351	0,6910752	0,3554857	0,7466833	0,1684093	0,4754883	0,4879149	0,6039393	0,7284495	0,4991258	0,4167170	0,2092672	0,2770657	0,3911201	0,6489070	0,1081447	0,6853723	0,1686899	0,4062048	0,5266009	0,0898519	0,0081239	0,0659756	0,4878884
