"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
260	0,4384670	0,4688790	0,1812826	0,7765473	0,5620697	0,5165142	0,0785874	0,1425128	0,7488698	0,4232020	0,6647164	0,6531229	0,1633407	0,5152314	0,2640807	0,8046358	0,4529970	0,2451548	0,6854907	0,5789194	0,5246470	0,4394939	0,3610277	0,4268216	0,6915414	0,1286302	0,3807026	0,2158798	0,6149998	0,1694005	0,3045272	0,2337757
280	0,4119498	0,4176066	0,1045549	0,7151018	0,5072726	0,4541470	0,0814148	0,1569128	0,6012522	0,3264514	0,6497782	0,6115106	0,1761408	0,5276048	0,3956999	0,8259803	0,5684404	0,1646090	0,7468934	0,5747354	0,4742149	0,4152979	0,2924558	0,3694321	0,6185314	0,1823034	0,2920228	0,2349688	0,4962950	0,1258117	0,2744902	0,2537471
300	0,4486031	0,4563431	0,1875973	0,7496307	0,5938783	0,5175757	0,0957874	0,1044816	0,8458711	0,4229806	0,6622319	0,7468693	0,1299249	0,4287940	0,3334877	0,7099409	0,4613389	0,2107061	0,7176036	0,5723587	0,5193875	0,3654163	0,2872172	0,3412165	0,6885934	0,1761904	0,3032558	0,1962436	0,5663587	0,1157180	0,2837428	0,2790628
320	0,4397425	0,3775516	0,1542922	0,6856111	0,5828918	0,4532776	0,0946901	0,1338487	0,8264870	0,4915591	0,5823437	0,6467005	0,0733813	0,5488370	0,4519514	0,7310058	0,6450029	0,1910583	0,6156470	0,4451750	0,5735595	0,5179524	0,2911475	0,4079214	0,5713414	0,1371554	0,3156866	0,1652224	0,5701145	0,0796395	0,2763653	0,2320358
340	0,3918667	0,4761618	0,1400161	0,7327044	0,6285361	0,4257759	0,0680950	0,1442354	0,7334846	0,4184020	0,6890913	0,7684855	0,1247593	0,4553414	0,3896847	0,6177980	0,4386873	0,1974089	0,6276757	0,4491693	0,5352611	0,4509281	0,2818635	0,3718901	0,5449359	0,1874422	0,2712908	0,1525876	0,5509581	0,0962385	0,3233711	0,1948892
360	0,4514469	0,5017126	0,1823355	0,7334531	0,6247237	0,4043266	0,0593904	0,1203975	0,8358036	0,3759323	0,5588553	0,7493024	0,1117046	0,4748215	0,3661125	0,6457231	0,5447869	0,2469674	0,6836219	0,4300562	0,4660446	0,4617106	0,2895877	0,3141417	0,8335911	0,0780892	0,3323139	0,1230233	0,5539114	0,0913174	0,2888885	0,1866782
380	0,3923210	0,5439632	0,1315699	0,6829997	0,6203784	0,4046083	0,0846779	0,1258201	0,8770498	0,4278365	0,6037686	0,5674675	0,1197893	0,5327282	0,4198454	0,7185851	0,5755560	0,2043174	0,5573132	0,4008064	0,4832667	0,4036770	0,2935822	0,3168721	0,6419140	0,1700593	0,3711996	0,1515657	0,5793535	0,1085529	0,3446527	0,2246446
400	0,4872673	0,3942286	0,1444214	0,8049510	0,6700568	0,4859074	0,0624790	0,0956021	0,7526427	0,3983760	0,7123809	0,5780219	0,1493658	0,5361624	0,3166953	0,7576277	0,6637423	0,1561807	0,6578699	0,4275465	0,5454828	0,4844480	0,3437057	0,4205602	0,7297308	0,1526669	0,2554867	0,1221589	0,5886140	0,0848524	0,2957493	0,2078215
420	0,4967496	0,3732542	0,1331560	0,6117017	0,7178120	0,4195053	0,0621775	0,1081220	0,6659368	0,3932679	0,6207015	0,5319759	0,1443719	0,7043747	0,3353482	0,6732370	0,5564936	0,2863341	0,6049178	0,4363648	0,4787522	0,3882443	0,2589884	0,4403574	0,6943648	0,2009206	0,2323349	0,1757892	0,6085828	0,0824779	0,3164088	0,2246707
440	0,4527616	0,4840555	0,1129940	0,6774320	0,9000593	0,4707258	0,0580432	0,1702351	0,8581330	0,4389458	0,5880253	0,6685126	0,1275762	0,5464754	0,4305460	0,8387638	0,6667689	0,2360031	0,7110651	0,4212176	0,4163702	0,3924757	0,4095288	0,3714736	0,6063915	0,1696365	0,2141245	0,1802747	0,5805743	0,0944050	0,3174582	0,2026411
