"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
300	0,0152137	0,6187873	0,0381285	0,0299583	0,2699593	0,6042141	1,0000000	0,5599390	0,2915807	0,3995101	0,3183038	0,7084634	0,1506282	0,6291230	0,5787500	0,5843251	0,3129366	0,3085485	0,9983207	0,0515830	0,9747350	0,0270946	0,0503956	0,8631730	0,9262700	0,0567970	0,9993761	0,8211999	0,9948694	0,7418633	0,9879834	0,3796094
320	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2917035	0,3997010	0,3183038	0,7084634	0,1508274	0,6307061	0,5787500	0,5849149	0,3129366	0,3085485	0,9983692	0,0515830	0,9747364	0,0270946	0,0503956	0,8639071	0,9264500	0,0567970	0,9993769	0,8212474	0,9948695	0,7420642	0,9879834	0,3796094
340	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2917945	0,3998303	0,3183038	0,7084634	0,1509288	0,6318641	0,5787500	0,5853049	0,3129366	0,3085485	0,9984021	0,0515829	0,9747374	0,0270946	0,0503956	0,8643830	0,9265688	0,0567970	0,9993774	0,8212773	0,9948695	0,7421756	0,9879834	0,3796094
360	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2918551	0,3999114	0,3183038	0,7084634	0,1509754	0,6326995	0,5787500	0,5855576	0,3129366	0,3085485	0,9984244	0,0515829	0,9747381	0,0270946	0,0503956	0,8646912	0,9266471	0,0567970	0,9993777	0,8212961	0,9948695	0,7422371	0,9879834	0,3796094
380	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2918918	0,3999579	0,3183038	0,7084634	0,1509933	0,6332957	0,5787500	0,5857185	0,3129366	0,3085485	0,9984395	0,0515829	0,9747386	0,0270946	0,0503956	0,8648905	0,9266984	0,0567970	0,9993778	0,8213078	0,9948695	0,7422710	0,9879834	0,3796094
400	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919118	0,3999815	0,3183038	0,7084634	0,1509978	0,6337179	0,5787500	0,5858195	0,3129366	0,3085485	0,9984497	0,0515829	0,9747390	0,0270946	0,0503956	0,8650192	0,9267321	0,0567970	0,9993779	0,8213151	0,9948695	0,7422896	0,9879834	0,3796094
420	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919212	0,3999910	0,3183038	0,7084634	0,1509970	0,6340154	0,5787500	0,5858825	0,3129366	0,3085485	0,9984565	0,0515829	0,9747393	0,0270946	0,0503956	0,8651024	0,9267540	0,0567970	0,9993780	0,8213197	0,9948695	0,7422998	0,9879834	0,3796094
440	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919246	0,3999927	0,3183038	0,7084634	0,1509948	0,6342244	0,5787500	0,5859217	0,3129366	0,3085485	0,9984611	0,0515829	0,9747394	0,0270946	0,0503956	0,8651561	0,9267684	0,0567970	0,9993780	0,8213226	0,9948696	0,7423054	0,9879834	0,3796094
460	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919248	0,3999906	0,3183038	0,7084634	0,1509928	0,6343711	0,5787500	0,5859464	0,3129366	0,3085485	0,9984642	0,0515829	0,9747396	0,0270946	0,0503956	0,8651907	0,9267777	0,0567970	0,9993781	0,8213243	0,9948696	0,7423084	0,9879834	0,3796094
480	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919238	0,3999871	0,3183038	0,7084634	0,1509915	0,6344743	0,5787500	0,5859623	0,3129366	0,3085485	0,9984663	0,0515829	0,9747397	0,0270946	0,0503956	0,8652131	0,9267838	0,0567970	0,9993781	0,8213254	0,9948696	0,7423101	0,9879834	0,3796094
500	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919225	0,3999836	0,3183038	0,7084634	0,1509908	0,6345470	0,5787500	0,5859728	0,3129366	0,3085485	0,9984676	0,0515829	0,9747398	0,0270946	0,0503956	0,8652275	0,9267877	0,0567970	0,9993781	0,8213261	0,9948696	0,7423109	0,9879834	0,3796094
520	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919212	0,3999806	0,3183038	0,7084634	0,1509907	0,6345984	0,5787500	0,5859800	0,3129366	0,3085485	0,9984686	0,0515829	0,9747398	0,0270946	0,0503956	0,8652368	0,9267903	0,0567970	0,9993781	0,8213265	0,9948696	0,7423114	0,9879834	0,3796094
540	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919203	0,3999783	0,3183038	0,7084634	0,1509908	0,6346348	0,5787500	0,5859852	0,3129366	0,3085485	0,9984692	0,0515829	0,9747398	0,0270946	0,0503956	0,8652427	0,9267919	0,0567970	0,9993781	0,8213268	0,9948696	0,7423117	0,9879834	0,3796094
560	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919197	0,3999767	0,3183038	0,7084634	0,1509910	0,6346607	0,5787500	0,5859890	0,3129366	0,3085485	0,9984696	0,0515829	0,9747399	0,0270946	0,0503956	0,8652466	0,9267930	0,0567970	0,9993781	0,8213269	0,9948696	0,7423118	0,9879834	0,3796094
580	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,3046452	0,4140254	0,3183038	0,7084634	0,1506252	0,6345585	0,5787500	0,5858906	0,3129366	0,3085485	0,9971342	0,0515829	0,9747399	0,0270946	0,0503956	0,8117906	0,9194318	0,0567970	0,9992048	0,8171280	0,9946993	0,6390382	0,9879834	0,3796094
600	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,3294703	0,4425307	0,3183038	0,7084634	0,1479692	0,6333810	0,5787500	0,5848498	0,3129366	0,3085485	0,9944664	0,0515829	0,9747399	0,0270946	0,0503956	0,7127659	0,9050459	0,0567970	0,9989002	0,8093101	0,9944660	0,4646804	0,9879834	0,3796094
620	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,3548460	0,4719488	0,3183038	0,7084634	0,1427610	0,6302054	0,5787500	0,5819084	0,3129366	0,3085485	0,9916296	0,0515829	0,9747399	0,0270946	0,0503956	0,6156634	0,8901197	0,0567970	0,9986192	0,8016214	0,9942989	0,3110941	0,9879834	0,3796094
640	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,3763941	0,4956127	0,3183038	0,7084634	0,1363845	0,6250284	0,5787500	0,5769059	0,3129366	0,3085485	0,9891088	0,0515829	0,9747399	0,0270946	0,0503956	0,5359317	0,8771859	0,0567970	0,9984026	0,7953079	0,9941966	0,1984167	0,9879834	0,3796094
660	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,3931562	0,5114757	0,3183038	0,7084634	0,1301092	0,6184511	0,5787500	0,5704125	0,3129366	0,3085485	0,9870542	0,0515829	0,9747399	0,0270946	0,0503956	0,4757106	0,8669094	0,0567970	0,9982495	0,7905530	0,9941378	0,1227128	0,9879834	0,3796094
680	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4055515	0,5202360	0,3183038	0,7084634	0,1246182	0,6112271	0,5787500	0,5633191	0,3129366	0,3085485	0,9854625	0,0515829	0,9747399	0,0270946	0,0503956	0,4323492	0,8591507	0,0567970	0,9981464	0,7871490	0,9941050	0,0744230	0,9879834	0,3796094
700	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4144199	0,5237913	0,3183038	0,7084634	0,1201378	0,6040051	0,5787500	0,5564680	0,3129366	0,3085485	0,9842697	0,0515829	0,9747399	0,0270946	0,0503956	0,4020615	0,8534863	0,0567970	0,9980793	0,7847915	0,9940870	0,0446585	0,9879834	0,3796094
