"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
300	0,0778918	0,0369566	0,7316325	1,0272368	1,0477286	0,0104336	0,9851647	0,0187585	0,3520307	0,9938354	0,7901063	0,9453764	0,8525446	0,7887320	0,7223057	0,0243501	0,0680973	0,9616157	0,1251536	0,0123336	0,7601151	0,9469533	0,5679826	0,9000756	0,1649140	0,9112813	0,5638750	1,0326740	0,0359910	0,5834205	0,1075364	0,0035813
320	0,0952525	0,0301579	0,7528632	0,9562111	0,9852138	0,0141287	0,9781551	0,0331519	0,3193877	1,0821859	0,8011580	1,0251627	0,9262347	0,7414653	0,7367685	0,0180607	0,0762643	0,9693287	0,1051662	0,0164505	0,8077645	0,9091212	0,5213787	0,8686484	0,1480199	0,9807883	0,5413985	1,0265327	0,0259349	0,5864734	0,1143819	0,0014799
340	0,0929063	0,0326280	0,8646807	0,8872860	1,0281235	0,0187451	1,0376761	0,0454954	0,3400526	1,0650455	0,8381637	1,0518768	0,8855258	0,7313754	0,7414258	0,0191599	0,0635888	0,9734768	0,0926752	0,0144204	0,7971066	0,9267836	0,5449222	0,9241168	0,1431740	0,9249049	0,5605959	0,9849962	0,0312895	0,5856945	0,1279132	0,0008434
360	0,1039591	0,0454908	0,7374418	0,8955471	0,9808592	0,0107780	0,9502630	0,0503874	0,3531244	1,0242836	0,8226455	0,9663509	0,9092084	0,7427558	0,7357549	0,0158018	0,0684984	0,9217828	0,0867038	0,0159825	0,9461970	0,9528573	0,5150286	0,9056457	0,1633592	0,9881926	0,5209784	0,9820923	0,0236415	0,5575843	0,1041040	0,0022713
380	0,0944757	0,0369429	0,6178043	0,9181544	0,9555833	0,0077594	0,8983391	0,0480776	0,3174726	1,0458711	0,7671375	0,9854851	0,9410818	0,7803624	0,7539145	0,0224454	0,0750738	0,9962454	0,0919915	0,0254882	0,9234588	0,9566582	0,5861654	0,8470812	0,1853985	1,0080358	0,5312671	0,9895596	0,0156650	0,5318615	0,1012356	0,0017499
400	0,0834175	0,0266112	0,6360398	0,9665329	0,9664306	0,0097106	0,8992522	0,0530225	0,3175689	1,0824823	0,6879507	1,0234318	0,8808540	0,6753297	0,7657956	0,0152784	0,0526741	1,0104336	0,0871254	0,0342018	0,9134157	1,0123869	0,5581959	0,8455306	0,1653299	1,0456140	0,5124080	0,9645189	0,0242029	0,5488996	0,1221750	0,0010606
420	0,0712118	0,0388039	0,6640340	0,9172524	0,9111794	0,0110578	0,9025274	0,0441886	0,3067489	1,0551476	0,6831350	0,9489776	0,8915397	0,7155673	0,7728083	0,0289060	0,0726236	1,0565202	0,1041489	0,0365291	0,8489739	0,9851561	0,5375589	0,8910963	0,1379509	0,9973879	0,5138363	0,9433164	0,0172228	0,5424003	0,1534849	0,0002733
440	0,0731370	0,0249664	0,6818735	0,9181462	0,9529294	0,0069594	0,9533981	0,0338186	0,3182664	1,0211008	0,7206322	1,0295697	0,8860525	0,7364844	0,7824033	0,0336035	0,0723414	1,0715046	0,1107311	0,0326553	0,8015313	0,9323607	0,5425589	0,8309131	0,1356122	0,9623062	0,4896057	1,0258542	0,0174611	0,5108719	0,1348702	0,0009023
460	0,0848037	0,0372235	0,6791171	0,9401545	1,0287477	0,0028816	0,9989848	0,0340087	0,3369459	0,9775575	0,7292005	1,0560586	0,8612104	0,7087620	0,7759654	0,0419967	0,0790899	1,0910966	0,0895941	0,0208622	0,7481848	0,9283780	0,5039082	0,8514463	0,1342884	0,9526239	0,4464042	1,0071054	0,0223856	0,5497782	0,1489121	0,0004505
480	0,0795517	0,0510844	0,6277630	0,9236577	1,0712396	0,0061050	0,9471285	0,0319834	0,3146214	1,0114100	0,7931220	0,9664848	0,8649761	0,8221618	0,7789131	0,0470593	0,0805880	1,0498588	0,0927612	0,0161645	0,7064865	0,8998507	0,5191618	0,9174277	0,1205438	1,0034239	0,4485966	0,9626316	0,0278757	0,5226528	0,1397717	0,0000000
500	0,0647398	0,0493380	0,5315764	0,9247240	0,9784076	0,0076348	0,9376461	0,0426542	0,3135810	0,9671600	0,8426268	1,0402255	0,9054846	0,8121284	0,7561482	0,0604941	0,0909102	0,9351804	0,0872517	0,0181095	0,7131070	0,8859794	0,5038963	0,8328772	0,1330400	1,0529137	0,5190133	0,9607067	0,0207553	0,6019774	0,1313731	0,0023660
520	0,0530882	0,0334768	0,5772782	0,9648496	0,9889963	0,0060153	1,0182159	0,0619469	0,2990860	1,1003938	0,9135156	1,0904735	0,8974180	0,8674146	0,7605704	0,0481929	0,0775575	0,8803387	0,0757167	0,0206132	0,7893280	0,9341289	0,5178841	0,7712481	0,1304970	1,0418645	0,5946495	0,9538574	0,0183176	0,5727883	0,1074630	0,0000000
540	0,0683337	0,0198001	0,6267725	0,9963594	1,0372859	0,0077715	1,0209441	0,0600430	0,3198082	1,0514903	0,8983617	1,0736205	0,9189975	0,9400495	0,7752474	0,0326953	0,0773360	0,8839572	0,0787472	0,0144802	0,7861512	0,9105730	0,5245755	0,8806452	0,1224698	1,0302064	0,6365010	0,9675958	0,0165655	0,6616193	0,0899656	0,0014731
560	0,0890025	0,0350115	0,6103918	0,9904832	1,0946023	0,0124459	0,9815780	0,0506687	0,3205366	1,0127371	0,8775907	1,1198318	0,9587750	0,9524910	0,6973326	0,0349805	0,1209486	0,9575080	0,0785265	0,0146435	0,7974083	0,8772764	0,5333682	0,8429902	0,1316952	0,9409912	0,6209366	1,0691198	0,0166259	0,6583272	0,0994847	0,0069123
580	0,0833198	0,0385307	0,6335904	0,9857089	1,1111235	0,0313391	0,9923403	0,0531833	0,3092456	0,9835459	0,8769004	1,1523085	0,9749968	0,8825136	0,7784806	0,0269754	0,1225055	0,8859972	0,0975642	0,0150011	0,7784049	0,8779906	0,5714653	0,7446404	0,1256913	0,9315406	0,5730270	0,9961199	0,0193615	0,6041930	0,1049760	0,0194832
600	0,0923518	0,0440676	0,6247469	1,0292336	1,1335991	0,0495798	0,9795825	0,0560349	0,2909477	0,9077042	0,7729288	1,1605203	0,9895145	0,7941091	0,7996354	0,0316639	0,1116310	0,8218941	0,0951822	0,0077894	0,8271364	0,8556793	0,5571843	0,6085904	0,1381718	1,1239758	0,5725411	1,0023644	0,0193818	0,5510453	0,1042456	0,0285729
620	0,1003971	0,0403286	0,7084338	0,9688097	1,0077595	0,0789335	1,0397904	0,0394247	0,3380937	0,9339713	0,7523244	1,1849747	0,9597690	0,6931697	0,8076254	0,0332949	0,1043574	0,7895813	0,0944543	0,0078202	0,8221622	0,7537989	0,4428820	0,4498350	0,1713385	1,0900248	0,5481692	0,9866568	0,0216446	0,5425189	0,1220357	0,0300313
640	0,0811654	0,0350901	0,6661084	1,0391988	1,0508980	0,1150001	1,0735252	0,0439208	0,3862081	0,9355004	0,6421938	1,2188628	0,8910050	0,6454995	0,7791900	0,0280709	0,0946833	0,7193307	0,0991760	0,0144739	0,8129230	0,6544832	0,4667023	0,3682946	0,1513526	1,0200458	0,4920027	0,9377657	0,0289485	0,5609630	0,1178537	0,0190372
660	0,0721121	0,0422070	0,6725236	1,0932897	0,9911864	0,1385997	1,0016040	0,0420728	0,3657521	0,9653632	0,6034729	1,1852512	0,9557138	0,6257314	0,7979149	0,0269694	0,0654230	0,6552254	0,0936859	0,0141269	0,8164463	0,6251023	0,4680642	0,3002079	0,1514475	1,0932319	0,3974340	0,9899165	0,0239798	0,5469071	0,1112479	0,0221990
680	0,0846624	0,0346067	0,6585760	1,0671231	0,9921901	0,1544535	0,9514213	0,0332514	0,3234104	0,9677932	0,6698488	1,0421842	0,9767628	0,6167663	0,7360949	0,0269415	0,0793448	0,6091116	0,0790817	0,0102302	0,8090962	0,5541266	0,4815823	0,2272495	0,1699980	1,0007639	0,3954603	1,0220272	0,0193812	0,5868343	0,0979934	0,0217462
700	0,0740293	0,0546217	0,6608645	1,0149152	1,0495024	0,1284642	0,9991059	0,0417037	0,3059882	0,9907055	0,7047187	1,0738569	0,9037414	0,6116658	0,7369695	0,0271289	0,0647038	0,5552375	0,0882499	0,0123853	0,7776263	0,5531896	0,5417359	0,1809294	0,1641316	1,0230398	0,4190727	1,0485439	0,0158420	0,5899904	0,0951179	0,0128415
720	0,0689209	0,0485315	0,7238400	1,0259371	0,9709968	0,1809040	0,9826984	0,0474219	0,3005380	1,0042023	0,6874267	1,0473237	0,9264774	0,5690895	0,7322168	0,0208015	0,0597182	0,4609667	0,0853632	0,0112328	0,8395044	0,5612728	0,5703842	0,1297037	0,1522113	0,9750174	0,3847033	1,0608642	0,0287415	0,5866435	0,1284749	0,0091770
740	0,0665007	0,0457360	0,7016195	1,0418110	1,0019421	0,1433489	1,0213972	0,0416669	0,3107088	0,9069144	0,6433467	1,0578061	0,9278872	0,5682273	0,7243978	0,0202751	0,0890217	0,3672741	0,0813046	0,0112865	0,8492432	0,5595512	0,5122661	0,0915879	0,1650700	1,0093736	0,3902581	1,0153884	0,0242454	0,5818860	0,1392318	0,0078471
760	0,0568251	0,0526585	0,7200578	1,0210318	1,0930149	0,1374066	1,0133382	0,0501885	0,2753070	1,0045792	0,6463600	1,0111193	0,9134040	0,5369624	0,7155104	0,0189686	0,0764788	0,3533977	0,0820106	0,0133655	0,8561809	0,6163032	0,5252797	0,0761475	0,1558052	0,9854536	0,3475588	0,9790367	0,0418626	0,5653340	0,1037351	0,0116076
780	0,0802040	0,0597216	0,7319424	1,0530915	1,1036623	0,1399134	1,0457994	0,0470651	0,2832278	0,9607617	0,6362771	0,9899088	0,9605612	0,5466798	0,7719247	0,0133121	0,1084515	0,3975343	0,0813347	0,0173292	0,9281007	0,6023247	0,4928176	0,0655309	0,1525465	0,9755640	0,3457430	0,9992365	0,0456003	0,5670902	0,1044188	0,0064282
800	0,0993073	0,0422453	0,6808614	0,9800532	1,0821933	0,1244108	1,1323304	0,0457007	0,2713764	0,9146527	0,5891840	0,9960457	0,9083203	0,6172990	0,8386524	0,0205874	0,1364447	0,4125795	0,0747066	0,0188011	0,9026666	0,5934978	0,5072936	0,0439348	0,1589532	1,0027746	0,3491842	0,9395097	0,0338633	0,5722880	0,1225774	0,0038161
820	0,1053325	0,0382071	0,6484069	0,9416321	1,1034634	0,1366081	1,0497074	0,0377526	0,2582600	0,9107376	0,5912351	0,9936356	0,8542203	0,6005635	0,8413634	0,0276480	0,1011981	0,4274399	0,0583801	0,0219163	0,8843715	0,5723953	0,5884106	0,0362484	0,1491718	1,0382949	0,4121279	0,9308232	0,0347683	0,4963203	0,1269623	0,0019352
840	0,0898194	0,0512133	0,7770991	0,9620090	1,0609134	0,1009940	1,0143988	0,0295219	0,3172597	0,9662338	0,5534331	1,0732818	0,8809452	0,5494163	0,8742281	0,0250894	0,0931843	0,4612967	0,0560526	0,0251829	0,8422147	0,5307992	0,5253918	0,0212384	0,1451442	0,9697971	0,3698783	0,9575663	0,0316231	0,4965801	0,1461021	0,0039605
860	0,0864415	0,0565763	0,7288319	1,0154835	1,0344749	0,1262391	1,0130264	0,0249396	0,3392607	0,9609774	0,6419350	1,0242594	0,8498603	0,5593821	0,8634623	0,0396227	0,0569139	0,4357620	0,0695061	0,0227769	0,8886464	0,5342811	0,6135290	0,0128036	0,1395778	0,9121928	0,3591216	0,9494455	0,0202385	0,5127979	0,1430455	0,0025693
880	0,1150276	0,0474121	0,7412797	1,0187421	1,0553516	0,1081203	1,0594104	0,0359761	0,3272227	0,9726551	0,5680659	0,9954709	0,8555707	0,5367209	0,8844121	0,0360743	0,0724430	0,4433762	0,0667110	0,0204470	0,9063262	0,5703555	0,5657615	0,0135745	0,1327681	0,9313880	0,3982656	1,0030287	0,0198220	0,5335857	0,1342290	0,0043370
900	0,0879522	0,0572748	0,7402009	1,0655973	1,0993885	0,1294725	1,1175960	0,0663366	0,3282724	1,0387457	0,6018670	0,9694344	0,8917252	0,5789465	0,8391603	0,0323946	0,0745889	0,4107216	0,0724314	0,0174950	0,9307295	0,5920621	0,5829548	0,0094147	0,1352461	0,9499820	0,3887260	1,0963353	0,0179923	0,5173779	0,1263467	0,0048985
920	0,0812409	0,0503983	0,7370375	1,0325690	1,0324618	0,1229134	1,1327922	0,0481610	0,3152051	1,0626638	0,6226315	1,0203785	0,9531739	0,6051096	0,8568987	0,0333121	0,1221112	0,4140831	0,0800747	0,0111425	0,8268585	0,5934472	0,5832697	0,0107848	0,1259525	0,9003384	0,3657941	1,0298009	0,0263029	0,5309203	0,1295342	0,0058698
940	0,0799599	0,0561428	0,7085696	0,9957381	1,0697231	0,1170988	1,1473510	0,0504607	0,3212686	0,9916785	0,6492817	1,0189719	0,8876310	0,5850570	0,8155891	0,0302802	0,1520849	0,4258098	0,0797275	0,0104936	0,8465940	0,5720813	0,5301772	0,0171856	0,1407229	0,9572783	0,3533928	0,9840337	0,0174203	0,5624012	0,0948019	0,0050601
960	0,0831836	0,0532672	0,7110330	0,9699341	0,9738239	0,1355086	1,0766044	0,0459564	0,3103427	0,9863468	0,6065630	1,0050869	0,8974540	0,6367702	0,7189637	0,0280712	0,1245170	0,4083708	0,0766322	0,0162589	0,9380667	0,5469811	0,4642954	0,0066674	0,1112653	0,9434846	0,3714856	0,9674354	0,0160518	0,5994322	0,1142185	0,0031481
980	0,0922914	0,0592257	0,6359717	0,9612224	0,9779619	0,1389524	1,0731730	0,0463763	0,2898133	1,0106616	0,6081469	1,0158425	0,9116946	0,5967341	0,7326703	0,0348817	0,1145148	0,4018674	0,0830041	0,0228435	0,9304490	0,5614602	0,5283354	0,0076011	0,1191132	0,9781415	0,3592637	0,9882002	0,0139257	0,5868867	0,1246664	0,0011359
1000	0,0869651	0,0616683	0,6023032	1,0281612	0,9932191	0,1066593	1,1080746	0,0528493	0,2890888	1,1183367	0,6008341	0,9605002	0,8781069	0,6032733	0,6838587	0,0326050	0,1345097	0,4328713	0,0972009	0,0178053	0,9303048	0,5562170	0,5286620	0,0103487	0,1217480	0,9489520	0,3959032	0,9791140	0,0231691	0,5656404	0,1017733	0,0023520
1020	0,0954426	0,0672915	0,6166332	0,9839232	1,0064722	0,1267186	1,0904459	0,0637722	0,3079780	1,0915631	0,6718241	0,9668258	0,8592617	0,6400495	0,6992639	0,0489872	0,1190447	0,4513488	0,0919923	0,0175017	0,8469397	0,5634883	0,5610468	0,0173143	0,1517936	0,9117023	0,4006730	1,0308752	0,0239512	0,6200763	0,0965781	0,0028627
1040	0,1006727	0,0630984	0,6341600	1,0458246	1,0336838	0,1420440	0,9830358	0,0449100	0,2847447	1,0679242	0,6427029	0,8713289	0,8416020	0,6979686	0,6729699	0,0371500	0,1464308	0,4612268	0,1053312	0,0084093	0,9252076	0,5707716	0,5448590	0,0119670	0,1223764	0,9146410	0,3787452	1,0227612	0,0304633	0,6187472	0,0976182	0,0083661
