"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
260	0,0681759	0,0248996	0,5474997	0,8091953	0,7938551	0,0009993	0,7994670	0,0162425	0,2318861	0,6791076	0,7280709	0,7623413	0,4630707	0,5668990	0,4582542	0,0303710	0,0979984	0,7315857	0,0687473	0,0089524	0,6409614	0,6521650	0,4637882	0,5866072	0,0806797	0,7031554	0,3773546	0,6301524	0,0184629	0,4223919	0,0817952	0,0044937
280	0,0229138	0,0291595	0,6078553	0,7232763	0,7293128	0,0014015	0,7600109	0,0137526	0,2942833	0,6370056	0,5228976	0,5642241	0,5744552	0,6482882	0,5398851	0,0296110	0,0520295	0,6766051	0,0897227	0,0080038	0,4619677	0,7425370	0,3998959	0,7678997	0,1158747	0,7227436	0,3486288	0,6874246	0,0465804	0,3685503	0,0925117	0,0106637
300	0,1064806	0,0313635	0,5852975	0,8454701	0,7061092	0,0094705	0,6658278	0,0194792	0,2431152	0,6795773	0,5807942	0,7153989	0,6318939	0,6207055	0,4179577	0,0169114	0,0334450	0,7486930	0,0827158	0,0053556	0,6191641	0,6601863	0,3585096	0,5955508	0,1568177	0,6786268	0,4689417	0,7128175	0,0208549	0,3930084	0,0851752	0,0026577
320	0,0653298	0,0357764	0,4911286	0,6931908	0,6530337	0,0065144	0,7858487	0,0300258	0,2172203	0,8586030	0,7232513	0,7656177	0,7649539	0,4708979	0,5705175	0,0124082	0,0544754	0,7256630	0,0679834	0,0120200	0,4258012	0,8300359	0,3884936	0,7115874	0,1072670	0,7541354	0,4808741	0,8447829	0,0207132	0,3870038	0,0875228	0,0014831
340	0,0722134	0,0150903	0,5747053	0,5804053	0,7838282	0,0158026	0,7835669	0,0592360	0,2554906	0,7226200	0,6292844	0,7188212	0,6197967	0,5525613	0,4920958	0,0187508	0,0728603	0,6913638	0,0596801	0,0176974	0,6250704	0,6751509	0,3533211	0,7003822	0,1208895	0,7013959	0,4610117	0,7624270	0,0229137	0,4969096	0,1213427	0,0003122
360	0,0868843	0,0656002	0,5408028	0,6890875	0,8089298	0,0080500	0,6241581	0,0463467	0,2701464	0,7355089	0,6220248	0,5936578	0,7123514	0,5996610	0,5065087	0,0100664	0,0513912	0,5276014	0,0554888	0,0219488	0,6077221	0,6879863	0,3597952	0,5614884	0,0978685	0,6384184	0,3287899	0,6983245	0,0194068	0,4119366	0,1086104	0,0006960
380	0,0874893	0,0239167	0,4539003	0,7082693	0,7168818	0,0105891	0,5876113	0,0484073	0,1804301	0,7114458	0,5710906	0,6050617	0,5933733	0,5783450	0,6377198	0,0248470	0,0478633	0,7521285	0,0512523	0,0240608	0,6504198	0,6238730	0,3646758	0,6966848	0,0918697	0,6972212	0,3839823	0,6949311	0,0103873	0,4620143	0,0540054	0,0013366
400	0,0444192	0,0310203	0,3767998	0,8269817	0,6483979	0,0098813	0,6802045	0,0261465	0,2010585	0,8136125	0,4989033	0,7228835	0,6356970	0,5450289	0,5220254	0,0109006	0,0348171	0,6591092	0,0366856	0,0157720	0,7544181	0,5996287	0,4547692	0,6391576	0,1687801	0,8033008	0,3894064	0,7216376	0,0323858	0,4406235	0,1154066	0,0011303
420	0,0398378	0,0404404	0,4549762	0,7416762	0,6694435	0,0057450	0,6880689	0,0200641	0,2454716	0,7405955	0,4908205	0,7793459	0,6130597	0,5285034	0,6096692	0,0336580	0,0492460	0,9567554	0,0533944	0,0205051	0,5816032	0,6442010	0,3579474	0,7521642	0,1277604	0,7395976	0,3071990	0,7090087	0,0249467	0,3086304	0,0917096	0,0003688
440	0,0493678	0,0255793	0,4364366	0,7628645	0,6184818	0,0052456	0,6431098	0,0190876	0,2181835	0,7950489	0,5417443	0,8051245	0,5964987	0,6476455	0,6005266	0,0305828	0,0548986	0,9531696	0,0904005	0,0253523	0,6068380	0,7228106	0,3509200	0,5797749	0,0742574	0,8043979	0,3611640	0,7541743	0,0114683	0,3582678	0,0949251	0,0008175
460	0,1047946	0,0156888	0,4318810	0,6281391	0,7197974	0,0023681	0,6208819	0,0192410	0,2400790	0,7888285	0,4590509	0,6413862	0,7547675	0,5418806	0,5076660	0,0410492	0,0724590	0,9785889	0,0859134	0,0407338	0,5536270	0,6320715	0,3653148	0,6827611	0,1071022	0,6637975	0,4177334	0,6872941	0,0215782	0,4149032	0,1374112	0,0007630
480	0,0725213	0,0304282	0,4358375	0,7359959	0,7983746	0,0063852	0,6267721	0,0350755	0,2541712	0,7974534	0,5845418	0,6076679	0,6460228	0,6090919	0,5544993	0,0502418	0,0797398	0,6983768	0,0684282	0,0078130	0,4961497	0,7128218	0,3734503	0,6888324	0,0925391	0,7007690	0,3149624	0,6782018	0,0138237	0,3958504	0,0917018	0,0000000
500	0,0323579	0,0266153	0,3724633	0,5964424	0,7837289	0,0036347	0,6952027	0,0369703	0,3102047	0,6363097	0,6593158	0,7576543	0,7140685	0,6351706	0,5969004	0,0387240	0,0625742	0,6954534	0,0465755	0,0115181	0,4514605	0,6480024	0,3451250	0,6734073	0,1041237	0,6657858	0,4182523	0,7253287	0,0207346	0,4114684	0,1172531	0,0052036
520	0,0349962	0,0319901	0,3888612	0,6758231	0,6400568	0,0127264	0,7408486	0,0603930	0,2112017	0,6650817	0,7347040	0,7372426	0,5922605	0,5287142	0,5498745	0,0345422	0,1069054	0,8054045	0,0657873	0,0173529	0,5175425	0,7070115	0,4314111	0,5834938	0,0992872	0,7371738	0,4813207	0,6398329	0,0317690	0,4142881	0,0821016	0,0000000
540	0,0278211	0,0110294	0,4634523	0,8165875	0,7044137	0,0028277	0,6586863	0,0290004	0,1981938	0,8249281	0,6743741	0,8947395	0,7473999	0,6963149	0,5944359	0,0340722	0,0428047	0,5913182	0,0595918	0,0136021	0,6102057	0,7028422	0,4570612	0,6677910	0,0636419	0,6839233	0,4621767	0,7905683	0,0165458	0,4912740	0,0672794	0,0005681
560	0,0841240	0,0301733	0,4018074	0,8302804	0,7673563	0,0089180	0,7437800	0,0565992	0,2043346	0,7877591	0,6837063	0,7918084	0,6949714	0,6103078	0,4752443	0,0234614	0,1007498	0,8247178	0,0353449	0,0122856	0,6221251	0,6239410	0,4538922	0,5398395	0,1039985	0,6180064	0,3865455	0,7657230	0,0186008	0,3803425	0,0742562	0,0029184
580	0,0581793	0,0359637	0,5302408	0,7943710	0,7870207	0,0242434	0,6651962	0,0440234	0,2299403	0,7884922	0,6061923	0,8751642	0,7091108	0,7743397	0,7555933	0,0188953	0,1087002	0,7288966	0,0615711	0,0183062	0,6420760	0,7300708	0,4872513	0,6416642	0,0630371	0,6863552	0,3823669	0,6576811	0,0220015	0,4602741	0,1099390	0,0117499
600	0,0867160	0,0350512	0,3817913	0,8390388	0,7873899	0,0361042	0,7237155	0,0294689	0,2590951	0,6943602	0,5583153	0,8564599	0,7737995	0,5653474	0,5434507	0,0226575	0,0825083	0,6503468	0,0855972	0,0058566	0,5254465	0,6486122	0,4364640	0,5039017	0,0810348	0,9584679	0,3855377	0,7232241	0,0103291	0,4012044	0,1474737	0,0165325
620	0,0823401	0,0459779	0,5262021	0,7765525	0,7204776	0,0477407	0,7300917	0,0252972	0,2743128	0,8029128	0,5567095	0,8682523	0,7959421	0,5357474	0,5962122	0,0199822	0,0671193	0,5889311	0,0548215	0,0048467	0,5531402	0,6446841	0,2857851	0,3150009	0,1593980	0,8994065	0,4087991	0,8217791	0,0198622	0,3832888	0,0956415	0,0364925
640	0,0396434	0,0269634	0,3946389	0,8782905	0,7857428	0,0837874	0,7126537	0,0201676	0,2469720	0,6427190	0,4598680	0,9629482	0,6682767	0,5069238	0,6571618	0,0165518	0,0845559	0,3845564	0,0886474	0,0144409	0,5931843	0,4419856	0,3107201	0,2511072	0,1087445	0,7344776	0,3919542	0,7361816	0,0211371	0,3282104	0,0692129	0,0248057
660	0,1028318	0,0281503	0,4513742	0,7818984	0,6743555	0,0702483	0,6865332	0,0202390	0,2754681	0,6201668	0,3679289	0,9455741	0,8278648	0,4066647	0,5723340	0,0249224	0,0434797	0,4258701	0,0552250	0,0129808	0,5253442	0,4600566	0,3772340	0,1786183	0,1038247	0,9012221	0,2682534	0,7447497	0,0158696	0,4232877	0,0924083	0,0220109
680	0,0996037	0,0136289	0,5352339	0,7907798	0,7325797	0,1147777	0,5955389	0,0263651	0,1622912	0,7295787	0,5278582	0,7482045	0,6900218	0,3553793	0,5208911	0,0185194	0,0605691	0,3869403	0,1480878	0,0045929	0,6281530	0,4088961	0,3592257	0,1441315	0,1044659	0,7029572	0,2906416	0,7620686	0,0084821	0,5294739	0,0839558	0,0164297
700	0,0602089	0,0260445	0,5606073	0,7274201	0,7643034	0,0833106	0,6208336	0,0216891	0,2020720	0,7922938	0,5574275	0,8103210	0,6905648	0,3894134	0,5478474	0,0113758	0,0543250	0,4614321	0,0563207	0,0026739	0,5647877	0,3625572	0,3794310	0,1208097	0,1184950	0,6686413	0,3149406	0,8573183	0,0135281	0,5549702	0,0805371	0,0147567
720	0,0470777	0,0234561	0,5301050	0,7488028	0,7252867	0,1146161	0,7660245	0,0633568	0,2594083	0,7669916	0,5354275	0,6819451	0,8027337	0,4475020	0,5384241	0,0176810	0,0906037	0,3229256	0,0674640	0,0090802	0,6116692	0,3663988	0,3193535	0,1290357	0,1302108	0,6728126	0,1890188	0,7631631	0,0199427	0,4342864	0,0710239	0,0085681
