"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
300	0,1419844	0,2015460	0,1039671	0,2299142	0,7322955	0,3494723	0,3095778	0,1019575	0,6574817	0,6176542	0,3937471	0,7853914	0,2144753	0,5151791	0,4312785	0,7277385	0,6908696	0,7073610	0,5042811	0,4734833	0,1934660	0,3044974	0,5992614	0,6202493	0,1224315	0,7683838	0,6511594	0,6265420	0,0244040	0,0001993	0,2447980	0,4709117
320	0,1907736	0,2038045	0,1059119	0,1580751	0,5188292	0,3101370	0,2208731	0,1182080	0,7471905	0,7712257	0,3928795	0,7116169	0,1960967	0,5763837	0,4075089	0,7218109	0,6559512	0,7552910	0,4989165	0,4457719	0,2802625	0,1985958	0,5707746	0,5483293	0,1604687	0,7474915	0,8333584	0,6930326	0,0047562	0,0001487	0,2039216	0,3549538
340	0,1779302	0,1934463	0,0870100	0,2140606	0,6463223	0,3470515	0,2790179	0,1208296	0,7713048	0,8319856	0,3461171	0,7178863	0,2166308	0,5699356	0,3999884	0,7255857	0,8001778	0,7795643	0,4383164	0,4533444	0,1532203	0,2021542	0,5912390	0,5323486	0,1073776	0,6695077	0,7004813	0,6314718	0,0087971	0,0007047	0,1722750	0,6093756
360	0,1717115	0,1740336	0,0566153	0,1582275	0,6436659	0,4071664	0,2866942	0,1210854	0,7475247	0,8151501	0,3937008	0,6986531	0,2512723	0,4846166	0,3541647	0,5568360	0,8177322	0,7366417	0,4131324	0,5189616	0,2068446	0,1484625	0,5746440	0,5603090	0,1555890	0,7405473	0,7250159	0,6394436	0,0163074	0,0000000	0,1425834	0,6313508
380	0,1408476	0,1592786	0,0648006	0,1861656	0,5772848	0,3434926	0,2730366	0,1215446	0,8265066	0,6858776	0,3832995	0,8674786	0,2653563	0,6049696	0,5197390	0,5895382	0,7516251	0,6884767	0,4764671	0,4442885	0,2108893	0,1708683	0,5453783	0,5349647	0,1258720	0,7433007	0,7351287	0,6763844	0,0218440	0,0006574	0,1609701	0,4930045
400	0,1826596	0,1442647	0,0306653	0,2133467	0,6542178	0,5067289	0,2451779	0,1349920	0,7602785	0,7475802	0,3936692	0,6885889	0,3001437	0,5079677	0,4631460	0,7301547	0,7375497	0,6018142	0,5467805	0,5868900	0,1691634	0,1196355	0,5997019	0,6181303	0,1959754	0,7753037	0,6467140	0,6951135	0,0265542	0,0000290	0,3124036	0,5123569
420	0,2220700	0,1671049	0,0630686	0,2328271	0,6583925	0,3978963	0,2168837	0,1208273	0,7512344	0,7582684	0,3778637	0,7218632	0,3570890	0,5251113	0,5851082	0,7478440	0,6493847	0,7138366	0,4955478	0,5147317	0,1897660	0,1305022	0,4989299	0,6185340	0,2045161	0,7056370	0,7055869	0,7164145	0,0168432	0,0000673	0,2501650	0,4817084
440	0,2140269	0,1574771	0,0283605	0,1036617	0,6023743	0,3681377	0,2417216	0,1186558	0,7848802	0,7650627	0,3892587	0,6162718	0,2498401	0,5508423	0,5244149	0,7531629	0,7075382	0,6465418	0,4962339	0,4901410	0,1298327	0,1231093	0,5722647	0,5720602	0,1871736	0,7203486	0,7353050	0,8481358	0,0468022	0,0000000	0,1850698	0,5817333
460	0,2120366	0,1773133	0,0524008	0,1874040	0,6680936	0,3263824	0,1966348	0,1400924	0,6970171	0,8532339	0,4373239	0,5854431	0,2712041	0,5842982	0,6095163	0,5945594	0,8041109	0,7337262	0,5774548	0,4290567	0,1677083	0,1054870	0,5085354	0,5092089	0,1012862	0,8397818	0,6593983	0,6756198	0,0259404	0,0000500	0,1834824	0,5450446
480	0,1550611	0,1512533	0,0596492	0,1487652	0,7174686	0,3367334	0,2202944	0,1477996	0,6260149	0,7176975	0,3520706	0,5870748	0,3257081	0,5754222	0,5435650	0,5939647	0,7822922	0,6086812	0,4308758	0,4680993	0,1962435	0,2100070	0,5481132	0,5385506	0,1567181	0,7489535	0,6586507	0,7077293	0,0560225	0,0002490	0,2159750	0,4318837
500	0,2305545	0,1215177	0,1140837	0,2245551	0,6422186	0,3646271	0,2287149	0,0958714	0,6770301	0,8859134	0,3997661	0,5673519	0,2309357	0,5064155	0,5949388	0,7726719	0,7543552	0,6820962	0,3504546	0,3887547	0,1835659	0,1445843	0,5460005	0,5404283	0,1213606	0,7828403	0,6772629	0,7180220	0,0393559	0,0016859	0,1864284	0,4618188
520	0,1753672	0,1281534	0,0610208	0,1872149	0,6713070	0,4242527	0,3243120	0,1155947	0,5806444	0,7659297	0,4177503	0,5014464	0,3275009	0,4781752	0,4822466	0,6774387	0,8601802	0,6083016	0,5885445	0,3375041	0,1434382	0,1699374	0,5719632	0,5146549	0,1187385	0,7060762	0,6835724	0,6399128	0,0149954	0,0007394	0,1772397	0,5268813
540	0,1236142	0,1455969	0,0337694	0,2327753	0,5691812	0,2739954	0,3016153	0,1647518	0,7502311	0,8362620	0,3306243	0,6458516	0,2444569	0,5884380	0,5218517	0,5862804	0,6839294	0,7273358	0,5056095	0,3737286	0,1354602	0,1368594	0,5132341	0,4421445	0,1185344	0,6204445	0,6192874	0,7812834	0,0228074	0,0012669	0,1906518	0,6132286
560	0,1445129	0,1349351	0,0724120	0,2457096	0,6789979	0,3595534	0,2421150	0,1703687	0,6764137	0,7696010	0,5150179	0,7308400	0,2398907	0,5906973	0,3811210	0,5524009	0,8171661	0,6844907	0,4751355	0,3205165	0,1284018	0,1296052	0,4923705	0,6030581	0,1766436	0,7739758	0,7970475	0,6483231	0,0261380	0,0002276	0,2117602	0,6636420
580	0,1942753	0,2206289	0,1389847	0,2191268	0,5482208	0,3859606	0,3200644	0,3101099	0,6835625	0,8423444	0,3952958	0,7818665	0,3342343	0,6874817	0,3941482	0,6468668	0,7643967	0,5518938	0,5279148	0,3578760	0,1405162	0,1114859	0,6410391	0,4478623	0,4628517	0,8728575	0,6887000	0,6905480	0,0814428	0,0031884	0,1799518	0,5245242
600	0,1743117	0,2009270	0,1586481	0,1753848	0,5268475	0,2990433	0,3755413	0,3762002	0,5615413	0,7737026	0,4273134	0,6264260	0,3018114	0,6790386	0,4637113	0,6165255	0,7002312	0,4996465	0,5059847	0,3395569	0,1629272	0,1305139	0,5617665	0,4519127	0,4826067	0,6240200	0,4750180	0,7153345	0,0530276	0,0258858	0,2268770	0,4545966
620	0,1834322	0,2445639	0,2194162	0,1824317	0,5424290	0,3637054	0,2215352	0,5791691	0,6231590	0,7194823	0,3667037	0,7064727	0,2822743	0,5128020	0,5444567	0,5680727	0,7081852	0,4341110	0,4174034	0,3750395	0,1913224	0,1150785	0,5831607	0,4177268	0,4673092	0,6406955	0,6573321	0,5682962	0,0342843	0,0222193	0,1649730	0,4203599
640	0,2783408	0,3082636	0,2048561	0,1869723	0,4984822	0,3947469	0,2567272	0,4162269	0,7047495	0,6977244	0,4318879	0,6592453	0,2101954	0,4788472	0,3996689	0,5350933	0,7003844	0,3512997	0,3672167	0,2509340	0,1788534	0,1276943	0,5403294	0,3573006	0,5882635	0,6027420	0,6319355	0,8067907	0,0780603	0,0230167	0,1519930	0,4903845
660	0,2537338	0,2563325	0,1636738	0,1994096	0,5538152	0,4577640	0,2369625	0,4833418	0,7411533	0,5952931	0,3632084	0,7178277	0,2921968	0,4863851	0,5979213	0,5467836	0,6734816	0,4589717	0,4519055	0,2220372	0,1246627	0,1289946	0,5446841	0,3804770	0,4813556	0,5078536	0,6057428	0,8165214	0,0271778	0,0192734	0,1772405	0,3441693
680	0,2774643	0,3650428	0,1581900	0,1206539	0,4319709	0,4439097	0,1473916	0,4454050	0,6942779	0,6756030	0,4262781	0,6775614	0,2096742	0,4486268	0,4724064	0,5959783	0,6644419	0,5546154	0,4448943	0,1806180	0,1706210	0,1044779	0,6286900	0,3445755	0,6125167	0,4455900	0,5726100	0,5826932	0,0400708	0,0169576	0,1735886	0,4562909
700	0,3539478	0,2461651	0,1820947	0,1611042	0,4526347	0,4886942	0,1538829	0,5108479	0,7207456	0,7623745	0,4434304	0,6487050	0,1811324	0,4400572	0,4368790	0,6086807	0,6528259	0,4511306	0,3995563	0,1421101	0,1700067	0,1293979	0,6589651	0,3062405	0,5912830	0,6935186	0,8689791	0,5876972	0,0578667	0,0186745	0,2298334	0,3688502
720	0,3199446	0,2520693	0,1560046	0,2605951	0,4033606	0,3726391	0,1875785	0,5351492	0,6093510	0,7333452	0,5022108	0,8171487	0,1761828	0,3999776	0,4836643	0,5494836	0,6609542	0,4961652	0,3386576	0,1601134	0,1502888	0,1508079	0,5577805	0,2861064	0,6843418	0,5401312	0,6621203	0,5775115	0,0463132	0,0496206	0,1827736	0,3387373
740	0,3644430	0,2742439	0,2527948	0,3246498	0,3566079	0,4634841	0,2021215	0,4780840	0,7245014	0,6817153	0,3765469	0,6955333	0,2253901	0,4116631	0,5408516	0,6573424	0,8030691	0,4139030	0,3569143	0,0798467	0,1596679	0,1169813	0,5540160	0,3449484	0,7186750	0,5133878	0,6781036	0,5071963	0,0631680	0,0357150	0,1802385	0,4281734
760	0,2925900	0,2876994	0,1312097	0,2353717	0,4048566	0,5034064	0,1777477	0,3846337	0,7145746	0,5820090	0,4619751	0,7423975	0,1939790	0,4301569	0,4233219	0,5933930	0,7003775	0,3774372	0,3365257	0,0799565	0,2234052	0,0607648	0,6402886	0,2502697	0,7425381	0,5578344	0,7445671	0,6522769	0,0472624	0,0255839	0,1339684	0,3976629
