"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
300	0,6052116	0,9941021	0,8147693	0,9941736	0,9545105	0,2815510	0,9479940	0,6982799	0,9351673	0,9997091	0,0935869	0,9391184	0,2388242	0,7093158	0,9999999	0,9978306	0,4167343	0,8910680	0,9136298	0,2975150	0,3441153	0,4401778	0,5339441	0,9997196	0,7931855	0,9955902	0,5077838	0,9999685	0,9154588	0,8488815	0,9989045	0,6044500
320	0,6052116	0,9941021	0,8148048	0,9941738	0,9545105	0,2815510	0,9480694	0,6982799	0,9351674	0,9997091	0,0935868	0,9391184	0,2388242	0,7095557	0,9999999	0,9978306	0,4168703	0,8910891	0,9136298	0,2975150	0,3439877	0,4401776	0,5339062	0,9997300	0,7932267	0,9955902	0,5077839	0,9999686	0,9154603	0,8488814	0,9989047	0,6044503
340	0,6052116	0,9941021	0,8148301	0,9941740	0,9545105	0,2815510	0,9481170	0,6982799	0,9351674	0,9997091	0,0935868	0,9391185	0,2388242	0,7097146	0,9999999	0,9978306	0,4169664	0,8911017	0,9136298	0,2975150	0,3439093	0,4401775	0,5338810	0,9997377	0,7932557	0,9955902	0,5077840	0,9999686	0,9154610	0,8488814	0,9989049	0,6044504
360	0,6052116	0,9941021	0,8148482	0,9941740	0,9545106	0,2815510	0,9481471	0,6982800	0,9351674	0,9997091	0,0935868	0,9391185	0,2388242	0,7098197	0,9999999	0,9978306	0,4170341	0,8911092	0,9136298	0,2975150	0,3438611	0,4401774	0,5338644	0,9997432	0,7932759	0,9955902	0,5077840	0,9999686	0,9154613	0,8488814	0,9989050	0,6044505
380	0,6052116	0,9941021	0,8148610	0,9941740	0,9545106	0,2815510	0,9481662	0,6982800	0,9351674	0,9997091	0,0935868	0,9391185	0,2388242	0,7098893	0,9999999	0,9978306	0,4170816	0,8911137	0,9136299	0,2975150	0,3438315	0,4401773	0,5338534	0,9997472	0,7932900	0,9955902	0,5077841	0,9999686	0,9154614	0,8488814	0,9989051	0,6044506
400	0,6052116	0,9941021	0,8148702	0,9941741	0,9545106	0,2815510	0,9481782	0,6982800	0,9351674	0,9997091	0,0935868	0,9391186	0,2388242	0,7099353	0,9999999	0,9978306	0,4171149	0,8911163	0,9136299	0,2975150	0,3438133	0,4401773	0,5338462	0,9997502	0,7932997	0,9955902	0,5077841	0,9999687	0,9154615	0,8488814	0,9989051	0,6044507
420	0,6052116	0,9941021	0,8148768	0,9941741	0,9545106	0,2815510	0,9481858	0,6982800	0,9351674	0,9997091	0,0935868	0,9391186	0,2388242	0,7099658	0,9999999	0,9978306	0,4171382	0,8911179	0,9136299	0,2975150	0,3438021	0,4401773	0,5338414	0,9997523	0,7933065	0,9955902	0,5077841	0,9999687	0,9154615	0,8488814	0,9989051	0,6044507
440	0,6052116	0,9941021	0,8148815	0,9941741	0,9545106	0,2815510	0,9481906	0,6982800	0,9351674	0,9997091	0,0935868	0,9391186	0,2388242	0,7099860	0,9999999	0,9978306	0,4171544	0,8911189	0,9136299	0,2975150	0,3437952	0,4401772	0,5338382	0,9997539	0,7933111	0,9955902	0,5077841	0,9999687	0,9154615	0,8488814	0,9989052	0,6044507
460	0,6052116	0,9941021	0,8148848	0,9941741	0,9545106	0,2815510	0,9481937	0,6982800	0,9351674	0,9997091	0,0935867	0,9391186	0,2388242	0,7099993	0,9999999	0,9978306	0,4171656	0,8911194	0,9136299	0,2975150	0,3437910	0,4401772	0,5338361	0,9997550	0,7933143	0,9955902	0,5077841	0,9999687	0,9154615	0,8488814	0,9989052	0,6044508
480	0,6052116	0,9941021	0,8148872	0,9941741	0,9545106	0,2815510	0,9481956	0,6982800	0,9351674	0,9997091	0,0935867	0,9391186	0,2388242	0,7100082	0,9999999	0,9978306	0,4171735	0,8911198	0,9136299	0,2975150	0,3437884	0,4401772	0,5338347	0,9997558	0,7933164	0,9955902	0,5077841	0,9999687	0,9154615	0,8488814	0,9989052	0,6044508
