"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
260	0,4876604	0,1942314	0,4594881	0,6479119	0,7490870	0,8828192	0,8291049	0,6045553	0,5709816	0,6953259	0,9623774	0,8508769	0,9248443	0,9967640	0,8645405	0,5652626	0,3700764	0,6011588	0,0667306	0,2913533	0,6659898	0,4513851	0,0095969	0,1436275	0,6548102	0,1563291	0,7196300	0,2557947	0,1682489	0,9740333	0,8874415	0,1209272
280	0,4876604	0,1942318	0,4594874	0,6479295	0,7461175	0,8828103	0,8291049	0,6044585	0,5725898	0,6935242	0,9614437	0,8498738	0,9243373	0,9967323	0,8643603	0,5647633	0,3700763	0,6020063	0,0657302	0,2913532	0,6660658	0,4513849	0,0095969	0,1436275	0,6549105	0,1559069	0,7189510	0,2521616	0,1637373	0,9738934	0,8888689	0,1207586
300	0,4876604	0,1942322	0,4594868	0,6479443	0,7436696	0,8828057	0,8291049	0,6044012	0,5736588	0,6922701	0,9606257	0,8490450	0,9237948	0,9967046	0,8642092	0,5643388	0,3700762	0,6025653	0,0650907	0,2913531	0,6661094	0,4513848	0,0095969	0,1436274	0,6549755	0,1556340	0,7184353	0,2494590	0,1602845	0,9737790	0,8898431	0,1206655
320	0,4876604	0,1942325	0,4594864	0,6479568	0,7416528	0,8828034	0,8291050	0,6043672	0,5743634	0,6913981	0,9599148	0,8483593	0,9232630	0,9966809	0,8640836	0,5639787	0,3700762	0,6029340	0,0646819	0,2913530	0,6661345	0,4513848	0,0095969	0,1436274	0,6550178	0,1554574	0,7180456	0,2474627	0,1576668	0,9736875	0,8905043	0,1206141
340	0,4876604	0,1942328	0,4594860	0,6479674	0,7399916	0,8828022	0,8291050	0,6043471	0,5748245	0,6907923	0,9593014	0,8477914	0,9227674	0,9966607	0,8639798	0,5636742	0,3700762	0,6031772	0,0644207	0,2913530	0,6661489	0,4513847	0,0095969	0,1436274	0,6550452	0,1553432	0,7177523	0,2459977	0,1556986	0,9736156	0,8909507	0,1205857
360	0,4876604	0,1942330	0,4594857	0,6479763	0,7386233	0,8828016	0,8291050	0,6043352	0,5751245	0,6903716	0,9587753	0,8473212	0,9223200	0,9966436	0,8638941	0,5634174	0,3700761	0,6033376	0,0642537	0,2913529	0,6661571	0,4513847	0,0095969	0,1436274	0,6550631	0,1552693	0,7175322	0,2449290	0,1542298	0,9735599	0,8912510	0,1205700
380	0,4876604	0,1942331	0,4594855	0,6479837	0,7374963	0,8828013	0,8291050	0,6043281	0,5753186	0,6900795	0,9583264	0,8469318	0,9219251	0,9966292	0,8638235	0,5632014	0,3700761	0,6034434	0,0641469	0,2913529	0,6661619	0,4513846	0,0095969	0,1436274	0,6550746	0,1552214	0,7173674	0,2441534	0,1531408	0,9735173	0,8914521	0,1205613
400	0,4876604	0,1942333	0,4594853	0,6479901	0,7365678	0,8828012	0,8291050	0,6043239	0,5754436	0,6898767	0,9579452	0,8466095	0,9215820	0,9966172	0,8637654	0,5630201	0,3700761	0,6035132	0,0640787	0,2913529	0,6661646	0,4513846	0,0095969	0,1436273	0,6550821	0,1551905	0,7172443	0,2435933	0,1523382	0,9734849	0,8915865	0,1205565
420	0,4876604	0,1942334	0,4594851	0,6479954	0,7358028	0,8828011	0,8291050	0,6043214	0,5755238	0,6897359	0,9576227	0,8463429	0,9212874	0,9966072	0,8637175	0,5628683	0,3700761	0,6035592	0,0640351	0,2913529	0,6661661	0,4513846	0,0095969	0,1436273	0,6550870	0,1551704	0,7171524	0,2431905	0,1517498	0,9734606	0,8916760	0,1205539
440	0,4876604	0,1942334	0,4594850	0,6479999	0,7351723	0,8828010	0,8291050	0,6043200	0,5755750	0,6896382	0,9573508	0,8461223	0,9210365	0,9965988	0,8636780	0,5627416	0,3700761	0,6035895	0,0640072	0,2913529	0,6661670	0,4513846	0,0095969	0,1436273	0,6550902	0,1551574	0,7170840	0,2429019	0,1513205	0,9734424	0,8917355	0,1205524
