"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
260	0,3052094	0,2647365	0,1252578	0,3659559	0,1083818	0,1274334	0,0703859	0,1928958	0,4967968	0,4267623	0,0473610	0,0969403	0,3910986	0,0681449	0,3061927	0,1266820	0,2430093	0,1726310	0,6861675	0,7750454	0,5718290	0,1500591	0,4651164	0,3444749	0,6606198	0,6295034	0,6783802	0,0936350	0,3370541	0,3817432	0,0893761	0,4628315
280	0,3980910	0,2040761	0,1713467	0,3462242	0,1906135	0,1135556	0,0634689	0,1675578	0,4755745	0,4951537	0,0652469	0,1058403	0,6139359	0,0789514	0,2299929	0,1645616	0,2254156	0,1857769	0,7944327	0,8226001	0,5699051	0,2364281	0,4132974	0,4192973	0,8149064	0,6358436	0,6027672	0,0977625	0,3283015	0,4161102	0,1186397	0,4202966
300	0,4552693	0,1800048	0,1472101	0,3503097	0,1559982	0,1194646	0,1012695	0,1765909	0,4802000	0,5152877	0,0541932	0,1555896	0,4423298	0,1641948	0,2620934	0,1474611	0,2995240	0,2789915	0,6565769	0,6981935	0,5223934	0,2493289	0,5657560	0,2854844	0,7284347	0,7217511	0,6869976	0,1192384	0,2897539	0,3398248	0,1586250	0,3731638
320	0,3836915	0,2142860	0,2396684	0,3552158	0,1748773	0,1059083	0,0546307	0,1685832	0,4509022	0,4772278	0,0407936	0,0998335	0,4604738	0,1131599	0,3123823	0,1152828	0,2691305	0,2191124	0,7332539	0,7412082	0,5695057	0,2233078	0,5459767	0,2513808	0,9010969	0,5665358	0,6585261	0,0786977	0,3345340	0,4266758	0,1258863	0,4016641
340	0,4450782	0,2573040	0,1970159	0,3801790	0,1740439	0,0571115	0,0882106	0,2312634	0,4254488	0,4241838	0,0313475	0,1333120	0,4438591	0,0578967	0,2520723	0,1566992	0,2457575	0,2786431	0,6547120	0,7456296	0,5739366	0,2781360	0,5652967	0,2248178	0,7815285	0,6135603	0,7243436	0,1022542	0,2770935	0,4797113	0,1767426	0,3321320
360	0,4303061	0,2204802	0,2355692	0,3626970	0,1670926	0,0977648	0,0751557	0,2045831	0,4992391	0,5481484	0,0656832	0,0990057	0,5660137	0,0871515	0,2706525	0,1394911	0,2486633	0,1991181	0,6327822	0,8344815	0,7331335	0,2295832	0,5538638	0,3135137	0,7730311	0,5935092	0,7352066	0,0825270	0,2668028	0,3903742	0,1069998	0,3843550
380	0,4275945	0,2197579	0,1791837	0,4001069	0,1322383	0,1345676	0,0816080	0,1438177	0,3503234	0,5374909	0,0598963	0,1154356	0,5195282	0,0604363	0,2763246	0,2508521	0,2456916	0,1657026	0,7659051	0,6486995	0,6363324	0,2137826	0,4698106	0,2325511	0,6969149	0,5682273	0,6420734	0,0813338	0,3062300	0,4134040	0,2359264	0,4107182
400	0,3888438	0,3148111	0,2090696	0,2926034	0,1355642	0,1319396	0,0539401	0,1352165	0,4232742	0,5474970	0,0394404	0,1187333	0,4665234	0,1163463	0,2751872	0,1922455	0,3007400	0,1719390	0,7449640	0,7840636	0,6506962	0,2197108	0,4376284	0,3283711	0,7456340	0,5821160	0,6084233	0,0643067	0,3302251	0,4906368	0,1479096	0,2968195
420	0,3986063	0,2090028	0,1937660	0,3001930	0,1544798	0,1610345	0,0705591	0,1836959	0,4640042	0,6268230	0,0718687	0,1224597	0,5058351	0,0819984	0,2689383	0,1618154	0,3214589	0,1295265	0,5980681	0,8073165	0,6937452	0,2932702	0,4395797	0,3048554	0,7321342	0,5608721	0,6126960	0,0823072	0,3066218	0,5210733	0,2061992	0,3350384
440	0,3844540	0,1800778	0,2173305	0,2513959	0,1298324	0,1510103	0,0761890	0,1900172	0,4552154	0,4904654	0,0821625	0,1261847	0,5001698	0,0628129	0,2681510	0,2133364	0,3121880	0,1657605	0,6881023	0,9077925	0,5284062	0,2083208	0,4544339	0,2611918	0,7659706	0,5661175	0,6822687	0,0893013	0,3089347	0,5304676	0,1421764	0,3245111
