"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
260	0,3952438	0,1269653	0,3639484	0,4536648	0,6358795	0,6603490	0,5326442	0,4214032	0,3310934	0,4241032	0,7586189	0,6469191	0,5861081	0,8377330	0,5319673	0,3902460	0,3063573	0,5161337	0,0426265	0,2523311	0,5659340	0,3425265	0,0064539	0,1126457	0,4788435	0,0934817	0,5964229	0,3063907	0,1527911	0,7101148	0,6008667	0,0907896
280	0,3309543	0,1436689	0,2761149	0,5277742	0,7590854	0,6045305	0,5950341	0,3287730	0,4193071	0,5418469	0,8550487	0,5872587	0,4989200	0,6632030	0,5457200	0,3300935	0,3458508	0,4802872	0,0393677	0,2048963	0,5242131	0,3085305	0,0113495	0,1035832	0,6409179	0,1268420	0,5186867	0,2128478	0,1856978	0,6633010	0,6434103	0,1046321
300	0,3557252	0,1964496	0,2708058	0,5554691	0,6162667	0,7813429	0,6714378	0,3891013	0,3136458	0,4070385	0,7779744	0,6026638	0,5663408	0,6556675	0,6310120	0,4298947	0,2993832	0,3992859	0,0451013	0,2253042	0,4888694	0,4201577	0,0047666	0,1261087	0,4694211	0,1287852	0,6002051	0,2543315	0,1134873	0,6189243	0,7243665	0,1012848
320	0,3587695	0,1083393	0,2984326	0,4603445	0,7472482	0,6784951	0,6224760	0,3817172	0,3842772	0,4438143	0,8103520	0,6111544	0,6565133	0,7419839	0,7125815	0,4498331	0,2538990	0,4299061	0,0521333	0,1796150	0,5669846	0,3454397	0,0058719	0,1169283	0,4985729	0,1134502	0,5920357	0,2181781	0,1046727	0,6720066	0,6922660	0,0931857
340	0,4109374	0,1354525	0,3973905	0,4660073	0,5459043	0,5887930	0,6098812	0,2709284	0,3923673	0,4813421	0,6851583	0,5146491	0,6892710	0,6645005	0,5857325	0,4068511	0,2883249	0,4128729	0,0386460	0,2327571	0,5522430	0,3222103	0,0061538	0,0800477	0,5389166	0,1031342	0,5345620	0,2386381	0,1369325	0,7255057	0,5867613	0,0704584
360	0,3155868	0,1357766	0,3923542	0,4468264	0,5222659	0,6432878	0,5291123	0,4127009	0,3840124	0,5188659	0,7542680	0,7674523	0,7344435	0,5604047	0,5976645	0,4391223	0,2776743	0,4407727	0,0398962	0,1768370	0,4900992	0,3139381	0,0021672	0,0663574	0,4498129	0,0760310	0,5138708	0,1872409	0,1781284	0,7036601	0,5738706	0,1223837
380	0,3485145	0,1585795	0,3306493	0,4632999	0,5823420	0,7746122	0,5963507	0,3496939	0,4376810	0,5727786	0,6544749	0,4826620	0,6323214	0,7399171	0,6322887	0,3506741	0,2703938	0,4462163	0,0453298	0,2242593	0,5116143	0,2525904	0,0114139	0,1057349	0,4310889	0,1538602	0,4715396	0,1983790	0,1581373	0,6348388	0,6632825	0,0870552
400	0,3268618	0,1042464	0,2975598	0,3932898	0,5815573	0,6606465	0,5659907	0,4311679	0,3943477	0,4746193	0,6747570	0,5420874	0,7218419	0,7627602	0,6891711	0,3912998	0,2602555	0,4926714	0,0564377	0,2145602	0,4125356	0,3478550	0,0033858	0,0692508	0,5175443	0,1207670	0,5195358	0,2678470	0,1892732	0,7027256	0,6774235	0,0978330
420	0,3234970	0,1646108	0,3620620	0,4569589	0,5143903	0,6922673	0,6587970	0,5063376	0,3463566	0,4295682	0,7778207	0,5602789	0,6681866	0,6658326	0,8239158	0,4219290	0,2384527	0,4361095	0,0450818	0,1856793	0,4344962	0,2610692	0,0043504	0,1470063	0,4014462	0,1366455	0,5073143	0,2696715	0,1840316	0,7125599	0,6917316	0,0913875
440	0,3679234	0,1372545	0,3037373	0,3544154	0,6091238	0,7520375	0,6202027	0,4281707	0,4385560	0,5905546	0,6884867	0,5573059	0,7760049	0,6041265	0,6910243	0,4387779	0,3409864	0,3768727	0,0416731	0,2577869	0,5662468	0,3854974	0,0058451	0,1029172	0,3822728	0,0962691	0,5040244	0,1301157	0,1112428	0,6349667	0,6378569	0,0919197
460	0,3706338	0,1647560	0,3374426	0,4437892	0,6111794	0,6251514	0,6830195	0,3473716	0,4586545	0,4386479	0,7241675	0,6530575	0,6898064	0,7547499	0,6080996	0,4594227	0,3158327	0,4462208	0,0296137	0,1955744	0,3682417	0,3881898	0,0138488	0,0836428	0,4654306	0,1074105	0,5006094	0,1302270	0,1028874	0,7951189	0,6392878	0,0658883
480	0,3154769	0,1740306	0,3417716	0,4929117	0,5410526	0,6384001	0,5967836	0,3372698	0,5203620	0,4895904	0,7522400	0,6659320	0,6358337	0,6933756	0,6378825	0,4134457	0,2716159	0,4809105	0,0671231	0,2033636	0,4659276	0,3088115	0,0103794	0,1478739	0,4254305	0,1204459	0,4706587	0,1972490	0,1054886	0,6754350	0,5679697	0,0651336
500	0,2736608	0,1990372	0,3339593	0,5385831	0,5861740	0,6136567	0,5136514	0,4018333	0,5458297	0,5072007	0,7390929	0,6136335	0,7058183	0,8586174	0,5545473	0,4478518	0,3710843	0,3387259	0,0390927	0,1869262	0,4807868	0,3649561	0,0052112	0,0606771	0,4276189	0,0957798	0,5718105	0,2415394	0,0952367	0,7786328	0,5800648	0,0700071
520	0,3473499	0,1571775	0,2693521	0,4600635	0,5285643	0,6582553	0,6418410	0,3624582	0,4528743	0,5105375	0,6550293	0,5465169	0,7350455	0,7641582	0,7647968	0,4562603	0,3339464	0,4610453	0,0894465	0,2529860	0,4845612	0,3175183	0,0090765	0,1135460	0,4297951	0,1001732	0,4028076	0,1513043	0,0808117	0,7446070	0,5574835	0,0631239
540	0,3153900	0,1767804	0,3148367	0,4752735	0,5313739	0,6414614	0,5895219	0,5365671	0,5492847	0,4155547	0,7044672	0,5026498	0,6310906	0,6981832	0,5647388	0,5005272	0,3289859	0,4787850	0,0515172	0,2318192	0,4493380	0,2800948	0,0100113	0,1567577	0,4027851	0,1290474	0,4771504	0,1303118	0,0533377	0,8157183	0,5829574	0,0848797
