"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
260	0,4757330	0,4133682	0,1394194	0,7355958	0,6293900	0,6319535	0,0702014	0,1053848	0,7034760	0,4952217	0,6962200	0,6382777	0,1427074	0,5643190	0,3890160	0,8625353	0,5032467	0,2050784	0,6696205	0,5522837	0,5887157	0,5297255	0,3418842	0,3485569	0,7343257	0,1954004	0,3003975	0,1894021	0,6328587	0,0889811	0,3437162	0,2380842
280	0,3149822	0,3246864	0,1618241	0,5941843	0,6170514	0,4295846	0,0859551	0,1102778	0,8593602	0,3800410	0,7213879	0,7176440	0,1219636	0,5574821	0,3757517	0,6497555	0,4684561	0,2109901	0,7356296	0,3981400	0,4498312	0,4187192	0,2536594	0,3226350	0,6758812	0,1699644	0,2745615	0,1438303	0,5571037	0,0964900	0,3457693	0,2592975
300	0,3593948	0,3647281	0,1988016	0,7376794	0,6208327	0,5046522	0,0634321	0,0928434	0,6987227	0,3758600	0,5616968	0,6617007	0,0741610	0,3889155	0,3481735	0,6037992	0,5259657	0,1830855	0,6392178	0,4274873	0,5037514	0,4106628	0,2496798	0,4350507	0,6064623	0,1651204	0,2755476	0,1325040	0,5657974	0,1047019	0,2650355	0,1686845
320	0,3853102	0,4411811	0,2381414	0,7081478	0,7384771	0,4493799	0,0930640	0,1475161	0,6986635	0,3021020	0,7652212	0,6167517	0,0948348	0,5439575	0,4126797	0,7356914	0,4894098	0,2075575	0,6142935	0,4869851	0,4813652	0,4945155	0,2645820	0,3553711	0,7077334	0,1860031	0,3099711	0,1352442	0,6151235	0,0556970	0,2642526	0,1766886
340	0,4780471	0,3680173	0,1752935	0,6913900	0,6986958	0,4832413	0,0843967	0,0952735	0,6290862	0,4487820	0,6297524	0,5338039	0,0748314	0,4883824	0,3199310	0,6828070	0,4774459	0,1955620	0,6200217	0,4789429	0,5111111	0,4337906	0,2694120	0,3113541	0,7170929	0,1389205	0,2884046	0,1464152	0,4457328	0,0753656	0,2782770	0,3050997
360	0,5091092	0,3287456	0,1651028	0,6713725	0,6946882	0,4852761	0,0789585	0,1464906	0,7602541	0,4313552	0,7124382	0,7300814	0,1031005	0,4454898	0,3349227	0,9044869	0,4996832	0,2201578	0,7206889	0,4783372	0,4262744	0,4369444	0,3078179	0,3263643	0,6586664	0,1389427	0,2768427	0,1254769	0,6049326	0,0656280	0,3004295	0,2372778
380	0,5059647	0,4428484	0,1202355	0,7857030	0,6301026	0,4357711	0,0635426	0,1368067	0,6066357	0,4194666	0,6863108	0,6054768	0,1293541	0,4405555	0,3206017	0,7003448	0,6046107	0,1790972	0,6199365	0,3699883	0,4340328	0,3857980	0,3412371	0,4501649	0,7584407	0,1359131	0,3158140	0,1331893	0,5154622	0,0837048	0,3139770	0,2100234
400	0,3674260	0,3244323	0,1376905	0,6840723	0,7386607	0,3497550	0,0574132	0,1208359	0,6444262	0,3530292	0,6852248	0,6931968	0,1298332	0,4929648	0,2904134	0,6933121	0,5718859	0,2152025	0,6603199	0,6215107	0,5381051	0,4940300	0,3410989	0,3967507	0,6666159	0,1691061	0,2820805	0,1875841	0,5705939	0,1025539	0,3763239	0,2333185
420	0,3950501	0,3900554	0,0759632	0,6372304	0,9197647	0,3998530	0,0435517	0,1112476	0,6925206	0,4223314	0,6921393	0,6988374	0,0733308	0,4718711	0,3035922	0,6951679	0,6101924	0,1653372	0,6851979	0,4507604	0,5660466	0,4961039	0,4389771	0,3634239	0,6466053	0,1716369	0,2362888	0,1200311	0,5954364	0,0710171	0,2619717	0,2388831
440	0,3307372	0,3631739	0,1534028	0,6278157	0,7950935	0,5032425	0,0622519	0,0993331	0,7272900	0,3761023	0,6754096	0,6978964	0,1095740	0,3901712	0,2981713	0,6511425	0,6269396	0,1423925	0,7452054	0,4822308	0,4098287	0,5105873	0,3352601	0,3555321	0,6024343	0,1197122	0,3445660	0,1602593	0,5276534	0,1205402	0,2572637	0,1540608
460	0,4776198	0,4071127	0,1480396	0,7228992	0,6665483	0,4612324	0,0513943	0,1355453	0,7087377	0,3641991	0,7360152	0,7826241	0,1163602	0,5285685	0,3813041	0,6477808	0,6072417	0,1907189	0,7017560	0,4656083	0,4466312	0,5013081	0,3761006	0,3046377	0,6831647	0,1579490	0,2443965	0,1921328	0,5458942	0,1182643	0,3606529	0,2235805
480	0,4007586	0,3915276	0,1489924	0,6833067	0,6522447	0,4796029	0,0740525	0,1548959	0,6788822	0,3644288	0,6774236	0,7612460	0,0771409	0,5243410	0,4254481	0,6386277	0,5848660	0,2161714	0,7371797	0,4730226	0,6235676	0,4816466	0,3445172	0,3497615	0,7284823	0,1210224	0,3080433	0,2136601	0,5272767	0,1506141	0,3490160	0,3749208
500	0,4779267	0,4260564	0,1696674	0,6262638	0,7342953	0,3621987	0,1209161	0,1370944	0,7883852	0,3750271	0,6838369	0,8105656	0,0635070	0,5297580	0,2660569	0,7781695	0,5392661	0,1648142	0,6736107	0,4754282	0,5915064	0,5209812	0,3745495	0,3758779	0,7241186	0,1445573	0,3944995	0,1544973	0,5933343	0,1200425	0,2910797	0,2784518
520	0,4016652	0,4422319	0,1379690	0,5690074	0,7820193	0,5107802	0,0931852	0,1069945	0,7351300	0,4557923	0,6575433	0,7477630	0,0802763	0,4703454	0,3572605	0,7973139	0,6198962	0,1914813	0,7750254	0,4778453	0,5919175	0,4541621	0,3442134	0,4194391	0,6257412	0,1907454	0,3821968	0,1403412	0,6609789	0,0890489	0,2892387	0,3381344
540	0,4219228	0,2985131	0,1676563	0,5453202	0,7383097	0,4243241	0,0656207	0,1005952	0,6908347	0,3571106	0,6518580	0,7249343	0,0928679	0,5419188	0,3165229	0,6730767	0,6018232	0,1629280	0,7217557	0,3849787	0,5246419	0,4502425	0,3933245	0,3145597	0,6793153	0,1623338	0,2637126	0,1395245	0,7097724	0,0743590	0,2785669	0,2501369
560	0,4158361	0,3551742	0,2014069	0,6646844	0,6395166	0,4584691	0,1051406	0,1569199	0,7165943	0,3706040	0,6309577	0,7396833	0,0831522	0,4920507	0,3001846	0,7579748	0,4607945	0,1916750	0,7026561	0,5564462	0,5819140	0,4899695	0,3402621	0,3661424	0,7299774	0,1246558	0,3315688	0,1433680	0,6520623	0,0839457	0,2749069	0,2318960
580	0,3253018	0,3007895	0,1288458	0,6579234	0,4994154	0,5466432	0,0937062	0,2053158	0,6689581	0,3250652	0,7627955	0,7261219	0,0894383	0,5123406	0,3631582	0,6233988	0,5580333	0,3799602	0,7868782	0,5569365	0,4819828	0,4998066	0,3603051	0,3480301	0,6175364	0,3171448	0,3634370	0,1007938	0,4513297	0,0839179	0,2813965	0,3131298
600	0,4203356	0,4272491	0,1811402	0,5446233	0,6275460	0,4981668	0,0686878	0,3016165	0,7372554	0,3275665	0,7556994	0,6391985	0,1511686	0,5823865	0,3766199	0,7543983	0,5156026	0,4893229	0,5821023	0,5595367	0,6310442	0,4630595	0,3271780	0,4537650	0,8095387	0,5717409	0,3872052	0,1186951	0,3752858	0,1666117	0,2774392	0,2716895
620	0,3529984	0,4648907	0,2147656	0,6067460	0,6136394	0,5699688	0,0834527	0,3329345	0,6878544	0,3915914	0,7980118	0,5992643	0,1266330	0,6459029	0,3822934	0,7172684	0,6309530	0,4417148	0,6840818	0,4704220	0,4649718	0,5124236	0,3728283	0,3712084	0,7071518	0,6059295	0,3407683	0,1899982	0,5093379	0,2705931	0,3699107	0,3685609
640	0,4874128	0,4791624	0,2165175	0,7156687	0,5142314	0,5186397	0,0727831	0,4381217	0,6703418	0,3432265	0,7467058	0,6046952	0,0803927	0,5490684	0,2894877	0,7116543	0,5516275	0,6176232	0,6512802	0,4700609	0,4764267	0,4456197	0,3050290	0,3162290	0,6623892	0,6491544	0,3125292	0,2418146	0,4233654	0,3577933	0,3410203	0,2728535
660	0,3289194	0,4988859	0,2181768	0,6079238	0,5923258	0,7036949	0,0736543	0,4164051	0,6650213	0,3691567	0,7286972	0,6739165	0,1462079	0,5707945	0,3317149	0,6675134	0,4729484	0,5653234	0,7630483	0,4836040	0,4705369	0,3724253	0,2872961	0,4051441	0,6755465	0,6632352	0,3174700	0,2454253	0,4826337	0,3869371	0,3824461	0,2768785
680	0,3648110	0,4006579	0,1373026	0,6026410	0,6283959	0,6103220	0,1039916	0,3993442	0,6654271	0,4206044	0,6455151	0,6754830	0,1134355	0,5991932	0,4148389	0,7382493	0,5649594	0,6212870	0,7036797	0,4594547	0,5287221	0,4845108	0,2728829	0,4854540	0,4883446	0,5490077	0,2544882	0,4912056	0,5215954	0,5411549	0,4231067	0,3383111
700	0,4939124	0,4350414	0,2002605	0,6357745	0,6076676	0,6665011	0,0861655	0,3619738	0,6744468	0,4142313	0,7029932	0,7337464	0,1216521	0,6283211	0,3459942	0,6312260	0,6506682	0,6003701	0,6852762	0,4555234	0,5072862	0,4120198	0,3347938	0,3386271	0,6291484	0,5914705	0,3526915	0,3073375	0,4240895	0,5674296	0,4723196	0,3864572
720	0,3843726	0,3797104	0,1279057	0,7243818	0,6433893	0,7461611	0,0614080	0,4548464	0,7213361	0,5419891	0,7517705	0,6970853	0,0959833	0,5766230	0,3183876	0,6557568	0,5908385	0,6186138	0,6217055	0,4126492	0,5014936	0,5589001	0,2612271	0,3836664	0,5932450	0,6426997	0,3620223	0,3753783	0,4247407	0,6558366	0,5013580	0,4111384
740	0,3595776	0,3429186	0,1982691	0,5931574	0,7236187	0,7525197	0,0611275	0,4114585	0,6439438	0,4663229	0,7563387	0,6349389	0,1222092	0,5324040	0,4525473	0,6607431	0,6150617	0,5580668	0,4719401	0,5024231	0,6347389	0,4073101	0,2108726	0,4401316	0,7700320	0,5009841	0,3872362	0,3677790	0,4101017	0,5783257	0,4252120	0,3535179
760	0,4382458	0,4317795	0,2039332	0,5908584	0,5550633	0,7688604	0,0505497	0,5134256	0,5992966	0,5218956	0,7204488	0,7053406	0,1664681	0,5031760	0,4555529	0,5908558	0,4988700	0,7134356	0,5997984	0,4007457	0,5540076	0,5275005	0,2565924	0,3653097	0,6617214	0,5721958	0,3914857	0,3942865	0,5059627	0,5992151	0,4345654	0,3054724
