"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
300	0,6052116	0,9941019	0,8144425	0,9940455	0,9545105	0,2815511	0,9475970	0,6982798	0,9351669	0,9997091	0,0935870	0,9391156	0,2388241	0,7085457	0,9999999	0,9978305	0,4155268	0,8909049	0,9136294	0,2975148	0,3480627	0,4401792	0,5340254	0,9996737	0,7929549	0,9955901	0,5077835	0,9999684	0,9146219	0,8488817	0,9989037	0,6044477
320	0,6052116	0,9941020	0,8145552	0,9940888	0,9545105	0,2815511	0,9478175	0,6982799	0,9351671	0,9997091	0,0935869	0,9391164	0,2388241	0,7090455	0,9999999	0,9978306	0,4159695	0,8909904	0,9136296	0,2975148	0,3466686	0,4401786	0,5339599	0,9996961	0,7930558	0,9955902	0,5077837	0,9999684	0,9149318	0,8488816	0,9989042	0,6044486
340	0,6052116	0,9941020	0,8146409	0,9941175	0,9545105	0,2815510	0,9479573	0,6982799	0,9351672	0,9997091	0,0935869	0,9391170	0,2388242	0,7093766	0,9999999	0,9978306	0,4162987	0,8910421	0,9136297	0,2975149	0,3457235	0,4401782	0,5339166	0,9997126	0,7931303	0,9955902	0,5077838	0,9999685	0,9151275	0,8488815	0,9989046	0,6044492
360	0,6052116	0,9941020	0,8147057	0,9941365	0,9545105	0,2815510	0,9480460	0,6982799	0,9351673	0,9997091	0,0935868	0,9391174	0,2388242	0,7095959	0,9999999	0,9978306	0,4165420	0,8910733	0,9136297	0,2975149	0,3450848	0,4401779	0,5338879	0,9997248	0,7931847	0,9955902	0,5077839	0,9999686	0,9152509	0,8488815	0,9989048	0,6044497
380	0,6052116	0,9941020	0,8147543	0,9941492	0,9545106	0,2815510	0,9481021	0,6982799	0,9351673	0,9997091	0,0935868	0,9391178	0,2388242	0,7097411	0,9999999	0,9978306	0,4167209	0,8910921	0,9136298	0,2975150	0,3446546	0,4401777	0,5338690	0,9997337	0,7932241	0,9955902	0,5077840	0,9999686	0,9153288	0,8488814	0,9989049	0,6044500
400	0,6052116	0,9941021	0,8147907	0,9941576	0,9545106	0,2815510	0,9481377	0,6982799	0,9351673	0,9997091	0,0935868	0,9391180	0,2388242	0,7098372	0,9999999	0,9978306	0,4168517	0,8911034	0,9136298	0,2975150	0,3443656	0,4401775	0,5338565	0,9997403	0,7932525	0,9955902	0,5077840	0,9999686	0,9153779	0,8488814	0,9989050	0,6044502
420	0,6052116	0,9941021	0,8148177	0,9941631	0,9545106	0,2815510	0,9481602	0,6982799	0,9351674	0,9997091	0,0935868	0,9391182	0,2388242	0,7099009	0,9999999	0,9978306	0,4169470	0,8911101	0,9136298	0,2975150	0,3441719	0,4401774	0,5338482	0,9997451	0,7932728	0,9955902	0,5077841	0,9999686	0,9154088	0,8488814	0,9989051	0,6044504
440	0,6052116	0,9941021	0,8148378	0,9941668	0,9545106	0,2815510	0,9481744	0,6982799	0,9351674	0,9997091	0,0935868	0,9391183	0,2388242	0,7099430	0,9999999	0,9978306	0,4170160	0,8911142	0,9136298	0,2975150	0,3440423	0,4401774	0,5338427	0,9997486	0,7932872	0,9955902	0,5077841	0,9999686	0,9154283	0,8488814	0,9989051	0,6044505
460	0,6052116	0,9941021	0,8148526	0,9941693	0,9545106	0,2815510	0,9481834	0,6982800	0,9351674	0,9997091	0,0935868	0,9391184	0,2388242	0,7099709	0,9999999	0,9978306	0,4170659	0,8911166	0,9136298	0,2975150	0,3439558	0,4401773	0,5338391	0,9997511	0,7932974	0,9955902	0,5077841	0,9999687	0,9154406	0,8488814	0,9989051	0,6044506
480	0,6052116	0,9941021	0,8148635	0,9941709	0,9545106	0,2815510	0,9481891	0,6982800	0,9351674	0,9997091	0,0935868	0,9391184	0,2388242	0,7099893	0,9999999	0,9978306	0,4171018	0,8911181	0,9136299	0,2975150	0,3438981	0,4401773	0,5338367	0,9997530	0,7933046	0,9955902	0,5077841	0,9999687	0,9154483	0,8488814	0,9989052	0,6044507
500	0,6052116	0,9941021	0,8148715	0,9941720	0,9545106	0,2815510	0,9481927	0,6982800	0,9351674	0,9997091	0,0935867	0,9391185	0,2388242	0,7100016	0,9999999	0,9978306	0,4171276	0,8911190	0,9136299	0,2975150	0,3438597	0,4401772	0,5338351	0,9997544	0,7933096	0,9955902	0,5077841	0,9999687	0,9154532	0,8488814	0,9989052	0,6044507
520	0,6052116	0,9941021	0,8148774	0,9941727	0,9545106	0,2815510	0,9481950	0,6982800	0,9351674	0,9997091	0,0935867	0,9391185	0,2388242	0,7100096	0,9999999	0,9978306	0,4171460	0,8911195	0,9136299	0,2975150	0,3438343	0,4401772	0,5338340	0,9997553	0,7933131	0,9955902	0,5077841	0,9999687	0,9154563	0,8488814	0,9989052	0,6044507
540	0,6052116	0,9941021	0,8148817	0,9941731	0,9545106	0,2815510	0,9481964	0,6982800	0,9351674	0,9997091	0,0935867	0,9391185	0,2388242	0,7100150	0,9999999	0,9978306	0,4171591	0,8911198	0,9136299	0,2975150	0,3438173	0,4401772	0,5338334	0,9997561	0,7933156	0,9955902	0,5077841	0,9999687	0,9154582	0,8488814	0,9989052	0,6044508
560	0,6052116	0,9941021	0,8148848	0,9941735	0,9545106	0,2815510	0,9481974	0,6982800	0,9351674	0,9997091	0,0935867	0,9391186	0,2388242	0,7100185	0,9999999	0,9978306	0,4171685	0,8911200	0,9136299	0,2975150	0,3438061	0,4401772	0,5338329	0,9997566	0,7933173	0,9955902	0,5077841	0,9999687	0,9154595	0,8488814	0,9989052	0,6044508
580	0,6052116	0,9941021	0,8148758	0,9913581	0,9545106	0,2815510	0,9245715	0,6982800	0,9351674	0,9997091	0,0935867	0,9391186	0,2388242	0,6716601	0,9999999	0,9978306	0,4148451	0,8763961	0,9136299	0,2975150	0,3814327	0,4401772	0,5410534	0,9997249	0,7933072	0,9955902	0,5077841	0,9999687	0,8725320	0,8488814	0,9988665	0,6044508
