"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
260	0,5432417	0,9854179	0,8157040	0,9560293	1,0011504	0,2836556	0,9158634	0,6730864	0,9783816	1,0545426	0,0642386	0,8793416	0,2716882	0,7260170	1,0545643	1,0302786	0,4141637	0,9025991	0,8873311	0,2993916	0,4057327	0,4037217	0,5321856	1,0166401	0,7824032	1,0510166	0,4788548	0,9871277	0,9533898	0,9015962	1,1123567	0,5403296
280	0,6081580	0,9890549	0,7630876	1,0033477	0,9758300	0,2617309	0,9308486	0,6648019	0,8444578	1,0278806	0,0556500	0,9518348	0,2566258	0,7253704	0,9647725	1,0194210	0,4313034	0,8825420	0,8728242	0,2949854	0,3885933	0,3758088	0,5258485	1,0249350	0,8207046	0,9564083	0,4997679	1,0590692	0,9643167	0,8444198	1,0458309	0,5588698
300	0,6390823	0,9539138	0,7715425	1,0815772	0,9876366	0,2744304	0,9333313	0,6746680	0,8323113	0,9880790	0,0757342	0,9061235	0,2661132	0,7352457	0,9188025	1,0894816	0,3768636	0,8559463	0,8381688	0,2845958	0,3681138	0,4323651	0,5139539	1,0457309	0,7566929	0,9491433	0,5104516	1,0323572	1,0484476	0,8052979	1,0108848	0,5497236
320	0,6380760	0,9504571	0,7751449	1,0237926	0,9451466	0,2848733	0,8218122	0,7136472	0,8803430	1,0080516	0,0959774	0,9357471	0,2779874	0,7109538	0,9518256	1,0239090	0,3749162	0,8845312	0,8664180	0,2792442	0,3398048	0,4061496	0,4991915	1,0644285	0,7438081	0,9199215	0,4927429	0,9765099	0,9561120	0,8712290	0,9492065	0,5608519
340	0,6157369	0,8948264	0,7806769	0,9849794	0,9572289	0,2705428	0,8165772	0,7322321	0,9202222	0,9740373	0,0716764	0,9672232	0,2657297	0,7095511	0,9886660	0,9824109	0,3631840	0,9094981	0,9373332	0,2656369	0,3759358	0,4174952	0,4780758	1,0552749	0,7564059	0,9273765	0,4978366	0,9850751	0,9499879	0,9112731	0,9007147	0,5217088
360	0,6440549	0,8985849	0,7540263	0,9674019	0,9070278	0,2433733	0,8701705	0,6809040	0,8838872	0,9555883	0,1015260	0,9702327	0,2562462	0,7047375	1,0358713	0,9759965	0,3781963	0,9375058	0,9629444	0,2626173	0,3709259	0,4144205	0,4705435	0,9877624	0,8074539	0,8989079	0,5157421	0,9881514	0,9353413	0,8991944	0,9186534	0,5767586
380	0,6480537	0,9893001	0,7999981	1,0013236	0,9393758	0,2563502	0,8767450	0,7206131	0,8818526	0,9749506	0,0869447	0,9986834	0,2921223	0,7188253	1,0197188	1,0518417	0,3960008	0,9521124	0,9374873	0,2874350	0,3970487	0,4090472	0,4919467	0,9417252	0,7987482	0,9138569	0,5261304	0,9748563	0,9490911	0,9379923	0,9433201	0,6110760
400	0,6383279	0,9297799	0,8046576	1,0063672	0,9426684	0,2426038	0,9003401	0,7070590	0,9624603	0,9941955	0,0853123	0,9986519	0,3081932	0,7225154	0,9996502	1,0280165	0,3916834	0,9396902	0,8397950	0,2937803	0,3884229	0,3712414	0,5017591	0,9194313	0,8265741	0,9133291	0,5015130	1,0563868	0,9246864	0,8728061	0,9547748	0,5487799
420	0,6602541	0,9163186	0,7495235	0,9817446	0,9508465	0,2972074	0,8813762	0,7110679	0,9805587	0,9920297	0,0799484	0,9773327	0,3321075	0,7325947	0,9504048	0,9184831	0,3726799	0,9009964	0,8514287	0,2918966	0,3870149	0,4389212	0,4877907	0,9420845	0,8097509	0,9516373	0,5814109	1,0613328	0,8904706	0,8717006	0,9268052	0,5544822
440	0,6491833	1,0152147	0,8004594	0,9913670	0,9292407	0,2631549	0,8637379	0,6476278	0,9650785	1,0000183	0,0857167	1,0163490	0,3057845	0,7052292	0,9619399	1,0211921	0,3914830	0,8399145	0,8380982	0,2757940	0,3503967	0,4540441	0,5086079	0,9260204	0,8174496	0,9957243	0,5614979	1,0387447	0,8842519	0,8458252	0,9769919	0,6105837
460	0,6134778	0,9592471	0,8136055	0,9844017	0,9985626	0,2854982	0,9617272	0,7181311	0,9522018	0,9794430	0,0791296	0,9268030	0,2728301	0,7798271	1,0031314	0,9927187	0,4146215	0,8652862	0,8826882	0,3120453	0,3835103	0,4428636	0,5409687	0,9689425	0,8208973	1,0624273	0,4986233	1,0637481	0,9096238	0,8249342	1,0055969	0,5979639
