"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
260	0,0791247	0,0462565	0,6950736	1,1188018	1,0507158	0,0038979	0,9784582	0,0228538	0,3401254	1,0051838	0,7535534	0,9287879	0,8435902	0,7980259	0,7626093	0,0315975	0,0998717	1,0142750	0,0908081	0,0188358	0,7777166	1,0734071	0,5527284	0,8720179	0,1554992	0,9727840	0,5864040	0,9463403	0,0339770	0,5577638	0,0923191	0,0027253
280	0,0950658	0,0394283	0,8233747	1,0422901	1,0586121	0,0041005	0,8904521	0,0296595	0,3575930	0,9573649	0,8040436	0,9368329	0,8809648	0,8285727	0,7769760	0,0391900	0,0643891	0,9705221	0,0883214	0,0203255	0,7586056	0,9916938	0,5173004	0,8611214	0,1525911	0,9545396	0,5742588	0,9845597	0,0331016	0,5310691	0,0964928	0,0046336
300	0,0778786	0,0373250	0,8343901	0,9541785	1,0061213	0,0128550	1,0173155	0,0366563	0,3343172	1,0008275	0,8491189	0,9847374	0,8767637	0,7495979	0,7947769	0,0393158	0,0638666	0,9622675	0,0914396	0,0264779	0,7725819	0,9365882	0,5336073	0,8478059	0,1514383	0,9500031	0,5833036	0,9549058	0,0155075	0,5440106	0,1349483	0,0041168
320	0,1034888	0,0497550	0,8269879	0,9564042	0,9762520	0,0143262	1,0220109	0,0539627	0,3103479	0,9947479	0,8592797	0,9613574	0,9041825	0,7830947	0,7798709	0,0332099	0,0930504	0,9889896	0,0663348	0,0216249	0,7977489	0,9506795	0,5202880	0,8580981	0,1695931	0,9751462	0,5609752	0,9221901	0,0234640	0,5209203	0,1037630	0,0055922
340	0,0888667	0,0462760	0,7789246	0,9358771	0,9351226	0,0062103	1,0651357	0,0553713	0,3052651	1,0232146	0,8507371	0,9330733	0,8513406	0,7484591	0,7476800	0,0258965	0,0595205	0,9356867	0,0916287	0,0172816	0,9190792	0,9480561	0,5269660	0,8817455	0,1744076	0,9134378	0,5547908	0,9746170	0,0214914	0,5834404	0,0969349	0,0074100
360	0,0885634	0,0453992	0,6340879	0,9776401	0,9319927	0,0065309	1,0030443	0,0475527	0,3350374	1,0044219	0,8442671	1,0076263	0,8685636	0,8151575	0,7395615	0,0316919	0,0838434	0,9855977	0,0988346	0,0129255	0,8727280	0,9640747	0,5635960	0,8794152	0,1874156	0,9505023	0,5757166	0,9563631	0,0176440	0,5871146	0,0987626	0,0058811
380	0,0823887	0,0427349	0,6677176	1,0163196	0,9482967	0,0018049	1,0298562	0,0485346	0,3138260	1,0032103	0,8012286	1,0398113	0,9159222	0,7462465	0,7376377	0,0375063	0,1095143	1,0233028	0,0951747	0,0149564	0,8933405	1,0251370	0,5603544	0,8307024	0,1509045	0,9445727	0,5429077	0,8877060	0,0153983	0,5848597	0,1169349	0,0055742
400	0,0975801	0,0370682	0,6495492	0,9704204	0,9752874	0,0088492	0,9995926	0,0482785	0,3207979	0,9585841	0,8076434	1,0469330	0,9298954	0,7569937	0,7498174	0,0458143	0,0835061	1,0177231	0,0884881	0,0206775	0,8207847	0,9644762	0,5630914	0,8366691	0,1569060	0,9083188	0,5620526	0,9250128	0,0203524	0,5922066	0,1218997	0,0044813
420	0,0845960	0,0422160	0,6981007	0,9422894	0,8814370	0,0079118	1,0273845	0,0404905	0,3141550	1,0738604	0,7687984	1,0124030	0,9226236	0,6997489	0,7816658	0,0413785	0,0828871	1,0011250	0,1009959	0,0153523	0,8425141	0,9413014	0,5398443	0,8251550	0,1552505	0,9561276	0,5148160	1,0190374	0,0117745	0,5804529	0,1336933	0,0031597
440	0,0639730	0,0426475	0,7201170	0,9483768	0,9609166	0,0064477	0,9895600	0,0409427	0,3207832	1,0326085	0,8205984	1,0298075	0,8986530	0,7529726	0,7780021	0,0539424	0,0953329	1,0144435	0,0825917	0,0118816	0,8557933	0,9471929	0,5284215	0,7666783	0,1545613	0,8976333	0,5250355	1,0130107	0,0257736	0,5426455	0,1069361	0,0034862
460	0,0878389	0,0392931	0,6469216	0,9484987	0,9789570	0,0063576	1,0254546	0,0460187	0,3177651	1,0371439	0,8081901	1,0370972	0,8922951	0,8354163	0,7612805	0,0458159	0,0697732	1,0077051	0,0567133	0,0117615	0,8447195	0,8804213	0,4596544	0,8123377	0,1304474	0,9802455	0,5503217	0,9679932	0,0247427	0,5351309	0,1355434	0,0059694
480	0,0782853	0,0564125	0,5850304	0,9797134	0,9519649	0,0021377	0,9637067	0,0368101	0,3032612	1,0756901	0,8742620	1,0964323	0,9109580	0,8622507	0,7693473	0,0407996	0,0871337	0,9608540	0,0698995	0,0141596	0,7633760	0,9371970	0,4756706	0,7483855	0,1373575	0,9711685	0,5942078	0,9268157	0,0131068	0,5264449	0,1242651	0,0054322
500	0,0757821	0,0389590	0,6446604	1,0741733	1,0375357	0,0036236	0,9898004	0,0493150	0,3035526	1,0120814	0,8651423	1,0499163	0,8730877	0,8850482	0,7849420	0,0404756	0,0864964	0,9057400	0,0702536	0,0245996	0,7912466	0,9189141	0,5052140	0,7551351	0,1279739	0,9264411	0,6203123	0,9370393	0,0145901	0,6088276	0,1134627	0,0038890
520	0,0824633	0,0367712	0,6010093	1,0303415	0,9926404	0,0115936	1,0076314	0,0476116	0,3255162	1,0039198	0,9266029	0,9723459	0,9171954	0,9170418	0,7390396	0,0260976	0,0947048	0,8976677	0,0858832	0,0181518	0,7291509	0,9555113	0,5204670	0,7640473	0,1248469	0,9508748	0,6511408	0,9597443	0,0120598	0,5418874	0,1142087	0,0069607
540	0,0738488	0,0416346	0,6013868	0,9820501	0,9520591	0,0160291	0,9492143	0,0472533	0,3238366	1,0099370	0,8860356	0,9685340	0,9477703	0,9472175	0,7697306	0,0326186	0,1284293	0,9452037	0,0855463	0,0166401	0,7249453	0,9692235	0,5604329	0,7564639	0,1257313	0,9395148	0,6640186	0,9359554	0,0110576	0,5600802	0,1196440	0,0074310
560	0,0800955	0,0399178	0,5979286	1,0003341	1,0112779	0,0142872	0,9948997	0,0505807	0,3341486	0,9965786	0,8606748	1,0440657	0,9072733	0,8801806	0,8475222	0,0408454	0,1429746	0,9457041	0,1005056	0,0138414	0,8415390	0,9756016	0,5569213	0,7544705	0,1254092	0,9096880	0,6676817	1,0097375	0,0264656	0,5228136	0,1160845	0,0119913
