"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
300	0,6487916	0,6708405	0,6331541	0,1337910	0,8608842	0,6210314	0,6400573	0,3938886	0,3955130	0,6826226	0,9769996	0,6033542	0,9043130	0,9618328	0,7218737	0,7464394	0,0589338	0,8954638	0,7009511	0,7837486	0,1408424	0,2400313	0,2053416	0,8180994	0,7694067	0,2703720	0,1583464	0,7380839	0,9413747	0,4028489	0,5228400	0,5300143
320	0,6566963	0,6708400	0,6331328	0,1332151	0,8607388	0,6210314	0,6400573	0,3939546	0,3955130	0,6821396	0,9769026	0,6025928	0,9038169	0,9625877	0,7213237	0,7466376	0,0589343	0,8949488	0,7000612	0,7830051	0,1408548	0,2412834	0,2052003	0,8179529	0,7699767	0,2734213	0,1578776	0,7380463	0,9413703	0,4014876	0,5228375	0,5294223
340	0,6630331	0,6708399	0,6331240	0,1327267	0,8606418	0,6210314	0,6400573	0,3939957	0,3955130	0,6817303	0,9768318	0,6020396	0,9034466	0,9631153	0,7209119	0,7467074	0,0589345	0,8945559	0,6993728	0,7823813	0,1408627	0,2422336	0,2049814	0,8178497	0,7703743	0,2759477	0,1575939	0,7380210	0,9413677	0,4003628	0,5228358	0,5290158
360	0,6681042	0,6708398	0,6331215	0,1323127	0,8605772	0,6210314	0,6400573	0,3940205	0,3955130	0,6813826	0,9767804	0,6016430	0,9031731	0,9634814	0,7206006	0,7466989	0,0589345	0,8942570	0,6988379	0,7818572	0,1408679	0,2429509	0,2047366	0,8177774	0,7706507	0,2780244	0,1574227	0,7380036	0,9413657	0,3994354	0,5228346	0,5287384
380	0,6721568	0,6708398	0,6331214	0,1319616	0,8605344	0,6210314	0,6400573	0,3940347	0,3955130	0,6810867	0,9767431	0,6013621	0,9029732	0,9637336	0,7203628	0,7466454	0,0589345	0,8940301	0,6984198	0,7814160	0,1408713	0,2434901	0,2044955	0,8177267	0,7708422	0,2797205	0,1573196	0,7379916	0,9413641	0,3986714	0,5228337	0,5285499
400	0,6753922	0,6708398	0,6331221	0,1316640	0,8605062	0,6210314	0,6400573	0,3940422	0,3955130	0,6808344	0,9767162	0,6011655	0,9028283	0,9639057	0,7201789	0,7465689	0,0589344	0,8938578	0,6980910	0,7810438	0,1408735	0,2438938	0,2042736	0,8176913	0,7709746	0,2810985	0,1572576	0,7379831	0,9413626	0,3980415	0,5228331	0,5284225
420	0,6779731	0,6708398	0,6331227	0,1314117	0,8604877	0,6210314	0,6400573	0,3940454	0,3955130	0,6806191	0,9766967	0,6010296	0,9027242	0,9640221	0,7200350	0,7464829	0,0589343	0,8937267	0,6978305	0,7807292	0,1408748	0,2441951	0,2040778	0,8176666	0,7710658	0,2822132	0,1572204	0,7379770	0,9413612	0,3975215	0,5228327	0,5283366
440	0,6800307	0,6708398	0,6331231	0,1311977	0,8604758	0,6210314	0,6400573	0,3940460	0,3955130	0,6804351	0,9766826	0,6009368	0,9026500	0,9640999	0,7199209	0,7463958	0,0589341	0,8936268	0,6976226	0,7804628	0,1408757	0,2444194	0,2039096	0,8176493	0,7711284	0,2831117	0,1571982	0,7379725	0,9413599	0,3970914	0,5228324	0,5282789
460	0,6816701	0,6708398	0,6331233	0,1310163	0,8604681	0,6210314	0,6400573	0,3940451	0,3955130	0,6802778	0,9766722	0,6008745	0,9025976	0,9641510	0,7198295	0,7463125	0,0589340	0,8935502	0,6974554	0,7802367	0,1408762	0,2445859	0,2037681	0,8176372	0,7711712	0,2838339	0,1571848	0,7379692	0,9413587	0,3967346	0,5228322	0,5282403
480	0,6829759	0,6708398	0,6331234	0,1308625	0,8604634	0,6210314	0,6400573	0,3940433	0,3955130	0,6801433	0,9766647	0,6008333	0,9025609	0,9641839	0,7197555	0,7462355	0,0589339	0,8934913	0,6973201	0,7800446	0,1408765	0,2447091	0,2036506	0,8176287	0,7712006	0,2844130	0,1571769	0,7379667	0,9413576	0,3964379	0,5228321	0,5282145
500	0,6840157	0,6708398	0,6331234	0,1307321	0,8604605	0,6210314	0,6400573	0,3940411	0,3955130	0,6800281	0,9766591	0,6008067	0,9025354	0,9642045	0,7196950	0,7461659	0,0589338	0,8934457	0,6972096	0,7798810	0,1408767	0,2448003	0,2035541	0,8176226	0,7712205	0,2848765	0,1571721	0,7379647	0,9413566	0,3961904	0,5228320	0,5281974
