"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
300	0,6031381	0,5898803	0,2504000	1,0524600	0,8807627	0,7513442	0,1198070	0,1553903	1,0739361	0,5586952	0,9001010	1,0426712	0,1872706	0,7190356	0,5421315	1,0117798	0,6876460	0,3023629	0,9760045	0,7019221	0,7791513	0,6246913	0,4342906	0,5219407	0,9760867	0,2638645	0,4060561	0,2728279	0,7985693	0,1614110	0,4270150	0,3258595
320	0,6118865	0,6246094	0,2312320	0,9707607	0,9215277	0,7024288	0,1114547	0,1630488	1,0932177	0,5854381	0,8733442	1,0465386	0,1373966	0,7273171	0,6226248	1,0715257	0,7013465	0,2824906	0,9246870	0,6641591	0,7262543	0,6585911	0,4165818	0,5429900	0,9186399	0,2170261	0,4327593	0,2441592	0,7861936	0,1431967	0,4332410	0,2913301
340	0,6375966	0,6607157	0,2504691	0,9412103	0,9223166	0,6202063	0,1197922	0,1907445	1,0646850	0,5655786	0,9281920	1,0446667	0,1492501	0,7196832	0,5877538	0,9583204	0,7031182	0,2610071	0,9281302	0,6690069	0,7190713	0,6469932	0,4224749	0,5418117	0,9531445	0,2098825	0,4565229	0,2313489	0,7806948	0,1498329	0,4722454	0,2679912
360	0,6316915	0,6916734	0,2530986	0,9688269	0,9008788	0,5830397	0,0916940	0,1749694	1,1355766	0,5473760	0,8682591	1,0141321	0,1358648	0,7759313	0,5986834	0,9799490	0,7431378	0,2728794	0,9344160	0,6740442	0,7169427	0,6506742	0,4601205	0,4940105	0,9992949	0,2045752	0,4734323	0,2152339	0,8305621	0,1457432	0,4289615	0,2994490
380	0,6354454	0,6892303	0,2380049	0,9395384	0,9839552	0,5811129	0,0826707	0,1707853	1,1445046	0,5610132	0,9085968	1,0094430	0,1416587	0,7872283	0,5456465	0,9727792	0,7594871	0,2569309	0,8926938	0,6325879	0,7077714	0,6353527	0,4365679	0,5194628	1,0150899	0,2073811	0,4749856	0,2228418	0,8056370	0,1109570	0,4417575	0,3112884
400	0,6416193	0,6118171	0,2291561	0,9898979	0,9826609	0,5838367	0,0840584	0,1898843	1,0501404	0,6047929	0,9326076	0,9676102	0,1600272	0,8037226	0,5109779	0,8877130	0,7936213	0,2435204	0,9751582	0,6537198	0,7642305	0,6908957	0,4278000	0,5908817	1,0951314	0,2340239	0,4303562	0,2076252	0,8355790	0,1192121	0,4805286	0,3183734
420	0,6514237	0,6283930	0,2352863	0,9728619	1,1205674	0,5958546	0,0846116	0,1897873	1,0032246	0,6019751	0,8721341	0,9551466	0,1652654	0,8487419	0,4964485	0,9511000	0,8030060	0,2749578	0,9405581	0,6239355	0,7660168	0,6656267	0,4061560	0,5659134	1,0434784	0,2316848	0,4081994	0,2080260	0,8627101	0,1210761	0,4504239	0,3308474
440	0,6106270	0,6455184	0,2136839	0,9782431	1,1796469	0,6419108	0,0874332	0,1998116	1,0679804	0,6056281	0,8661359	0,9411523	0,1812381	0,8116187	0,5199695	1,0360840	0,9585582	0,2940971	0,9916986	0,6668671	0,6924145	0,6646195	0,4693393	0,5715179	1,0193295	0,2438166	0,3577043	0,2152495	0,8536071	0,1299552	0,4812807	0,2946029
460	0,5875097	0,6103788	0,2317870	1,0294127	1,0495008	0,6435706	0,0717958	0,1795759	1,0068558	0,5634700	0,9590697	0,9517766	0,1594640	0,7562845	0,5118128	1,0011664	0,8550078	0,2689470	0,9510195	0,6923435	0,7047018	0,7052634	0,4961789	0,5261198	1,0204576	0,2241631	0,3862140	0,2230588	0,7888388	0,1289629	0,4839293	0,3183506
480	0,5579529	0,6161481	0,2293978	1,0153810	0,9869394	0,7064718	0,0633443	0,1843067	0,9951251	0,6348792	1,0141669	0,9874772	0,1345155	0,7685801	0,5239353	0,9504193	0,8386451	0,2727780	1,0537569	0,7178653	0,7408231	0,7215443	0,5231211	0,5401415	1,0054924	0,2174518	0,4591225	0,2072463	0,8007670	0,1687690	0,4796578	0,3377361
500	0,5535540	0,6123007	0,2412425	0,9667197	1,0141548	0,6126093	0,0827241	0,2002770	0,9674401	0,6179746	1,0224271	1,0355163	0,1464107	0,7999655	0,5491869	0,9243220	0,8119707	0,2524567	1,0819675	0,6879389	0,8228088	0,7360944	0,4795306	0,5063505	0,9631769	0,2088911	0,4771065	0,2185312	0,7530460	0,1669942	0,4278677	0,3266701
520	0,6013808	0,6040973	0,2196029	0,9428458	1,0007401	0,6103383	0,0860677	0,1657921	1,0149531	0,5889487	0,9784746	1,1233027	0,1229073	0,8136649	0,5697867	0,9969235	0,8190128	0,3183496	1,0005739	0,6613221	0,7884098	0,7266708	0,5005605	0,4756589	0,9895169	0,2478813	0,4767051	0,2559152	0,7868195	0,1363828	0,4386929	0,2996224
