"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
260	0,5393121	0,3355138	0,2966505	0,4986628	0,2149264	0,1835122	0,0763101	0,2519068	0,6200886	0,6353386	0,0803275	0,1661507	0,6549079	0,0978448	0,3305466	0,2083642	0,3479910	0,2962592	0,9665414	1,0339672	0,8065908	0,3769223	0,6834672	0,4313671	0,9824200	0,9552560	0,8991805	0,1242153	0,4418842	0,5961578	0,1718800	0,5535731
280	0,5622883	0,3718682	0,2625592	0,4857439	0,2351708	0,2122069	0,0834955	0,2493708	0,5997447	0,6370947	0,0517200	0,1787277	0,6650986	0,0802814	0,3846510	0,1932448	0,3496247	0,2681031	0,9517717	0,9883256	0,7823721	0,3899824	0,7037521	0,3802141	0,9990194	0,9198047	0,9972765	0,1360101	0,4402327	0,6125118	0,1746779	0,5270361
300	0,5496207	0,3545196	0,2440660	0,4744189	0,2053492	0,1939516	0,0803988	0,2857608	0,6262679	0,6312178	0,0623805	0,1696521	0,6816706	0,0740840	0,3745364	0,1766372	0,3378790	0,3289152	0,9938139	1,0450841	0,8494927	0,3286603	0,6915219	0,3200547	0,9737333	0,9089431	0,9577528	0,1392537	0,4277626	0,5964922	0,1642158	0,5388140
320	0,5335067	0,3276655	0,2266391	0,4426610	0,1928358	0,1542294	0,1059513	0,2856029	0,5780340	0,6528543	0,0582291	0,1388276	0,6795680	0,1056131	0,3620391	0,1678763	0,3663863	0,2272687	0,9507761	1,0920974	0,7734163	0,2993444	0,6995153	0,2977172	0,9162632	0,8600818	0,9740642	0,1171720	0,4510214	0,5988197	0,1998608	0,5424373
340	0,5767760	0,3461426	0,2473626	0,4270579	0,1966478	0,1650123	0,0931040	0,2553485	0,5827969	0,7439320	0,0704530	0,1733921	0,7377114	0,1157159	0,3556297	0,2126762	0,3907252	0,2896171	0,9283337	1,0678426	0,8253784	0,2764867	0,7055776	0,3564571	0,9600087	0,8939265	1,0559431	0,1016443	0,4654144	0,6477563	0,2150326	0,5572031
360	0,6022904	0,3675886	0,2093526	0,4008971	0,1892850	0,1752250	0,1360807	0,2773057	0,5521078	0,6935917	0,0829777	0,2081387	0,6907743	0,0856990	0,3649089	0,2633245	0,3659296	0,2407866	1,0036161	1,1341011	0,8030442	0,2916534	0,7092874	0,3624964	0,9673909	0,8466917	1,0210040	0,1359961	0,4064953	0,6336901	0,2056341	0,5234839
380	0,6277314	0,3494895	0,2381218	0,3958398	0,2267621	0,1570629	0,1114395	0,2472340	0,6101929	0,7472459	0,1036018	0,2033654	0,6551762	0,0923472	0,3800984	0,2522977	0,3935074	0,2211291	0,9846641	1,0635414	0,8165611	0,2976946	0,6747536	0,4055038	0,9427738	0,7949989	0,9351108	0,1309631	0,3942738	0,5880371	0,2174956	0,5166576
400	0,6282130	0,3254955	0,2262599	0,3774177	0,2262547	0,1549623	0,0764551	0,2711364	0,6064232	0,7585536	0,0829336	0,1991513	0,6514829	0,1064070	0,3970820	0,2366238	0,4177246	0,1994663	0,9860042	1,0006240	0,8298596	0,3285844	0,6491672	0,4400117	0,9679090	0,8271782	0,9468709	0,1582931	0,3826243	0,5650271	0,2122869	0,5725191
420	0,6063556	0,3617550	0,2417215	0,3779096	0,2395558	0,1513347	0,1046615	0,2825007	0,6437263	0,7775548	0,0887446	0,2222112	0,6397888	0,1009029	0,3723007	0,2350708	0,4120309	0,2318890	0,9335787	1,0971299	0,8249995	0,2932214	0,6210527	0,3874896	0,9723880	0,8414795	0,9069556	0,1350098	0,3873548	0,5627318	0,2127865	0,4997962
440	0,5871296	0,3818215	0,2514679	0,3947560	0,2787850	0,1510649	0,0893485	0,2305370	0,6593701	0,7756060	0,1147294	0,1838718	0,6469623	0,1194843	0,3572084	0,2287077	0,4648030	0,2275726	0,9476631	1,0621659	0,8066208	0,2996825	0,5939033	0,4661306	0,9482055	0,7887869	1,0039808	0,1257059	0,4056434	0,5668266	0,2239427	0,5204542
460	0,6187454	0,3992242	0,2234545	0,4457654	0,2913320	0,1517217	0,0835485	0,2331184	0,6691174	0,7854561	0,1057580	0,2244999	0,6980574	0,1193504	0,3731308	0,2183769	0,4563194	0,2211290	0,9443221	0,9985497	0,7433691	0,2535143	0,6085893	0,4573255	0,9438075	0,7667001	0,9334385	0,1263402	0,3972549	0,5743774	0,2626863	0,5827960
480	0,5972317	0,3955868	0,2175918	0,4487925	0,3050524	0,1388804	0,0800194	0,2364289	0,6575651	0,6961500	0,0865362	0,2618740	0,6988747	0,1095938	0,3932930	0,1884892	0,4058998	0,2255307	0,8739684	1,0386446	0,7538684	0,2421926	0,6212399	0,4148878	0,9486549	0,7368496	0,9616002	0,1128330	0,3630094	0,5691552	0,2645020	0,5807701
500	0,5851582	0,3590911	0,2281545	0,4847293	0,2826610	0,1502866	0,0737186	0,2419185	0,6295091	0,6979095	0,0760356	0,1991617	0,6905211	0,0886555	0,4068462	0,2066454	0,3883309	0,2050497	0,9727007	0,9827564	0,7920467	0,2498938	0,5827624	0,4476886	0,9582062	0,7251834	0,9459563	0,1200505	0,3967713	0,5611609	0,2534594	0,5708822
520	0,5596205	0,3673947	0,2153362	0,4795835	0,2128235	0,1341007	0,0716258	0,2454672	0,6139259	0,7574101	0,0808719	0,1688857	0,6862643	0,0962712	0,4095137	0,2061712	0,3686617	0,2490584	0,9809092	0,9363735	0,8165899	0,2098580	0,5702477	0,3701376	0,9134493	0,6870017	0,9867193	0,1345668	0,4011195	0,5756143	0,2423419	0,5641150
540	0,5309255	0,4055022	0,2127320	0,4660804	0,1873669	0,1370600	0,0574727	0,2328001	0,6358124	0,7351729	0,0680031	0,1974448	0,5997468	0,0828643	0,3926083	0,2395128	0,3639250	0,2984609	1,0177503	0,9222764	0,8051371	0,2126083	0,6060881	0,3157707	0,8609631	0,8077016	1,0365960	0,1234680	0,3890658	0,6505470	0,2448919	0,4932362
560	0,5041066	0,3653415	0,2239779	0,4638860	0,1989116	0,1701103	0,0682100	0,2079156	0,6401653	0,7039430	0,0579385	0,2324787	0,5930860	0,0822604	0,4213044	0,2729356	0,3158368	0,2497483	0,9866940	1,0206863	0,7517995	0,2039475	0,6203577	0,2913279	0,8472434	0,8136472	1,0263185	0,1209929	0,4023938	0,6539532	0,2355678	0,5321671
580	0,4966555	0,3521768	0,2595647	0,4808412	0,2218213	0,1947024	0,0781414	0,4520945	0,5927571	0,7380554	0,0939808	0,2109988	0,6483768	0,0762064	0,3066586	0,2497195	0,2390112	0,5057076	0,9634674	0,6054286	0,8650555	0,2379028	0,6068583	0,2919422	0,6297211	0,7857734	0,9149208	0,3883425	0,4070025	0,6886219	0,2343844	0,5199605
600	0,4879988	0,3486788	0,3041035	0,4622806	0,1925159	0,2353511	0,1117246	0,5233207	0,5626009	0,7754717	0,0808008	0,1639632	0,6482248	0,0508448	0,2509693	0,1978880	0,2054975	0,5019538	0,8191377	0,3797136	0,8247610	0,2573682	0,6186296	0,2866407	0,4470159	0,7435265	1,0006877	0,4921230	0,3909510	0,7210928	0,2403561	0,5407536
620	0,5371504	0,3717657	0,3163292	0,4281957	0,1807700	0,2094261	0,1390305	0,5306472	0,5982014	0,7338105	0,1793910	0,1855792	0,6567329	0,0405065	0,1803428	0,1648559	0,2254563	0,4796095	0,8313644	0,2623507	0,8255601	0,2653108	0,6135174	0,3183303	0,3538520	0,7645440	0,9650761	0,6370909	0,3460813	0,7892538	0,2376501	0,5809872
640	0,5503884	0,3843509	0,3320045	0,4791950	0,1998363	0,2299536	0,1776672	0,5751040	0,6692015	0,7669520	0,3788252	0,2281167	0,6638889	0,0785868	0,1290695	0,1879651	0,2884262	0,4409228	0,8803363	0,1867604	0,7322929	0,3459577	0,6500415	0,3786478	0,2782303	0,7298340	1,0046990	0,7333068	0,3584951	0,7714934	0,2789555	0,5824744
660	0,5223541	0,3399406	0,3530865	0,4805053	0,2246729	0,2605899	0,2005094	0,5452680	0,6833728	0,6840963	0,5303365	0,2428666	0,6668688	0,0907412	0,1068056	0,1488126	0,3692890	0,5438634	0,9571471	0,1734010	0,7531621	0,3988425	0,7066203	0,4808912	0,2384838	0,7316231	0,9527589	0,7798164	0,3765348	0,8202800	0,3240920	0,5354967
680	0,5710951	0,3612686	0,3992279	0,4743436	0,2369729	0,2231756	0,1761594	0,5753299	0,5765373	0,6706754	0,5566929	0,2475349	0,6504675	0,0960628	0,0869963	0,1289120	0,3695495	0,5088712	0,9361948	0,1408521	0,7639741	0,3654518	0,7369802	0,5302105	0,2235112	0,7078861	0,9670937	0,8864849	0,3552607	0,7891794	0,3348098	0,5422675
700	0,6115972	0,3255596	0,4302888	0,4270549	0,1932821	0,2266337	0,1714704	0,5622248	0,5793138	0,6926555	0,7042502	0,2105522	0,6674521	0,1355409	0,0935850	0,1268494	0,4139146	0,4624157	0,9426747	0,1390300	0,8292206	0,4015668	0,6479470	0,5189154	0,1959547	0,6435185	0,8998960	0,9122081	0,3708638	0,8036336	0,3043383	0,6076467
