"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
260	0,0210101	0,6026931	0,0501230	0,0460118	0,2758888	0,5350106	1,0433022	0,6074592	0,2937706	0,3374771	0,3162291	0,7626472	0,1814695	0,5778677	0,6440971	0,5996413	0,2882508	0,3359369	0,9670238	0,0760897	1,0211663	0,0194405	0,0492580	0,8963675	0,8846472	0,0406412	0,9651971	0,9510177	1,0017042	0,7305906	1,0246308	0,3689725
280	0,0112201	0,6150572	0,0305413	0,0281555	0,2919567	0,5831928	1,0621301	0,5936773	0,3095250	0,3739095	0,3341874	0,7335710	0,1389674	0,6057191	0,6566368	0,6051742	0,2829582	0,3080450	0,9411165	0,0907895	1,0218152	0,0226087	0,0732008	0,8197398	0,9928943	0,0471664	1,0113827	0,8509682	0,9637813	0,7169350	1,0192570	0,4119003
300	0,0233416	0,6370608	0,0312495	0,0340055	0,2751744	0,5564286	1,0523272	0,6328037	0,3310331	0,3929803	0,3538104	0,6836561	0,1518991	0,6360684	0,6620747	0,6114248	0,2953903	0,3413529	0,9847269	0,0827042	1,0695070	0,0340648	0,0756578	0,8572267	0,9905307	0,0481014	0,9020037	0,8236339	0,9902689	0,7097251	1,0306021	0,4102919
320	0,0135721	0,6296322	0,0290498	0,0356203	0,3080723	0,5962468	0,9876346	0,6374064	0,3023212	0,3809747	0,3157897	0,6996456	0,1560339	0,6377018	0,5824788	0,5827195	0,3117141	0,3946680	0,9532141	0,0854644	0,9724314	0,0228471	0,0695971	0,8647678	0,9751576	0,0507348	0,9133288	0,8229402	1,1002551	0,7961101	0,9828857	0,4222626
340	0,0131351	0,5594438	0,0257975	0,0283387	0,2792830	0,6095585	1,0020550	0,6275608	0,2875099	0,4429816	0,3189510	0,6559967	0,1309831	0,6103206	0,5594414	0,6398316	0,3915623	0,3690651	0,9295224	0,1014183	1,0352403	0,0261643	0,0641653	0,9010947	0,9430843	0,0582417	0,9862140	0,8773865	1,0550400	0,8052756	0,9929951	0,4910450
360	0,0115015	0,5728359	0,0183998	0,0286437	0,2783649	0,6250268	0,9567141	0,5785584	0,2512448	0,4145717	0,3019648	0,6592804	0,0924872	0,6178297	0,5168009	0,6355262	0,3479488	0,3377330	0,9664603	0,1082487	0,9766428	0,0259636	0,0637902	0,9365608	0,9786435	0,0705837	1,0083803	0,8712567	1,0356468	0,7474645	1,0045892	0,5298501
380	0,0144174	0,6083554	0,0354090	0,0289422	0,2523838	0,6322851	0,9867151	0,5369370	0,2490829	0,3707648	0,3066352	0,7179733	0,1194490	0,5697507	0,5359323	0,6228179	0,3859691	0,3971146	0,9376113	0,1087590	0,9787603	0,0323402	0,0543623	0,8602707	1,0524660	0,0466083	1,0216027	0,8914874	1,0431639	0,7795919	1,0535083	0,5380434
400	0,0085907	0,6262533	0,0248520	0,0340020	0,2809884	0,5979433	1,0411033	0,5563143	0,2835950	0,3461313	0,3249566	0,7526736	0,1054887	0,5806419	0,5877026	0,5785329	0,3410487	0,4060484	0,9828461	0,1031787	1,0135753	0,0251612	0,0418506	0,9237477	1,0046500	0,0582055	0,9862753	0,7875250	1,0251174	0,8048834	0,9926402	0,4742741
420	0,0174973	0,5993938	0,0373261	0,0456133	0,3087950	0,6091313	1,0386098	0,5489456	0,2891614	0,3817650	0,2902150	0,7390715	0,1429504	0,5670660	0,5449605	0,5342721	0,3217566	0,3550911	1,0285756	0,0878899	1,0392588	0,0286177	0,0459846	0,9648975	1,0160163	0,0740039	0,9311856	0,7732676	0,9831559	0,7853157	1,0143159	0,4458624
440	0,0161527	0,5973691	0,0403959	0,0253033	0,3124294	0,5784947	1,0045782	0,6008964	0,2673625	0,4020920	0,3041325	0,7354347	0,1319934	0,5482991	0,5885515	0,5374045	0,3225377	0,3159759	0,9966888	0,0601870	1,1051078	0,0260230	0,0380260	0,9584124	1,0200725	0,0717049	0,9057996	0,8263553	1,0066966	0,8084100	1,1002369	0,4745509
460	0,0141690	0,5896994	0,0550891	0,0367516	0,3004497	0,5955218	1,0273453	0,5554726	0,2918512	0,3654004	0,3053552	0,7540604	0,1906601	0,5267598	0,6318052	0,5968784	0,3286822	0,3053999	1,0894466	0,0655627	1,0902366	0,0288013	0,0579559	0,9155880	0,9816463	0,0592671	1,0138909	0,8514262	0,9671327	0,7611220	1,0187928	0,4543746
480	0,0120657	0,6036383	0,0521266	0,0195695	0,3238454	0,6206254	0,9549417	0,6140500	0,2712907	0,3816379	0,3214696	0,6918665	0,1443870	0,5211394	0,6203895	0,5653251	0,3477531	0,3526841	1,0667728	0,0731552	1,0054252	0,0287429	0,0689257	0,8792492	1,0055855	0,0701002	1,0020239	0,8065603	0,9534473	0,7328685	0,9724703	0,4246505
500	0,0113049	0,5532136	0,0515987	0,0308099	0,2950775	0,5797986	0,9971476	0,6051262	0,2639946	0,4225981	0,3324182	0,6783701	0,1482875	0,5143675	0,6166275	0,5792834	0,3239475	0,3421819	1,0390532	0,0563075	0,9631197	0,0268124	0,0588157	0,9065358	0,9247536	0,0650407	0,9933955	0,7841025	0,9948427	0,7398720	0,9152796	0,4309110
520	0,0061171	0,5754541	0,0606860	0,0234458	0,3348592	0,5816589	1,0227746	0,5592160	0,2804064	0,3949728	0,3400889	0,7051873	0,1308653	0,5841571	0,5953850	0,5970955	0,3164298	0,3141854	1,0637266	0,0499106	0,9079314	0,0325923	0,0513937	0,8900514	0,9057960	0,0656431	0,9471986	0,7817210	1,0455525	0,7909160	0,9848459	0,3754445
540	0,0100192	0,6428154	0,0582220	0,0235788	0,3181180	0,5531231	0,9734046	0,5681676	0,2892816	0,4272772	0,2912083	0,7282042	0,1789363	0,6204227	0,5802601	0,6219209	0,3251163	0,3469021	1,0188673	0,0637411	0,9051995	0,0352822	0,0491178	0,9055324	0,9779207	0,0520284	0,9639221	0,8234886	0,9918907	0,8918545	1,0034684	0,4047639
560	0,0085962	0,6538922	0,0455810	0,0332453	0,3115271	0,5393413	1,0697060	0,5805808	0,2976846	0,4402171	0,3285630	0,7272200	0,1720492	0,6341288	0,6090931	0,5769538	0,3469550	0,3105688	1,0179607	0,0500977	0,9298226	0,0376481	0,0542625	0,8632066	0,9870744	0,0493221	1,0102159	0,8226988	1,0062852	0,7723151	1,0781538	0,3798333
580	0,0138409	0,6413141	0,0583040	0,0283723	0,3021852	0,5504731	1,0414171	0,6422722	0,3920199	0,4957003	0,3047488	0,6768617	0,1721301	0,6349838	0,6494270	0,5871097	0,3243433	0,3339227	1,0440869	0,0517759	0,9544444	0,0355595	0,0581591	0,6325469	0,9787880	0,0598291	1,0434904	0,8070406	0,9394473	0,4218695	1,0511836	0,3797751
600	0,0158843	0,6503286	0,0523307	0,0252448	0,3233390	0,5571398	1,0159156	0,5467049	0,4570205	0,4773517	0,2948013	0,6922031	0,1417923	0,5678675	0,6335812	0,6048843	0,3209120	0,3548706	0,9946403	0,0452675	0,9556117	0,0367645	0,0739121	0,4613189	0,8961326	0,0657895	0,9638478	0,8062741	0,8739849	0,2134231	1,0333755	0,3852077
620	0,0278087	0,6543011	0,0458700	0,0344143	0,3054475	0,5694439	0,9658229	0,5423513	0,4210448	0,5287048	0,2935137	0,7031201	0,1020133	0,5620409	0,5963276	0,5810026	0,3555117	0,3418995	0,9546121	0,0470811	0,9370894	0,0276555	0,0742648	0,4365761	0,9154393	0,0877560	0,9542820	0,8089006	0,9594949	0,0992718	0,9887034	0,4151930
640	0,0292347	0,6381571	0,0376688	0,0319720	0,2856766	0,5724722	1,0508639	0,5651003	0,4587644	0,5597103	0,2780969	0,8059476	0,1169011	0,5761454	0,6307056	0,6312014	0,3336474	0,3268566	0,9403427	0,0677592	0,9388250	0,0263992	0,0571909	0,3757864	0,8814517	0,0635515	0,9612509	0,7657899	0,9840508	0,0728125	0,9612103	0,4028613
660	0,0240559	0,6554900	0,0374424	0,0265468	0,2947465	0,5658467	1,1018940	0,5379234	0,4719645	0,5435514	0,3041108	0,8284708	0,1204874	0,5790610	0,6455414	0,5685920	0,3149954	0,3445447	0,9745549	0,0651672	1,0318349	0,0309972	0,0459522	0,3448675	0,8896538	0,0722685	0,9991471	0,7781504	0,9469233	0,0345645	0,9561487	0,4200785
680	0,0256340	0,6631838	0,0499754	0,0237087	0,2799147	0,5969710	1,0849705	0,5952575	0,4630861	0,4737750	0,2906110	0,8060195	0,0835822	0,5602964	0,6267995	0,5139716	0,2975730	0,2804394	1,0169620	0,0467675	1,0255558	0,0363295	0,0524515	0,3336335	0,8819208	0,0678092	1,0836022	0,8028347	1,0034156	0,0194627	0,9572555	0,4084724
