"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
300	0,4459216	0,3858853	0,2458961	0,3707925	0,4404504	0,8164925	0,1877209	0,5332960	0,9269340	0,9026445	0,5956283	0,9982387	0,2114607	0,6809947	0,7344510	0,8003176	0,9116402	0,7058023	0,6623597	0,4471211	0,3953733	0,6673895	0,8549085	0,2144306	0,9238982	0,1832570	0,6480952	0,8966492	0,0814052	0,0355064	0,0934077	0,5343372
320	0,4679599	0,3319367	0,2742845	0,3725545	0,4620898	0,8229876	0,1739704	0,5384675	0,9360323	0,8563496	0,5347877	1,0762905	0,2011639	0,6554472	0,7430737	0,8095308	0,8950247	0,7139868	0,6456448	0,4035864	0,4022499	0,6574260	0,9538126	0,2328007	0,9760449	0,1465309	0,6742612	0,8737012	0,1037214	0,0287072	0,0477654	0,5830872
340	0,4537207	0,3150999	0,2689505	0,3859261	0,4336505	0,7710355	0,1842850	0,5596146	0,9107212	0,8664769	0,5465843	1,1356486	0,1913751	0,6013814	0,7381658	0,8265114	0,8329627	0,7043509	0,5924958	0,4125601	0,3634582	0,7138348	0,9875848	0,1885583	0,9435523	0,1660057	0,7163139	0,8860657	0,0977406	0,0271956	0,0552621	0,5533586
360	0,4379256	0,3160999	0,2656686	0,3539042	0,3891813	0,7178573	0,1807949	0,5405659	0,9374779	0,9133559	0,5697038	1,0938089	0,1713956	0,6368693	0,6875068	0,8202611	0,8096853	0,7060524	0,6044578	0,4274485	0,3603910	0,6412420	0,9460804	0,1575116	0,9577417	0,1483150	0,7288534	0,8565125	0,0707754	0,0441138	0,0714022	0,5202820
380	0,4170470	0,3365413	0,2805523	0,3733616	0,3796948	0,7611685	0,1727887	0,5934140	0,9086422	0,9075296	0,5592593	1,0830221	0,1850528	0,7014309	0,7121559	0,8187219	0,8756783	0,7592311	0,5778038	0,4954105	0,3462037	0,6419529	0,9183768	0,1670596	0,9689928	0,1371773	0,7235359	0,8664542	0,0785824	0,0298684	0,0660704	0,5359746
400	0,4157964	0,3698046	0,2321089	0,4041579	0,4332426	0,7741143	0,1896426	0,6272248	0,9998770	0,8069820	0,5912245	1,0390814	0,1702073	0,6648709	0,7321452	0,8838040	0,8726913	0,6790347	0,6004605	0,4715861	0,3908093	0,6401432	0,8941075	0,1401063	0,9245063	0,1599322	0,6985233	0,8723806	0,0925696	0,0375991	0,0511267	0,5821753
420	0,4165375	0,3892269	0,2444011	0,4037308	0,4546772	0,7625878	0,1928857	0,5829565	0,9853249	0,8267323	0,5682508	1,0417095	0,1993764	0,7294793	0,7017005	0,8670119	0,8687890	0,6732455	0,5606683	0,4298459	0,4053791	0,6647607	0,9825766	0,1453192	0,9539006	0,1782982	0,6695822	0,8680790	0,0843827	0,0331375	0,0521779	0,5869485
440	0,4156355	0,3770588	0,2272480	0,4260929	0,4035613	0,7519217	0,2229524	0,5800005	0,9835703	0,9365194	0,5261572	1,0306207	0,2259904	0,6802229	0,7226128	0,8181779	0,8820377	0,6611686	0,6492136	0,3885216	0,3410567	0,5825263	0,9533514	0,1283492	0,9238393	0,2000222	0,6190059	0,8430818	0,0944235	0,0217725	0,0757046	0,6362712
460	0,4376623	0,3872836	0,2639081	0,3894639	0,4168075	0,7742752	0,2117920	0,6246326	1,0067469	0,9277606	0,6134347	1,0644611	0,2293991	0,7560553	0,6818928	0,8039191	0,8677971	0,6574643	0,5748752	0,4126479	0,2775926	0,6178337	0,9209532	0,1359075	1,0046854	0,1935424	0,6760394	0,8614611	0,0817613	0,0292174	0,0893418	0,5887585
480	0,4711675	0,3997336	0,2551541	0,3763419	0,4440657	0,7898243	0,2290491	0,5964791	0,9284042	0,9184105	0,6161550	0,9980604	0,2348772	0,6973530	0,6707446	0,7700074	0,8711436	0,6877524	0,5476506	0,4068484	0,2764954	0,6896470	0,9554153	0,1224435	1,0451409	0,1620423	0,6550801	0,8875716	0,0836515	0,0320590	0,0741716	0,6049427
500	0,4898855	0,4292595	0,2560172	0,3834670	0,4357759	0,8185862	0,2463221	0,5983665	0,8412685	0,9747650	0,6126030	1,0892373	0,2223237	0,6438658	0,6773084	0,7578685	0,8707132	0,6666796	0,5770807	0,4204434	0,2903144	0,6731716	0,9100769	0,1127013	1,0456377	0,1631000	0,6279471	0,8792857	0,0660893	0,0219434	0,0626717	0,5603134
520	0,4751383	0,4357224	0,2902268	0,3666155	0,4613791	0,8426706	0,2439014	0,6547742	0,9071725	0,9491792	0,5859274	1,1478088	0,1698385	0,6067571	0,7461193	0,6915513	0,8711645	0,6330261	0,5659178	0,3717853	0,3242257	0,6469867	0,9408178	0,1312079	0,9778084	0,1428470	0,6711904	0,8272022	0,0812242	0,0424771	0,0639925	0,4844562
540	0,5359639	0,4085723	0,2496662	0,3686044	0,4332637	0,7915950	0,2655997	0,6413037	0,9399048	0,9339016	0,6266761	1,0396306	0,1529987	0,6120935	0,7389980	0,6943721	0,9052611	0,6600543	0,5976717	0,4052666	0,3441137	0,6566960	0,9152512	0,1305608	0,9600361	0,1234829	0,6756248	0,8170582	0,0743523	0,0406863	0,0528368	0,5287328
560	0,4907693	0,4180702	0,2872750	0,3690971	0,3874434	0,7992746	0,2432321	0,6477257	0,9667034	0,9329514	0,5835644	1,0546582	0,1616455	0,5751126	0,6858801	0,7054398	0,8997215	0,6436345	0,6172839	0,3605190	0,3115329	0,6271369	0,9760862	0,1778243	0,9246354	0,1209949	0,7590197	0,7611167	0,0809293	0,0504597	0,0407088	0,4727207
580	0,4889404	0,3985988	0,2817768	0,3740462	0,4231043	0,7497906	0,2254699	0,6638608	0,9351459	0,8989640	0,5779723	1,0218259	0,1714597	0,5490428	0,6993382	0,7408419	0,8816124	0,6481946	0,5637052	0,3314504	0,3482163	0,5827063	0,9362801	0,1473310	0,9648213	0,2015700	0,7866446	0,8152626	0,0806038	0,0306292	0,0621030	0,4250599
600	0,4606913	0,3899829	0,2849612	0,3828044	0,4348135	0,7872232	0,2026265	0,7016947	0,9868308	0,8645074	0,6095402	0,9822166	0,1855245	0,5939533	0,6981935	0,7987834	0,8671865	0,6886978	0,5740006	0,3561934	0,3707397	0,5048122	0,9538052	0,1315354	0,9652862	0,3314699	0,7387530	0,8228090	0,0827805	0,0432137	0,0876091	0,4495156
620	0,4410132	0,3214530	0,2642688	0,3492848	0,4626569	0,7859052	0,1812003	0,6783169	0,9800934	0,8949163	0,5555046	0,9660268	0,2153189	0,5671381	0,6948935	0,8119133	0,8738756	0,7021455	0,5970182	0,2585083	0,3523476	0,4016895	0,9440582	0,1664827	0,9037276	0,4604208	0,7348371	0,8448083	0,1006710	0,0497284	0,1400282	0,4290898
640	0,4407534	0,3577678	0,2566947	0,3535989	0,4590710	0,7717057	0,1665256	0,6636867	0,9385080	0,9053664	0,6013929	1,0102201	0,2140409	0,5904552	0,6709283	0,7516580	0,9292602	0,6798164	0,6048131	0,2526418	0,3532712	0,3207405	0,9616918	0,1433987	0,8856874	0,6374951	0,7747858	0,8835667	0,1001371	0,0327440	0,1703918	0,4731941
660	0,3818975	0,3829058	0,2362046	0,3714524	0,4537463	0,8254310	0,1623230	0,5781858	0,9904587	0,9475438	0,6170751	1,0338818	0,1761582	0,5893910	0,6752082	0,7649686	0,9044511	0,6756900	0,6065311	0,2490051	0,3780634	0,2804764	0,9230082	0,1356614	0,8960195	0,7324894	0,7639580	0,8915535	0,0977857	0,0377220	0,2127648	0,4757021
680	0,3988630	0,3992680	0,2435826	0,3948286	0,4327719	0,7759698	0,1692865	0,6470903	0,9386310	0,8926881	0,5682971	1,0653446	0,1841770	0,5637368	0,7107026	0,8222183	0,8814467	0,6505375	0,6225188	0,2386291	0,4021348	0,2309330	0,9293976	0,1582705	0,8879037	0,7816039	0,7473888	0,9064746	0,1080520	0,0359103	0,2559480	0,4737571
700	0,4383864	0,3695004	0,2554410	0,4086591	0,4331796	0,7394202	0,1720516	0,6563432	0,9110874	0,9451017	0,6000854	1,0834995	0,1544352	0,5967110	0,7007319	0,8334617	0,8646714	0,6572825	0,6174736	0,2012769	0,3193632	0,1949181	0,9002668	0,1507651	0,9322518	0,7729645	0,6670025	0,8667888	0,1219495	0,0238284	0,3028448	0,4362918
720	0,4543828	0,3664168	0,2843693	0,4290829	0,4349827	0,8255313	0,1813296	0,6543829	0,8816607	0,9222813	0,5995901	0,9808025	0,1598516	0,5032865	0,7090916	0,7549127	0,9210839	0,6305630	0,5993102	0,1838182	0,3323443	0,1799192	0,8016036	0,1731496	0,9029596	0,7826872	0,7093151	0,8000918	0,1375268	0,0277381	0,3074588	0,4515867
740	0,4400702	0,3095144	0,3108633	0,4113475	0,4159901	0,8287708	0,2391347	0,6110856	0,9209543	0,9196378	0,5979047	1,0097200	0,1698380	0,5472193	0,6819603	0,8325700	0,8979925	0,7113987	0,5199517	0,1550067	0,3433483	0,1566652	0,8172253	0,1488644	0,8016326	0,6929706	0,7859774	0,8296540	0,1349254	0,0481563	0,2853682	0,4545350
760	0,4576566	0,3168165	0,2975571	0,4192490	0,4558304	0,8844127	0,2145180	0,6505306	0,9238317	0,9265785	0,6895516	0,9783692	0,1642573	0,5991665	0,6732603	0,8500375	0,8665016	0,6702359	0,5128872	0,1648817	0,3755870	0,1356322	0,7944240	0,1585782	0,8629566	0,6533963	0,7401841	0,8183568	0,1205686	0,0638689	0,3145665	0,4559121
780	0,4633803	0,2920232	0,2612766	0,3978823	0,4598015	0,8416667	0,1763730	0,6834146	0,9697593	1,0039324	0,6087848	1,0107840	0,1657882	0,5859841	0,6670163	0,8871206	0,8470343	0,6917869	0,5373491	0,1656014	0,3761754	0,1259109	0,8004941	0,1752465	0,8368140	0,6378812	0,8172917	0,8541825	0,1136764	0,0526107	0,2926210	0,4418820
800	0,3886303	0,3239056	0,2649460	0,3861719	0,4836404	0,8557895	0,1734804	0,6685873	0,9646137	0,9824155	0,4964588	0,9846824	0,1668647	0,5960075	0,6450860	0,9014905	0,8658927	0,7109558	0,5796497	0,2209405	0,4398490	0,1305057	0,8082397	0,1575575	0,8795891	0,6907080	0,7802269	0,8268333	0,1311942	0,0351221	0,2751813	0,4121961
820	0,3756651	0,3705142	0,2645992	0,4410343	0,4787321	0,8916296	0,1654899	0,5946883	0,9777788	0,9566044	0,5216672	0,9553595	0,1644956	0,6328972	0,6442716	0,8995213	0,8856013	0,7725155	0,5925994	0,2711019	0,4430076	0,1318329	0,7856254	0,1503270	0,9267737	0,7500772	0,7510100	0,8183267	0,1322367	0,0347262	0,2436081	0,4440047
840	0,3841980	0,3565561	0,2592017	0,4320089	0,4360502	0,8837156	0,1583815	0,6414358	0,9750700	1,0667768	0,5662307	0,9347586	0,1910571	0,6359815	0,6065899	0,8376355	0,8588970	0,7812008	0,5724572	0,2737371	0,4259119	0,1506823	0,8068134	0,1728131	0,8889133	0,6760588	0,7800521	0,7837060	0,1368777	0,0459148	0,2715230	0,4419097
860	0,3694967	0,3851499	0,2668091	0,4014584	0,4596831	0,8919994	0,1706415	0,6071827	0,9438199	1,0278510	0,6022930	1,0071912	0,2243377	0,6084454	0,6375880	0,9012252	0,9370128	0,7601053	0,5880410	0,2326439	0,3995762	0,1542593	0,8580150	0,1993846	0,9050988	0,6726125	0,8479663	0,8311781	0,0927902	0,0455781	0,2380569	0,4600423
880	0,4081849	0,3431549	0,2542093	0,4131064	0,4361537	0,8353159	0,1469720	0,6283963	0,9313196	0,9523489	0,6189758	1,0470612	0,1970799	0,6048007	0,6310424	0,8926417	0,9778761	0,7390805	0,4869467	0,2130882	0,3682792	0,1472996	0,8498980	0,1701252	0,9702453	0,7211128	0,8101352	0,8512350	0,1013650	0,0471863	0,2910285	0,4348685
900	0,4225379	0,3570245	0,2408297	0,4263447	0,4408751	0,8605649	0,1464980	0,5874475	0,8873121	0,9779379	0,5574636	1,0141993	0,1780419	0,6077428	0,6593941	0,8100102	0,9746927	0,7130616	0,5520209	0,2356999	0,3442224	0,1333480	0,8538403	0,1654518	0,9587576	0,7149816	0,7923049	0,8171059	0,1029075	0,0326080	0,2956749	0,4110145
920	0,4443381	0,3148060	0,2550886	0,3996999	0,4668530	0,8281462	0,1552711	0,5481907	0,9321076	0,9020825	0,6067958	1,0518665	0,1913312	0,5777063	0,6670851	0,7625615	0,9461679	0,7698455	0,5542592	0,2737115	0,3546312	0,1513585	0,9061078	0,1548297	1,0133050	0,7754419	0,7414683	0,8166545	0,0886795	0,0270723	0,3165776	0,4422448
940	0,3949528	0,3379722	0,2505250	0,3757316	0,4757182	0,8216187	0,1711282	0,6447367	0,9480802	0,8829437	0,6037241	1,0374130	0,1965718	0,6060456	0,6644348	0,7966723	0,9897750	0,6966361	0,5855283	0,2675975	0,4012334	0,1393283	0,9381827	0,1539406	1,0155127	0,8093935	0,7664075	0,8683836	0,0900235	0,0328541	0,2611937	0,4949670
960	0,3595370	0,3105024	0,2611435	0,3757462	0,4257100	0,7961816	0,1704650	0,6802849	0,9479679	0,9295687	0,5683510	1,0411519	0,1827530	0,6181639	0,6688122	0,8147402	0,9199100	0,7552080	0,5961513	0,2981287	0,3536753	0,1262730	0,9631417	0,1653729	0,9490451	0,8070840	0,7978694	0,8701957	0,0903282	0,0360046	0,2658833	0,4611611
980	0,3463895	0,3074215	0,2566735	0,4263062	0,4370710	0,7681367	0,1423196	0,6647111	0,9732856	1,0025608	0,5965477	1,0364964	0,1984010	0,7013128	0,7380494	0,9227025	0,9691272	0,7396290	0,5458528	0,2728102	0,3389651	0,1429159	0,9911813	0,1818790	0,8766757	0,8550214	0,7163237	0,8529635	0,1124844	0,0439904	0,2401063	0,4638191
1000	0,3165140	0,3385427	0,2736864	0,4243615	0,4145665	0,7355614	0,1214813	0,6635581	0,9159497	1,0748815	0,5497108	1,0062636	0,2235640	0,7122706	0,7402443	0,9383853	0,9413738	0,8449267	0,6176844	0,2890663	0,3579497	0,1461178	0,9151753	0,1349103	0,9073334	0,8149990	0,6666102	0,8719191	0,0966302	0,0626035	0,2478838	0,4977627
1020	0,3306322	0,3492287	0,2780519	0,4309676	0,3894814	0,7248605	0,1096980	0,6519532	0,9663441	1,0055684	0,4970908	0,9730559	0,2201098	0,7150382	0,7276644	0,8851161	0,8511157	0,7478826	0,5880033	0,2596863	0,3533608	0,1592392	0,8674844	0,1225484	0,8992360	0,8372797	0,7192782	0,8793923	0,0965178	0,0465100	0,2579138	0,5375985
1040	0,3308888	0,3815068	0,2517711	0,3752815	0,4127238	0,7260531	0,1464998	0,6346256	0,9194499	0,9753939	0,4913634	0,9851833	0,2219986	0,6847184	0,6498866	0,8584850	0,8214240	0,7465129	0,6190645	0,2927552	0,3198895	0,1440489	0,9026208	0,0957225	0,9806940	0,8151846	0,6892912	0,8815931	0,0953397	0,0406260	0,2391280	0,5660794
1060	0,3771817	0,3848632	0,2624999	0,3679411	0,4180926	0,7733991	0,1536037	0,6618470	0,9724412	0,8525604	0,4392433	1,0005637	0,2387628	0,6461938	0,6437885	0,8163294	0,8986890	0,6629995	0,6177239	0,2460365	0,3465163	0,1318169	0,9156150	0,1101553	0,9900344	0,7704858	0,7739952	0,8553100	0,1004586	0,0530058	0,2387800	0,5777419
1080	0,4169729	0,3724685	0,2406163	0,3478273	0,3941224	0,7765328	0,1725772	0,6485573	0,9075690	0,9534528	0,5173175	1,0284832	0,1999653	0,6542717	0,7030338	0,8155520	0,9072232	0,6735462	0,6282697	0,1968771	0,3656597	0,0937092	0,8888727	0,0973350	1,0730563	0,7589223	0,8195020	0,9513412	0,0828730	0,0411606	0,2599161	0,5941074
1100	0,4072990	0,3920760	0,2293464	0,3722387	0,4436156	0,8132923	0,1837617	0,6496152	0,8935719	0,9851113	0,5359382	1,0386359	0,1764214	0,6418445	0,7214968	0,7634896	0,9337945	0,7608611	0,6074745	0,1824473	0,3636764	0,1111432	0,9057304	0,1262751	1,0239141	0,7326603	0,8228214	0,9812900	0,0843287	0,0344994	0,2656112	0,5666555

