"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
260	0,0920126	0,0436353	0,6512693	1,0000000	1,0000000	0,0075202	0,9652684	0,0471991	0,3429423	1,0000000	0,8315199	0,9768231	0,8734566	0,8166455	0,7717078	0,0293270	0,0875395	0,9588768	0,0781022	0,0158817	0,8265743	0,9312331	0,5092322	0,7961217	0,1419158	0,9677048	0,6043360	0,9977502	0,0321342	0,5402388	0,1145760	0,0041872
280	0,0920169	0,0436353	0,6515455	1,0000000	1,0000000	0,0073413	0,9650410	0,0471991	0,3429464	1,0000000	0,8330890	0,9768749	0,8735270	0,8172140	0,7717078	0,0293272	0,0874912	0,9618542	0,0781023	0,0158817	0,8269091	0,9353092	0,5091790	0,8006791	0,1419158	0,9677292	0,6042239	0,9977514	0,0321385	0,5399859	0,1145759	0,0041872
300	0,0920205	0,0436353	0,6517501	1,0000000	1,0000000	0,0072365	0,9648835	0,0471991	0,3429497	1,0000000	0,8342125	0,9769162	0,8735832	0,8175725	0,7717078	0,0293274	0,0874574	0,9638618	0,0781023	0,0158817	0,8271912	0,9382176	0,5091376	0,8037687	0,1419158	0,9677496	0,6040552	0,9977523	0,0321422	0,5397931	0,1145759	0,0041872
320	0,0920236	0,0436353	0,6518998	1,0000000	1,0000000	0,0071755	0,9647749	0,0471991	0,3429522	1,0000000	0,8350165	0,9769485	0,8736275	0,8177982	0,7717078	0,0293276	0,0874338	0,9652091	0,0781024	0,0158817	0,8274235	0,9402825	0,5091060	0,8058533	0,1419158	0,9677664	0,6038809	0,9977532	0,0321453	0,5396479	0,1145759	0,0041872
340	0,0920262	0,0436353	0,6520083	1,0000000	1,0000000	0,0071399	0,9647002	0,0471991	0,3429542	1,0000000	0,8355916	0,9769734	0,8736621	0,8179399	0,7717078	0,0293277	0,0874175	0,9661097	0,0781025	0,0158817	0,8276114	0,9417418	0,5090821	0,8072540	0,1419158	0,9677799	0,6037242	0,9977539	0,0321479	0,5395399	0,1145759	0,0041872
360	0,0920284	0,0436353	0,6520862	1,0000000	1,0000000	0,0071193	0,9646489	0,0471991	0,3429557	1,0000000	0,8360029	0,9769926	0,8736887	0,8180287	0,7717078	0,0293278	0,0874061	0,9667096	0,0781025	0,0158817	0,8277607	0,9427691	0,5090642	0,8081918	0,1419158	0,9677906	0,6035935	0,9977544	0,0321502	0,5394603	0,1145759	0,0041872
380	0,0920303	0,0436353	0,6521417	1,0000000	1,0000000	0,0071074	0,9646138	0,0471991	0,3429569	1,0000000	0,8362970	0,9770071	0,8737091	0,8180842	0,7717078	0,0293279	0,0873983	0,9671080	0,0781025	0,0158817	0,8278777	0,9434897	0,5090510	0,8088175	0,1419158	0,9677990	0,6034894	0,9977549	0,0321521	0,5394022	0,1145759	0,0041872
400	0,0920319	0,0436353	0,6521810	1,0000000	1,0000000	0,0071005	0,9645897	0,0471991	0,3429578	1,0000000	0,8365073	0,9770180	0,8737245	0,8181189	0,7717078	0,0293280	0,0873930	0,9673719	0,0781026	0,0158817	0,8279681	0,9439935	0,5090412	0,8092339	0,1419158	0,9678054	0,6034091	0,9977553	0,0321537	0,5393601	0,1145759	0,0041872
420	0,0920332	0,0436353	0,6522087	1,0000000	1,0000000	0,0070965	0,9645733	0,0471991	0,3429584	1,0000000	0,8366576	0,9770262	0,8737361	0,8181406	0,7717078	0,0293281	0,0873893	0,9675463	0,0781026	0,0158817	0,8280372	0,9443448	0,5090341	0,8095102	0,1419158	0,9678103	0,6033486	0,9977556	0,0321551	0,5393298	0,1145759	0,0041872
440	0,0920344	0,0436353	0,6522281	1,0000000	1,0000000	0,0070942	0,9645621	0,0471991	0,3429589	1,0000000	0,8367651	0,9770322	0,8737447	0,8181540	0,7717078	0,0293281	0,0873868	0,9676614	0,0781026	0,0158817	0,8280895	0,9445891	0,5090289	0,8096932	0,1419158	0,9678140	0,6033038	0,9977559	0,0321563	0,5393081	0,1145759	0,0041872
